,Extract,Question,Mark Scheme
107,"Governments and markets
Prices, according to economists, are determined by supply and demand. In many times and places, however, prices have been set by governments. For example, in January 2020, the government of Argentina updated its list of maximum prices, setting guidelines for over 300 products. Consumers, via a smartphone app, can report any prices of these products that are above the maximum.
The World Bank has collected data on the extent to which the governments of developing economies have intervened in markets to set prices. Table 1.1 shows the results of this research.
Table 1.1: Government intervention in product markets to influence prices in developing economies



Product market
Percentage of governments intervening in the market to influence price
Examples


Energy
89
Petrol in Iran


Food
76
Bread in BeninRice in Haiti


Building materials
13
Cement in Burkina Faso



Source: Adapted from 'In a fix', The Economist, 11 January 2020
Governments generally impose price controls for one of three reasons:

to redistribute income in an economy: maximum prices help the poor afford the necessities of life, whereas minimum prices support the livelihoods of farmers
to stabilise a market: governments use stocks to smooth fluctuations in the price of a commodity like cocoa, buying when there is excess supply in the market and selling when there is excess demand
to control inflation: maximum prices have been used in many countries

Many economists have been critical of the use of price controls by governments. In a market without government intervention, a product's price acts as a signal of its scarcity and an incentive to overcome scarcity. However, minimum prices can lead to food rotting in warehouses while maximum prices can lead to hoarding and black markets. 
Another reason not to impose price controls in an economy is that they can be very unpopular. For example, in Santiago, the capital city of Chile, an increase in the minimum price on the public transport system led to widespread unrest in 2019. In the same year, the government of Iran decided to raise the minimum price of fuel sharply and suddenly, leading to a great deal of protest.
A representative of the World Bank has stated that one reason not to impose price controls in an economy is that they can be hard to remove, expressing the view that 'it is better not to have them in the first place.' 
Source: Adapted from 'In a fix', The Economist, 11 January 2020

",'Governments use stocks to smooth fluctuations in the price of a commodity like cocoa.’Consider whether government action to smooth fluctuations helps the workings of the price mechanism. [6],"d

'Governments use stocks to smooth fluctuations in the price of a commodity like cocoa'.
Consider whether government action to smooth fluctuations helps the workings of the price mechanism.
For an explanation of how government action to smooth price fluctuations may help the workings of the price mechanism (Up to 3 marks) For an explanation of how government action to smooth price fluctuations may not help the workings of the price mechanism (Up to 3 marks)
5 marks maximum Reserve 1 mark for a conclusion 6 marks maximum

6

Government action might help the workings of the price mechanism:

it can help to stabilise a market
stocks can be used to smooth fluctuations in the price of commodity, such as cocoa, avoiding/reducing large price variations
a government could buy stocks when there was an excess supply of a product in the market
a government could sell stocks when there was an excess demand for a product in the market

Government action might not help the workings of the price mechanism:

it could distort the market by not allowing prices to reflect changes in the conditions of demand for, and supply of, a product
the consideration of how such action by a government might not help the workings of the price mechanism can be discussed in relation to the different functions of the price mechanism, i.e. rationing, signalling and the transmission of preferences



"
108,"Governments and markets
Prices, according to economists, are determined by supply and demand. In many times and places, however, prices have been set by governments. For example, in January 2020, the government of Argentina updated its list of maximum prices, setting guidelines for over 300 products. Consumers, via a smartphone app, can report any prices of these products that are above the maximum.
The World Bank has collected data on the extent to which the governments of developing economies have intervened in markets to set prices. Table 1.1 shows the results of this research.
Table 1.1: Government intervention in product markets to influence prices in developing economies



Product market
Percentage of governments intervening in the market to influence price
Examples


Energy
89
Petrol in Iran


Food
76
Bread in BeninRice in Haiti


Building materials
13
Cement in Burkina Faso



Source: Adapted from 'In a fix', The Economist, 11 January 2020
Governments generally impose price controls for one of three reasons:

to redistribute income in an economy: maximum prices help the poor afford the necessities of life, whereas minimum prices support the livelihoods of farmers
to stabilise a market: governments use stocks to smooth fluctuations in the price of a commodity like cocoa, buying when there is excess supply in the market and selling when there is excess demand
to control inflation: maximum prices have been used in many countries

Many economists have been critical of the use of price controls by governments. In a market without government intervention, a product's price acts as a signal of its scarcity and an incentive to overcome scarcity. However, minimum prices can lead to food rotting in warehouses while maximum prices can lead to hoarding and black markets. 
Another reason not to impose price controls in an economy is that they can be very unpopular. For example, in Santiago, the capital city of Chile, an increase in the minimum price on the public transport system led to widespread unrest in 2019. In the same year, the government of Iran decided to raise the minimum price of fuel sharply and suddenly, leading to a great deal of protest.
A representative of the World Bank has stated that one reason not to impose price controls in an economy is that they can be hard to remove, expressing the view that 'it is better not to have them in the first place.' 
Source: Adapted from 'In a fix', The Economist, 11 January 2020

",Discuss whether maximum price controls will always be effective in controlling inflation. [6] ,"e

Discuss whether maximum price controls will always be effective in controlling inflation.
For a discussion of the advantages of using maximum price controls to control inflation (Up to 3 marks) For a discussion of the disadvantages of using maximum price controls to control inflation (Up to 3 marks)
5 marks maximum Reserve 1 mark for a conclusion 6 marks maximum

6

The advantages of establishing a maximum price in a market in the form of a price ceiling:

the price will be lower than what would otherwise be the case if there was no government intervention
this would lead to a lower rate of inflation in an economy
this helps the poor afford the necessities of life
these could include essential foodstuffs, housing rents and transport
specific examples given include the price of foodstuffs, including bread in Benin and rice in Haiti

The disadvantages of establishing a maximum price in a market in the form of a price ceiling:

lower prices could stimulate demandpull inflation
the creation of a shortage as a result of the excess demand created in the market
hoarding
black/illegal markets which can charge relatively high prices
queuing or rationing
if the controls are not effective, it will not control inflation




"
109,"Recent changes in the world oil market
The world price of oil is primarily determined by OPEC (Organization of the Petroleum Exporting Countries), which is a cartel consisting of 15 major oil producing countries. These countries have over 75% of the world’s reserves of oil. Saudi Arabia is effectively the leader of the cartel. It exercises leadership by adjusting the output of the cartel to maintain the price agreed by the cartel’s members. Russia and the US are not members of OPEC, but they engage in collusion with the cartel by accepting the oil price agreed by OPEC.
Between 2010 and 2019 United States (US) oil production increased from 6m barrels per day (mbd) to 12 mbd, equal to the output of Russia and exceeding that of Saudi Arabia. The increase in US production was mainly through a process known as fracking, with low fixed costs and high variable costs. This contrasts with Russia and Saudi Arabia where oil production involves high fixed costs and low variable costs.
In spring 2020, faced with a falling world oil price, Saudi Arabia proposed to cut its oil production. Russia did not agree with the proposal and increased its output by 4%. Saudi Arabia responded by increasing its output by 20%. The result of this disagreement was that the world price of oil fell significantly from US$70 per barrel to under US$30 per barrel. The situation was not helped by a sharp drop in the global demand for oil as many countries shut down large sections of their economies in response to the coronavirus (Covid-19) pandemic.
The joint action of Russia and Saudi Arabia was thought to be an attempt to undermine the US oil industry. This was because oil exports were a major source of income for both countries. Oil was responsible for more than 60% of Russia's exports and provided more than 30% of the country's gross domestic product (GDP). For Saudi Arabia, the importance was even greater. The oil sector accounted for about 70% of export earnings, and 50% of GDP.
The high price of oil in past years had enabled Russia to accumulate a significant budget surplus. The recent fall in the price of oil was thought to double the budget deficit of Saudi Arabia to US$100 billion at a time when the government was seeking to develop the country's industry and reduce unemployment.

",Define what is meant by a cartel. [2],"a
Define what is meant by a cartel.A formal agreement (1) by firms to operate collectively (1) to raise price or limit output (1) to reduce competition/control the market (1 mark)
2

"
110,"Recent changes in the world oil market
The world price of oil is primarily determined by OPEC (Organization of the Petroleum Exporting Countries), which is a cartel consisting of 15 major oil producing countries. These countries have over 75% of the world’s reserves of oil. Saudi Arabia is effectively the leader of the cartel. It exercises leadership by adjusting the output of the cartel to maintain the price agreed by the cartel’s members. Russia and the US are not members of OPEC, but they engage in collusion with the cartel by accepting the oil price agreed by OPEC.
Between 2010 and 2019 United States (US) oil production increased from 6m barrels per day (mbd) to 12 mbd, equal to the output of Russia and exceeding that of Saudi Arabia. The increase in US production was mainly through a process known as fracking, with low fixed costs and high variable costs. This contrasts with Russia and Saudi Arabia where oil production involves high fixed costs and low variable costs.
In spring 2020, faced with a falling world oil price, Saudi Arabia proposed to cut its oil production. Russia did not agree with the proposal and increased its output by 4%. Saudi Arabia responded by increasing its output by 20%. The result of this disagreement was that the world price of oil fell significantly from US$70 per barrel to under US$30 per barrel. The situation was not helped by a sharp drop in the global demand for oil as many countries shut down large sections of their economies in response to the coronavirus (Covid-19) pandemic.
The joint action of Russia and Saudi Arabia was thought to be an attempt to undermine the US oil industry. This was because oil exports were a major source of income for both countries. Oil was responsible for more than 60% of Russia's exports and provided more than 30% of the country's gross domestic product (GDP). For Saudi Arabia, the importance was even greater. The oil sector accounted for about 70% of export earnings, and 50% of GDP.
The high price of oil in past years had enabled Russia to accumulate a significant budget surplus. The recent fall in the price of oil was thought to double the budget deficit of Saudi Arabia to US$100 billion at a time when the government was seeking to develop the country's industry and reduce unemployment.

","'Russia and the US are not members of OPEC, but they engage in collusion with the cartel.'Explain what the term collusion means in the context of an oligopoly. [3]","b
Russia and the US are not members of OPEC, but they engage in collusion with the cartel.’Explain what the term collusion means in the context of an oligopoly.Collusion is an informal arrangement (1 mark).An example of collusion (1) It arises when firms agree to a form of competitive behaviour which benefits the firms.Accept price leadership as tacit collusion. (1 mark)Examples one firm raises it price and all other firms in the industry agree to do the same, a refusal to reduce prices despite raw material costs falling. (1 mark)
3

"
111,"Recent changes in the world oil market
The world price of oil is primarily determined by OPEC (Organization of the Petroleum Exporting Countries), which is a cartel consisting of 15 major oil producing countries. These countries have over 75% of the world’s reserves of oil. Saudi Arabia is effectively the leader of the cartel. It exercises leadership by adjusting the output of the cartel to maintain the price agreed by the cartel’s members. Russia and the US are not members of OPEC, but they engage in collusion with the cartel by accepting the oil price agreed by OPEC.
Between 2010 and 2019 United States (US) oil production increased from 6m barrels per day (mbd) to 12 mbd, equal to the output of Russia and exceeding that of Saudi Arabia. The increase in US production was mainly through a process known as fracking, with low fixed costs and high variable costs. This contrasts with Russia and Saudi Arabia where oil production involves high fixed costs and low variable costs.
In spring 2020, faced with a falling world oil price, Saudi Arabia proposed to cut its oil production. Russia did not agree with the proposal and increased its output by 4%. Saudi Arabia responded by increasing its output by 20%. The result of this disagreement was that the world price of oil fell significantly from US$70 per barrel to under US$30 per barrel. The situation was not helped by a sharp drop in the global demand for oil as many countries shut down large sections of their economies in response to the coronavirus (Covid-19) pandemic.
The joint action of Russia and Saudi Arabia was thought to be an attempt to undermine the US oil industry. This was because oil exports were a major source of income for both countries. Oil was responsible for more than 60% of Russia's exports and provided more than 30% of the country's gross domestic product (GDP). For Saudi Arabia, the importance was even greater. The oil sector accounted for about 70% of export earnings, and 50% of GDP.
The high price of oil in past years had enabled Russia to accumulate a significant budget surplus. The recent fall in the price of oil was thought to double the budget deficit of Saudi Arabia to US$100 billion at a time when the government was seeking to develop the country's industry and reduce unemployment.

",The oil production processes used by Saudi Arabia and the US have different proportions of fixed costs and variable costs.Analyse why the fall in the price of oil may have a more significant effect on the output of oil in the US. [7],"c

The oil production processes used by Saudi Arabia and the US use different proportions of fixed costs and variable costs.
Analyse why the fall in the price of oil may have a more significant effect on the output of oil in the US.
Definition of variable costs (1 mark) and fixed costs. (1mark)Recognition of higher variable costs (VC) in USA and/or lower VC in Saudi Arabia/Russia. (1 mark)
Explanation of the relationship between price and average variable costs:-

If the price remains above AVC but below ATC a US well can still make a contribution to fixed costs, reducing losses. (1 mark)
If price is less than AVC a US well cannot continue in production as losses would be greater than fixed costs. (1 mark)

Conclusion: Some US oil wells may close (1 mark) but without more detailed information on the AVC of US wells no definite estimate of the number can be made. (1 mark)

7

"
112,"Recent changes in the world oil market
The world price of oil is primarily determined by OPEC (Organization of the Petroleum Exporting Countries), which is a cartel consisting of 15 major oil producing countries. These countries have over 75% of the world’s reserves of oil. Saudi Arabia is effectively the leader of the cartel. It exercises leadership by adjusting the output of the cartel to maintain the price agreed by the cartel’s members. Russia and the US are not members of OPEC, but they engage in collusion with the cartel by accepting the oil price agreed by OPEC.
Between 2010 and 2019 United States (US) oil production increased from 6m barrels per day (mbd) to 12 mbd, equal to the output of Russia and exceeding that of Saudi Arabia. The increase in US production was mainly through a process known as fracking, with low fixed costs and high variable costs. This contrasts with Russia and Saudi Arabia where oil production involves high fixed costs and low variable costs.
In spring 2020, faced with a falling world oil price, Saudi Arabia proposed to cut its oil production. Russia did not agree with the proposal and increased its output by 4%. Saudi Arabia responded by increasing its output by 20%. The result of this disagreement was that the world price of oil fell significantly from US$70 per barrel to under US$30 per barrel. The situation was not helped by a sharp drop in the global demand for oil as many countries shut down large sections of their economies in response to the coronavirus (Covid-19) pandemic.
The joint action of Russia and Saudi Arabia was thought to be an attempt to undermine the US oil industry. This was because oil exports were a major source of income for both countries. Oil was responsible for more than 60% of Russia's exports and provided more than 30% of the country's gross domestic product (GDP). For Saudi Arabia, the importance was even greater. The oil sector accounted for about 70% of export earnings, and 50% of GDP.
The high price of oil in past years had enabled Russia to accumulate a significant budget surplus. The recent fall in the price of oil was thought to double the budget deficit of Saudi Arabia to US$100 billion at a time when the government was seeking to develop the country's industry and reduce unemployment.

","Discuss, with the use of AD/AS diagrams, how Russia and Saudi Arabia are likely to be able to respond to the fall in oil prices. [8]","d

Discuss, with the use of AD/AS diagrams, how Russia and Saudi Arabia are likely to be able to respond to the fall in oil prices.
Effect of changes: Reason(s) for fall in AD (1 mark)Diagram to show AD falls in both R and SA
Diagram 2 marks1 mark for correct labels/axes, 1 mark for shift AD to AD1 and its outcome.
Response to problemRecognition of the need for different policies between Russia and S Arabia because of budget surplus/deficit (1 mark)Russia choses expansionary FP (1 mark) because of budget surpluses (1 mark), this restores AD. (1 mark) Up to 3 marksSA because it leads OPEC, can reduces supply of oil (1 mark) which raises the oil price because of inelastic demand (1 mark) and AD will rise. (1 mark) Up to 3 marks
(5 marks max)Diagram may be used in response element of the answer. (max 2 marks for diagram(s)

8


"
113,"Productivity in the G7 countries
The G7 is a group of countries that have some of the world's major advanced economies. Productivity in the G7 countries varies, as shown in Fig. 1.1 below, with United Kingdom (UK) performance as the base index of 100.

Fig. 1.1: Gross domestic product per hour worked, G7 countries, for 2015 and 2016
Productivity in the UK was one of the worst in the G7. Poor management practices and lower levels of skills in the workforce were the main reasons for the UK’s position. In low wage, high employment sectors of the UK economy, the performance compared unfavourably with five of the G7 countries. In retailing, the UK was 40% lower than the performance in the United States (US). In hospitality industries the UK had a 45% lower rate than France.
Tackling poor productivity is about innovation, investment and improving infrastructure as well as labour skills.
The Federal Reserve Bank of the US suggested that innovation is one of the keys to productivity differences among the G7 countries. Innovation can occur using different factor inputs such as IT hardware and software, investment in staff training, research and development (R&D) and marketing. In 2015, the US had the most advanced software and IT services industries in the world accounting for a third of the global IT market. In 2018, the industry accounted for 12% of private sector employment and contributed 7.1% of GNP. Three of the top ten IT companies in the world were based in the US.
In 2014, in the UK, businesses spent US$26 billion on R&D, notably on digital technology and biomedical research projects that are world-renowned. However over the past 25 years R&D in the UK has only averaged between 1% and 1.3% of GNP and falls behind Japan with 3.4%, Germany 2.9%, the US 2.7% and France 2.2%.
There were concerns about the UK government reducing spending but in 2018 it made a commitment to a large investment programme in transport and communications to provide a boost to productivity. At that time one threat to the UK economy was its decision to leave the European Union’s single market. The decision created uncertainties for investors and the balance of foreign direct investment (FDI) showed that there were more investments abroad than there were foreign investments in the UK. This made some UK industries, such as car production, vulnerable. The central bank in the UK has stated that foreign owned car manufacturers in the UK invest heavily in R&D and their presence boosts the productivity of labour. It was thought this may change in the future.
Sources: The Sunday Times 24 June 2018, David Smith (Economic Outlook). 'We don't need a new target but we must raise our game'.The Times 27 June 2018, David Smith. 'Inward Investment so important to Britain is now at risk'.Office for National Statistics, Britain, 2016

",Explain what is meant by productivity. [2],"a
Explain what is meant by productivity.The rate of output per unit of input, (which may be capital, labour or a combination of factors of production) for a given period, usually one hour. Ratio of GDP to hours worked.The efficiency of production–how inputs are used to produce outputs in a given period.
2

"
114,"Productivity in the G7 countries
The G7 is a group of countries that have some of the world's major advanced economies. Productivity in the G7 countries varies, as shown in Fig. 1.1 below, with United Kingdom (UK) performance as the base index of 100.

Fig. 1.1: Gross domestic product per hour worked, G7 countries, for 2015 and 2016
Productivity in the UK was one of the worst in the G7. Poor management practices and lower levels of skills in the workforce were the main reasons for the UK’s position. In low wage, high employment sectors of the UK economy, the performance compared unfavourably with five of the G7 countries. In retailing, the UK was 40% lower than the performance in the United States (US). In hospitality industries the UK had a 45% lower rate than France.
Tackling poor productivity is about innovation, investment and improving infrastructure as well as labour skills.
The Federal Reserve Bank of the US suggested that innovation is one of the keys to productivity differences among the G7 countries. Innovation can occur using different factor inputs such as IT hardware and software, investment in staff training, research and development (R&D) and marketing. In 2015, the US had the most advanced software and IT services industries in the world accounting for a third of the global IT market. In 2018, the industry accounted for 12% of private sector employment and contributed 7.1% of GNP. Three of the top ten IT companies in the world were based in the US.
In 2014, in the UK, businesses spent US$26 billion on R&D, notably on digital technology and biomedical research projects that are world-renowned. However over the past 25 years R&D in the UK has only averaged between 1% and 1.3% of GNP and falls behind Japan with 3.4%, Germany 2.9%, the US 2.7% and France 2.2%.
There were concerns about the UK government reducing spending but in 2018 it made a commitment to a large investment programme in transport and communications to provide a boost to productivity. At that time one threat to the UK economy was its decision to leave the European Union’s single market. The decision created uncertainties for investors and the balance of foreign direct investment (FDI) showed that there were more investments abroad than there were foreign investments in the UK. This made some UK industries, such as car production, vulnerable. The central bank in the UK has stated that foreign owned car manufacturers in the UK invest heavily in R&D and their presence boosts the productivity of labour. It was thought this may change in the future.
Sources: The Sunday Times 24 June 2018, David Smith (Economic Outlook). 'We don't need a new target but we must raise our game'.The Times 27 June 2018, David Smith. 'Inward Investment so important to Britain is now at risk'.Office for National Statistics, Britain, 2016

",The information suggests that innovation and R&D are important in ensuring high productivity. Is this statement consistent with the evidence in Fig. 1.1? [4],"b
The information suggests that innovation and R&D are important in ensuring high productivity. Is this statement consistent with the evidence in Fig. 1.1? g Innovation is one of three strategies given to improve productivity along with investment and infrastructure. (1) The percentage of GNP devoted to R&D is high for most of the countries with the highest productivities: Germany, France and USA. (1)The exception is Japan which has the highest percentage of GNP devoted to innovation (3.4%) but the lowest index of productivity (93) in 2016. (1)Fig. 1 not entirely consistent. (1)
4

"
115,"Productivity in the G7 countries
The G7 is a group of countries that have some of the world's major advanced economies. Productivity in the G7 countries varies, as shown in Fig. 1.1 below, with United Kingdom (UK) performance as the base index of 100.

Fig. 1.1: Gross domestic product per hour worked, G7 countries, for 2015 and 2016
Productivity in the UK was one of the worst in the G7. Poor management practices and lower levels of skills in the workforce were the main reasons for the UK’s position. In low wage, high employment sectors of the UK economy, the performance compared unfavourably with five of the G7 countries. In retailing, the UK was 40% lower than the performance in the United States (US). In hospitality industries the UK had a 45% lower rate than France.
Tackling poor productivity is about innovation, investment and improving infrastructure as well as labour skills.
The Federal Reserve Bank of the US suggested that innovation is one of the keys to productivity differences among the G7 countries. Innovation can occur using different factor inputs such as IT hardware and software, investment in staff training, research and development (R&D) and marketing. In 2015, the US had the most advanced software and IT services industries in the world accounting for a third of the global IT market. In 2018, the industry accounted for 12% of private sector employment and contributed 7.1% of GNP. Three of the top ten IT companies in the world were based in the US.
In 2014, in the UK, businesses spent US$26 billion on R&D, notably on digital technology and biomedical research projects that are world-renowned. However over the past 25 years R&D in the UK has only averaged between 1% and 1.3% of GNP and falls behind Japan with 3.4%, Germany 2.9%, the US 2.7% and France 2.2%.
There were concerns about the UK government reducing spending but in 2018 it made a commitment to a large investment programme in transport and communications to provide a boost to productivity. At that time one threat to the UK economy was its decision to leave the European Union’s single market. The decision created uncertainties for investors and the balance of foreign direct investment (FDI) showed that there were more investments abroad than there were foreign investments in the UK. This made some UK industries, such as car production, vulnerable. The central bank in the UK has stated that foreign owned car manufacturers in the UK invest heavily in R&D and their presence boosts the productivity of labour. It was thought this may change in the future.
Sources: The Sunday Times 24 June 2018, David Smith (Economic Outlook). 'We don't need a new target but we must raise our game'.The Times 27 June 2018, David Smith. 'Inward Investment so important to Britain is now at risk'.Office for National Statistics, Britain, 2016

",Use the information to comment on productivity in the US and indicate which factors contributed to its performance. [6] ,"c
Use the information to comment on productivity in the US and indicate which factors contributed to its performance. US has relatively high productivity in 2015/16, figures from chart. (2)R&D is a strong element in productivity (1): 2.7% of GDP allocated to R&D,(1)3 of the top 10 companies investing in R&D are based in the USA.(1)US dominates the world's hardware and software engineering, accounting for 7% of GNP.(1)
6

"
116,"Productivity in the G7 countries
The G7 is a group of countries that have some of the world's major advanced economies. Productivity in the G7 countries varies, as shown in Fig. 1.1 below, with United Kingdom (UK) performance as the base index of 100.

Fig. 1.1: Gross domestic product per hour worked, G7 countries, for 2015 and 2016
Productivity in the UK was one of the worst in the G7. Poor management practices and lower levels of skills in the workforce were the main reasons for the UK’s position. In low wage, high employment sectors of the UK economy, the performance compared unfavourably with five of the G7 countries. In retailing, the UK was 40% lower than the performance in the United States (US). In hospitality industries the UK had a 45% lower rate than France.
Tackling poor productivity is about innovation, investment and improving infrastructure as well as labour skills.
The Federal Reserve Bank of the US suggested that innovation is one of the keys to productivity differences among the G7 countries. Innovation can occur using different factor inputs such as IT hardware and software, investment in staff training, research and development (R&D) and marketing. In 2015, the US had the most advanced software and IT services industries in the world accounting for a third of the global IT market. In 2018, the industry accounted for 12% of private sector employment and contributed 7.1% of GNP. Three of the top ten IT companies in the world were based in the US.
In 2014, in the UK, businesses spent US$26 billion on R&D, notably on digital technology and biomedical research projects that are world-renowned. However over the past 25 years R&D in the UK has only averaged between 1% and 1.3% of GNP and falls behind Japan with 3.4%, Germany 2.9%, the US 2.7% and France 2.2%.
There were concerns about the UK government reducing spending but in 2018 it made a commitment to a large investment programme in transport and communications to provide a boost to productivity. At that time one threat to the UK economy was its decision to leave the European Union’s single market. The decision created uncertainties for investors and the balance of foreign direct investment (FDI) showed that there were more investments abroad than there were foreign investments in the UK. This made some UK industries, such as car production, vulnerable. The central bank in the UK has stated that foreign owned car manufacturers in the UK invest heavily in R&D and their presence boosts the productivity of labour. It was thought this may change in the future.
Sources: The Sunday Times 24 June 2018, David Smith (Economic Outlook). 'We don't need a new target but we must raise our game'.The Times 27 June 2018, David Smith. 'Inward Investment so important to Britain is now at risk'.Office for National Statistics, Britain, 2016

",Use the information to discuss whether or not it is likely that the UK's productivity within the G7 countries will improve. [8],"d

Use the information to discuss whether or not it is likely that the UK's productivity within the G7 countries will improve.
Seems unlikely to improve in the short-term (1) because:

low levels of investment over a 20 year period (1)
R&D as a % of GNP is only 1.3% 7& well below some other G7 countries (1)
poor management practices and lower skills levels generally (1)
FDI balance–latest figures show foreign investment in UK is declining caused by economic uncertainties, e.g. car industry (1)

But there are some factors which may lead to improvement in the long term (1)

world-renowned R&D in digital technology and biomedical research (1)
increased government investment in transport infrastructure (1)


8


"
117,"The changing market for avocados
The global consumption of avocados has increased in the last few years, particularly in the United States (US) but also in China and parts of Europe. This growth is largely due to the increasing popularity of ‘guacamole’ (smashed avocado) and the health benefits claimed for its regular consumption. The US is the largest importer of avocados with supplies coming mainly from Central and South American producers as shown in Fig. 1.1.
Source: Avacados show growth in volume, www.thepacker.com 
Fig. 1.1: US Avocado imports by country, 2010 to 2018
The supply of avocados is unpredictable. It is estimated that to produce one kilogram of avocado requires 2000 litres of water. Consequently, production is highly susceptible to drought conditions such as those that affected Central American growers in 2018. When this happens, the price of avocados increases as shown in Fig. 1.2.
Source: Mexican Ministry of Economy
Fig. 1.2: Wholesale price of Mexican avocados in the US,January to July 2019 (pesos per 10kg box)
A shortage in supply provides an opportunity for new producers to enter the global market. Kenya, for example, has expanded its productive capacity and signed an agreement to supply the Chinese market. Even some New Zealand farmers switched from dairy to avocado production. 
The global market for avocados is expected to continue to grow over the next few years. Rising prices will continue to increase production. It should be recognised, however, that there are increasing objections to higher production. In Mexico, for example, farmers have cleared forests to cultivate more avocados. This has put a strain on water supplies and raised concerns about the effects of the farmers’ actions on climate change. These concerns have led one market research report to conclude that ‘the price mechanism is not working to allocate resources successfully.’
Source: Global avocado market, Mordor Intelligence, Avocado market trends 2020, Inspira Farms





",Describe the change in the level and source countries of the US's imports of avocados from 2013 to 2018. [2],"a

Describe the change in the level and source countries of the US's imports of avocados from 2013 to 2018.
Various possibilities including

Overall increase in imports
Big increase in imports from Peru
Mexico remains the most important source of imports
Imports from Chile and Dom. Republic more variable

Award 1 mark for any of these points, 2 max.

2


"
118,"The changing market for avocados
The global consumption of avocados has increased in the last few years, particularly in the United States (US) but also in China and parts of Europe. This growth is largely due to the increasing popularity of ‘guacamole’ (smashed avocado) and the health benefits claimed for its regular consumption. The US is the largest importer of avocados with supplies coming mainly from Central and South American producers as shown in Fig. 1.1.
Source: Avacados show growth in volume, www.thepacker.com 
Fig. 1.1: US Avocado imports by country, 2010 to 2018
The supply of avocados is unpredictable. It is estimated that to produce one kilogram of avocado requires 2000 litres of water. Consequently, production is highly susceptible to drought conditions such as those that affected Central American growers in 2018. When this happens, the price of avocados increases as shown in Fig. 1.2.
Source: Mexican Ministry of Economy
Fig. 1.2: Wholesale price of Mexican avocados in the US,January to July 2019 (pesos per 10kg box)
A shortage in supply provides an opportunity for new producers to enter the global market. Kenya, for example, has expanded its productive capacity and signed an agreement to supply the Chinese market. Even some New Zealand farmers switched from dairy to avocado production. 
The global market for avocados is expected to continue to grow over the next few years. Rising prices will continue to increase production. It should be recognised, however, that there are increasing objections to higher production. In Mexico, for example, farmers have cleared forests to cultivate more avocados. This has put a strain on water supplies and raised concerns about the effects of the farmers’ actions on climate change. These concerns have led one market research report to conclude that ‘the price mechanism is not working to allocate resources successfully.’
Source: Global avocado market, Mordor Intelligence, Avocado market trends 2020, Inspira Farms





",Calculate the percentage change in the wholesale price of Mexican avocados between April 2019 and the end of July 2019. [1] ,"b.i

Calculate the percentage change in the wholesale price of Mexican avocados between April 2019 and the end of July 2019.
100% increase approximately (1)

1

Percentage increase is based on an increase from approximately 300 pesos per 10 kg box to 600 pesos per 10 kg box using change from the start of April
Accept answers in the range 95% to 105% However, if data used is from end of April then the % change is c33% i.e. 150/450 × 100%.
Take note of when the data is taken from in April when marking the answer.


"
119,"The changing market for avocados
The global consumption of avocados has increased in the last few years, particularly in the United States (US) but also in China and parts of Europe. This growth is largely due to the increasing popularity of ‘guacamole’ (smashed avocado) and the health benefits claimed for its regular consumption. The US is the largest importer of avocados with supplies coming mainly from Central and South American producers as shown in Fig. 1.1.
Source: Avacados show growth in volume, www.thepacker.com 
Fig. 1.1: US Avocado imports by country, 2010 to 2018
The supply of avocados is unpredictable. It is estimated that to produce one kilogram of avocado requires 2000 litres of water. Consequently, production is highly susceptible to drought conditions such as those that affected Central American growers in 2018. When this happens, the price of avocados increases as shown in Fig. 1.2.
Source: Mexican Ministry of Economy
Fig. 1.2: Wholesale price of Mexican avocados in the US,January to July 2019 (pesos per 10kg box)
A shortage in supply provides an opportunity for new producers to enter the global market. Kenya, for example, has expanded its productive capacity and signed an agreement to supply the Chinese market. Even some New Zealand farmers switched from dairy to avocado production. 
The global market for avocados is expected to continue to grow over the next few years. Rising prices will continue to increase production. It should be recognised, however, that there are increasing objections to higher production. In Mexico, for example, farmers have cleared forests to cultivate more avocados. This has put a strain on water supplies and raised concerns about the effects of the farmers’ actions on climate change. These concerns have led one market research report to conclude that ‘the price mechanism is not working to allocate resources successfully.’
Source: Global avocado market, Mordor Intelligence, Avocado market trends 2020, Inspira Farms





",Explain one possible demand reason and one possible supply reason for this change in price. [4] ,"b.ii

Explain one possible demand reason and one possible supply reason for this change in price.
For recognition of a valid demand reason (1) for a valid explanation as to why price has increased as a result (1)
For recognition of a valid supply reason (1) for a valid explanation as to why price has increased as a result (1)

4

The question implies that an explanation of changes in demand and supply over the period April to July 2019 is required. So, no marks should be awarded for the usual general demand and supply factors.Demand side: new research into health benefits of avocados, buying for a special event e.g., Superbowl, panic buying. These changes will lead to a shift to the right of the demand curve.
Supply side: bad weather in Mexico leads to less supply; increased demand elsewhere reduces supply available to USA leading to a shift to the left of the supply curve


"
