,Question,Mark Scheme
10,"The molecular formula of Z is C4H8O.
The infra-red spectrum of Z is shown.

What could be Z?",D
11,"The synthesis shown may be used for the production of propan-1-ol.

Which row gives the correct reagents for steps 1 and 2?



 
step 1
step 2


A
HCl(aq)
H2 + Ni


B
HCl(aq)
LiAlH4


C
NaOH(aq)
H2 + Ni


D
NaOH(aq)
NaBH4",B
12,Which reaction mechanism for the formation of C2H5CH(OH)(CN) is correct?,D
13,"Which reaction will form a strong organic base?

ethanol and acidified sodium dichromate
ethanol and hot aluminium oxide
ethanol and sodium
ethanol and hydrogen chloride",C
14,"Alcohol X reacts with concentrated sulfuric acid to produce a mixture of products.
Two of the products are structural isomers of each other.
What could be X?

hexan-2-ol
pentan-1-ol
pentan-3-ol
propan-2-ol",A
15,"Sodium methoxide, Na+CH3O–, reacts with 2-chloro-2-methylpropane in a nucleophilic substitution reaction. The nucleophile is the CH3O– ion.
Which row is correct?



 
intermediate ortransition state
product


A
(CH3)3C+
(CH3)3COCH3


B
(CH3)3C+
(CH3)3CCH2OH


C

HOCH2C(CH3)3


D

H3COC(CH3)3",A
16,"A few drops of 2-bromopropane were placed in a test-tube. An equal volume of aqueous silver nitrate was added. A precipitate was formed.
The experiment was repeated with 2-iodopropane.
Which row is correct?



 
colour of precipitate from2-bromopropane + AgNO3(aq)
faster rate of reaction


A
cream
2-bromopropane + AgNO3(aq)


B
yellow
2-bromopropane + AgNO3(aq)


C
cream
2-iodopropane + AgNO3(aq)


D
yellow
2-iodopropane + AgNO3(aq)",C
17,"Methane and bromine react by free radical substitution.
P and Q are involved in the reaction mechanism.
P and Q:

are both involved in propagation steps as reactants
are both involved in termination steps as reactants.

What could be P and Q?

Br and H
Br and CH3
Br and C2H6
CH3 and CH3Br",B
18,"Compound X can be converted into compound Y in a single step.

What could be the identity of X?",A
19,"Hexadeca-10,12-dien-1-ol is produced by silk moths from hexadecanoic acid in a three-step enzymic process.

Which row contains correct descriptions of the three steps?



 
step 1
step 2
step 3


A
elimination
elimination
dehydration


B
elimination
reduction
reduction


C
oxidation
elimination
oxidation


D
oxidation
oxidation
reduction",D
20,"Compound P is treated with an excess of hydrogen gas in the presence of a nickel catalyst. The product Q is fully saturated.

What is the number of chiral carbon atoms in the product Q?

4
5
6
7",B
21,"Ammonia gas, NH3, and hydrogen sulfide gas, H2S, react together to form the salt ammonium sulfide, (NH4)2S. Ammonium sulfide dissolves in water to produce an orange alkaline solution.
(NH4)2S(aq) ⇌ NH3(aq) + NH4SH(aq)
The addition of NaOH(aq) to this solution produces a gas, X.The addition of HCl(aq) to a separate portion of this solution produces a gas, Y.
X and Y could represent different gases or identical gases.
What are the identities of X and Y?



 
X
Y


A
H2S
H2S


B
H2S
NH3


C
NH3
H2S


D
NH3
NH3",C
22,"What is an environmental consequence of the uncontrolled use of nitrate fertilisers?

acid rain
low oxygen levels in streams
ozone depletion
the greenhouse effect",B
23,"Chlorine gas is widely used to treat contaminated water.
When chlorine is added to water, which chemical species present is responsible for killing bacteria?

ClO2–
Cl–
HCl
ClO–",D
24,"Which row gives mixtures that both result in the oxidation of a halide ion?



 
mixture 1
mixture 2


A
AgNO3(aq) and NaCl(aq)
concentrated H2SO4(aq) and HI(aq)


B
Br2(aq) and NaCl(aq)
concentrated H2SO4(aq) and HCl(aq)


C
Cl2(aq) and NaBr(aq)
CH3CHBrCH3(l) + NaOH (ethanolic)


D
Br2(aq) and NaI(aq)
concentrated H2SO4(aq) and NaBr(s)",D
25,"Z is an anhydrous compound of a Group 2 element. When it is heated, Z undergoes thermal decomposition to produce two different gases. Z has relatively low thermal stability compared to other Group 2 compounds containing the same anion as Z.
What is compound Z?

barium carbonate
barium nitrate
magnesium carbonate
magnesium nitrate",D
26,"A farmer requires a solid compound to raise the pH of the soil in a field from 5.5 to above 6.0.
Which compound could the farmer use?

(NH4)2SO4
NH4NO3
Ca(OH)2
Ca(NO3)2",C
27,"L and M are elements in Period 3 of the Periodic Table.



The oxide of L is a solid at room temperature. This oxide has a giant structure.
The chloride of L does not react with water.
Argon is the only element in Period 3 with a lower melting point than M.



Which formula represents a compound of elements L and M?

Al2S3
MgS
NaCl
PCl5",C
28,"A sample of SiCl4 is added to cold water.
Which statement describes the mixture formed at the end of the reaction?

acidic solution with no precipitate
acidic solution with white precipitate
neutral solution with no precipitate
neutral solution with white precipitate",B
29,"Two chemicals, X and Y, react together in solution to give product Z.
The rate of formation of product Z at the start of the reaction was measured in five experiments, 1–5, using various concentrations of X and Y. The results are shown.



experimentnumber
starting concentrationof X / mol dm–3
starting concentrationof Y / mol dm–3
rate of formation of Zat the start /mol dm–3 s–1


1
0.10
0.10
0.0001


2
0.10
0.20
0.0004


3
0.10
0.40
0.0016


4
0.20
0.10
0.0001


5
0.40
0.10
0.0001



Which statement is correct?

The rate of the reaction is directly proportional to the concentration of reagent X.
The rate of the reaction is directly proportional to the concentration of reagent Y.
The rate of the reaction is not affected by the concentration of reagent X.
The rate of the reaction is not affected by the concentration of reagent Y.",C
30,"3.60 moles of hydrogen gas and 2.00 moles of iodine vapour are placed in a reaction vessel which is then sealed and maintained at a constant temperature.
The equation for the reaction is shown.
H2 + I2  ⇌  2HI
At equilibrium, 3.20 moles of hydrogen remain. All reactants and products are gaseous.
What is the value of Kp under these conditions?

0.0313
0.125
0.156
8.00",B
31,"The equation for a redox reaction is shown.
SnCl2(aq) + 2HgCl2(aq) → SnCl4(aq) + Hg2Cl2(s)
Which species is being oxidised in this reaction?

Sn2+
Cl–
Hg+
Hg2+",A
32,"Nitrogen and oxygen can react together to form nitrogen monoxide, NO.
N2 + O2 → 2NO    ΔH = +180 kJ mol–1
What is the bond energy of the bond between the atoms in NO?

630 kJ mol–1
810 kJ mol–1
1260 kJ mol–1
1620 kJ mol–1",A
33,"The reaction pathway diagram for the catalysed reaction and the uncatalysed reaction between N2 and H2 is shown.
N2(g) + 3H2(g)  ⇌  2NH3(g)
Which letter represents the activation energy for the first step in the decomposition of NH3 in the presence of a catalyst?",D
34,"Sodium chloride, water and air represent three states of matter – solid, liquid and gas.
Which row is correct?



 
sodium chloride
water
air


A
particles heldin rigid structure
can easily becompressed
can easily becompressed


B
particles stationary
particles move
cannot easily becompressed


C
particles stationary
particles stationary
particles move


D
resistant tochange of shape
cannot easily becompressed
can easily becompressed",D
35,"Flask Q contains 5 dm3 of helium at 12 kPa pressure. Flask R contains 10 dm3 of neon at 6 kPa pressure.
If the flasks are connected at constant temperature, what is the final pressure?

8 kPa
9 kPa
10 kPa
11 kPa",A
36,"The structural formula of alliin is shown.

What are the approximate bond angles x, y and z in a molecule of alliin?



 
x
y
z


A
90°
90°
109°


B
120°
109°
90°


C
120°
120°
109°


D
180°
109°
109°",C
37,"The structures represent three compounds, each with four carbon atoms per molecule.

Which row is correct?



 
lowestboiling point
→
highestboiling point


A
X
Y
Z


B
Y
X
Z


C
Z
X
Y


D
Z
Y
X",B
38,"Which equation represents the first ionisation energy of iodine?

I2(g) + e–  →  I–(g)
I(g) + e–  →  I–(g)
I2(g)  →  I+(g) + e–
I(g)  →  I+(g) + e–",D
39,"Which statement about the Avogadro constant is correct?

It is the mass of one mole of any element.
It is the mass of 6.02 × 1023 atoms of any element.
It is the number of atoms in one mole of neon.
It is the number of atoms in 12 g of any element.",C
40,"Propanoic acid is reacted with an excess of lithium aluminium hydride. The organic product of this reaction is reacted with ethanoic acid in the presence of concentrated sulfuric acid, forming product X.
What are major commercial uses of X?
1. fuel2. solvent3. flavouring

1, 2 and 3 are correct
1 and 2 only are correct
2 and 3 only are correct
1 only is correct",C
41,"Which reactions have a coloured organic product?
1. ethanal + 2,4-dinitrophenylhydrazine reagent2. ethanol + acidified potassium dichromate(VI)3. ethene + cold dilute acidified potassium manganate(VII)

1, 2 and 3 are correct
1 and 2 only are correct
2 and 3 only are correct
1 only is correct",D
42,"Which pairs of compounds may be distinguished by testing with alkaline aqueous iodine?

butanal and butanone
pentan-2-one and pentan-3-ol
propanone and propan-2-ol


1, 2 and 3 are correct
1 and 2 only are correct
2 and 3 only are correct
1 only is correct",B
43,"Which statements are correct?

Magnesium carbonate decomposes at a lower temperature than calcium carbonate.
Calcium hydroxide is more soluble in water than magnesium hydroxide.
Calcium is a stronger reducing agent than magnesium.


1, 2 and 3 are correct
1 and 2 only are correct
2 and 3 only are correct
1 only is correct",A
44,"Which molecules contain at least one bond angle of 120°?



C2H4
PF5
NCl3




1, 2 and 3 are correct
1 and 2 only are correct
2 and 3 only are correct
1 only is correct",B
45,"A gaseous hydrocarbon has a density of 2.42 g dm–3 under room conditions.
What could be the skeletal formula of this hydrocarbon?


1, 2 and 3 are correct
1 and 2 only are correct
2 and 3 only are correct
1 only is correct",D
46,"The diagram shows an incomplete energy profile diagram for a reaction.

Which reactions could this diagram refer to?



CaCO3(s) → CaO(s) + CO2(g)
H2(g) → 2H(g)
Cl–(aq) → Cl–(g) + aq




1, 2 and 3 are correct
1 and 2 only are correct
2 and 3 only are correct
1 only is correct",A
47,"Ethanol combines with ethanoic acid to form ethyl ethanoate according to the following reaction.
C2H5OH(I) + CH3CO2H(I) ⇌ CH3CO2C2H5(I) + H2O(I)   ∆Ho = –6 kJmol–1
9.2 g ethanol, 12 g ethanoic acid and 8.8 g ethyl ethanoate are mixed and allowed to stand at 298K, until equilibrium is reached.(Mr: C2H5OH, 46; CH3CO2H, 60; CH3CO2C2H5, 88)
The resulting equilibrium mixture is found to contain 4.8 g ethanoic acid.
The experiment is repeated at 323K.
Which statements are correct?

There are 0.22 moles of ethyl ethanoate in the mixture at equilibrium at 298K.
The equilibrium mixture at 323K will contain more than 4.8 g of ethanoic acid.
If a small amount of water is added at the start of either experiment the value of Kc would not be affected.


1, 2 and 3 are correct
1 and 2 only are correct
2 and 3 only are correct
1 only is correct",A
48,"Butanoic acid is prepared from 1-bromopropane.
This synthesis requires a sequence of two reactions.
Which compound is prepared in the first stage of the synthesis?

1-aminopropane
propan-1-ol
butanal
butanenitrile",D
49,"The table describes four reactions of propene.
Which row is correct?



 
reagent used
name of main organic product


A
aqueous bromine
2-bromopropane


B
cold acidified aqueous potassium manganate(VII)
propane-1,3-diol


C
hydrogen chloride
2-chloropropane


D
steam
propan-1-ol",C
50,"Which statement is correct for the reaction of carbonyl compounds with HCN?

The reaction is catalysed by concentrated H2SO4.
Pentan-2-one and HCN react to give a chiral product.
The reaction is a condensation reaction.
The reaction is nucleophilic substitution.",B
51,"How many moles of hydrogen, H2, are evolved when an excess of sodium metal is added to one mole of citric acid?


0.5
1.5
2
4",C
52,"Compound X has the empirical formula C2H4O. Its infra-red spectrum is shown.

What could be the skeletal formula of compound X?",A
53,"When an organic compound is oxidised, any oxygen atom gained by the organic molecule is considered to be from a water molecule also producing 2H+ + 2e–. Any hydrogen atom lost may be considered to be lost as H+ + e–.
These changes can be represented by the following two equations.
H2O → [O] + 2H+ + 2e–
[H] → H+ + e–
Compound X is oxidised by heating under reflux with hot, acidified potassium dichromate(VI) for one hour. The half-equation for the reduction reaction is shown.
Cr2O72– + 14H+ + 6e– → 2Cr3+ + 7H2O
Under these conditions, one mole of potassium dichromate(VI) oxidises three moles of X.
What could X be?

propanal
propan-1-ol
propan-1,2-diol
propan-1,3-diol",A
54,"The compound cetyl palmitate, C15H31CO2C16H33, is a waxy solid.
Cetyl palmitate is heated under reflux with an excess of aqueous sodium hydroxide.
Which products will be formed?

C15H31ONa and C16H33CO2Na
C15H31CO2Na and C16H33ONa
C15H31OH and C16H33CO2Na
C15H31CO2Na and C16H33OH",D
55,"Limonene is a hydrocarbon found in the rind of citrus fruits.

What is the molecular formula of limonene?

C10H12
C10H14
C10H16
C10H18",C
56,Which compound could show both cis-trans isomerism and optical isomerism?,B
57,"Which compound would produce two different carboxylic acids when treated with hot, concentrated, acidified manganate(VII) ions?",B
58,"An aqueous solution was prepared containing a mixture of 1.0mol of AgNO3 and 1.0mol of FeSO4 in 1.00dm3 of water. When equilibrium was established, there was 0.44mol of Ag+(aq) in the mixture.
Ag+(aq) + Fe2+(aq)  ⇌  Ag(s) + Fe3+(aq)
What is the numerical value of Kc?

0.62
1.40
1.62
2.89",D
59,"An organic compound, T, does not fizz when aqueous sodium carbonate is added to it.
Compound T contains 27.6% by mass of oxygen.
What could be the identity of T?
1. propanal2. ethyl butanoate3. 3-methylpentanoic acid

1, 2 and 3 are correct
1 and 2 are correct
2 and 3 are correct
1 only is correct",B
60,"Two carbonyl compounds have the molecular formula C3H6O.
Which reagents give different observations with these two compounds?
1. acidified aqueous potassium manganate(VII)2. Fehling's reagent3. alkaline aqueous iodine

1, 2 and 3 are correct
1 and 2 are correct
2 and 3 are correct
1 only is correct",A
61,"An excess of P reacts with Q, in the presence of concentrated sulfuric acid, to form R.
Effervescence is seen when a piece of sodium is added to pure R.
The structure of P is shown.

Which organic compounds could be compound Q
1. 
2. 
3. 

1, 2 and 3 are correct
1 and 2 are correct
2 and 3 are correct
1 only is correct",B
62,"In which reactions is the major product formed by a nucleophilic substitution reaction?
1. bromoethane + potassium cyanide in ethanol2. bromoethane + ammonia in ethanol under pressure3. bromoethane + hot concentrated sodium hydroxide in ethanol

1, 2 and 3 are correct
1 and 2 are correct
2 and 3 are correct
1 only is correct",B
63,"Nitrogen dioxide gas is produced when petrol is burned in car engines.
Which acids are made in the atmosphere as a result of this release of nitrogen dioxide into the air?

H2SO3
H2SO4
HNO3


1, 2 and 3 are correct
1 and 2 are correct
2 and 3 are correct
1 only is correct",C
64,"A sample containing x mol of Al2Cl6 is dissolved in water to give solution W.
In order to precipitate all of the aluminium as its hydroxide, y mol of sodium hydroxide are required.
More of the alkali is added to re-dissolve the precipitate, giving solution Z.
Which statements are correct?


the initial pH of solution W is below 7


y = 3x


Z contains x mol of aluminium



1, 2 and 3 are correct
1and 2 are correct
2 and 3 are correct
1 only is correct",D
65,"Which species can accept a lone pair of electrons to form a coordinate (dative covalent) bond?

BF3
H+
CH3+


1, 2 and 3 are correct
1and 2 are correct
2 and 3 are correct
1 only is correct",A
66,"Many gases do not obey the general gas equation at high pressures.
Why is this?


At higher pressures the molecules have more energy.


At higher pressures the volume of the molecules is a larger proportion of the total volume.


At higher pressures the molecules experience greater intermolecular forces.



1, 2 and 3 are correct
1 and 2 are correct
2 and 3 are correct
1 only is correct",C
67,"An energy cycle for the combustion of methane is shown.

Which expressions can be used to calculate the energy change, ∆Hoz?


1, 2 and 3 are correct
1 and 2 only are correct
2 and 3 only are correct
1 only is correct",B
68,"A sample of 17.15 mol HI(g) is in dynamic equilibrium with 2.27 mol H2(g) and 2.84 mol I2(g) in a volume of 1 m3 at 764K and 141 kPa.
H2(g) + I2(g) ⇌ 2HI(g)
Two equilibrium constants, Kc and Kp, can be calculated for this mixture.
Which statements about the equilibrium constants for this mixture are correct?


neither Kc nor Kp has any units


Kc = 45.6


Kc > Kp



1, 2 and 3 are correct
1 and 2 only are correct
2 and 3 only are correct
1 only is correct",B
69,"When reactant X is treated with a suitable reagent, products Y and Z are formed. Infrared spectra of X, Y and Z are shown.

Which row could be correct?



 
X
Y
Z


A
2,3-dimethylpent-2-ene
propanone
butanone


B
2-methylpent-2-ene
propanone
propanoic acid


C
pent-2-ene
ethanoic acid
propanoic acid


D
propyl propanoate
propan-1-ol
propanoic acid",B
70,"Which reaction gives butanoic acid as one of its products?


acid hydrolysis of butyl ethanoate


alkaline hydrolysis of butyl ethanoate


acid hydrolysis of ethyl butanoate


alkaline hydrolysis of ethyl butanoate",C
71,"Ethanedioic acid has the formula HO2CCO2H.
What is the formula of aluminium ethanedioate?


AlC2O4


Al(C2O4)3


Al2C2O4


Al2(C2O4)3",D
72,"In this question you can assume that 1H and 3H have the same chemical properties.
A sample of ethanal contains only one isotope of hydrogen, 1H.
It is reduced to compound Z, C2H6O, in a nucleophilic addition reaction using NaBH4. All the hydrogen atoms in the NaBH4 are the 3H isotope.

Compound Z is then oxidised back to ethanal and water.
C2H6O + [O] → CH3CHO + H2O
Which statement about the final mixture of products is correct?


Both ethanal and water contain 3H atoms.


Ethanal is the only product containing 3H atoms.


Neither ethanal nor water contain 3H atoms.


Water is the only product containing 3H atoms.",A
73,"The diagram shows the formation of compound Y from compound X in a chemical reaction. R1 and R2 are alkyl groups.

Which row about this reaction is correct?



 
mechanism
compound X


A
electrophilic addition
aldehyde


B
electrophilic addition
ketone


C
nucleophilic addition
ketone


D
nucleophilic addition
aldehyde",C
74,"Dibromopentanes can undergo 'double elimination' reactions to produce hydrocarbons.
2NaOH + C5H10Br2 → C5H8 + 2NaBr + 2H2O
Which isomer produces only one hydrocarbon product?


1,5-dibromopentane


1,4-dibromopentane


2,3-dibromopentane


2,4-dibromopentane",A
75,"Which compound produces a ketone when refluxed with an acidified solution of potassium dichromate(VI)?


pentan-1-ol


2-methylbutan-1-ol


2-methylbutan-2-ol


3-methylbutan-2-ol",D
76,"Part of the structure of strobilurin is shown. R and R' are inert groups.

Strobilurin is warmed with aqueous sulfuric acid producing compound X. Compound X is then treated with hydrogen in the presence of a nickel catalyst producing compound Y.
What could be the structure of compound Y?",A
77,"The diagram shows the structure of a bromo compound that may be formed by the reaction of bromine with a hydrocarbon.

Which row is correct?



 
type of reaction
mechanism


A
addition
electrophilic


B
addition
nucleophilic


C
substitution
nucleophilic


D
substitution
free-radical",D
78,"How many tertiary alcohols have the molecular formula C6H14O?

1
2
3
4",C
79,"The structures of citric acid and isocitric acid are shown.

How many chiral centres does each acid possess?



 
citric acid
isocitric acid


A
1
1


B
1
2


C
0
1


D
0
2",D
80,"Methylamine, CH3NH2, has similar chemical properties to ammonia, NH3. Methylamine reacts with hydrogen chloride to form a white crystalline salt, methylammonium chloride.
CH3NH2 + HCl → CH3NH3+Cl–
A sample of methylammonium chloride is heated with aqueous sodium hydroxide.
What are the products?


ammonia, sodium chloride and water


ammonia, sodium hydrogencarbonate and sodium chloride


methylamine, hydrogen chloride and water


methylamine, sodium chloride and water",D
81,"NO, NO2, CO and unburnt hydrocarbons are present in the exhaust gases of internal combustion engines.
When catalytic converters are used to remove these compounds from the exhaust gases, redox reactions occur.
What happens to each compound in the catalytic converter?



 
NO
NO2
CO
unburnt hydrocarbons


A
oxidised
oxidised
reduced
oxidised


B
oxidised
oxidised
oxidised
oxidised


C
reduced
reduced
oxidised
oxidised


D
reduced
reduced
reduced
reduced",C
82,"When concentrated sulfuric acid reacts with sodium iodide the products include sulfur, iodine,hydrogen sulfide and sulfur dioxide.
Which statement is correct?


Hydrogen sulfide is the product of a reduction reaction.


Iodide ions are stronger oxidising agents than sulfate ions.


Sulfur atoms from the sulfuric acid are both oxidised and reduced.


Sulfur atoms from the sulfuric acid are oxidised to make sulfur dioxide.",A
83,"Chlorine gas is reacted with aqueous sodium hydroxide. The oxidation number of chlorine changes from 0 to –1 and also from 0 to +1.
Under which conditions does this reaction occur and what is the colour of the solid silver salt with chlorine in the oxidation state –1?



 
reaction conditions
colour of silver salt


A
cold, dilute alkali
white


B
cold, dilute alkali
yellow


C
hot, concentrated alkali
white


D
hot, concentrated alkali
yellow",A
84,"An anhydrous white salt, Z, is heated strongly for 30 minutes. A mixture of gases is given off. The solid remaining in the test-tube is then dissolved in a small volume of dilute hydrochloric acid. The addition of a few drops of dilute sulfuric acid to the test-tube causes a white precipitate to form.
Which substance could be Z?


barium carbonate


barium nitrate


magnesium carbonate


magnesium nitrate",B
85,"Which row correctly describes one property of barium and one property of barium oxide?



 
observation when barium metal is added to water
pH of solution obtained when a spatula measure of BaO is added to 100 cm3 of water


A
a few gas bubbles form on the metal surface
8


B
a few gas bubbles form on the metal surface
13


C
rapid effervescence is seen
8


D
rapid effervescence is seen
13",D
86,"Which row is correct?



 
statement
reason


A
The first ionisation energy of phosphorus is greater than that of magnesium.
electron is lost from a 3p orbital in both cases


B
The melting point of phosphorus is greater than that of magnesium.
phosphorus has more valence electrons than magnesium


C
The atomic radius of phosphorus is smaller than that of magnesium.
phosphorus has greater nuclear charge than magnesium


D
The electrical conductivity of phosphorus is smaller than that of magnesium.
bonding changes from ionic in magnesium to covalent in phosphorus",C
87,"Which observations are made when a sample of silicon chloride, SiCl4, is added to a beaker of water?


No visible change is observed.


Steamy fumes and a precipitate are both observed.


The appearance of a precipitate is the only observation.


The appearance of steamy fumes is the only observation.",B
88,"The Boltzmann distribution curve for a gaseous mixture of ethene and hydrogen is shown. Nickel is an effective catalyst for the reaction that occurs.

How does the diagram appear if the same reaction mixture is at a higher temperature?


The curve is unchanged.


The values of both Ea (catalysed) and Ea decrease.


The values of both Ea (catalysed) and Ea increase.


The values of both Ea (catalysed) and Ea remain the same.",D
89,"A large excess of marble chips is reacted with 25 cm3 of 1.0 mol dm–3 hydrochloric acid at 40 °C.
How is the result different when the reaction is repeated with 60 cm3 of 0.5 mol dm–3 hydrochloric acid at 40 °C?


The reaction is faster and more of the products are made when the reaction is complete.


The reaction is faster and less of the products are made when the reaction is complete.


The reaction is slower and more of the products are made when the reaction is complete.


The reaction is slower and less of the products are made when the reaction is complete.",C
90,"In which reaction is water behaving as a Brønsted–Lowry base?


H2O + Na → NaOH + ½H2


H2O + H3PO4 → H3O+ + H2PO4–


H2O + CaO → Ca(OH)2


NH3 + [Cu(H2O)6] 2+ →  NH4+ +[Cu(H2O)5(OH)]+",B
91,"VO2Cl reacts with NaI under acidic conditions.
2VO2Cl + 2H2SO4 + 2NaI → VOCl2 + VOSO4 + I2 + Na2SO4 + 2H2O
The oxidation state of Cl is –1 in VO2Cl and in VOCl2.
Which row about this reaction is correct?



 
vanadium
iodine


A
is oxidised
is oxidised


B
is oxidised
is reduced


C
is reduced
is oxidised


D
is reduced
is reduced",C
92,"An experiment was performed to determine the enthalpy of combustion of ethanol.

The data collected are shown.
mass of water = Wgmass of ethanol burned = Xgtemperature rise = Y°Cmolar mass of ethanol = Zgmol–1specific heat capacity of water = 4.2 JK–1 g–1
Which expression can be used to calculate the enthalpy of combustion of ethanol in kJmol–1?",A
93,"A solution contains 0.25 g of sulfur dioxide in 1.00 dm3 of water.
Which volume of sulfur dioxide, measured at 50 °C and a pressure of 1 × 105Pa, must be added to 1.00 dm3 of water to produce this solution?


0.0162 cm3


0.105 cm3


16.2 cm3

105 cm3",D
94,"In which substance are the only intermolecular forces temporary dipole-induced dipole attractions?


hydrogen chloride


methanol


octane


water",C
95,"Originally, chemists thought indium oxide had the formula InO. By experiment they showed that 4.8 g of indium combined with 1.0 g of oxygen to produce 5.8 g of indium oxide. The Ar of oxygen was known to be 16.
Which value for the Ar of indium is calculated using these data?

38
77
115
154",B
96,"Substance Q is a hydrocarbon. When 1.00 g of Q is completely burned, 3.22 g of carbon dioxide is produced.
What could be the identity of Q?


cyclohexene


cyclopentane


ethene


pentane",A
97,"Where in the Periodic Table is the element that has an outer electron shell arrangement of 4s24p3?



 
Group
Period


A
13
3


B
13
4


C
15
3


D
15
4",D
98,"The table shows the numbers of protons, neutrons and electrons in four different particles, W, X,Y, and Z.



 
number ofprotons
number ofneutrons
number ofelectrons


W
32
40
32


X
32
40
34


Y
32
42
32


Z
34
40
34



Which pair represents the atoms of two isotopes of the same element?


W and Y


W and Z


X and Y


X and Z",A
99,"Which reactions produce pentanoic acid?

CH3CH2CH2CH(OH)CH3 + H+ / MnO4–(aq)
CH3OCO(CH2)3CH3 + HCl(aq)
CH3(CH2)3CN + H2SO4(aq)


1, 2 and 3 are correct
1 and 2 only are correct
2 and 3 only are correct
1 only is correct",C
100,"Which substances have molecular formula C4H8O?






1, 2 and 3 are correct
1 and 2 only are correct
2 and 3 only are correct
1 only is correct",A
101,"Which free radicals can be generated during a free-radical substitution reaction between chlorine and ethane?

CH3•
CH2ClCH2•
CH3CCl2•


1, 2 and 3 are correct
1 and 2 only are correct
2 and 3 only are correct
1 only is correct",C
102,"Which reagents could be used, under suitable conditions, to oxidise CH3CH2CH2OH to CH3CH2CHO?

acidified potassium manganate(VII)
acidified potassium dichromate(VI)
Tollens’ reagent


1, 2 and 3 are correct
1 and 2 only are correct
2 and 3 only are correct
1 only is correct",B
103,"Which statements are correct?

The empirical formula of silicon(IV) oxide is SiO2.
The molecular formula of phosphorus(V) oxide is P2O5.
Silicon(IV) oxide and phosphorus(V) oxide are both simple molecular compounds.


1, 2 and 3 are correct
1 and 2 only are correct
2 and 3 only are correct
1 only is correct",D
104,"Group 2 elements and their compounds show trends in their physical and chemical properties. Barium is above radium in Group 2 of the Periodic Table.
Which statements are likely to be correct?

Barium hydroxide is less soluble than radium hydroxide.
Barium reacts less vigorously with water than radium does.
Barium sulfate is more soluble than radium sulfate. 


1, 2 and 3 are correct
1 and 2 only are correct
2 and 3 only are correct
1 only is correct",A
