,question,explanation,answer,index
694,"Uranium-234 is radioactive and emits ??-particles at what appears to be a constant rate. A sample of Uranium-234 of mass 2.65 ??g is found to have an activity of 604 Bq.Calculate, for this sample of Uranium-234,  the number of nuclei,  number = ? ?? ?? ?? ?? ?? ?? ?? ?? ?? ? [2]",  Idea of moles: [(2.65 ?? 10-6)/234]???? 6.02???? 1023 = 6.82???? 1015  ,either number = 6.02 ?? 1023 ?? ({2.65 ?? 10? ?6}/234) or number = (2.65 ?? 10? ?9)/(234 ?? 1.66 ?? 10? ?27) ?? ?? ?? ?? ?? ?? ?? ?? ?? = 6.82 ?? 1015 C1 A1 [2],"(200, 'a.i')"
695,"Uranium-234 is radioactive and emits ??-particles at what appears to be a constant rate. A sample of Uranium-234 of mass 2.65 ??g is found to have an activity of 604 Bq.Calculate, for this sample of Uranium-234,  the decay constant,  decay constant = ? ?? ?? ?? ?? ?? ?? ?? ?? ?? ? s? ?1 [2]",  A =????N  ??? 604 =????(6.82 ?? 1015)  ??????? = 8.86???? 10-14 s-1  ,A = ?? N 604 = ?? ?? 6.82 ?? 1015 ?? = 8.86 ?? 10? ?14 s? ?1 C1  A1 [2],"(200, 'a.ii')"
696,"Uranium-234 is radioactive and emits ??-particles at what appears to be a constant rate. A sample of Uranium-234 of mass 2.65 ??g is found to have an activity of 604 Bq.Calculate, for this sample of Uranium-234,  the half-life in years.  half-life = ? ?? ?? ?? ?? ?? ?? ?? ?? ?? ? years [2]",  ??t1/2 = ln2  ??? t1/2 = ln2/??  = ln2/(8.86 ?? 10-14)  = 7.82???? 1012 s  ?? (3600???? 24???? 365) = 2.48???? 105 years  Half-life = 2.48???? 105 years,T?? = ln2/ ?? ?? ?? ??= 7.82 ?? 1012 s ?? ?? ??= 2.48 ?? 105??years  C1 A1 [2],"(200, 'a.iii')"
697,Uranium-234 is radioactive and emits ??-particles at what appears to be a constant rate. A sample of Uranium-234 of mass 2.65 ??g is found to have an activity of 604 Bq.Suggest why the activity of the Uranium-234 appears to be constant. ......................................................................... [1],It has a very long half-life (compared with the time of counting)  ,half-life is (very) long (compared with time of counting) B1 [1],"(200, 'b')"
698,Uranium-234 is radioactive and emits ??-particles at what appears to be a constant rate. A sample of Uranium-234 of mass 2.65 ??g is found to have an activity of 604 Bq.Suggest why a measurement of the mass and the activity of a radioactive isotope is not an accurate means of determining its half-life if the half-life is approximately one hour. ......................................................................... [1],There would be appreciable decay of the source during the taking of measurements.,there would be appreciable decay of source during the taking of measurements B1 [1],"(200, 'c')"
699,The controlled reaction between deuterium (21H) and tritium (31H) has involved ongoing research for many years. The reaction may be summarised as  (DIAGRAM)  where Q = 17.7 MeV. Binding energies per nucleon are shown in Fig. 8.1.  (DIAGRAM)Suggest why binding energy per nucleon for the neutron is not quoted. ....................................................................... [1],A neutron is a single particle.,neutron is a single nucleon / particle B1 [1],"(201, 'a')"
700,"The controlled reaction between deuterium (21H) and tritium (31H) has involved ongoing research for many years. The reaction may be summarised as  (DIAGRAM)  where Q = 17.7 MeV. Binding energies per nucleon are shown in Fig. 8.1.  (DIAGRAM)Calculate the mass defect, in kg, of a helium 42He nucleus.  mass defect = .......................................... kg [3]",Binding energy = 4???? 7.07???? 1.6???? 10-13 = 4.52???? 10-12 J  Binding energy =?????mc2  ????????m = (4.52 ?? 10-12)/(3 ?? 108)2 = 5.0276???? 10-29 kg,binding energy = 4 ?? 7.07 ?? 1.6 ?? 10-13 ?? ?? ?? ?? ?? ?? ?? ?? ?? ?? ?? ?? ??= 4.52 ?? 10-12 J binding energy = c2 ???m 4.52 ?? 10-12 = (3.0 ?? 108)2 ?? ???m ???m = 5.03 ?? 10-29 kg C1  C1  A1 [3],"(201, 'b')"
701,The controlled reaction between deuterium (21H) and tritium (31H) has involved ongoing research for many years. The reaction may be summarised as  (DIAGRAM)  where Q = 17.7 MeV. Binding energies per nucleon are shown in Fig. 8.1.  (DIAGRAM)  State the name of the type of reaction illustrated by this nuclear equation. .................................................................. [1],  Fusion,fusion ? ?? ?(do not allow fussion) B1 [1],"(201, 'c.i')"
702,"The controlled reaction between deuterium (21H) and tritium (31H) has involved ongoing research for many years. The reaction may be summarised as  (DIAGRAM)  where Q = 17.7 MeV. Binding energies per nucleon are shown in Fig. 8.1.  (DIAGRAM)  Determine the binding energy per nucleon, in MeV, of tritium (31H).  binding energy per nucleon = ....................... MeV [3]","  L.H.S. = 2(1.12) + 3x, x = binding energy per nucleon of 31H  R.H.S = 4(7.07) - 17.7  So 2(1.12) + 3x = 4(7.07) - 17.7  x = 2.78 MeV","(2 ?? 1.12) + 3x = 28.28 ? ?... ? ?17.7 x = 2.78 MeV per nucleon (use of +17.7 gives x = 14.6 MeV, allow 1 mark only) C1 C1 A1   [3] ?? ?? [Total: 8]","(201, 'c.ii')"
703,"Radon-222 is a radioactive element having a half-life of 3.82 days. Radon-222, when found in atmospheric air, can present a health hazard. Safety measures??should be taken when the activity of radon-222 exceeds 200 Bq per cubic metre of air.  Define radioactive decay constant. .................................................................. [2]",  It is the probability per unit time that a nucleus will undergo decay  ,probability of decay (of a nucleus) per unit time M1 A1 [2],"(203, 'a.i')"
704,"Radon-222 is a radioactive element having a half-life of 3.82 days. Radon-222, when found in atmospheric air, can present a health hazard. Safety measures??should be taken when the activity of radon-222 exceeds 200 Bq per cubic metre of air.  Show that the decay constant of radon-222 is 2.1??10? ?6 s? ?1. [1]  ",  t1/2 = ln2/??  ??????? = ln2/t1/2 = ln2/(3.82 ?? 24 ?? 3600) = 2.1???? 10-6 s-1,??t?? = ln 2 ?? = ln 2/(3.82 ?? 24 ?? 3600) = 2.1 ?? 10? ?6 s? ?1  M1 A0 [1],"(203, 'a.ii')"
705,"Radon-222 is a radioactive element having a half-life of 3.82 days. Radon-222, when found in atmospheric air, can present a health hazard. Safety measures??should be taken when the activity of radon-222 exceeds 200 Bq per cubic metre of air.A volume of 1.0 m3 of atmospheric air contains 2.5??1025 molecules. Calculate the ratio ??  (DIAGRAM)  for the minimum activity of radon-222 at which safety measures should be taken.  ratio = ................................................. [3]","Use A =????N  A = 200,???? = 2.1???? 10-6  ??? N = 200/(2.1 ?? 10-6) = 9.5???? 107  ??? Ratio = (2.5 ?? 1025)/(9.5 ?? 107) = 2.63???? 1017",A = ??N 200 = 2.1 ?? 10? ?6 ?? N N = 9.5 ?? 107 ratio = (2.5 ?? 1025)/(9.5 ?? 107) ?? ??= 2.6 ?? 1017 C1 C1   A1 [3],"(203, 'b')"
706,State what is meant by a nuclear fusion reaction.,Nuclear fusion is the joining together of two light nuclei to form a heavier nucleus.,two (light) nuclei combine to form a more massive nucleus M1 A1 [2],"(204, 'a')"
707,"One nuclear reaction that takes place in the core of the Sun is represented by the equation ?? ?? ?? (DIAGRAM)  Data for the nuclei are given in Fig. 8.1.  (DIAGRAM)    Calculate the energy, in joules, released in this reaction.  energy = .............................................. J [3]",  L.H.S = 2.01410 + 1.00728 = 3.02138 u  R.H.S = 3.01605  ????????m = (3.02138 - 3.01605)???? 1.66???? 10-27 kg  E =?????mc2  = 5.33???? 10-3???? 1.66???? 10-27???? (3 ?? 108)2  = 7.96???? 10-13 J  ,???m = (2.01410u + 1.00728u) ? ? 3.01605u ?? ?? ?? = 5.33 ?? 10? ?3 u energy = c2 ?? ???m ?? ?? = 5.33 ?? 10? ?3 ?? 1.66 ?? 10? ?27 ?? (3.00 ?? 108)2 ?? ?? = 8.0 ?? 10? ?13 J  C1 C1  A1 [3],"(204, 'b.i')"
708,One nuclear reaction that takes place in the core of the Sun is represented by the equation ?? ?? ?? (DIAGRAM)  Data for the nuclei are given in Fig. 8.1.  (DIAGRAM)    The temperature in the core of the Sun is approximately 1.6 ?? 107 K.  Suggest why such a high temperature is necessary for this reaction to take place. .......................................................................[2],"  With high temperature, the kinetic energy of the proton and deuterium would be very high. With this high kinetic energy. The nuclei can overcome electrostatic repulsion and fusion can take place.",speed/kinetic energy of proton and deuterium must be very large so that the nuclei can overcome electrostatic repulsion B1 B1 [2],"(204, 'b.ii')"
709,One possible nuclear fission reaction is  (DIAGRAM)  Barium-141 (14156 Ba) and krypton-92 (9236 Kr) are both ??-emitters. Barium-141 has a half-life of 18 minutes and a decay constant of 6.4 ?? 10? ?4 s? ?1. The half-life of krypton-92 is 3.0 seconds.State what is meant by decay constant. ......................................................................[2],It is the probability per unit time that a nucleus will undergo decay.,"probability of decay (of a nucleus)/fraction of number of nuclei in sample that decay per unit time (allow ?? =(dN / dt) / N with symbols explained ? ? (M1), (A1) )?? M1 A1 [2]","(205, 'a')"
710,One possible nuclear fission reaction is  (DIAGRAM)  Barium-141 (14156 Ba) and krypton-92 (9236 Kr) are both ??-emitters. Barium-141 has a half-life of 18 minutes and a decay constant of 6.4 ?? 10? ?4 s? ?1. The half-life of krypton-92 is 3.0 seconds.A mass of 1.2 g of uranium-235 undergoes this nuclear reaction in a very short time (a few nanoseconds).  Calculate the number of barium-141 nuclei that are present immediately after the reaction has been completed.  number = ................................................ [2],  No. of barium-141 = (1.2/235)???? 6.02???? 1023 = 3.07???? 1021  Idea: make sure you know about moles.  ,number = (1.2 ?? 6.02 ?? 1023) / 235 ?? ?? ?? ?? ?? ?? ?? = 3.1 ?? 1021 C1 A1 [2],"(205, 'b.i')"
711,"One possible nuclear fission reaction is  (DIAGRAM)  Barium-141 (14156 Ba) and krypton-92 (9236 Kr) are both ??-emitters. Barium-141 has a half-life of 18 minutes and a decay constant of 6.4 ?? 10? ?4 s? ?1. The half-life of krypton-92 is 3.0 seconds.A mass of 1.2 g of uranium-235 undergoes this nuclear reaction in a very short time (a few nanoseconds).  Using your answer in (b)(i), calculate the total activity of the barium-141 and the krypton-92 a time of 1.0 hours after the fission reaction has taken place.  activity = ........................................... Bq [4]","  Use N = N0e-??t  N = (3.1 ?? 1021)e-(6.4 ?? 10-4)3600 = 3.1???? 1020  For Barium ??? Negligible activity from the krypton (half?? life = 3 s)  Activity, A =????N  = 6.4???? 10-4???? 3.1???? 1020  = 2???? 1017 Bq","N = N0 e? ???t negligible activity from the krypton for barium, N = (3.1 ?? 1021) exp(? ?6.4 ?? 10? ?4 ?? 3600)?? ?? ?? ?? ?? ?? ?? ?? ?? ?? ?? ?? = 3.1 ?? 1020 activity = ??N ?? ??= 6.4 ?? 10? ?4 ?? 3.1 ?? 1020 ?? ??= 2.0 ?? 1017 Bq  B1  C1  C1 A1 [4]","(205, 'b.ii')"
712,"The power for a space probe is to be supplied by the energy released when plutonium-236 decays by the emission of ??-particles. The ??-particles, each of energy 5.75 MeV, are captured and their energy is converted into electrical energy with an efficiency of 24%.Calculate  the energy, in joules, equal to 5.75 MeV,  energy = .......................................... J [1]",  1 MeV = 1.6???? 10-13 J  ??? 5.75????? 5.75???? 1.6???? 10-13 = 9.2???? 10-13 J,energy = 5.75 ?? 1.6 ?? 10? ?13 ?? ?? ?? ?? ?? ?? = 9.2 ?? 10? ?13 J A1 [1],"(206, 'a.i')"
713,"The power for a space probe is to be supplied by the energy released when plutonium-236 decays by the emission of ??-particles. The ??-particles, each of energy 5.75 MeV, are captured and their energy is converted into electrical energy with an efficiency of 24%.Calculate  the number of ??-particles per second required to generate 1.9 kW of electrical power.  number per second = ..................................... s? ?1 [2]",  ?? = 24%????????? = 0.24  Generate (in 1 second) 1900 W (Note: 1 W = 1J/s)  ??? 1900/(0.24 ?? 9.2 ?? 10-13) = 8.6???? 1015 per second,number = 1900/(9.2 ?? 10? ?13 ?? 0.24) ?? ?? ?? ?? ?? ?? ??= 8.6 ?? 1015 s? ?1 C1 A1 [2],"(206, 'a.ii')"
714,"The power for a space probe is to be supplied by the energy released when plutonium-236 decays by the emission of ??-particles. The ??-particles, each of energy 5.75 MeV, are captured and their energy is converted into electrical energy with an efficiency of 24%.Each plutonium-236 nucleus, on disintegration, produces one ??-particle.  Plutonium-236 has a half-life of 2.8 years.   Calculate the decay constant, in s? ?1, of plutonium-236.  decay constant = ................................... s? ?1 [2]",  We know???? = ln2/t1/2  = (ln2)/(2.8 ?? 365 ?? 24 ?? 3600)  = 7.85???? 10-9 s-1,decay constant = 0.693/(2.8 ?? 365 ?? 24 ?? 3600) ?? ?? = 7.85 ?? 10? ?9 s? ?1 (allow 7.8 or 7.9 to 2 s.f.) C1 A1 [2],"(206, 'b.i')"
715,"The power for a space probe is to be supplied by the energy released when plutonium-236 decays by the emission of ??-particles. The ??-particles, each of energy 5.75 MeV, are captured and their energy is converted into electrical energy with an efficiency of 24%.Each plutonium-236 nucleus, on disintegration, produces one ??-particle.  Plutonium-236 has a half-life of 2.8 years.   Use your answers in (a)(ii) and (b)(i) to determine the mass of plutonium-236 required for the generation of 1.9 kW of electrical power.  mass = .......................................... g [4]",  We know A =????N  ??? N = A/??  = (8.6 ?? 1015)/(7.85 ?? 10-9)  = 1.096???? 1024  ??? Mass = (1.096 ?? 1024 ?? 236)/(6.02 ?? 1023) = 429.7 g,A = ??N 8.6 ?? 1015 = 7.85 ?? 10? ?9 ?? N N = 1.096 ?? 1024 mass = (1.096 ?? 1024 ?? 236)/(6.02 ?? 1023) ?? ?? ?? ?? ??= 430g  C1 C1 M1 A1 [4],"(206, 'b.ii')"
716,"The power for a space probe is to be supplied by the energy released when plutonium-236 decays by the emission of ??-particles. The ??-particles, each of energy 5.75 MeV, are captured and their energy is converted into electrical energy with an efficiency of 24%.The minimum electrical power required for the space probe is 0.84 kW.  Calculate the time, in years, for which the sample of plutonium-236 in (b)(ii) will provide sufficient power.  time = ........................................... years [2]",idea: N = N0e-??t   (DIAGRAM)   (1.04???? 108)/(24 ?? 365 ?? 3600) = 3.297 years  Time = 3.3 years,0.84 = 1.9 exp(? ?7.85 ?? 10? ?9 t) t = 1.04 ?? 108 s ?? = 3.3 years C1  A1 [2],"(206, 'c')"
717,"By reference to the photoelectric effect, state what is meant by the threshold frequency. ....................................................................... [2]",The threshold frequency of a metal surface is the lowest frequency of electromagnetic radiation that gives rise to the emission of electrons from the surface.,minimum frequency for electron to be emitted (from surface) of electromagnetic radiation / light / photons M1 A1 [2],"(208, 'a')"
718,"The surface of a zinc plate has a work function of 5.8??10? ?19 J. In a particular laboratory experiment, ultraviolet light of wavelength 120 nm is incident on the zinc plate. A photoelectric current I is detected. In order to view the apparatus more clearly, a second lamp emitting light of wavelength 450 nm is switched on. No change is made to the ultraviolet lamp.  Using appropriate calculations, state and explain the effect on the photoelectric current of switching on this second lamp. .......................................................................... [4]","f0 = (5.8 ?? 10-19)/(6.63 ?? 10-34) = 8.7???? 1014 Hz (Using ?? = hf0)  Compare with 2nd light of 450 nm, use c = f??,  f = c/?? = (3 ?? 108)/(450 ?? 10-9) = 6.7???? 1014 Hz  This is less than 8.7???? 1014 Hz (the threshold frequency)  ??? therefore there is no effect on the photoelectric current.",E = hc / ???? or?? E = hf?? ??and ??c = f?? either?? threshold wavelength = (6.63 ?? 10? ?34 ?? 3.0 ?? 108) / (5.8 ?? 10? ?19) ?? = 340 nm or?? energy of 340 nm photon = 4.4 ?? 10? ?19 J or?? threshold frequency = 8.7 ?? 1014 Hz or?? 450 nm ??? 6.7 ?? 1014 Hz appropriate comment comparing wavelengths / energies / frequencies so no effect on photo-electric current C1     A1 B1 B1 [4],"(208, 'b')"
719,"A photon of wavelength 6.50??10???12 m is incident on an isolated stationary electron, as illustrated in Fig. 8.1.  (DIAGRAM)  The photon is deflected elastically by the electron of mass me. The wavelength of the deflected photon is 6.84??10???12 m.  Calculate, for the incident photon,  its momentum,     momentum = ........................................... N s [2]  ",  ?? = h/P ??? P = h/?? = (6.63 ?? 10-34)/(6.5 ?? 10-12) = 1.02???? 10-22 Ns  ,p = h / ?? ?? ??= (6.63 ?? 10? ?34)/(6.50 ?? 10? ?12) ?? ??= 1.02 ?? 10? ?22Ns C1 A1 [2],"(214, 'a.i')"
720,"A photon of wavelength 6.50??10???12 m is incident on an isolated stationary electron, as illustrated in Fig. 8.1.  (DIAGRAM)  The photon is deflected elastically by the electron of mass me. The wavelength of the deflected photon is 6.84??10???12 m.  Calculate, for the incident photon,  its energy.     energy = ...................................................... J [2]  ",  E = hf = hc/?? ?? ??= (6.63 ?? 10-34 ?? 3 ?? 108)/(6.5 ?? 10-12) ?? ??= 3.06???? 10-14 J  ,E = hc / ?? or E = pc ?? ??= (6.63 ?? 10? ?34 ?? 3.00 ?? 108)/(6.50 ?? 10? ?12) ?? ??= 3.06 ?? 10? ?14 J C1 A1 [2],"(214, 'a.ii')"
721,"A photon of wavelength 6.50??10???12 m is incident on an isolated stationary electron, as illustrated in Fig. 8.1.  (DIAGRAM)  The photon is deflected elastically by the electron of mass me. The wavelength of the deflected photon is 6.84??10???12 m.  The angle ?? through which the photon is deflected is given by the expression  (DIAGRAM)  where ???? is the change in wavelength of the photon, h is the Planck constant and c is the speed of light in free space.   Calculate the angle ??.     ?? = ...................................................... ?? [2]  ",  ????? = 6.84???? 10-12 - 6.50???? 10-12 = 3.4???? 10-13 1 - cos?? =???????mec/h ??? cos?? = 1 - (?????mec/h) = 1 - [(3.4 ?? 10-13 ?? 9.11 ?? 10-31 ?? 3 ?? 108)/(6.63 ?? 10-34)] = 0.8598 ??????? = 30.7??  ,0.34 ?? 10? ?12 = (6.63 ?? 10? ?34)/(9.11 ?? 10? ?31 ?? 3.0 ?? 108) ?? (1 ? ? cos ??) ?? = 30.7?? C1 A1 [2],"(214, 'b.i')"
722,"A photon of wavelength 6.50??10???12 m is incident on an isolated stationary electron, as illustrated in Fig. 8.1.  (DIAGRAM)  The photon is deflected elastically by the electron of mass me. The wavelength of the deflected photon is 6.84??10???12 m.  The angle ?? through which the photon is deflected is given by the expression  (DIAGRAM)  where ???? is the change in wavelength of the photon, h is the Planck constant and c is the speed of light in free space.   Use energy considerations to suggest why ???? must always be positive.  ........................................................................................................................................... ........................................................................................................................................... ........................................................................................................................................... ...................................................................................................................................... [3]",  ? ? The deflected electron has energy ? ? This energy is derived from the incident photon ? ? The deflected photon has less energy (and since E = hc/??) and longer wavelength ?????????? is always positive,"deflected electron has energy this energy is derived from the incident photon deflected photon has less energy, longer wavelength (so ????? always positive)?? M1 A1 B1 [3]","(214, 'b.ii')"
723,An alternating supply of frequency 50 Hz and having an output of 6.0 V r.m.s. is to be rectified so as to provide direct current for a resistor R. The circuit of Fig. 6.1 is used.  (DIAGRAM)  The diode is ideal. The Y-plates of a cathode-ray oscilloscope (c.r.o.) are connected between points A and B.  Calculate the maximum potential difference across the diode during one cycle.  potential difference = ? ?? ?? ?? ?? ?? ?? ? V [2],  VP/???2 = Vr.m.s.  ??? VP = Vr.m.s.?????????2  = 6?????????2  = 8.48 V,peak voltage = 6???2 peak voltage = 8.48 V C1 A1 [2],"(215, 'a.i')"
