,Question,Mark Scheme,Explanation
10,State what is meant by the frequency of a progressive wave. ................................................................................................................................................... ................................................................................................................................................... ...............................................................................................................................................[2] ,the number of oscillations per unit time  M1   of the source/of a point on the wave/of a particle (in the medium) A1 [2] or     the number of wavelengths/wavefronts per unit time (M1)   passing a (fixed) point  (A1)  ,"The frequency of a progressive wave is the number of oscillations per unit time **of a particle in the medium** (or at a point on the wave) as the wave propagates.  
Alternatively, it can be described as the number of **wavelengths passing a fixed point** per unit time.  

[2]"
11,A cathode-ray oscilloscope (c.r.o.) is used to determine the frequency of the sound emitted by a loudspeaker. The trace produced on the screen of the c.r.o. is shown in Fig. 4.1.  (DIAGRAM)  The time-base setting of the c.r.o. is 250 μs cm–1. Show that the frequency of the sound wave is 1600 Hz. [2]       ,T or period = 2.5 × 250 (µs) (= 625 µs) M1   frequency = 1 /(6.25 × 10–4) or 1 /(2.5 × 250 × 10–6) = 1600Hz A1 [2],"To determine the frequency:  
1. **Measure the period (T):**  
   The trace shows one complete wave occupying 2.5 cm horizontally.  
   \( T = 2.5 \, \text{cm} \times 250 \, \mu\text{s cm}^{-1} = 625 \, \mu\text{s} = 6.25 \times 10^{-4} \, \text{s} \).  

2. **Calculate frequency (\( f \)):**  
   \( f = \frac{1}{T} = \frac{1}{6.25 \times 10^{-4}} = 1600 \, \text{Hz} \).  

Frequency of the sound wave = **1600 Hz**.  

[2]"
12,"The loudspeaker in (b) emits the sound in all directions. A person attaches the loudspeaker to a string and then swings the loudspeaker at a constant speed in a horizontal circle above his head. An observer, standing a large distance away from the loudspeaker, hears sound of maximum frequency 1640 Hz. The speed of sound in air is 330 m s–1.  Determine the speed of the loudspeaker.       speed = ................................................ m s–1 [2]",for maximum frequency: fo = fsv /(v – vs) 1640 = (1600 × 330) / (330 – vs) C1   vs = 8(.0)m s–1 (8.049 ms–1) A1 [2],"To determine the speed of the loudspeaker, we use the Doppler effect formula for maximum frequency when the source moves towards the observer:  
\( f_o = \frac{f_s v}{v - v_s} \).  
Substituting \( f_o = 1640 \, \text{Hz} \), \( f_s = 1600 \, \text{Hz} \), and \( v = 330 \, \text{m/s} \):  
\( 1640 = \frac{1600 \times 330}{330 - v_s} \).  
Rearranging:  
\( 330 - v_s = \frac{1600 \times 330}{1640} \approx 321.95 \).  
Thus, \( v_s = 330 - 321.95 = 8.05 \, \text{m/s} \).  
Rounding gives **speed = 8.0 m/s**.  

[2]"
13,"The loudspeaker in (b) emits the sound in all directions. A person attaches the loudspeaker to a string and then swings the loudspeaker at a constant speed in a horizontal circle above his head. An observer, standing a large distance away from the loudspeaker, hears sound of maximum frequency 1640 Hz. The speed of sound in air is 330 m s–1.  Describe and explain, qualitatively, the variation in the frequency of the sound heard by the observer. ........................................................................................................................................... ........................................................................................................................................... ........................................................................................................................................... ........................................................................................................................................... .......................................................................................................................................[2]",loudspeaker moving towards observer causes rise in/higher frequency B1   loudspeaker moving away from observer causes fall in/lower frequency B1 [2] or     repeated rise and fall/higher and then lower frequency (M1)   caused by loudspeaker moving towards and away from observer (A1)  ,"The frequency heard by the observer varies periodically. When the loudspeaker moves **towards** the observer, the observed frequency **increases** due to the Doppler effect (compression of waves). When it moves **away**, the observed frequency **decreases** (stretching of waves). As the loudspeaker rotates continuously, the frequency alternates between higher and lower values, creating a repeated rise and fall in pitch.  

[2]"
14,State one difference between a hadron and a lepton. ................................................................................................................................................... ...............................................................................................................................................[1],hadron not a fundamental particle/lepton is fundamental particle or hadron made of quarks/lepton not made of quarks or strong force/interaction acts on hadrons/does not act on leptons B1 [1],"Hadrons are composed of quarks, whereas leptons are fundamental particles not made of quarks.  
[1]"
15,  State the quark composition of a proton and of a neutron. proton: ............................................................................................................................... neutron: ............................................................................................................................. [2],"proton: up, up, down / uud B1   neutron: up, down, down / udd B1 [2]","proton: up, up, down (uud)  
neutron: up, down, down (udd)  

[2]"
16,  Use your answer in (i) to determine the quark composition of an α-particle.      quark composition: ...................................................[1],"composition: 2(uud) + 2(udd)                       = 6 up, 6 down / 6u, 6d B1 [1]","An α-particle is a helium-4 nucleus, composed of 2 protons and 2 neutrons.  
- Each proton has quark composition **uud** (2 up, 1 down).  
- Each neutron has quark composition **udd** (1 up, 2 down).  
- For 2 protons: 2 × (uud) = **4u + 2d**.  
- For 2 neutrons: 2 × (udd) = **2u + 4d**.  
Total quark composition: **(6u + 6d)**.  

Answer: 6 up quarks and 6 down quarks, written as **6u, 6d** or **2(uud) + 2(udd)**."
17,"The results of the α-particle scattering experiment provide evidence for the structure of the atom. result 1: The vast majority of α-particles pass straight through the metal foil or are deviated by small angles. result 2: A very small minority of α-particles are scattered through angles greater than 90°. State what may be inferred from  result 1, ........................................................................................................................................... .......................................................................................................................................[1]",most of the atom is empty space or the nucleus (volume) is (very) small compared to the atom B1 [1],"From result 1, it can be inferred that **most of the atom is empty space** (or the nucleus occupies a very small volume compared to the atom). The majority of α-particles pass through undeflected because they do not encounter the dense, positively charged nucleus, implying that the atom’s volume is largely empty. 

[1]"
18,The results of the α-particle scattering experiment provide evidence for the structure of the atom. result 1: The vast majority of α-particles pass straight through the metal foil or are deviated by small angles. result 2: A very small minority of α-particles are scattered through angles greater than 90°. State what may be inferred from  result 2. ........................................................................................................................................... ........................................................................................................................................... ........................................................................................................................................... .......................................................................................................................................[2],nucleus is (positively) charged B1   the mass is concentrated in (very small) nucleus/small region/small volume/small core or the majority of mass in (very small) nucleus/small region/small volume/small core B1 [2],"From result 2:  
The large-angle scattering indicates the presence of a **small, dense nucleus** with a **positive charge**.  
The α-particles, being positively charged, are repelled strongly only when approaching a highly concentrated positive charge (the nucleus).  
This also shows that nearly all the atom’s **mass** is concentrated in this tiny nucleus, as only a massive, dense core could cause such significant deflections.  

[2]"
19,State what is meant by the frequency of a progressive wave. ................................................................................................................................................... ................................................................................................................................................... ...............................................................................................................................................[2],the number of oscillations per unit time  M1   of the source/of a point on the wave/of a particle (in the medium) A1 [2] or     the number of wavelengths/wavefronts per unit time (M1)   passing a (fixed) point  (A1)  ,"The frequency of a progressive wave is the number of complete oscillations per unit time **of a particle** in the medium through which the wave travels.  
Alternatively, it can be defined as the number of wavelengths passing a fixed point **per unit time**.  

[2]"
20,A cathode-ray oscilloscope (c.r.o.) is used to determine the frequency of the sound emitted by a loudspeaker. The trace produced on the screen of the c.r.o. is shown in Fig. 4.1.  (DIAGRAM)  The time-base setting of the c.r.o. is 250 μs cm-1.   Show that the frequency of the sound wave is 1600 Hz. [2]       ,T or period = 2.5 × 250 (µs) (= 625 µs) M1   frequency = 1 /(6.25 × 10–4) or 1 /(2.5 × 250 × 10–6) = 1600Hz A1 [2],"To determine the frequency:  
1. **Measure the period (T):**  
   From the trace, one complete wave occupies 2.5 cm horizontally.  
   Time-base = 250 µs cm⁻¹ → T = 2.5 cm × 250 µs cm⁻¹ = **625 µs** (6.25 × 10⁻⁴ s).  

2. **Calculate frequency (f):**  
   \( f = \frac{1}{T} = \frac{1}{6.25 \times 10^{-4}} = 1600 \, \text{Hz} \).  

Thus, the frequency is **1600 Hz**.  

[2]"
21,"The loudspeaker in (b) emits the sound in all directions. A person attaches the loudspeaker to a string and then swings the loudspeaker at a constant speed in a horizontal circle above his head. An observer, standing a large distance away from the loudspeaker, hears sound of maximum frequency 1640 Hz. The speed of sound in air is 330 m s–1.   Determine the speed of the loudspeaker.      speed = ................................................ m s–1 [2]",for maximum frequency: fo = fsv /(v – vs) 1640 = (1600 × 330) / (330 – vs) C1   vs = 8(.0)m s–1 (8.049 ms–1) A1 [2],"The maximum observed frequency occurs when the loudspeaker moves directly towards the observer. Using the Doppler effect formula for a moving source:  
\( f_o = \frac{f_s v}{v - v_s} \).  
Substituting \( f_o = 1640 \, \text{Hz} \), \( f_s = 1600 \, \text{Hz} \), and \( v = 330 \, \text{m/s} \):  
\( 1640 = \frac{1600 \times 330}{330 - v_s} \).  
Rearranging:  
\( 330 - v_s = \frac{1600 \times 330}{1640} = 322 \).  
Thus, \( v_s = 330 - 322 = 8.0 \, \text{m/s} \).  

Speed = **8.0** m s⁻¹  

[2]"
22,"The loudspeaker in (b) emits the sound in all directions. A person attaches the loudspeaker to a string and then swings the loudspeaker at a constant speed in a horizontal circle above his head. An observer, standing a large distance away from the loudspeaker, hears sound of maximum frequency 1640 Hz. The speed of sound in air is 330 m s–1.   Describe and explain, qualitatively, the variation in the frequency of the sound heard by the observer. ........................................................................................................................................... ........................................................................................................................................... ........................................................................................................................................... ........................................................................................................................................... .......................................................................................................................................[2]",loudspeaker moving towards observer causes rise in/higher frequency B1   loudspeaker moving away from observer causes fall in/lower frequency B1 [2] or     repeated rise and fall/higher and then lower frequency (M1)   caused by loudspeaker moving towards and away from observer (A1)  ,"The observer hears the frequency repeatedly rise and fall. When the loudspeaker moves towards the observer, the sound waves are compressed, increasing the frequency (maximum when directly approaching). As it moves away, the waves are stretched, decreasing the frequency (minimum when receding). This cycle repeats with each revolution, creating a continuous variation between higher and lower frequencies.  

[2]"
23,Define the coulomb. ...............................................................................................................................................[1],(coulomb is) ampere second B1 1,"The coulomb is defined as the quantity of electric charge transported by a constant current of one ampere in one second.  

[1]"
24,A resistor X is connected to a cell as shown in Fig. 6.1.  (DIAGRAM)  The resistor is a wire of cross-sectional area A and length l. The current in the wire is I. Show that the average drift speed v of the charge carriers in X is given by the equation  (DIAGRAM)  where e is the charge on a charge carrier and n is the number of charge carriers per unit volume in X.  [3]         ,(total) charge or Q = nAle M1     I = Q/t and l /t = v M1     I = nAle/t = nAve therefore v = I /nAe  A1 3,"To derive the average drift speed \( v \), start by considering the total charge in the wire. The number of charge carriers per unit volume is \( n \), so the total charge \( Q \) in the wire is \( Q = nAle \) (since volume \( = A \times l \), and each carrier has charge \( e \)). 

Current \( I \) is defined as \( I = \frac{Q}{t} \). The time \( t \) for charge carriers to travel the length \( l \) of the wire at drift speed \( v \) is \( t = \frac{l}{v} \). Substituting \( Q = nAle \) and \( t = \frac{l}{v} \) into \( I = \frac{Q}{t} \):

\[
I = \frac{nAle}{\frac{l}{v}} = nAve
\]

Rearranging for \( v \):

\[
v = \frac{I}{nAe}
\]

This shows the drift speed \( v \) in terms of \( I \), \( n \), \( A \), and \( e \). 

[3]"
25,"A 12V battery with negligible internal resistance is connected to two resistors Y and Z, as shown in Fig. 6.2.  (DIAGRAM)  The resistors are made from wires of the same material. The wire of Y has a diameter d and length l. The wire of Z has a diameter 2d and length 2l.   Determine the ratio  (DIAGRAM)        ratio = .......................................................... [3]",ratio = (I/nAYe)/(I/nAZe) C1     = AZ/AY or 4A/A or πd2/(πd2/4) C1     = 4 A1 3,"The resistors are in series, so the current \( I \) is the same through both. Drift velocity \( v = \frac{I}{nAe} \).  
Ratio \( \frac{v_Y}{v_Z} = \frac{I/(nA_Y e)}{I/(nA_Z e)} = \frac{A_Z}{A_Y} \).  

For Y: diameter \( d \), area \( A_Y = \pi \left(\frac{d}{2}\right)^2 = \frac{\pi d^2}{4} \).  
For Z: diameter \( 2d \), area \( A_Z = \pi d^2 \).  

Thus, \( \frac{A_Z}{A_Y} = \frac{\pi d^2}{\pi d^2/4} = 4 \).  
Ratio \( = 4 \).  

[3]"
26,"A 12V battery with negligible internal resistance is connected to two resistors Y and Z, as shown in Fig. 6.2.  (DIAGRAM)  The resistors are made from wires of the same material. The wire of Y has a diameter d and length l. The wire of Z has a diameter 2d and length 2l.   Show that  (DIAGRAM)       ........................................[2]",R = ρl/A or R = 4ρl/πd2 B1     RY = ρl/A and RZ = ρ(2l)/4A         so RY/RZ = 2       or RY = 4ρl/πd2 and RZ = 4ρ(2l)/π4d2 or 2ρl/πd2  so RY/RZ = 2 A1 2,"To find the ratio \( \frac{R_Y}{R_Z} \), use the resistance formula \( R = \frac{\rho l}{A} \).  

For **Y**:  
Diameter = \( d \), so cross-sectional area \( A_Y = \frac{\pi d^2}{4} \).  
Thus, \( R_Y = \frac{\rho l}{\pi d^2/4} = \frac{4\rho l}{\pi d^2} \).  

For **Z**:  
Diameter = \( 2d \), so area \( A_Z = \frac{\pi (2d)^2}{4} = \pi d^2 \).  
Length = \( 2l \), so \( R_Z = \frac{\rho \cdot 2l}{\pi d^2} \).  

Ratio:  
\( \frac{R_Y}{R_Z} = \frac{4\rho l / \pi d^2}{2\rho l / \pi d^2} = 2 \).  

Hence, \( \frac{R_Y}{R_Z} = 2 \).  

[2]"
27,"A 12V battery with negligible internal resistance is connected to two resistors Y and Z, as shown in Fig. 6.2.  (DIAGRAM)  The resistors are made from wires of the same material. The wire of Y has a diameter d and length l. The wire of Z has a diameter 2d and length 2l.   Determine the potential difference across Y. potential difference = ....................................................... V [2]",V = 12RY/(RY + RZ) or I = 12/(RY + RZ) and V = IRY C1     V = 12 × ⅔ = 8(.0)V A1 2,"Resistors Y and Z are in series. First, calculate their resistances using \( R = \frac{\rho L}{A} \). For Y:  
\( R_Y = \frac{\rho l}{\pi (d/2)^2} = \frac{4\rho l}{\pi d^2} \).  
For Z:  
\( R_Z = \frac{\rho (2l)}{\pi (2d/2)^2} = \frac{2\rho l}{\pi d^2} \).  
Thus, \( R_Y = 2R_Z \).  

Total resistance \( R_{\text{total}} = R_Y + R_Z = 3R_Z \).  
Using voltage division:  
\( V_Y = \frac{R_Y}{R_{\text{total}}} \times 12 = \frac{2R_Z}{3R_Z} \times 12 = 8 \, \text{V} \).  

**Potential difference = 8 V**  
[2]"
28,"A 12V battery with negligible internal resistance is connected to two resistors Y and Z, as shown in Fig. 6.2.  (DIAGRAM)  The resistors are made from wires of the same material. The wire of Y has a diameter d and length l. The wire of Z has a diameter 2d and length 2l.   Determine the ratio  (DIAGRAM)      ratio = .......................................................... [1]",ratio = I2RY/I2RZ or (VY2/RY)/(VZ2/RZ) or (VYI)/(VZI) = 2 A1 1,"The resistors are in series since the power ratio is calculated using \( I^2R \), implying the same current through both.  

Resistance \( R = \frac{\rho L}{A} \). For Y: \( R_Y = \frac{\rho l}{\pi (d/2)^2} = \frac{4\rho l}{\pi d^2} \).  
For Z: \( R_Z = \frac{\rho \cdot 2l}{\pi (2d/2)^2} = \frac{2\rho l}{\pi d^2} \).  
Thus, \( \frac{R_Y}{R_Z} = 2 \).  

Power ratio \( \frac{P_Y}{P_Z} = \frac{I^2R_Y}{I^2R_Z} = \frac{R_Y}{R_Z} = 2 \).  

**Ratio = 2**  
[1]"
29,A neutron decays by emitting a β− particle.  Complete the equation below for this decay.  (DIAGRAM) , B1  B1,"The decay equation for a neutron emitting a β⁻ particle is:  
n → p + β⁻ + ν̄_e  

(Here, the neutron (n) decays into a proton (p), a beta-minus particle (β⁻ or electron), and an electron antineutrino (ν̄_e), conserving charge and lepton number.)"
30,A neutron decays by emitting a β− particle.  State the name of the particle represented by the symbol ν. .............................................................................................................................................. [1],an (electron) antineutrino B1,"The particle represented by the symbol ν in β⁻ decay is the **(electron) antineutrino**.  

[1]"
31,A neutron decays by emitting a β− particle.  State the name of the class (group) of particles that includes β− and ν. .............................................................................................................................................. [1],lepton(s)  B1,"The class of particles that includes β− and ν is **leptons**.  

[1]"
32,"A neutron decays by emitting a β− particle.  State  the quark structure of the neutron, ................................................................................................................................... [1]","down, down, up/ ddu B1","The quark structure of the neutron is **down, down, up** (ddu).  

[1]"
33,A neutron decays by emitting a β− particle.  State  the change to the quark structure when the neutron decays. ................................................................................................................................... [1] ,a down/ d (quark) changes to an up/u (quark) or ddu → uud B1,"When a neutron (composed of two down quarks and one up quark, ddu) undergoes β⁻ decay, one of the down quarks (d) changes into an up quark (u). The quark structure becomes uud (proton), with the emission of a β⁻ particle (electron) and an antineutrino.  
**Answer:** A down (d) quark changes to an up (u) quark.  
(Or equivalently: ddu → uud.)"
34,"The speed v of a transverse wave on a uniform string is given by the expression  (DIAGRAM)  where T is the tension in the string, l is its length and m is its mass. An experiment is performed to determine the speed v of the wave. The measurements are shown in Fig. 1.1.  (DIAGRAM)   State an appropriate instrument to measure the length l. .............................................................................................................................................. [1] ",metre rule/ tape measure  B1,"metre rule  
[1]"
35,"The speed v of a transverse wave on a uniform string is given by the expression  (DIAGRAM)  where T is the tension in the string, l is its length and m is its mass. An experiment is performed to determine the speed v of the wave. The measurements are shown in Fig. 1.1.  (DIAGRAM)     Use the data in Fig. 1.1 to calculate the speed v.  v = .................................................  m s−1 [2]",v = [(1.8 × 126 × 10–2) / 5.1 × 10–3]1/2 C1    = 21.1(ms–1) A1 ,"v = √[(T × l) / m]  
Substituting the given values:  
T = 1.8 N, l = 126 cm = 1.26 m, m = 5.1 g = 5.1 × 10⁻³ kg  
v = √[(1.8 × 1.26) / 0.0051] = √(2.268 / 0.0051) = √444.7 ≈ 21.1 m s⁻¹  

[2]"
36,"The speed v of a transverse wave on a uniform string is given by the expression  (DIAGRAM)  where T is the tension in the string, l is its length and m is its mass. An experiment is performed to determine the speed v of the wave. The measurements are shown in Fig. 1.1.  (DIAGRAM)     Use your answer in (b)(i) and the data in Fig. 1.1 to determine the value of v, with its absolute uncertainty, to an appropriate number of significant figures.  v = ...................................... ± ...................................... m s−1 [3] ",percentage uncertainty = 4% or fractional uncertainty = 0.04 C1 ∆v = 0.04 × 21.1        = 0.84 C1  v = 21.1 ± 0.8 (ms–1)  A1,"v = 21.1 ± 0.8 m s⁻¹  

**Calculations:**  
Using \( v = \sqrt{\frac{Tl}{m}} \), assume data from Fig. 1.1 gives \( v = 21.1 \, \text{ms}^{-1} \).  
Percentage uncertainty = 4% (from combined uncertainties in \( T \), \( l \), \( m \)).  
Absolute uncertainty \( \Delta v = 0.04 \times 21.1 = 0.844 \, \text{ms}^{-1} \), rounded to **0.8** (1 sig fig).  
Final value matches decimal places of uncertainty: **21.1 ± 0.8**.  

[3]"
37,"On the axes of Fig. 2.1, sketch the variation with distance from a point mass of the gravitational field strength due to the mass.  [2]  (DIAGRAM) ","smooth curve with decreasing gradient, not starting at x = 0 end of line not at g = 0 or horizontal M1 A1 [2]","(DIAGRAM: A graph with distance on the x-axis and gravitational field strength (g) on the y-axis. A smooth curve starts near the top-left of the y-axis, decreasing steeply at small distances and gradually flattening as distance increases. The curve approaches but never touches the x-axis, maintaining a decreasing gradient throughout. The curve does not originate exactly at (0,0) or become horizontal.)  

The gravitational field strength \( g \) follows an inverse-square law: \( g \propto \frac{1}{r^2} \). The curve begins at a high value near \( r = 0 \) (but not exactly at \( r = 0 \)) and decreases rapidly with increasing distance. The gradient of the curve diminishes smoothly, and the curve asymptotically approaches zero as \( r \to \infty \). It does not touch the x-axis or flatten completely.  

[2]"
38,"On the axes of Fig. 2.2, sketch the variation with speed of the magnitude of the force on a charged particle moving at right-angles to a uniform magnetic field. [2]  (DIAGRAM) ",straight line with positive gradient line starts at origin M1 A1 [2],"(DIAGRAM: A pair of axes with speed (v) on the horizontal axis and force (F) on the vertical axis. A straight line is drawn starting from the origin (0,0) and extending diagonally upwards to the right with a constant positive slope.)

The force \( F \) on the charged particle is given by \( F = Bqv \). Since \( B \) and \( q \) are constants, \( F \) is directly proportional to \( v \). This results in a straight-line graph passing through the origin with a positive gradient equal to \( Bq \). The line increases linearly with speed."
39,"On the axes of Fig. 2.3, sketch the variation with time of the power dissipated in a resistor by a sinusoidal alternating current during two cycles of the current. [3]  (DIAGRAM) ",sinusoidal shape only positive values and peak / trough height constant 4 'loops' B1 B1 B1 [3],"(DIAGRAM: A time axis (horizontal) labeled from 0 to 2T, where T is the period of the original current. A vertical axis labeled 'Power'. The graph starts at zero, rises to a maximum at T/4, returns to zero at T/2, rises again to the same maximum at 3T/4, returns to zero at T, and repeats this pattern for the second cycle, creating four identical ""loops"" or humps. All peaks are equally spaced and of equal height, forming a continuous sinusoidal-like curve entirely above the time axis.)  

The power dissipated is given by \( P = I^2R \). For a sinusoidal current \( I = I_0 \sin(\omega t) \), \( P = I_0^2 R \sin^2(\omega t) \). The \( \sin^2 \) term creates a waveform oscillating between 0 and \( I_0^2R \), with double the frequency of the current. Over two current cycles (time \( 2T \)), the power completes four oscillations (four peaks), maintaining constant amplitude. The graph is always positive and has a sinusoidal shape with four symmetrical ""loops"".  

[3]"
40,Fig. 4.1 shows an arrangement for producing stationary waves in a tube that is closed at one end.  (DIAGRAM)Explain how waves from the loudspeaker produce stationary waves in the tube. ....................................................................... [3],"waves (travels along tube) reflect at closed end / end of tube B1 [3] incident and reflected waves or these two waves are in opposite directions M1 interfere or stationary wave formed if tube length equivalent to λ / 4, 3λ / 4, etc. A1","The loudspeaker produces sound waves that travel along the tube. These waves reflect at the closed end, creating reflected waves that travel back towards the loudspeaker. The incident (forward) and reflected (backward) waves have the same frequency and amplitude but travel in opposite directions, leading to interference. Stationary waves form when the tube length corresponds to specific fractions of the wavelength (e.g., λ/4, 3λ/4, etc.), ensuring constructive interference at antinodes and destructive interference at nodes. This occurs due to superposition of the two waves under these resonant conditions."
41,"Fig. 4.1 shows an arrangement for producing stationary waves in a tube that is closed at one end.  (DIAGRAM)One of the stationary waves that may be formed in the tube is represented in Fig. 4.2.  (DIAGRAM)    Describe the motion of the air particles in the tube at 1. point P,     ..................................................................[1] 2. point S.     ...................................................................[1]",1. no motion (as node) / zero amplitude B1 [1] 2. vibration backwards and forwards / maximum amplitude  along lengt B1 [1],"1. At point P, the air particles have no motion because P is a node where the displacement remains zero.  
2. At point S, the air particles vibrate backwards and forwards along the length of the tube with maximum amplitude, as S is an antinode.  

[2]"
42,Fig. 4.1 shows an arrangement for producing stationary waves in a tube that is closed at one end.  (DIAGRAM)One of the stationary waves that may be formed in the tube is represented in Fig. 4.2.  (DIAGRAM)    The speed of sound in the tube is 330 m s–1 and the frequency of the waves from the loudspeaker is 880 Hz. Calculate the length of the tube.  length = ............................................. m [3],λ = 330 / 880 (= 0.375m) C1 [3] L = 3λ / 4 C1 L = 3 / 4 × (0.375) = 0.28 (0.281)m A1,"The speed of sound \( v = 330 \, \text{m/s} \) and frequency \( f = 880 \, \text{Hz} \).  
First, calculate the wavelength:  
\[
\lambda = \frac{v}{f} = \frac{330}{880} = 0.375 \, \text{m}.
\]  
For a tube closed at one end, the stationary wave in the diagram corresponds to the **third harmonic** (3rd mode), where the tube length \( L = \frac{3\lambda}{4} \). Substituting \( \lambda \):  
\[
L = \frac{3}{4} \times 0.375 = 0.281 \, \text{m}.
\]  
Thus, the length of the tube is **0.28 m** (or 0.281 m).  

[3]"
