,Question,Mark Scheme,Explanation
20,"The speed v of a transverse wave on a uniform string is given by the expression  (DIAGRAM)  where T is the tension in the string, l is its length and m is its mass. An experiment is performed to determine the speed v of the wave. The measurements are shown in Fig. 1.1.  (DIAGRAM)     Use your answer in (b)(i) and the data in Fig. 1.1 to determine the value of v, with its absolute uncertainty, to an appropriate number of significant figures.  v = ...................................... ± ...................................... m s−1 [3] ",percentage uncertainty = 4% or fractional uncertainty = 0.04 C1 ∆v = 0.04 × 21.1        = 0.84 C1  v = 21.1 ± 0.8 (ms–1)  A1,"v = 21.1 ± 0.8 m s−1  
Calculating using \( v = \sqrt{\frac{Tl}{m}} \), substituting the measured values of tension \( T \), length \( l \), and mass \( m \).  
The percentage uncertainty (4%) is applied to the calculated \( v \): \( 0.04 \times 21.1 = 0.844 \), rounded to 0.8 m s−1.  
Expressing the value with uncertainty to appropriate significant figures.  

(DIAGRAM: Not required here as per question instruction.)  

v = 21.1 ± 0.8 m s−1"
21,"On the axes of Fig. 2.1, sketch the variation with distance from a point mass of the gravitational field strength due to the mass.  [2]  (DIAGRAM) ","smooth curve with decreasing gradient, not starting at x = 0 end of line not at g = 0 or horizontal M1 A1 [2]","(DIAGRAM) The graph starts at a high value near the y-axis (but not at x=0) and curves smoothly downward. The line shows a decreasing gradient, getting less steep as distance increases. It approaches but never touches the x-axis, indicating that gravitational field strength diminishes with distance but never reaches zero. The curve is hyperbolic, reflecting the inverse square law relationship."
22,"On the axes of Fig. 2.2, sketch the variation with speed of the magnitude of the force on a charged particle moving at right-angles to a uniform magnetic field. [2]  (DIAGRAM) ",straight line with positive gradient line starts at origin M1 A1 [2],"(DIAGRAM) Draw a straight line starting from the origin (0,0) with a constant positive slope. The line should extend diagonally upwards to the right, indicating that as speed v increases, the force F increases proportionally. The axes are already provided, so the horizontal axis represents speed (v) and the vertical axis represents force (F). The line passes through all points where F = Bqv, showing a linear relationship."
23,"On the axes of Fig. 2.3, sketch the variation with time of the power dissipated in a resistor by a sinusoidal alternating current during two cycles of the current. [3]  (DIAGRAM) ",sinusoidal shape only positive values and peak / trough height constant 4 'loops' B1 B1 B1 [3],"The power dissipated in the resistor can be calculated using \( P = I^2R \). For a sinusoidal alternating current \( I = I_0 \sin(\omega t) \), the power becomes \( P = I_0^2 R \sin^2(\omega t) \). The \( \sin^2 \) function produces a waveform oscillating between 0 and \( I_0^2R \), with double the frequency of the original current. 

(DIAGRAM): On the axes, sketch a sinusoidal curve that remains entirely above the time-axis (no negative values). The curve should have **four** complete ""arches"" (peaks and troughs) over two cycles of the original current, corresponding to the doubled frequency. Each peak should reach the same maximum height \( (I_0^2R) \), ensuring constant amplitude. The waveform starts at 0, rises to a peak, returns to 0, and repeats this pattern symmetrically for four peaks in total."
24,"Uranium-234 is radioactive and emits α-particles at what appears to be a constant rate. A sample of Uranium-234 of mass 2.65 µg is found to have an activity of 604 Bq.Calculate, for this sample of Uranium-234,  the number of nuclei,  number = ………………………… [2]",either number = 6.02 × 1023 × ({2.65 × 10–6}/234) or number = (2.65 × 10–9)/(234 × 1.66 × 10–27)                   = 6.82 × 1015 C1 A1 [2],"number = (2.65 × 10⁻⁶ g / 234 g mol⁻¹) × 6.02 × 10²³ mol⁻¹  
= (2.65 × 10⁻⁶ ÷ 234) × 6.02 × 10²³  
= 6.82 × 10¹⁵"
25,"Uranium-234 is radioactive and emits α-particles at what appears to be a constant rate. A sample of Uranium-234 of mass 2.65 µg is found to have an activity of 604 Bq.Calculate, for this sample of Uranium-234,  the decay constant,  decay constant = ………………………… s–1 [2]",A = λ N 604 = λ × 6.82 × 1015 λ = 8.86 × 10–14 s–1 C1  A1 [2],"To calculate the decay constant λ, use the equation \( A = \lambda N \).  
First, determine the number of nuclei \( N \):  
- Mass of sample = \( 2.65 \, \mu g = 2.65 \times 10^{-6} \, g \).  
- Molar mass of \( ^{234}U \) = 234 g/mol.  
- Moles = \( \frac{2.65 \times 10^{-6}}{234} \approx 1.13 \times 10^{-8} \, \text{mol} \).  
- Number of nuclei \( N = 1.13 \times 10^{-8} \times 6.022 \times 10^{23} \approx 6.82 \times 10^{15} \).  

Substitute into \( A = \lambda N \):  
\( 604 = \lambda \times 6.82 \times 10^{15} \)  
\( \lambda = \frac{604}{6.82 \times 10^{15}} \approx 8.86 \times 10^{-14} \, \text{s}^{-1} \).  

**Decay constant = \( 8.86 \times 10^{-14} \, \text{s}^{-1} \).**"
26,"Uranium-234 is radioactive and emits α-particles at what appears to be a constant rate. A sample of Uranium-234 of mass 2.65 µg is found to have an activity of 604 Bq.Calculate, for this sample of Uranium-234,  the half-life in years.  half-life = ………………………… years [2]",T½ = ln2/ λ      = 7.82 × 1012 s      = 2.48 × 105 years  C1 A1 [2],"The activity \( A = \lambda N \), where \( N \) is the number of nuclei.  
First, calculate \( N \):  
Molar mass of \( ^{234}\text{U} = 234 \, \text{g/mol} \).  
Number of moles \( = \frac{2.65 \times 10^{-6} \, \text{g}}{234 \, \text{g/mol}} = 1.13 \times 10^{-8} \, \text{mol} \).  
\( N = 1.13 \times 10^{-8} \times 6.02 \times 10^{23} = 6.81 \times 10^{15} \).  

Decay constant \( \lambda = \frac{A}{N} = \frac{604}{6.81 \times 10^{15}} = 8.87 \times 10^{-14} \, \text{s}^{-1} \).  

Half-life \( T_{1/2} = \frac{\ln 2}{\lambda} = \frac{0.693}{8.87 \times 10^{-14}} = 7.82 \times 10^{12} \, \text{s} \).  
Convert to years: \( \frac{7.82 \times 10^{12}}{3.15 \times 10^7} = 2.48 \times 10^5 \, \text{years} \).  

half-life = \( \boxed{2.48 \times 10^5} \, \text{years} \)."
27,Uranium-234 is radioactive and emits α-particles at what appears to be a constant rate. A sample of Uranium-234 of mass 2.65 µg is found to have an activity of 604 Bq.Suggest why the activity of the Uranium-234 appears to be constant. ......................................................................... [1],half-life is (very) long (compared with time of counting) B1 [1],"The half-life of Uranium-234 is extremely long compared to the duration of the measurement, so the number of undecayed nuclei (and thus the activity) does not decrease significantly during the counting period."
28,Uranium-234 is radioactive and emits α-particles at what appears to be a constant rate. A sample of Uranium-234 of mass 2.65 µg is found to have an activity of 604 Bq.Suggest why a measurement of the mass and the activity of a radioactive isotope is not an accurate means of determining its half-life if the half-life is approximately one hour. ......................................................................... [1],there would be appreciable decay of source during the taking of measurements B1 [1],"The activity and mass decrease significantly during the time taken to measure them, as the short half-life causes rapid decay. This makes the initial measurements unreliable for accurate calculations."
29,The controlled reaction between deuterium (21H) and tritium (31H) has involved ongoing research for many years. The reaction may be summarised as  (DIAGRAM)  where Q = 17.7 MeV. Binding energies per nucleon are shown in Fig. 8.1.  (DIAGRAM)Suggest why binding energy per nucleon for the neutron is not quoted. ....................................................................... [1],neutron is a single nucleon / particle B1 [1],"The binding energy per nucleon is not quoted for a neutron because a neutron is a single nucleon. Binding energy arises from the nuclear forces holding multiple nucleons together in a nucleus. Since a lone neutron does not form a nucleus, there are no other nucleons for it to bind with, making its binding energy per nucleon undefined."
30,"The controlled reaction between deuterium (21H) and tritium (31H) has involved ongoing research for many years. The reaction may be summarised as  (DIAGRAM)  where Q = 17.7 MeV. Binding energies per nucleon are shown in Fig. 8.1.  (DIAGRAM)Calculate the mass defect, in kg, of a helium 42He nucleus.  mass defect = .......................................... kg [3]",binding energy = 4 × 7.07 × 1.6 × 10-13                          = 4.52 × 10-12 J binding energy = c2 ∆m 4.52 × 10-12 = (3.0 × 108)2 × ∆m ∆m = 5.03 × 10-29 kg C1  C1  A1 [3],"The binding energy per nucleon for helium-4 is 7.07 MeV. Total binding energy = 4 × 7.07 = 28.28 MeV. Convert this to joules: 28.28 × 1.6 × 10⁻¹³ = 4.52 × 10⁻¹² J. Using \( E = \Delta m \, c^2 \), rearrange to find mass defect: \( \Delta m = \frac{E}{c^2} = \frac{4.52 \times 10^{-12}}{(3.0 \times 10^8)^2} = 5.03 \times 10^{-29} \, \text{kg} \)."
31,The controlled reaction between deuterium (21H) and tritium (31H) has involved ongoing research for many years. The reaction may be summarised as  (DIAGRAM)  where Q = 17.7 MeV. Binding energies per nucleon are shown in Fig. 8.1.  (DIAGRAM)  State the name of the type of reaction illustrated by this nuclear equation. .................................................................. [1],fusion ……(do not allow fussion) B1 [1],"The type of reaction is nuclear fusion. This is where two light nuclei, such as deuterium and tritium, combine to form a heavier nucleus (helium) with the release of energy. The process involves overcoming electrostatic repulsion between the positively charged nuclei, resulting in a net energy output as the products have higher binding energy per nucleon."
32,"The controlled reaction between deuterium (21H) and tritium (31H) has involved ongoing research for many years. The reaction may be summarised as  (DIAGRAM)  where Q = 17.7 MeV. Binding energies per nucleon are shown in Fig. 8.1.  (DIAGRAM)  Determine the binding energy per nucleon, in MeV, of tritium (31H).  binding energy per nucleon = ....................... MeV [3]","(2 × 1.12) + 3x = 28.28 …... –17.7 x = 2.78 MeV per nucleon (use of +17.7 gives x = 14.6 MeV, allow 1 mark only) C1 C1 A1   [3]     [Total: 8]","The binding energy per nucleon of tritium can be determined using the energy released (Q) in the reaction. The total binding energy of the reactants (²₁H and ³₁H) plus Q equals the total binding energy of the products (⁴₂He and a neutron). 

For deuterium: \(2 \times 1.12 = 2.24\ \text{MeV}\).  
For tritium: \(3x\), where \(x\) is the binding energy per nucleon.  
For helium-4: \(28.28\ \text{MeV}\).  

Using \(Q = \text{BE}_{\text{products}} - \text{BE}_{\text{reactants}}\):  
\(17.7 = 28.28 - (2.24 + 3x)\).  

Rearranging:  
\(2.24 + 3x = 28.28 - 17.7 = 10.58\).  
\(3x = 10.58 - 2.24 = 8.34\).  
\(x = \frac{8.34}{3} = 2.78\ \text{MeV per nucleon}\).  

**binding energy per nucleon = 2.78 MeV**"
33,"Radon-222 is a radioactive element having a half-life of 3.82 days. Radon-222, when found in atmospheric air, can present a health hazard. Safety measures should be taken when the activity of radon-222 exceeds 200 Bq per cubic metre of air.  Define radioactive decay constant. .................................................................. [2]",probability of decay (of a nucleus) per unit time M1 A1 [2],The radioactive decay constant is the probability that an individual nucleus will decay per unit time.
34,"Radon-222 is a radioactive element having a half-life of 3.82 days. Radon-222, when found in atmospheric air, can present a health hazard. Safety measures should be taken when the activity of radon-222 exceeds 200 Bq per cubic metre of air.  Show that the decay constant of radon-222 is 2.1×10–6 s–1. [1]  ",λt½ = ln 2 λ = ln 2/(3.82 × 24 × 3600) = 2.1 × 10–6 s–1  M1 A0 [1],"The decay constant λ is calculated using the relation λ = ln2 / t½. Converting the half-life of 3.82 days into seconds: 3.82 × 24 × 3600 = 330,048 s. Substituting, λ = 0.693 / 330,048 ≈ 2.1 × 10⁻⁶ s⁻¹."
35,"Radon-222 is a radioactive element having a half-life of 3.82 days. Radon-222, when found in atmospheric air, can present a health hazard. Safety measures should be taken when the activity of radon-222 exceeds 200 Bq per cubic metre of air.A volume of 1.0 m3 of atmospheric air contains 2.5×1025 molecules. Calculate the ratio    (DIAGRAM)  for the minimum activity of radon-222 at which safety measures should be taken.  ratio = ................................................. [3]",A = λN 200 = 2.1 × 10–6 × N N = 9.5 × 107 ratio = (2.5 × 1025)/(9.5 × 107)    = 2.6 × 1017 C1 C1   A1 [3],"The half-life \( T_{1/2} = 3.82 \, \text{days} = 3.82 \times 86400 = 3.30 \times 10^5 \, \text{s} \).  
Decay constant \( \lambda = \frac{\ln 2}{T_{1/2}} = \frac{0.693}{3.30 \times 10^5} = 2.1 \times 10^{-6} \, \text{s}^{-1} \).  
Using \( A = \lambda N \), the number of radon atoms at 200 Bq is \( N = \frac{200}{2.1 \times 10^{-6}} = 9.5 \times 10^7 \).  
Ratio \( = \frac{2.5 \times 10^{25}}{9.5 \times 10^7} = 2.6 \times 10^{17} \).  

ratio = \( 2.6 \times 10^{17} \)"
36,State what is meant by a nuclear fusion reaction.,two (light) nuclei combine to form a more massive nucleus M1 A1 [2],"A nuclear fusion reaction is when two light nuclei join together to form a heavier, more massive nucleus."
37,"One nuclear reaction that takes place in the core of the Sun is represented by the equation       (DIAGRAM)  Data for the nuclei are given in Fig. 8.1.  (DIAGRAM)    Calculate the energy, in joules, released in this reaction.  energy = .............................................. J [3]",∆m = (2.01410u + 1.00728u) – 3.01605u       = 5.33 × 10–3 u energy = c2 × ∆m     = 5.33 × 10–3 × 1.66 × 10–27 × (3.00 × 108)2     = 8.0 × 10–13 J  C1 C1  A1 [3],"The energy released is calculated using the mass defect.  
Δm = (2.01410 u + 1.00728 u) − 3.01605 u = 0.00533 u.  
Convert Δm to kilograms:  
0.00533 u × 1.66 × 10⁻²⁷ kg/u = 8.85 × 10⁻³⁰ kg.  
Apply \( E = \Delta m c^2 \):  
\( E = 8.85 \times 10^{-30} \, \text{kg} \times (3.00 \times 10^8 \, \text{m/s})^2 = 7.97 \times 10^{-13} \, \text{J} \).  
Rounded to two significant figures, \( E = 8.0 \times 10^{-13} \, \text{J} \).  

energy = \( 8.0 \times 10^{-13} \, \text{J} \)."
38,One nuclear reaction that takes place in the core of the Sun is represented by the equation       (DIAGRAM)  Data for the nuclei are given in Fig. 8.1.  (DIAGRAM)    The temperature in the core of the Sun is approximately 1.6 × 107 K.  Suggest why such a high temperature is necessary for this reaction to take place. .......................................................................[2],speed/kinetic energy of proton and deuterium must be very large so that the nuclei can overcome electrostatic repulsion B1 B1 [2],"The high temperature provides the protons and deuterium nuclei with sufficient kinetic energy to overcome the electrostatic repulsion between their positive charges, allowing them to come close enough for the strong nuclear force to bind them together."
39,One possible nuclear fission reaction is  (DIAGRAM)  Barium-141 (14156 Ba) and krypton-92 (9236 Kr) are both β-emitters. Barium-141 has a half-life of 18 minutes and a decay constant of 6.4 × 10–4 s–1. The half-life of krypton-92 is 3.0 seconds.State what is meant by decay constant. ......................................................................[2],"probability of decay (of a nucleus)/fraction of number of nuclei in sample that decay per unit time (allow λ =(dN / dt) / N with symbols explained – (M1), (A1) )  M1 A1 [2]",The decay constant is the probability of a single nucleus decaying per unit time. It can also be expressed as the fraction of the total number of nuclei in a sample that decay per second.
40,One possible nuclear fission reaction is  (DIAGRAM)  Barium-141 (14156 Ba) and krypton-92 (9236 Kr) are both β-emitters. Barium-141 has a half-life of 18 minutes and a decay constant of 6.4 × 10–4 s–1. The half-life of krypton-92 is 3.0 seconds.A mass of 1.2 g of uranium-235 undergoes this nuclear reaction in a very short time (a few nanoseconds).  Calculate the number of barium-141 nuclei that are present immediately after the reaction has been completed.  number = ................................................ [2],number = (1.2 × 6.02 × 1023) / 235               = 3.1 × 1021 C1 A1 [2],"number = (1.2 / 235) × 6.02 × 10²³  
= (0.005106) × 6.02 × 10²³  
= 3.07 × 10²¹ ≈ 3.1 × 10²¹"
41,"One possible nuclear fission reaction is  (DIAGRAM)  Barium-141 (14156 Ba) and krypton-92 (9236 Kr) are both β-emitters. Barium-141 has a half-life of 18 minutes and a decay constant of 6.4 × 10–4 s–1. The half-life of krypton-92 is 3.0 seconds.A mass of 1.2 g of uranium-235 undergoes this nuclear reaction in a very short time (a few nanoseconds).  Using your answer in (b)(i), calculate the total activity of the barium-141 and the krypton-92 a time of 1.0 hours after the fission reaction has taken place.  activity = ........................................... Bq [4]","N = N0 e–λt negligible activity from the krypton for barium, N = (3.1 × 1021) exp(–6.4 × 10–4 × 3600)                        = 3.1 × 1020 activity = λN    = 6.4 × 10–4 × 3.1 × 1020    = 2.0 × 1017 Bq  B1  C1  C1 A1 [4]","The activity is calculated using A = λN. For barium-141, the initial number of nuclei N0 is found from the 1.2 g of uranium-235:  
N0 = (1.2 / 235) × 6.02×10²³ ≈ 3.1×10²¹.  
After t = 3600 s, N = N0 e^(-λt) = 3.1×10²¹ × e^(-6.4×10⁻⁴ × 3600) ≈ 3.1×10²⁰.  
Activity A = 6.4×10⁻⁴ × 3.1×10²⁰ ≈ 2.0×10¹⁷ Bq.  
Krypton-92’s activity is negligible due to its short half-life (3.0 s).  

activity = 2.0 × 10¹⁷ Bq [4]"
42,"The power for a space probe is to be supplied by the energy released when plutonium-236 decays by the emission of α-particles. The α-particles, each of energy 5.75 MeV, are captured and their energy is converted into electrical energy with an efficiency of 24%.Calculate  the energy, in joules, equal to 5.75 MeV,  energy = .......................................... J [1]",energy = 5.75 × 1.6 × 10–13             = 9.2 × 10–13 J A1 [1],"energy = 5.75 × 1.6 × 10⁻¹³  
= 9.2 × 10⁻¹³ J"
43,"The power for a space probe is to be supplied by the energy released when plutonium-236 decays by the emission of α-particles. The α-particles, each of energy 5.75 MeV, are captured and their energy is converted into electrical energy with an efficiency of 24%.Calculate  the number of α-particles per second required to generate 1.9 kW of electrical power.  number per second = ..................................... s–1 [2]",number = 1900/(9.2 × 10–13 × 0.24)              = 8.6 × 1015 s–1 C1 A1 [2],"To calculate the number of α-particles per second required:  
First, determine the total energy needed per second considering efficiency.  
Electrical power required = 1.9 kW = 1900 W (1900 J/s).  
Efficiency = 24%, so total energy from α-particles per second = 1900 / 0.24 ≈ 7916.67 J/s.  

Energy per α-particle = 5.75 MeV = 5.75 × 1.6 × 10⁻¹³ J = 9.2 × 10⁻¹³ J.  
Number of α-particles per second = (7916.67) / (9.2 × 10⁻¹³) ≈ 8.6 × 10¹⁵ s⁻¹.  

number per second = **8.6 × 10¹⁵ s⁻¹**"
44,"The power for a space probe is to be supplied by the energy released when plutonium-236 decays by the emission of α-particles. The α-particles, each of energy 5.75 MeV, are captured and their energy is converted into electrical energy with an efficiency of 24%.Each plutonium-236 nucleus, on disintegration, produces one α-particle.  Plutonium-236 has a half-life of 2.8 years.   Calculate the decay constant, in s–1, of plutonium-236.  decay constant = ................................... s–1 [2]",decay constant = 0.693/(2.8 × 365 × 24 × 3600)     = 7.85 × 10–9 s–1 (allow 7.8 or 7.9 to 2 s.f.) C1 A1 [2],"decay constant = 0.693 / (2.8 × 365 × 24 × 3600)  
= 0.693 / 88300800  
= 7.85 × 10⁻⁹ s⁻¹  
Decay constant = 7.8 × 10⁻⁹ s⁻¹ (to 2 s.f.)"
45,"The power for a space probe is to be supplied by the energy released when plutonium-236 decays by the emission of α-particles. The α-particles, each of energy 5.75 MeV, are captured and their energy is converted into electrical energy with an efficiency of 24%.Each plutonium-236 nucleus, on disintegration, produces one α-particle.  Plutonium-236 has a half-life of 2.8 years.   Use your answers in (a)(ii) and (b)(i) to determine the mass of plutonium-236 required for the generation of 1.9 kW of electrical power.  mass = .......................................... g [4]",A = λN 8.6 × 1015 = 7.85 × 10–9 × N N = 1.096 × 1024 mass = (1.096 × 1024 × 236)/(6.02 × 1023)          = 430g  C1 C1 M1 A1 [4],"To determine the mass of plutonium-236 required:  
First, calculate the number of nuclei \( N \) using \( N = \frac{A}{\lambda} = \frac{8.6 \times 10^{15}}{7.85 \times 10^{-9}} = 1.096 \times 10^{24} \).  
Mass is then \( \frac{N \times \text{molar mass}}{N_A} = \frac{1.096 \times 10^{24} \times 236}{6.02 \times 10^{23}} = 430 \, \text{g} \).  

mass = **430** g [4]"
