,question,explanation,answer,index
17,"The results of the α-particle scattering experiment provide evidence for the structure of the atom. result 1: The vast majority of α-particles pass straight through the metal foil or are deviated by small angles. result 2: A very small minority of α-particles are scattered through angles greater than 90°. State what may be inferred from  result 1, ........................................................................................................................................... .......................................................................................................................................[1]","  most of the atom is empty space, or the nucleus (volume) is (very) small compared to the atom",most of the atom is empty space or the nucleus (volume) is (very) small compared to the atom B1 [1],"(16, 'c.i')"
18,The results of the α-particle scattering experiment provide evidence for the structure of the atom. result 1: The vast majority of α-particles pass straight through the metal foil or are deviated by small angles. result 2: A very small minority of α-particles are scattered through angles greater than 90°. State what may be inferred from  result 2. ........................................................................................................................................... ........................................................................................................................................... ........................................................................................................................................... .......................................................................................................................................[2],  nucleus is (positively) charged  the mass is concentrated in (very small) nucleus/small region/small volume/small core or the majority of mass in (very small) nucleus/small region/small volume/small core.,nucleus is (positively) charged B1   the mass is concentrated in (very small) nucleus/small region/small volume/small core or the majority of mass in (very small) nucleus/small region/small volume/small core B1 [2],"(16, 'c.ii')"
19,State what is meant by the frequency of a progressive wave. ................................................................................................................................................... ................................................................................................................................................... ...............................................................................................................................................[2],"the number of oscillations per unit time of a point on the wave, or the number of wavelengths/wavefronts per unit time passing a fixed point.",the number of oscillations per unit time  M1   of the source/of a point on the wave/of a particle (in the medium) A1 [2] or     the number of wavelengths/wavefronts per unit time (M1)   passing a (fixed) point  (A1)  ,"(17, 'a')"
20,A cathode-ray oscilloscope (c.r.o.) is used to determine the frequency of the sound emitted by a loudspeaker. The trace produced on the screen of the c.r.o. is shown in Fig. 4.1.  (DIAGRAM)  The time-base setting of the c.r.o. is 250 μs cm-1.   Show that the frequency of the sound wave is 1600 Hz. [2]       ,"T or period = 2.5 × 250 (µs) (= 625 µs)  frequency = 1 / (6.25 × 0.0001) or 1 / (2.5 × 250 × 0.000,001 ) = 1600 Hz",T or period = 2.5 × 250 (µs) (= 625 µs) M1   frequency = 1 /(6.25 × 10–4) or 1 /(2.5 × 250 × 10–6) = 1600Hz A1 [2],"(17, 'b')"
21,"The loudspeaker in (b) emits the sound in all directions. A person attaches the loudspeaker to a string and then swings the loudspeaker at a constant speed in a horizontal circle above his head. An observer, standing a large distance away from the loudspeaker, hears sound of maximum frequency 1640 Hz. The speed of sound in air is 330 m s–1.   Determine the speed of the loudspeaker.      speed = ................................................ m s–1 [2]",  for maximum frequency: fo = fsv /(v – vs) 1640 = (1600 × 330) / (330 – vs) vs = 8(.0) m s–1 (8.049 ms–1),for maximum frequency: fo = fsv /(v – vs) 1640 = (1600 × 330) / (330 – vs) C1   vs = 8(.0)m s–1 (8.049 ms–1) A1 [2],"(17, 'c.i')"
22,"The loudspeaker in (b) emits the sound in all directions. A person attaches the loudspeaker to a string and then swings the loudspeaker at a constant speed in a horizontal circle above his head. An observer, standing a large distance away from the loudspeaker, hears sound of maximum frequency 1640 Hz. The speed of sound in air is 330 m s–1.   Describe and explain, qualitatively, the variation in the frequency of the sound heard by the observer. ........................................................................................................................................... ........................................................................................................................................... ........................................................................................................................................... ........................................................................................................................................... .......................................................................................................................................[2]",  loudspeaker moving towards observer causes rise in/higher frequency loudspeaker moving away from observer causes fall in/lower frequency or repeated rise and fall/higher and then lower frequency caused by loudspeaker moving towards and away from observer,loudspeaker moving towards observer causes rise in/higher frequency B1   loudspeaker moving away from observer causes fall in/lower frequency B1 [2] or     repeated rise and fall/higher and then lower frequency (M1)   caused by loudspeaker moving towards and away from observer (A1)  ,"(17, 'c.ii')"
23,Define the coulomb. ...............................................................................................................................................[1],1 coulomb is the charge flowing through a point in 1 second when the current is 1 ampere second.,(coulomb is) ampere second B1 1,"(18, 'a')"
24,A resistor X is connected to a cell as shown in Fig. 6.1.  (DIAGRAM)  The resistor is a wire of cross-sectional area A and length l. The current in the wire is I. Show that the average drift speed v of the charge carriers in X is given by the equation  (DIAGRAM)  where e is the charge on a charge carrier and n is the number of charge carriers per unit volume in X.  [3]         ,total charge or Q = nAle  I = Q / t and l / t = v  I = nAle / t = nAve   therefore     v = I / nAe,(total) charge or Q = nAle M1     I = Q/t and l /t = v M1     I = nAle/t = nAve therefore v = I /nAe  A1 3,"(18, 'b')"
25,"A 12V battery with negligible internal resistance is connected to two resistors Y and Z, as shown in Fig. 6.2.  (DIAGRAM)  The resistors are made from wires of the same material. The wire of Y has a diameter d and length l. The wire of Z has a diameter 2d and length 2l.   Determine the ratio  (DIAGRAM)        ratio = .......................................................... [3]",  ratio = (I / nA Y e) / (I / nA Z e)  = AZ / A Y or 4A / A or πd 2 / (πd 2 / 4)  = 4 ,ratio = (I/nAYe)/(I/nAZe) C1     = AZ/AY or 4A/A or πd2/(πd2/4) C1     = 4 A1 3,"(18, 'c.i')"
26,"A 12V battery with negligible internal resistance is connected to two resistors Y and Z, as shown in Fig. 6.2.  (DIAGRAM)  The resistors are made from wires of the same material. The wire of Y has a diameter d and length l. The wire of Z has a diameter 2d and length 2l.   Show that  (DIAGRAM)       ........................................[2]",  R = ρl/A or R = 4ρl/ πd2 RY = ρl/A and RZ = ρ(2l)/4A     so RY /RZ = 2 or RY = 4ρl /πd2  and  RZ =4ρ(2l) /π4d2  or  2ρl /πd2    so RY /RZ = 2,R = ρl/A or R = 4ρl/πd2 B1     RY = ρl/A and RZ = ρ(2l)/4A         so RY/RZ = 2       or RY = 4ρl/πd2 and RZ = 4ρ(2l)/π4d2 or 2ρl/πd2  so RY/RZ = 2 A1 2,"(18, 'c.ii')"
27,"A 12V battery with negligible internal resistance is connected to two resistors Y and Z, as shown in Fig. 6.2.  (DIAGRAM)  The resistors are made from wires of the same material. The wire of Y has a diameter d and length l. The wire of Z has a diameter 2d and length 2l.   Determine the potential difference across Y. potential difference = ....................................................... V [2]",  V = 12RY /(RY + RZ) or I = 12/(RY + RZ) and V = IRY V = 12 × 2/3    = 8(.0)V,V = 12RY/(RY + RZ) or I = 12/(RY + RZ) and V = IRY C1     V = 12 × ⅔ = 8(.0)V A1 2,"(18, 'c.iii')"
28,"A 12V battery with negligible internal resistance is connected to two resistors Y and Z, as shown in Fig. 6.2.  (DIAGRAM)  The resistors are made from wires of the same material. The wire of Y has a diameter d and length l. The wire of Z has a diameter 2d and length 2l.   Determine the ratio  (DIAGRAM)      ratio = .......................................................... [1]",  ratio = I2RY / I2RZ  or  (VY2 /RY)/(VZ2 /RZ) or (VYI)/(VZI)  = 2,ratio = I2RY/I2RZ or (VY2/RY)/(VZ2/RZ) or (VYI)/(VZI) = 2 A1 1,"(18, 'c.iv')"
29,A neutron decays by emitting a β− particle.  Complete the equation below for this decay.  (DIAGRAM) , (DIAGRAM) , B1  B1,"(19, 'a')"
30,A neutron decays by emitting a β− particle.  State the name of the particle represented by the symbol ν. .............................................................................................................................................. [1],Electron antineutrino.,an (electron) antineutrino B1,"(19, 'b')"
31,A neutron decays by emitting a β− particle.  State the name of the class (group) of particles that includes β− and ν. .............................................................................................................................................. [1],Lepton,lepton(s)  B1,"(19, 'c')"
32,"A neutron decays by emitting a β− particle.  State  the quark structure of the neutron, ................................................................................................................................... [1]",  Consists of two down quarks and one up quark.,"down, down, up/ ddu B1","(19, 'd.i')"
33,A neutron decays by emitting a β− particle.  State  the change to the quark structure when the neutron decays. ................................................................................................................................... [1] ,  A down quark changes to an up quark. ddu  →   duu.,a down/ d (quark) changes to an up/u (quark) or ddu → uud B1,"(19, 'd.ii')"
34,"The speed v of a transverse wave on a uniform string is given by the expression  (DIAGRAM)  where T is the tension in the string, l is its length and m is its mass. An experiment is performed to determine the speed v of the wave. The measurements are shown in Fig. 1.1.  (DIAGRAM)   State an appropriate instrument to measure the length l. .............................................................................................................................................. [1] ",Measuring tape.,metre rule/ tape measure  B1,"(24, 'a')"
35,"The speed v of a transverse wave on a uniform string is given by the expression  (DIAGRAM)  where T is the tension in the string, l is its length and m is its mass. An experiment is performed to determine the speed v of the wave. The measurements are shown in Fig. 1.1.  (DIAGRAM)     Use the data in Fig. 1.1 to calculate the speed v.  v = .................................................  m s−1 [2]","   (DIAGRAM)  If this question is given without the uncertainties, the answer is in 2 s.f. The answer 21.1 is arrived at after part b( i) is attempted.",v = [(1.8 × 126 × 10–2) / 5.1 × 10–3]1/2 C1    = 21.1(ms–1) A1 ,"(24, 'b.i')"
36,"The speed v of a transverse wave on a uniform string is given by the expression  (DIAGRAM)  where T is the tension in the string, l is its length and m is its mass. An experiment is performed to determine the speed v of the wave. The measurements are shown in Fig. 1.1.  (DIAGRAM)     Use your answer in (b)(i) and the data in Fig. 1.1 to determine the value of v, with its absolute uncertainty, to an appropriate number of significant figures.  v = ...................................... ± ...................................... m s−1 [3] ","   (DIAGRAM)  If the absolute uncertainty is set to 0.84, then v is set to 4 s.f. which is too high. So absolute uncertainty is set to1 s.f. (the minimum). This makes v to 3 s.f.",percentage uncertainty = 4% or fractional uncertainty = 0.04 C1 ∆v = 0.04 × 21.1        = 0.84 C1  v = 21.1 ± 0.8 (ms–1)  A1,"(24, 'b.ii')"
37,"On the axes of Fig. 2.1, sketch the variation with distance from a point mass of the gravitational field strength due to the mass.  [2]  (DIAGRAM) ", (DIAGRAM) ,"smooth curve with decreasing gradient, not starting at x = 0 end of line not at g = 0 or horizontal M1 A1 [2]","(25, 'a')"
38,"On the axes of Fig. 2.2, sketch the variation with speed of the magnitude of the force on a charged particle moving at right-angles to a uniform magnetic field. [2]  (DIAGRAM) "," (DIAGRAM)   Note: Think of F = Bqv, F ∝ v, so F = kv, y = mx  ",straight line with positive gradient line starts at origin M1 A1 [2],"(25, 'b')"
39,"On the axes of Fig. 2.3, sketch the variation with time of the power dissipated in a resistor by a sinusoidal alternating current during two cycles of the current. [3]  (DIAGRAM) ", (DIAGRAM)   Note:  1. P = I02Rsin2ωt  2.Max power = I02R  3.T = period = 1/f,sinusoidal shape only positive values and peak / trough height constant 4 'loops' B1 B1 B1 [3],"(25, 'c')"
40,Fig. 4.1 shows an arrangement for producing stationary waves in a tube that is closed at one end.  (DIAGRAM)Explain how waves from the loudspeaker produce stationary waves in the tube. ....................................................................... [3],"waves (travels along tube) reflect at closed end / end of tube  incident and reflected waves or these two waves are in opposite directions interfere or stationary wave formed if tube length equivalent to λ / 4, 3λ / 4, etc.","waves (travels along tube) reflect at closed end / end of tube B1 [3] incident and reflected waves or these two waves are in opposite directions M1 interfere or stationary wave formed if tube length equivalent to λ / 4, 3λ / 4, etc. A1","(27, 'a')"
41,"Fig. 4.1 shows an arrangement for producing stationary waves in a tube that is closed at one end.  (DIAGRAM)One of the stationary waves that may be formed in the tube is represented in Fig. 4.2.  (DIAGRAM)    Describe the motion of the air particles in the tube at 1. point P,     ..................................................................[1] 2. point S.     ...................................................................[1]",  1. no motion (as node) / zero amplitude 2. vibration backwards and forwards / maximum amplitude along length,1. no motion (as node) / zero amplitude B1 [1] 2. vibration backwards and forwards / maximum amplitude  along lengt B1 [1],"(27, 'b.i')"
42,Fig. 4.1 shows an arrangement for producing stationary waves in a tube that is closed at one end.  (DIAGRAM)One of the stationary waves that may be formed in the tube is represented in Fig. 4.2.  (DIAGRAM)    The speed of sound in the tube is 330 m s–1 and the frequency of the waves from the loudspeaker is 880 Hz. Calculate the length of the tube.  length = ............................................. m [3],  λ = 330 / 880 (= 0.375m) L = 3λ / 4 L = 3 / 4 × (0.375) = 0.28 (0.281) m ,λ = 330 / 880 (= 0.375m) C1 [3] L = 3λ / 4 C1 L = 3 / 4 × (0.375) = 0.28 (0.281)m A1,"(27, 'b.ii')"
43,Describe the diffraction of monochromatic light as it passes through a diffraction grating. ................................................................... [2],waves pass through the elements / gaps / slits in the grating spread into geometric shadow ,waves pass through the elements / gaps / slits in the grating spread into geometric shadow M1 A1 [2],"(28, 'a')"
44,"White light is incident on a diffraction grating, as shown in Fig. 4.1.  (DIAGRAM)  The diffraction pattern formed on the screen has white light, called zero order, and coloured spectra in other orders.   Describe how the principle of superposition is used to explain 1. white light at the zero order,     .................................................................. [2] 2. the difference in position of red and blue light in the first-order spectrum.    .................................................................. [2]",  1. displacements add to give resultant displacement each wavelength travels the same path difference or are in phase hence produce a maximum 2. to obtain a maximum the path difference must be λ or phase difference  360°/ 2π rad λ of red and blue are different  hence maxima at different angles / positions,1. displacements add to give resultant displacement  each wavelength travels the same path difference or are in phase  hence produce a maximum B1 B1 A0 [2] 2. to obtain a maximum the path difference must be λ or phase difference 360°/ 2π rad  λ of red and blue are different  hence maxima at different angles / positions B1 B1 A0 [2],"(28, 'b.i')"
45,"White light is incident on a diffraction grating, as shown in Fig. 4.1.  (DIAGRAM)  The diffraction pattern formed on the screen has white light, called zero order, and coloured spectra in other orders.   Light of wavelength 625 nm produces a second-order maximum at an angle of 61.0° to the incident direction. Determine the number of lines per metre of the diffraction grating.  number of lines = ......................................... m–1 [2]",  nλ = d sin θ N = sin 61° / (2 × 625 × 10–9) = 7.0 × 105,nλ = d sin θ N = sin 61° / (2 × 625 × 10–9) = 7.0 × 105 C1 A1 [2],"(28, 'b.ii')"
46,"White light is incident on a diffraction grating, as shown in Fig. 4.1.  (DIAGRAM)  The diffraction pattern formed on the screen has white light, called zero order, and coloured spectra in other orders.   Calculate the wavelength of another part of the visible spectrum that gives a maximum for a different order at the same angle as in (ii).  wavelength = ……………………..…….. nm [2]",  nλ = 2 × 625 is a constant (1250)  n = 1  →  λ = 1250 outside visible n = 3  →  λ = 417 in visible n = 4  →  λ = 312.5 outside visible λ = 420 nm,nλ = 2 × 625 is a constant (1250) n = 1 → λ = 1250 outside visible n = 3 → λ = 417 in visible n = 4 → λ = 312.5 outside visible λ = 420 nm C1    A1 [2],"(28, 'b.iii')"
47,State the principle of superposition. ................................................................... [2],when two (or more) waves meet (at a point) (resultant) displacement is (vector) sum of individual displacements,when two (or more) waves meet (at a point) (resultant) displacement is (vector) sum of individual displacements B1 B1 [2],"(30, 'a')"
48,"Coherent light of wavelength 590 nm is incident normally on a double slit, as shown in Fig. 6.1.  (DIAGRAM)  The separation of the slits A and B is 1.4 mm. Interference fringes are observed on a screen placed parallel to the plane of the double slit. The distance between the screen and the double slit is 2.6 m. At point P on the screen, the path difference is zero for light arriving at P from the slits A and B.   Determine the separation of bright fringes on the screen near to point P.  separation = ....................................... mm [3]",  λ = ax / D (if no formula given and substitution is incorrect then 0/3) 590 × 10–9 = (1.4 × 10–3 × x) / 2.6 x = 1.1 mm,λ = ax / D  (if no formula given and substitution is incorrect then 0/3) 590 × 10–9 = (1.4 × 10–3 × x) / 2.6 x = 1.1mm C1 C1 A1 [3],"(30, 'b.i')"
49,"Coherent light of wavelength 590 nm is incident normally on a double slit, as shown in Fig. 6.1.  (DIAGRAM)  The separation of the slits A and B is 1.4 mm. Interference fringes are observed on a screen placed parallel to the plane of the double slit. The distance between the screen and the double slit is 2.6 m. At point P on the screen, the path difference is zero for light arriving at P from the slits A and B.   The variation with time of the displacement x of the light wave arriving at point P on the screen from slit A and from slit B is shown in Fig. 6.2a and Fig. 6.2b respectively.  (DIAGRAM)  1. State the phase difference between waves forming the dark fringe on the screen that is next to point P.      phase difference = ................................. ° [1] 2. Determine the ratio (intensity of light at a bright fringe / intensity of light at a dark fringe).      ratio = .......................................... [3]","  1. 180° (allow π if rad stated) 2. at maximum, amplitude is 3.4 units and at minimum, 0.6 units     intensity ~ amplitude2  allow I ~ a2      ratio = 3.42 / 0.62 = 32 ","1. 180°  (allow π if rad stated)  A1 [1] 2. at maximum, amplitude is 3.4 units and at minimum, 0.6 units     intensity ~ amplitude2  allow I ~ a2     ratio = 3.42 / 0.62     = 32 C1 C1  A1 [3]","(30, 'b.ii')"
50,"A student is studying a water wave in which all the wavefronts are parallel to one another. The variation with time t of the displacement x of a particular particle in the wave is shown in Fig.5.1.  (DIAGRAM)  The distance d of the oscillating particles from the source of the waves is measured. At a particular time, the variation of the displacement x with this distance d is shown in Fig.5.2.  (DIAGRAM)   Define, for a wave, what is meant by  displacement, .................................................................................................................................. ..............................................................................................................................[1]  ",  distance (of point on wave) from rest / equilibrium position,distance (of point on wave) from rest / equilibrium position B1 [1],"(31, 'a.i')"
51,"A student is studying a water wave in which all the wavefronts are parallel to one another. The variation with time t of the displacement x of a particular particle in the wave is shown in Fig.5.1.  (DIAGRAM)  The distance d of the oscillating particles from the source of the waves is measured. At a particular time, the variation of the displacement x with this distance d is shown in Fig.5.2.  (DIAGRAM)   Define, for a wave, what is meant by  wavelength. .................................................................................................................................. ..............................................................................................................................[1]  ",  distance moved by wave energy / wavefront during one cycle of the source or minimum distance between two points with the same phase or between adjacent crests or troughs,distance moved by wave energy / wavefront during one cycle of the source or minimum distance between two points with the same phase or between adjacent crests or troughs B1 [1],"(31, 'a.ii')"
52,"A student is studying a water wave in which all the wavefronts are parallel to one another. The variation with time t of the displacement x of a particular particle in the wave is shown in Fig.5.1.  (DIAGRAM)  The distance d of the oscillating particles from the source of the waves is measured. At a particular time, the variation of the displacement x with this distance d is shown in Fig.5.2.  (DIAGRAM)   Use Fig.5.1 and 5.2 to determine, for the water wave,  the period T of vibration,  T = ............................................... s [1]  ",  T = 0.60 s,T = 0.60 s B1 [1],"(31, 'b.i')"
53,"A student is studying a water wave in which all the wavefronts are parallel to one another. The variation with time t of the displacement x of a particular particle in the wave is shown in Fig.5.1.  (DIAGRAM)  The distance d of the oscillating particles from the source of the waves is measured. At a particular time, the variation of the displacement x with this distance d is shown in Fig.5.2.  (DIAGRAM)   Use Fig.5.1 and 5.2 to determine, for the water wave,  the wavelength λ,  λ = ............................................ cm [1]  ",  λ = 4.0 cm,λ = 4.0 cm B1 [1],"(31, 'b.ii')"
54,"A student is studying a water wave in which all the wavefronts are parallel to one another. The variation with time t of the displacement x of a particular particle in the wave is shown in Fig.5.1.  (DIAGRAM)  The distance d of the oscillating particles from the source of the waves is measured. At a particular time, the variation of the displacement x with this distance d is shown in Fig.5.2.  (DIAGRAM)   Use Fig.5.1 and 5.2 to determine, for the water wave,  the speed v.    v = .......................................cm s–1 [2]  ",  either v = λ/T   or   v = fλ  and  f = 1/T v = 6.7 cms–1,either v = λ/T  or  v = fλ  and  f = 1/T v = 6.7 cm s–1 C1 A1 [2],"(31, 'b.iii')"
55,"A student is studying a water wave in which all the wavefronts are parallel to one another. The variation with time t of the displacement x of a particular particle in the wave is shown in Fig.5.1.  (DIAGRAM)  The distance d of the oscillating particles from the source of the waves is measured. At a particular time, the variation of the displacement x with this distance d is shown in Fig.5.2.  (DIAGRAM)     Use Fig.5.1 and 5.2 to state and explain whether the wave is losing power as it moves away from the source.  .................................................................................................................................. .................................................................................................................................. ..............................................................................................................................[2]  ","  amplitude is decreasing so, it is losing power","amplitude is decreasing so, it is losing power M1 A1 [2]","(31, 'c.i')"
56,"A student is studying a water wave in which all the wavefronts are parallel to one another. The variation with time t of the displacement x of a particular particle in the wave is shown in Fig.5.1.  (DIAGRAM)  The distance d of the oscillating particles from the source of the waves is measured. At a particular time, the variation of the displacement x with this distance d is shown in Fig.5.2.  (DIAGRAM)     Determine the ratio   (DIAGRAM)        ratio = ............................................ [3]",  intensity ~ (amplitude)2 ratio = 2.02 / 1.12 = 3.3,intensity ~ (amplitude)2 ratio = 2.02 / 1.12 = 3.3 C1 C1 A1 [3],"(31, 'c.ii')"
57,State what is meant by the diffraction of a wave. .................................................................... [2],when a wave passes through a slit / by an edge  the wave spreads out / changes direction,when a wave passes through a slit / by an edge the wave spreads out / changes direction M1 A1 [2],"(32, 'a')"
58,"Plane wavefronts are incident on a slit, as shown in Fig. 5.1.  (DIAGRAM)  Complete Fig. 5.1 to show four wavefronts that have emerged from the slit. [2]  ","diagram: wavelength unchanged wavefront flat at centre, curving into geometrical shadow","diagram: wavelength unchanged   wavefront flat at centre, curving into geometrical shadow M1 A1 [2]","(32, 'b')"
59,"Monochromatic light is incident normally on a diffraction grating having 650 lines per millimetre, as shown in Fig. 5.2.  (DIAGRAM)  An image (the zero order) is observed for light that has an angle of diffraction equal to zero. For incident light of wavelength 590 nm, determine the number of orders of diffracted light that can be observed on each side of the zero order.   number = .............................................. [3]",d sin θ = nλ for θ = 90° 1 / (650 × 103) = n × 590 × 10–9 n = 2.6 number of orders is 2 ,d sin θ = nλ for θ = 90° 1 / (650 × 103) = n × 590 × 10–9 n = 2.6 number of orders is 2 C1  M1  A1 [3],"(32, 'c')"
60,"The images in Fig. 5.2 are viewed, starting with the zero order and then with increasing order number. State how the appearance of the images changes as the order number increases. .................................................................... [1]",intensity / brightness decreases (as order increases),intensity / brightness decreases (as order increases) B1 [1],"(32, 'd')"
