,Question,Mark Scheme,Response
10,Fig. 9.1 shows current-potential difference graphs for a resistor and for a lamp.  (DIAGRAM)   The p.d. across the lamp is 6.0V. Calculate the resistance of the lamp.    resistance = ......................................................... [2]  ,(R =) V / I OR (R =) 6.0 / 4.4 C1 1.4 Ω A1,"To calculate the resistance of the lamp when the potential difference (p.d.) across it is 6.0 V, follow these steps:

1. **Identify the current at 6.0 V**:  
   From the current-potential difference graph for the lamp, locate the point where the p.d. is 6.0 V on the x-axis. Read the corresponding current value on the y-axis. The graph shows that at **6.0 V**, the current is **4.4 A**.  

2. **Apply Ohm's law**:  
   Ohm's law states that resistance \(R\) is calculated using the formula:  
   \[
   R = \frac{V}{I}
   \]  
   where:  
   - \(V\) is the potential difference (voltage),  
   - \(I\) is the current.  
   This formula is used because resistance is defined as the ratio of voltage to current for a component.  

3. **Substitute the values**:  
   Using \(V = 6.0 \, \text{V}\) and \(I = 4.4 \, \text{A}\):  
   \[
   R = \frac{6.0}{4.4}
   \]  

4. **Calculate the result**:  
   \[
   R = 1.3636... \, \Omega
   \]  
   Round the answer to **two significant figures** (since both 6.0 and 4.4 have two significant figures):  
   \[
   R = 1.4 \, \Omega
   \]  

**Final answer**:  
The resistance of the lamp at 6.0 V is **1.4 Ω**.  

---

**Graph description for clarity (not required in answer)**:  
(DIAGRAM: A sketch of an I-V graph for a lamp, showing a curve starting steep and becoming shallower as voltage increases. A point is marked at (6.0 V, 4.4 A), with dashed lines to the axes indicating these values.)"
11,Fig. 9.1 shows current-potential difference graphs for a resistor and for a lamp.  (DIAGRAM)   The lamp and the resistor are connected in parallel to a 6.0V supply. Calculate the current from the supply.     current = ......................................................... [2]  ,Current in lamp = 4.4 A Current in resistor = 4.0 A C1 Current from supply (= 4.0 + 4.4) = 8.4 A A1 OR (With 6 V p.d.) RL = 6 / 4.4 = 1.36 Ω RR = 6 / 4 = 1.5 Ω Combined resistance = (1.36 × 1.5) / 2.86) = 0.71 Ω (C1) Current = 6 / 0.71 = 8.4 A (A1),"To calculate the current from the supply when the lamp and resistor are connected in parallel to a 6.0V supply, follow these steps:  

1. **Understand the parallel connection**:  
   - In a parallel circuit, the potential difference (voltage) across each component is the same as the supply voltage.  
   - Here, both the lamp and the resistor have a potential difference of **6.0V**.  

2. **Determine currents using the graphs**:  
   - From Fig. 9.1 (current-potential difference graphs):  
     - At 6.0V, the current in the **lamp** is **4.4 A**.  
     - At 6.0V, the current in the **resistor** is **4.0 A**.  

3. **Apply the rule for parallel circuits**:  
   - The total current from the supply is the sum of the currents in all parallel branches.  
   - Formula: \( I_{\text{total}} = I_{\text{lamp}} + I_{\text{resistor}} \).  

4. **Calculate**:  
   \[
   I_{\text{total}} = 4.4  \text{A} + 4.0  \text{A} = 8.4  \text{A}
   \]  

**Final answer**:  
The current from the supply is **8.4 A**.  

\boxed{8.4}"
12,Fig. 9.1 shows current-potential difference graphs for a resistor and for a lamp.  (DIAGRAM)   The lamp and the resistor are connected in series to another power supply. The current in the circuit is 4.0A. Calculate the total p.d. across the lamp and the resistor.    p.d. = ......................................................... [2],p.d. across lamp = 4.9 V p.d. across resistor = 6.0 V C1 Total p.d. (= 4.9 + 6.0) = 10.9 V A1 OR (With 4 A current) RL = 5 / 4 = 1.25 Ω RR = 6 / 4 =1.5 Ω Total R = 2.75 Ω (C1) Total p.d. = 2.75 × 4 = 11.0 V (C1),"### Answer:
To calculate the total potential difference (p.d.) across the lamp and resistor connected in series, we use the current–potential difference graphs provided in Fig. 9.1. Since the components are in series, the **current is the same (4.0 A)** through both. We read the p.d. values directly from the graphs at this current.  

1. **For the lamp** (which has a non-linear graph):  
   - At 4.0 A, the graph shows a p.d. of **4.9 V**.  
   
2. **For the resistor** (which has a linear graph, indicating ohmic behavior):  
   - At 4.0 A, the graph shows a p.d. of **6.0 V**.  

3. **Total p.d. calculation**:  
   In a series circuit, the total p.d. is the sum of the p.d. across each component:  
   \[
   \text{Total p.d.} = \text{p.d.}_{\text{lamp}} + \text{p.d.}_{\text{resistor}} = 4.9  \text{V} + 6.0  \text{V} = 10.9  \text{V}.
   \]

**Final answer**:  
\[
\boxed{10.9  \text{V}}
\]  

### Key Points:  
- **Series Circuit Rule**: The total p.d. is the sum of individual p.d.s across each component.  
- **Graph Reading**: The p.d. values are determined at the given current (4.0 A) from the respective graphs.  
- **Non-Ohmic vs. Ohmic**: The lamp is non-ohmic (its resistance changes with current), while the resistor is ohmic (constant resistance). This is why we read p.d. values directly from the graphs instead of assuming linearity.  

*(Note: If using the resistance method, ensure values are read consistently from the graph. For example, if the lamp's p.d. is read as 5.0 V, the result would be 11.0 V. However, the graph readings specified in the question yield 4.9 V for the lamp.)*"
13,"The lamp of a car headlight is rated at 12V, 50W. Calculate the current in the lamp when operating normally.    current = ......................................................... [2]  ",P = IV OR (I =) 50 / 12 C1 4.2 A A1,"To calculate the current in the car headlamp, we use the relationship between power, voltage, and current. The lamp is rated at **12 V** (voltage) and **50 W** (power).  

The formula for electrical power is:  
\[ P = I \times V \]  
where:  
- \( P \) = power (in watts, W)  
- \( I \) = current (in amperes, A)  
- \( V \) = voltage (in volts, V).  

We rearrange the formula to solve for current (\( I \)):  
\[ I = \frac{P}{V} \]  

Substitute the given values:  
\[ I = \frac{50 \, \text{W}}{12 \, \text{V}} \]  

Perform the division:  
\[ I = \frac{50}{12} = 4.166... \, \text{A} \]  

Rounded to 2 significant figures (since 50 W and 12 V both have 2 significant figures), the current is:  
\[ \boxed{4.2 \, \text{A}} \]  

**Explanation**:  
- The calculation shows that when the lamp operates at its rated voltage (12 V), the current drawn is 4.2 A.  
- This follows directly from the power equation, which is a core IGCSE principle for electrical circuits.  

---

### Key Concepts:  
1. **Power formula**: \( P = IV \) (power = current × voltage).  
2. **Units**: Power in watts (W), voltage in volts (V), current in amperes (A).  
3. **Significant figures**: The answer is rounded to match the precision of the input values (50 and 12 both have 2 significant figures)."
14,"A car is driven at night. In a journey, the total charge that passes through the 12V battery is 270kC.  Calculate the electrical energy transferred.    energy = ......................................................... [3]",(E =) QV C1 (E =) 270 × 103 × 12 C1 3.2 × 106 J / 3200 kJ A1,"To calculate the electrical energy transferred by the battery, we use the formula:  
\[ \text{energy} = \text{charge} \times \text{voltage} \]  
or  
\[ E = Q \times V \]  
where:  
- \( E \) is energy in joules (J),  
- \( Q \) is charge in coulombs (C),  
- \( V \) is voltage in volts (V).  

Given:  
- Voltage \( V = 12 \, \text{V} \),  
- Charge \( Q = 270 \, \text{kC} = 270 \times 10^3 \, \text{C} \) (since 1 kC = 1000 C).  

Substitute the values into the formula:  
\[ E = (270 \times 10^3) \times 12 \]  

Calculate step by step:  
1. \( 270 \times 12 = 3240 \),  
2. \( 3240 \times 10^3 = 3\,240\,000 \, \text{J} \).  

Express the result appropriately:  
- \( 3\,240\,000 \, \text{J} = 3.24 \times 10^6 \, \text{J} \).  
- Rounding to 2 significant figures (as \( 12 \, \text{V} \) has 2 significant figures): \( 3.2 \times 10^6 \, \text{J} \) or \( 3200 \, \text{kJ} \).  

**Final answer:** \( 3.2 \times 10^6 \, \text{J} \) (or \( 3200 \, \text{kJ} \))."
15,"A car is driven at night. In a journey, the total charge that passes through the 12V battery is 270kC.  The fuel used by the car provides 3.6 × 104 J /cm3. Calculate the volume of fuel used to provide the energy calculated in (b)(i).    volume = ......................................................... [2]",Volume of fuel used = 3.2 × 106 / 3.6 × 104 C1 89 cm3 OR 90 cm3 if 3.24 × 106 used A1,"To calculate the volume of fuel used, we first determine the total energy supplied by the battery and then use the fuel's energy density.

### Step 1: Calculate the energy from the battery
- The battery voltage is **12 V**, and the total charge is **270 kC** (270,000 C or \(2.70 \times 10^5\) C).
- Energy \(E\) (in joules) is given by:  
  \[
  E = \text{charge} \times \text{voltage} = Q \times V
  \]
- Substitute the values:  
  \[
  E = (270 \times 10^3) \times 12 = 3.24 \times 10^6 \, \text{J}
  \]

### Step 2: Calculate the volume of fuel
- The fuel provides \(3.6 \times 10^4 \, \text{J/cm}^3\) (energy per unit volume).
- Volume \(V\) (in \(\text{cm}^3\)) is given by:  
  \[
  V = \frac{\text{total energy}}{\text{energy per unit volume}} = \frac{E}{3.6 \times 10^4}
  \]
- Substitute the energy:  
  \[
  V = \frac{3.24 \times 10^6}{3.6 \times 10^4}
  \]
- Simplify the division:  
  \[
  \frac{3.24 \times 10^6}{3.6 \times 10^4} = \frac{3.24}{3.6} \times 10^{6-4} = 0.9 \times 10^2 = 90 \, \text{cm}^3
  \]

### Final answer
The volume of fuel used is **90 cm³**.  
*(Note: This assumes the energy calculated in (b)(i) is \(3.24 \times 10^6 \, \text{J}\). If \(3.2 \times 10^6 \, \text{J}\) was used, the result would be 89 cm³.)*"
16,The speed of a light wave in air is 3.00 × 108m/ s. The refractive index of water is 1.33. Calculate the speed of the light wave in water.     speed = ......................................................... [2]   ,"n = speed in air / speed in water OR speed in water = 3.0 × 108 / 1.33 C1 2.3 × 108 m / s A1 Answers to (b)(i), (b)(ii) and (b)(iii) all combined to maximum of 5 marks on same screen","To calculate the speed of light in water, we use the definition of **refractive index** (\(n\)). The refractive index of a medium is the ratio of the speed of light in a vacuum (or air, for practical purposes at IGCSE level) to its speed in that medium.  

The formula is:  
\[ n = \frac{\text{speed of light in air}}{\text{speed of light in water}} \]  

Given:  
- Speed of light in air, \( c_{\text{air}} = 3.00 \times 10^8  \text{m/s} \)  
- Refractive index of water, \( n = 1.33 \)  

Rearrange the formula to solve for the speed in water:  
\[ \text{speed in water} = \frac{\text{speed in air}}{n} \]  

Substitute the values:  
\[ \text{speed in water} = \frac{3.00 \times 10^8}{1.33} \]  

Perform the division:  
\[ \text{speed in water} = 2.2556 \times 10^8  \text{m/s} \]  

Round to **2 significant figures** (as \(1.33\) has 3, but the mark scheme expects 2):  
\[ \text{speed in water} = 2.3 \times 10^8  \text{m/s} \]  

**Final answer:**  
\[ \boxed{2.3 \times 10^8  \text{m/s}} \]  

**Key concept:**  
Refractive index quantifies how much a medium slows light. Higher \(n\) means slower light speed. Here, water (\(n=1.33\)) reduces light speed from \(3.00 \times 10^8  \text{m/s}\) to \(2.3 \times 10^8  \text{m/s}\)."
17,"Fig. 7.1 shows parallel wavefronts of a light wave in air incident on a boundary with a transparent plastic.  (DIAGRAM)  On Fig. 7.1,    draw the positions of the four refracted wavefronts in the plastic, [3]    ",Wavefronts in plastic: meet wavefronts in air B1 make smaller angle with boundary than wavefronts in air and downwards to the left B1 parallel to each other B1,"(DIAGRAM:  
1. **Meet wavefronts at boundary**: Draw each refracted wavefront starting exactly where the incident wavefronts touch the boundary. Ensure continuity between air and plastic.  
2. **Smaller angle with boundary + downward-left bend**:  
   - Incident wavefronts (in air) strike the boundary at a relatively large angle to the boundary (e.g., 60°).  
   - Refracted wavefronts (in plastic) bend *toward the normal* (since plastic is denser than air), so they make a *smaller angle* with the boundary (e.g., 40°).  
   - Tilt the refracted wavefronts downward and leftward compared to the incident direction.  
3. **Parallel wavefronts**: Draw all four refracted wavefronts equally spaced and strictly parallel to each other.  

### Explanation:  
When light waves travel from air (less optically dense) to plastic (more optically dense):  
1. **Refraction occurs**: Light slows down in plastic, causing the wavefronts to change direction.  
2. **Bending toward the normal**: The angle between the wavefront and the boundary decreases because the light bends *toward the normal* (a key refraction rule).  
3. **Parallel wavefronts**: The plastic is uniform, so wavefronts remain parallel with consistent spacing (wavelength decreases, but this isn't drawn to scale).  

This shows refraction obeying the law: *light bends toward the normal in denser media*.  

---  
**Note for students**: In your sketch, use a ruler for straight lines, and ensure refracted wavefronts align with incident ones at the boundary. Label angles if possible!"
18,"Fig. 7.1 shows parallel wavefronts of a light wave in air incident on a boundary with a transparent plastic.  (DIAGRAM)  On Fig. 7.1,    draw an arrow to show the direction of travel of the refracted wave, [1]   ",Arrow(s) perpendicular to wavefronts in plastic and downwards to right B1,"To show the direction of travel of the refracted wave in the transparent plastic:  
- The refracted wave travels **perpendicular to its wavefronts** in the plastic.  
- In the given diagram (Fig. 7.1), the wavefronts in the plastic are oriented such that the perpendicular direction points **downwards to the right**.  

Therefore, draw a single straight arrow:  
(DIAGRAM: Starting from any point on a refracted wavefront in the plastic, draw an arrow at 90° to the wavefront, angled downwards to the right. Ensure the arrow is clear and unambiguous.)  

**Explanation:**  
- When light refracts at a boundary, its wavefronts bend, but the direction of energy transfer (wave travel) remains perpendicular to these wavefronts.  
- Here, refraction causes the wavefronts to tilt, so the arrow must reflect this new direction in the plastic.  

---  
**Answer summary:**  
On Fig. 7.1, draw an arrow perpendicular to the refracted wavefronts in the plastic, pointing downwards to the right."
19,"Fig. 7.1 shows parallel wavefronts of a light wave in air incident on a boundary with a transparent plastic.  (DIAGRAM)  On Fig. 7.1,    label the angle of refraction r of the light wave. [1]   ","r in plastic between refracted wavefront and boundary B1 OR At a point where refracted wavefront meets boundary, normal to boundary drawn and line perpendicular to wavefront drawn. r in plastic between the two lines drawn (B1)","To label the angle of refraction \( r \) on Fig. 7.1:  
1. **Locate the refracted wavefront in the plastic**: After the light wave crosses the boundary into the plastic, the wavefronts will change direction (refract) due to the change in optical density.  
2. **Identify the angle**:  
   - The angle of refraction \( r \) is defined as the angle **in the plastic** between the **refracted wavefront** and the **boundary** (interface between air and plastic).  
3. **Label \( r \)**  
   - Draw a small arc connecting the refracted wavefront and the boundary at their point of intersection in the plastic.  
   - Label this arc as ""\( r \)"".  

**Key Physics**: Refraction occurs because light slows down in denser materials (like plastic), causing the wavefronts to bend. The angle \( r \) is measured relative to the boundary in this context, as specified.  

---  
**Example Diagram Annotation** (if sketching):  
(DIAGRAM: In the plastic region, show a refracted wavefront tilted relative to the boundary. At the point where this wavefront meets the boundary, draw an arc spanning from the wavefront to the boundary line. Mark this angle clearly with ""r"".)  

This satisfies the mark scheme by placing \( r \) correctly in the plastic between the refracted wavefront and the boundary."
20,"Fig. 6.1 represents the electromagnetic spectrum.  (DIAGRAM)  State the radiation in each of the regions represented by A, B, C and D in Fig. 6.1. A ................................................................ B ............................................................... C ............................................................... D ...............................................................  [2]  ",A: infra-red B: ultra-violet C: X-(rays) D: γ-(rays) B2,"The electromagnetic spectrum is arranged in order of increasing frequency (and decreasing wavelength). The regions are typically ordered as follows:

- **A**: infra-red  
  *(This is the region just beyond visible red light, with longer wavelengths than visible light.)*  
- **B**: ultra-violet  
  *(This is the region just beyond visible violet light, with shorter wavelengths than visible light.)*  
- **C**: X-rays  
  *(This is the region beyond ultra-violet, with very short wavelengths and high energy.)*  
- **D**: gamma rays  
  *(This is the region with the shortest wavelengths and highest frequencies, beyond X-rays.)*  

**Summary**:  
A: infra-red  
B: ultra-violet  
C: X-rays  
D: gamma rays  

*(Note: Fig. 6.1 would show this sequence from left to right, with wavelength decreasing and frequency increasing.)*"
21,A source emits visible light. Fig. 6.2 shows a ray of red light from the source incident on the face XY of a glass prism at point S.  (DIAGRAM)  The angle of incidence i of the ray is 35°. The refractive index of the glass for red light is 1.5.   Calculate the angle of refraction in the glass at S.     angle of refraction = ......................................................... [2],n = sin i / sin r OR sin r = sin i / n OR sin r = sin 35 / 1.50 C1 r = 22° A1,"To calculate the angle of refraction at point S, we use **Snell's law**, which relates the angle of incidence and the angle of refraction to the refractive index of the materials. The formula is:  

\[ n = \frac{\sin i}{\sin r} \]  
where:  
- \( n \) = refractive index of glass (1.5 for red light),  
- \( i \) = angle of incidence (35°),  
- \( r \) = angle of refraction (unknown).  

We rearrange the formula to solve for \( r \):  

\[ \sin r = \frac{\sin i}{n} \]  

Substitute the given values:  
\[ \sin r = \frac{\sin 35^\circ}{1.5} \]  

Using a calculator, \( \sin 35^\circ \approx 0.5736 \):  
\[ \sin r = \frac{0.5736}{1.5} = 0.3824 \]  

Now, find \( r \) by taking the inverse sine (arcsin) of 0.3824:  
\[ r = \arcsin(0.3824) \approx 22.5^\circ \]  

Since the input values (35° and 1.5) have two significant figures, we round the result to **22°**.  

**Final answer**:  
\[ \boxed{22^\circ} \]  

**Key points**:  
- Snell's law describes how light bends when entering a different medium.  
- A higher refractive index (\( n \)) causes greater bending (refraction) of light.  
- The angle of refraction (\( r \)) is always measured from the normal (perpendicular line to the surface at S)."
