,Prompt,Response
13,"A hand touching metal and rubber bars at the same temperature. Arrows show large, rapid heat flow away from the skin into the metal, but small, slow heat flow into the rubber.","\begin{tikzpicture}
  % Hand
  \draw[fill=lightgray!20] (0,0) rectangle (1,4);
  \node at (0.5,2) {Hand};
  
  % Metal bar
  \draw[fill=gray!30] (1,2) rectangle (5,4);
  \node at (3,3) {Metal};
  
  % Rubber bar
  \draw[fill=gray!50] (1,0) rectangle (5,2);
  \node at (3,1) {Rubber};
  
  % Heat flow arrows
  % Metal: large, rapid (thick, long, multiple arrows)
  \draw[->, red, line width=1.5pt] (1.2,3.2) -- (3.5,3.2);
  \draw[->, red, line width=1.5pt] (1.2,2.8) -- (4.0,2.8);
  \node[red, above] at (2.5,3.5) {Large, rapid heat flow};
  
  % Rubber: small, slow (thin, short, single arrow)
  \draw[->, blue, line width=0.8pt] (1.2,1.0) -- (1.8,1.0);
  \node[blue, below] at (1.5,0.5) {Small, slow heat flow};
  
  % Temperature label
  \node at (3,-0.5) {Same temperature};
\end{tikzpicture}"
14,"Sketch two horizontal lines on a temperature-time graph: one at 0°C for melting ice, another at 100°C for boiling water. Label ""Phase Change"" where temperature is flat.","\begin{tikzpicture}
  % Axes setup
  \draw[->] (0, -1) -- (0, 6) node[left] {Temperature ($^\circ$C)};
  \draw[->] (0, 0) -- (8, 0) node[below] {Time};
  
  % Y-axis labels
  \draw (0,0) -- (-0.15,0) node[left] {0};
  \draw (0,5) -- (-0.15,5) node[left] {100};
  
  % Horizontal lines with labels
  \draw[thick] (1,0) -- (3.5,0) 
    node[midway, above] {Phase Change}
    node[midway, below=0.3cm] {Melting Ice (0$^\circ$C)};
  
  \draw[thick] (4.5,5) -- (7,5) 
    node[midway, above] {Phase Change}
    node[midway, below=0.3cm] {Boiling Water (100$^\circ$C)};
\end{tikzpicture}"
15,Circle with arrows showing tangential velocity vectors at different positions,"\begin{tikzpicture}
  \def\radius{2cm}
  \draw (0,0) circle (\radius);
  \foreach \angle in {0,45,...,315} {
    \draw[->, >=stealth, thick] (\angle:\radius) -- ++({\angle+90}:0.5);
  }
\end{tikzpicture}"
16,Acceleration-time graph with time on the x-axis and acceleration on the y-axis. A horizontal line at a = g ≈ 9.8 m/s² from t=0 onwards.,"\begin{tikzpicture}[x=1cm, y=1cm, >=stealth]
    % Axes
    \draw[->] (-1,0) -- (10,0) node[below] {time (s)};
    \draw[->] (0,-1) -- (0,12) node[left] {acceleration (m/s$^2$)};
    
    % Grid (optional, improves readability)
    \draw[gray!20, thin] (0,0) grid (9.5,11.5);
    
    % Acceleration line
    \draw[ultra thick, blue] (0,9.8) -- (9.5,9.8);
    
    % Labels
    \node[above right] at (0,9.8) {$a = g \approx 9.8$ m/s$^2$};
    \draw[dashed] (0,9.8) -- (9.5,9.8) node[midway, above] {}; % Label already placed
    
    % Y-axis marker
    \draw (0.2,9.8) -- (-0.2,9.8) node[left] {9.8};
    
    % Origin marker
    \node[below left] at (0,0) {0};
\end{tikzpicture}"
17,diagonal line sloping upwards,"\begin{tikzpicture}
    \draw[thick] (0,0) -- (4,4);
\end{tikzpicture}"
18,flat line,"\documentclass[tikz]{standalone}
\begin{document}
\begin{tikzpicture}
    \draw (-3,0) -- (3,0);
\end{tikzpicture}
\end{document}"
19,diagonal line sloping upwards again,"\documentclass[tikz,border=3mm]{standalone}
\begin{document}
\begin{tikzpicture}
    \draw[thick] (0,0) -- (3,3);
\end{tikzpicture}
\end{document}"
20,"Sketch a distance-time graph with labels: P-Q as ↗️ straight, Q-R as → flat, R-S as ↗️ straight.","\begin{tikzpicture}[scale=1.5]
    % Axes
    \draw[->, thick] (0,0) -- (7,0) node[right] {Time};
    \draw[->, thick] (0,0) -- (0,4) node[above] {Distance};
    
    % Grid (optional for clarity)
    \draw[gray!20, thin] (0,0) grid (6.5,3.5);
    
    % Points and segments
    \coordinate (P) at (1,1);
    \coordinate (Q) at (3,2);
    \coordinate (R) at (4,2);
    \coordinate (S) at (6,3);
    
    % Plot lines
    \draw[thick] (P) -- node[above left, pos=0.95] {P-Q} (Q);
    \draw[thick] (Q) -- node[above, pos=0.5] {Q-R} (R);
    \draw[thick] (R) -- node[above right, pos=0.95] {R-S} (S);
    
    % Point labels
    \fill (P) circle (2pt) node[below left] {P};
    \fill (Q) circle (2pt) node[above left] {Q};
    \fill (R) circle (2pt) node[below right] {R};
    \fill (S) circle (2pt) node[above] {S};
\end{tikzpicture}"
21,"β-particles passing through paper, reaching the detector","\begin{tikzpicture}
    % Source
    \draw[fill=white] (0,0) circle (0.5);
    \node at (0,0) {Source};

    % Paper barrier
    \draw[fill=lightgray!40] (3,-1) rectangle (4,1);
    \node at (3.5,0) {Paper};

    % Detector
    \draw[fill=white] (6,-1) rectangle (7,1);
    \node at (6.5,0) {Detector};

    % Beta particles (arrows)
    \draw[->, thick, shorten >=0.5cm] (0,0) -- (6,0);
    \draw[->, thick, shorten >=0.5cm] (0,0) -- (6,0.5);
    \draw[->, thick, shorten >=0.5cm] (0,0) -- (6,-0.5);
\end{tikzpicture}"
22,γ-rays penetrating paper unimpeded,"\begin{tikzpicture}
    % Paper sheet
    \fill[lightgray!50] (0,0) rectangle (4,3);
    \draw[thick] (0,0) rectangle (4,3);
    \node at (2,1.5) {Paper};
    
    % Gamma rays (arrows penetrating paper)
    \foreach \y in {0.5,1.5,2.5} {
        \draw[->, line width=1.5pt, red] (-1,\y) -- (5,\y);
    }
    
    % Gamma ray label
    \node[red, left] at (-1,2.5) {$\gamma$-rays};
\end{tikzpicture}"
23,α-particles colliding with paper atoms and stopping,"\documentclass[tikz,border=10pt]{standalone}
\usetikzlibrary{arrows.meta}
\begin{document}
\begin{tikzpicture}[>=Latex, scale=0.8]

% Alpha particles (arrows)
\foreach \y/\xend in {1.5/1.2, 0.5/0.7, -0.5/1.8, -1.5/2.5} {
  \draw[->, thick] (-1,\y) -- (\xend,\y);
}

% Atoms (nuclei)
\foreach \pos in {(0.8,1.5), (1.2,-0.5), (2.3,0), (1.7,-1.5), (0.4,-0.8)} {
  \node[circle, draw, fill=white, inner sep=2pt] at \pos {$+$};
}

% Stopped particles
\foreach \pos in {(1.2,1.5), (0.7,0.5), (1.8,-0.5), (2.5,-1.5)} {
  \fill \pos circle (1.5pt);
}

% Labels
\node[above] at (-1,1.5) {$\alpha$};
\node[above] at (3,2) {Paper};

\end{tikzpicture}
\end{document}"
25,"Magnet with north pole facing left toward end X of a horizontal iron bar; magnet is moved near X in one experiment and near Y in another, but always with its north pole oriented leftward","\begin{tikzpicture}
    % Iron bar
    \draw[thick] (0,0) rectangle (6,0.5);
    \node at (0,0.25) [left] {X};
    \node at (6,0.25) [right] {Y};
    
    % Magnet near X (experiment 1)
    \draw[thick] (0.5,1) rectangle (1.5,1.5);
    \draw[thick] (1,1) -- (1,1.5);
    \node at (0.75,1.25) {N};
    \node at (1.25,1.25) {S};
    
    % Magnet near Y (experiment 2)
    \draw[thick] (6,1) rectangle (7,1.5);
    \draw[thick] (6.5,1) -- (6.5,1.5);
    \node at (6.25,1.25) {N};
    \node at (6.75,1.25) {S};
\end{tikzpicture}"
26,"Four waves on identical displacement-time axes. Wave A has low frequency, long wavelength. Wave B has medium-low frequency. Wave C has medium-high frequency. Wave D has the highest frequency/shortest wavelength, with the most complete waves in the given time.","\begin{tikzpicture}[x=1.5cm, y=1cm]
    % Wave A: Low frequency, long wavelength
    \begin{scope}[shift={(0,0)}]
        \draw[->] (0,0) -- (4.2,0) node[right] {t (s)};
        \draw[->] (0,-1.2) -- (0,1.2) node[above] {displacement (m)};
        \draw[thick, domain=0:4, samples=100] plot (\x, {sin(90*\x)});
        \node[above] at (2,1.5) {Wave A};
    \end{scope}
    
    % Wave B: Medium-low frequency
    \begin{scope}[shift={(0,-4)}]
        \draw[->] (0,0) -- (4.2,0) node[right] {t (s)};
        \draw[->] (0,-1.2) -- (0,1.2) node[above] {displacement (m)};
        \draw[thick, domain=0:4, samples=200] plot (\x, {sin(180*\x)});
        \node[above] at (2,1.5) {Wave B};
    \end{scope}
    
    % Wave C: Medium-high frequency
    \begin{scope}[shift={(0,-8)}]
        \draw[->] (0,0) -- (4.2,0) node[right] {t (s)};
        \draw[->] (0,-1.2) -- (0,1.2) node[above] {displacement (m)};
        \draw[thick, domain=0:4, samples=400] plot (\x, {sin(360*\x)});
        \node[above] at (2,1.5) {Wave C};
    \end{scope}
    
    % Wave D: Highest frequency, shortest wavelength
    \begin{scope}[shift={(0,-12)}]
        \draw[->] (0,0) -- (4.2,0) node[right] {t (s)};
        \draw[->] (0,-1.2) -- (0,1.2) node[above] {displacement (m)};
        \draw[thick, domain=0:4, samples=800] plot (\x, {sin(720*\x)});
        \node[above] at (2,1.5) {Wave D};
    \end{scope}
\end{tikzpicture}"
27,A temperature-time graph for melting ice would show a flat horizontal line at 0°C during the melting process.,"\begin{tikzpicture}
  \begin{axis}[
      axis lines = left,
      xlabel = Time,
      ylabel = {Temperature (°C)},
      xmin = 0, xmax = 5,
      ymin = -15, ymax = 5,
      grid = both,
      minor tick num = 1,
      grid style = {dotted, gray!50},
      major grid style = {line width = 0.4pt, draw = gray!50},
      xtick = {0,1,2,3,4,5},
      ytick = {-10,0},
      yticklabels = {-10,0},
      width = 10cm,
      height = 6cm
  ]
  \addplot[blue, thick] coordinates {
    (0, -10)
    (1, 0)
    (4, 0)
    (5, 5)
  };
  \end{axis}
\end{tikzpicture}"
28,A temperature-time graph for boiling water would show a flat horizontal line at 100°C during the boiling process.,"\begin{tikzpicture}[x=1cm, y=0.03cm, >=stealth]
    % Axes
    \draw[->] (0,0) -- (7,0) node[below] {Time};
    \draw[->] (0,0) -- (0,120) node[left] {Temperature ($^\circ$C)};
    
    % Temperature labels
    \node[left] at (0,100) {100°C};
    \node[left] at (0,20) {20°C};
    
    % Graph line
    \draw[thick] (0,20) -- (2,100) -- (6,100);
    
    % Boiling phase label
    \node[above] at (4,100) {Boiling water};
\end{tikzpicture}"
29,"A simple table with two columns: ""Renewable"" and ""Non-renewable"". Renewable column lists: Geothermal, Solar, Waves, Hydroelectric, Wind. Non-renewable column lists: Natural gas, Oil, Coal.","\begin{tikzpicture}
    % Draw horizontal lines
    \foreach \i in {0,1,...,6} {
        \draw (0,{-\i*0.8}) -- (8,{-\i*0.8});
    }
    % Draw vertical lines
    \draw (0,0) -- (0,{-6*0.8});
    \draw (4,0) -- (4,{-6*0.8});
    \draw (8,0) -- (8,{-6*0.8});
    
    % Headers
    \node at (2,-0.4) {Renewable};
    \node at (6,-0.4) {Non-renewable};
    
    % Renewable items
    \node at (2,-1.2) {Geothermal};
    \node at (2,-2.0) {Solar};
    \node at (2,-2.8) {Waves};
    \node at (2,-3.6) {Hydroelectric};
    \node at (2,-4.4) {Wind};
    
    % Non-renewable items
    \node at (6,-1.2) {Natural gas};
    \node at (6,-2.0) {Oil};
    \node at (6,-2.8) {Coal};
\end{tikzpicture}"
31,Straight line rising diagonally from P to Q. Arrows show equal distance covered in equal time intervals.,"\begin{tikzpicture}[scale=1]
    % Draw the straight line from P to Q
    \draw (0,0) -- (4,2);
    
    % Draw arrows showing equal distance in equal time intervals
    \foreach \i in {0,1,2,3} {
        \draw[-{Latex[length=3mm]}, thick] (\i, 0.5*\i) -- (\i+1, 0.5*\i + 0.5);
    }
    
    % Label points P and Q
    \node[below left] at (0,0) {$P$};
    \node[above right] at (4,2) {$Q$};
\end{tikzpicture}"
33,"Left side shows an electromagnet with full current attracting 5 pins at varying distances. Right side shows the same electromagnet with halved current attracting only 2 pins, all very close to the magnet.","\begin{tikzpicture}
    % Left diagram: Full current
    \begin{scope}[xshift=0cm]
        % Electromagnet (horizontal coil)
        \draw (0,0) to[L] (2,0);
        % Pins at varying distances (5 pins)
        \foreach \x/\y in {2.2/0, 2.5/0.1, 2.8/0, 3.1/-0.1, 3.4/0} {
            \draw[fill=black] (\x,\y) rectangle ++(0.2,0.1);
        }
    \end{scope}
    
    % Right diagram: Halved current
    \begin{scope}[xshift=5cm]
        % Electromagnet (horizontal coil)
        \draw (0,0) to[L] (2,0);
        % Very close pins (2 pins)
        \draw[fill=black] (2.1,0) rectangle ++(0.2,0.1);
        \draw[fill=black] (2.2,0.1) rectangle ++(0.2,0.1);
    \end{scope}
\end{tikzpicture}"
35,"Eye at Y receives diverging rays from the lens, allowing it to ""see"" the virtual image.","\begin{tikzpicture}[>=stealth]
  \usetikzlibrary{optics}
  \draw[dotted] (-5,0) -- (4,0); % Optical axis
  \node[lens, lens type=diverging] (lens) at (0,0) {};
  \draw (-2,0) -- (-2,0.1) node[below] {$F_1$}; % Left focal point
  \draw (2,0) -- (2,0.1) node[below] {$F_2$}; % Right focal point
  \draw[thick, ->] (-4,0) -- (-4,1) node[left] {Object}; % Object
  \draw[thick, dashed, ->] (-1.333,0) -- (-1.333,0.333) node[above left] {Virtual Image}; % Virtual image
  \draw[red, thick] (-4,1) -- (0,1) -- (3,-1); % Parallel ray path
  \draw[blue, thick] (-4,1) -- (0,0) -- (3,-1); % Central ray path
  \draw[red, dashed] (0,1) -- (-1.333,0.333); % Virtual extension (parallel)
  \draw[blue, dashed] (0,0) -- (-1.333,0.333); % Virtual extension (central)
  \fill (3,-1) circle (2pt) node[below] {Y}; % Eye at Y
\end{tikzpicture}"
36,"wave moving right, with electric field arrows up/down and magnetic field arrows in/out of the page","\begin{tikzpicture}[x=1cm, y=1cm, >=latex]
  % Draw x-axis (direction of propagation)
  \draw[->, thick] (-0.5,0) -- (4.5,0) node[below] {Direction of propagation};
  
  % Draw electric field arrows (red) and magnetic field symbols (black)
  \foreach \x in {0.5,1,1.5,2.5,3,3.5} {
    \pgfmathsetmacro{\evalue}{0.5*sin(90*\x)}
    \pgfmathparse{\evalue > 0 ? 1 : 0}
    \ifnum\pgfmathresult=1
      % Positive E: upward arrow, B out (circle)
      \draw[red, ->, thick] (\x,0) -- (\x, \evalue);
      \draw[thick] (\x, -0.5) circle (0.1);
    \else
      % Negative E: downward arrow, B in (cross)
      \draw[red, ->, thick] (\x,0) -- (\x, \evalue);
      \draw[thick] (\x-0.1, -0.5-0.1) -- (\x+0.1, -0.5+0.1);
      \draw[thick] (\x-0.1, -0.5+0.1) -- (\x+0.1, -0.5-0.1);
    \fi
  }
  
  % Label electric field
  \node[red, above] at (1, 0.5) {$\vec{E}$};
  
  % Label magnetic field
  \node[above] at (1, -0.5) {$\vec{B}$};
  \node[right, font=\footnotesize] at (1.1, -0.5) {(out)};
  \node[above] at (3, -0.5) {$\vec{B}$};
  \node[right, font=\footnotesize] at (3.1, -0.5) {(in)};
\end{tikzpicture}"
37,"wave moving right, with compressed regions and stretched regions parallel to motion","\begin{tikzpicture}
  % Axis with arrow for direction of wave
  \draw[->] (0,0) -- (7.5,0) node[right] {Direction of wave};

  % Compression regions (denser markings)
  \foreach \x in {0,0.2,0.4,0.6,0.8,1.0,3.0,3.2,3.4,3.6,3.8,4.0,6.0,6.2,6.4,6.6,6.8,7.0}
    \draw (\x, -0.1) -- (\x, 0.1);

  % Stretched regions (sparser markings)
  \foreach \x in {1.5,2.0,2.5,4.5,5.0,5.5}
    \draw (\x, -0.1) -- (\x, 0.1);

  % Labels for compressed regions
  \draw (0,0.3) -- (1,0.3) node[midway, above] {Compressed};
  \draw (3,0.3) -- (4,0.3) node[midway, above] {Compressed};
  \draw (6,0.3) -- (7,0.3) node[midway, above] {Compressed};

  % Labels for stretched regions
  \draw (1,0.3) -- (3,0.3) node[midway, above] {Stretched};
  \draw (4,0.3) -- (6,0.3) node[midway, above] {Stretched};
\end{tikzpicture}"
38,A simple series circuit with a fixed resistor and the LDR connected across a power supply,"\begin{tikzpicture}[circuitikz]
    \draw (0,0) to [battery1, l=$V$] (0,2) 
                to [R, l=fixed resistor] (3,2) 
                to [ldr, l=LDR] (6,2)
                to [short] (6,0)
                to [short] (0,0);
\end{tikzpicture}"
39,"A cup with ""liquid molecules"" inside. Arrows show some molecules turning into ""gas/vapor"" and escaping upwards. Label: ""Escaping vapor = loss of mass → loss of weight"".","\begin{tikzpicture}
    % Draw cup
    \draw[thick] (0,0) -- (0,-2) -- (3,-2) -- (3,0);
    
    % Draw liquid molecules (random distribution)
    \foreach \x in {0.3,0.7,1.1,1.5,1.9,2.3,2.7} {
        \foreach \y in {-0.4,-0.8,-1.2,-1.6} {
            \node[circle, fill=black, inner sep=0.8pt] at (\x,\y) {};
        }
    }
    
    % Draw escaping vapor molecules with arrows
    \node[circle, fill=black, inner sep=0.8pt] (m1) at (0.8,0) {};
    \draw[-stealth, thick] (m1) -- ++(0,1) node[circle, fill=black, inner sep=0.8pt, pos=1] {};
    
    \node[circle, fill=black, inner sep=0.8pt] (m2) at (1.5,0) {};
    \draw[-stealth, thick] (m2) -- ++(0,1.3) node[circle, fill=black, inner sep=0.8pt, pos=1] {};
    
    \node[circle, fill=black, inner sep=0.8pt] (m3) at (2.2,0) {};
    \draw[-stealth, thick] (m3) -- ++(0,0.8) node[circle, fill=black, inner sep=0.8pt, pos=1] {};
    
    % Add label
    \node[align=center] at (1.5,1.8) {Escaping vapor = loss of mass → loss of weight};
\end{tikzpicture}"
40,"Simplified sketch of a metre rule’s end. Major marks labeled ""0 cm"", ""1 cm"", ""2 cm"". Between 0 cm and 1 cm, 10 smaller divisions are shown. The feather ends exactly at the 9th small mark after 0 cm.","\begin{tikzpicture}[x=1cm, y=1cm]
    % Draw the metre rule base line
    \draw[line width=1.5pt] (-0.5,0) -- (2.5,0);
    
    % Draw major marks at 0 cm, 1 cm, 2 cm
    \foreach \x in {0,1,2} {
        \draw[line width=0.8pt] (\x,0) -- (\x,0.3);
        \node[below] at (\x,-0.1) {\x{} cm};
    }
    
    % Draw 10 minor divisions between 0 cm and 1 cm
    \foreach \x in {0.1,0.2,...,0.9} {
        \draw (\x,0) -- (\x,0.15);
    }
    
    % Indicate feather position at 9th small mark (0.9 cm)
    \draw[dashed] (0.9,0) -- (0.9,0.5);
    \node[above] at (0.9,0.5) {Feather};
\end{tikzpicture}"
