,question,answer,index
11,Fig. 9.1 shows current-potential difference graphs for a resistor and for a lamp.  (DIAGRAM)   The lamp and the resistor are connected in parallel to a 6.0V supply. Calculate the current from the supply.     current = ......................................................... [2]  ,Current in lamp = 4.4 A Current in resistor = 4.0 A C1 Current from supply (= 4.0 + 4.4) = 8.4 A A1 OR (With 6 V p.d.) RL = 6 / 4.4 = 1.36 Ω RR = 6 / 4 = 1.5 Ω Combined resistance = (1.36 × 1.5) / 2.86) = 0.71 Ω (C1) Current = 6 / 0.71 = 8.4 A (A1),"(2, 'c')"
12,Fig. 9.1 shows current-potential difference graphs for a resistor and for a lamp.  (DIAGRAM)   The lamp and the resistor are connected in series to another power supply. The current in the circuit is 4.0A. Calculate the total p.d. across the lamp and the resistor.    p.d. = ......................................................... [2],p.d. across lamp = 4.9 V p.d. across resistor = 6.0 V C1 Total p.d. (= 4.9 + 6.0) = 10.9 V A1 OR (With 4 A current) RL = 5 / 4 = 1.25 Ω RR = 6 / 4 =1.5 Ω Total R = 2.75 Ω (C1) Total p.d. = 2.75 × 4 = 11.0 V (C1),"(2, 'd')"
13,"The lamp of a car headlight is rated at 12V, 50W. Calculate the current in the lamp when operating normally.    current = ......................................................... [2]  ",P = IV OR (I =) 50 / 12 C1 4.2 A A1,"(3, 'a')"
14,"A car is driven at night. In a journey, the total charge that passes through the 12V battery is 270kC.  Calculate the electrical energy transferred.    energy = ......................................................... [3]",(E =) QV C1 (E =) 270 × 103 × 12 C1 3.2 × 106 J / 3200 kJ A1,"(3, 'b.i')"
15,"A car is driven at night. In a journey, the total charge that passes through the 12V battery is 270kC.  The fuel used by the car provides 3.6 × 104 J /cm3. Calculate the volume of fuel used to provide the energy calculated in (b)(i).    volume = ......................................................... [2]",Volume of fuel used = 3.2 × 106 / 3.6 × 104 C1 89 cm3 OR 90 cm3 if 3.24 × 106 used A1,"(3, 'b.ii')"
16,The speed of a light wave in air is 3.00 × 108m/ s. The refractive index of water is 1.33. Calculate the speed of the light wave in water.     speed = ......................................................... [2]   ,"n = speed in air / speed in water OR speed in water = 3.0 × 108 / 1.33 C1 2.3 × 108 m / s A1 Answers to (b)(i), (b)(ii) and (b)(iii) all combined to maximum of 5 marks on same screen","(4, 'a')"
17,"Fig. 7.1 shows parallel wavefronts of a light wave in air incident on a boundary with a transparent plastic.  (DIAGRAM)  On Fig. 7.1,    draw the positions of the four refracted wavefronts in the plastic, [3]    ",Wavefronts in plastic: meet wavefronts in air B1 make smaller angle with boundary than wavefronts in air and downwards to the left B1 parallel to each other B1,"(4, 'b.i')"
18,"Fig. 7.1 shows parallel wavefronts of a light wave in air incident on a boundary with a transparent plastic.  (DIAGRAM)  On Fig. 7.1,    draw an arrow to show the direction of travel of the refracted wave, [1]   ",Arrow(s) perpendicular to wavefronts in plastic and downwards to right B1,"(4, 'b.ii')"
19,"Fig. 7.1 shows parallel wavefronts of a light wave in air incident on a boundary with a transparent plastic.  (DIAGRAM)  On Fig. 7.1,    label the angle of refraction r of the light wave. [1]   ","r in plastic between refracted wavefront and boundary B1 OR At a point where refracted wavefront meets boundary, normal to boundary drawn and line perpendicular to wavefront drawn. r in plastic between the two lines drawn (B1)","(4, 'b.iii')"
20,"Fig. 6.1 represents the electromagnetic spectrum.  (DIAGRAM)  State the radiation in each of the regions represented by A, B, C and D in Fig. 6.1. A ................................................................ B ............................................................... C ............................................................... D ...............................................................  [2]  ",A: infra-red B: ultra-violet C: X-(rays) D: γ-(rays) B2,"(5, 'a')"
21,A source emits visible light. Fig. 6.2 shows a ray of red light from the source incident on the face XY of a glass prism at point S.  (DIAGRAM)  The angle of incidence i of the ray is 35°. The refractive index of the glass for red light is 1.5.   Calculate the angle of refraction in the glass at S.     angle of refraction = ......................................................... [2],n = sin i / sin r OR sin r = sin i / n OR sin r = sin 35 / 1.50 C1 r = 22° A1,"(5, 'b.i')"
22,"A source emits visible light. Fig. 6.2 shows a ray of red light from the source incident on the face XY of a glass prism at point S.  (DIAGRAM)  The angle of incidence i of the ray is 35°. The refractive index of the glass for red light is 1.5.   On Fig. 6.2, draw the refracted ray at face XY and the ray emerging from face XZ of the prism. Label this ray R. [2]  ",Refraction at XY drawn with r < i B1 Refraction at XZ drawn with r > i B1,"(5, 'b.ii')"
23,"A source emits visible light. Fig. 6.2 shows a ray of red light from the source incident on the face XY of a glass prism at point S.  (DIAGRAM)  The angle of incidence i of the ray is 35°. The refractive index of the glass for red light is 1.5.   A ray of blue light follows the same path as the ray of red light incident on the face XY. On Fig. 6.2, draw the path of this ray in the prism and emerging from the prism. Label this ray B. [2] ",Blue ray drawn below red ray in prism and drawn with r < i M1 Ray to right of prism diverging downwards from red ray A1,"(5, 'b.iii')"
24,"Fig. 5.1 shows the apparatus used to observe the motion of smoke particles that are in the air in a box.  (DIAGRAM)  Light from a lamp enters the box through a window in one side of the box. The smoke particles are observed using a microscope fixed above a window in the top of the box.   The motion of a single smoke particle is observed through the microscope. In the circle shown, sketch the path of this smoke particle.  (DIAGRAM) [1]",Sketch showing straight lines with sudden changes of direction B1,"(6, 'a.i')"
25,Fig. 5.1 shows the apparatus used to observe the motion of smoke particles that are in the air in a box.  (DIAGRAM)  Light from a lamp enters the box through a window in one side of the box. The smoke particles are observed using a microscope fixed above a window in the top of the box.   Explain why the smoke particle follows the path that is observed. ........................................................................................................................................... ........................................................................................................................................... ........................................................................................................................................... ...................................................................................................................................... [3]  ,Any 3 marks from 4 points: Air molecules move in random / different directions B1 Smoke particles are hit B1 by air molecules B1 Change direction at each collision OR undergo Brownian motion B1,"(6, 'a.ii')"
26,A tennis player is practising by hitting a ball many times against a wall. The ball hits the wall 20 times in 60s. The average change in momentum for each collision with the wall is 4.2kgm/s. Calculate the average force that the ball exerts on the wall.      average force = ......................................................... [3],F = (mv – mu) / t in any form OR Impulse = mv – mu C1 = 20 × 4.2 / 60 C1 1.4 N A1,"(6, 'b')"
27,"Fig. 4.1 shows a cold plastic spoon that has just been placed in hot liquid in a cup.  (DIAGRAM)   Describe, in terms of molecules, why the temperature of the whole of the spoon increases. ................................................................................................................................................... ................................................................................................................................................... ................................................................................................................................................... ................................................................................................................................................... .............................................................................................................................................. [3]  ",Molecules of hot liquid collide with (surface of) spoon B1 transfer energy / heat to (molecules of) spoon B1 (amplitude of) vibration of spoon's molecules increases / is faster (increasing spoon's temperature) B1,"(7, 'a')"
28,Fig. 4.1 shows a cold plastic spoon that has just been placed in hot liquid in a cup.  (DIAGRAM)   The plastic spoon is replaced by a metal spoon. Describe an additional process by which the temperature of the whole of this spoon increases. ................................................................................................................................................... ................................................................................................................................................... .............................................................................................................................................. [2]  ,Molecules of hot liquid (also) transfer energy to (free) electrons in the spoon B1 These (free) electrons move through the metal B1,"(7, 'b')"
29,"Fig. 4.1 shows a cold plastic spoon that has just been placed in hot liquid in a cup.  (DIAGRAM)   The cup contains 150g of liquid of specific heat capacity 4.2J/(g°C). When the cold spoon is placed into the hot liquid, the temperature of the liquid decreases from 80°C to 56°C. Calculate the loss of thermal energy from the liquid.      energy loss = ......................................................... [3] ",(Q =) mc∆θ C1 150 × 4.2 × (80 – 56) C1 15000 J A1,"(7, 'c')"
30,Complete the statement by writing in the blank spaces. The moment of a force about a pivot is equal to ...................................................................... multiplied by .......................................................................................................................... [1]  ,...(the) force × its perpendicular distance from pivot / a point B1,"(8, 'a')"
31,Fig. 3.1 shows a horizontal rod of length 2.4m and weight 160N. The weight of the rod acts at its centre. The rod is suspended by two vertical ropes X and Y. The tension in each rope is 80N.  (DIAGRAM)    State the name given to the point at which the weight of the rod acts. ...................................................................................................................................... [1],centre of mass B1,"(8, 'b.i')"
32,Fig. 3.1 shows a horizontal rod of length 2.4m and weight 160N. The weight of the rod acts at its centre. The rod is suspended by two vertical ropes X and Y. The tension in each rope is 80N.  (DIAGRAM)    Calculate the mass of the rod.    mass = ......................................................... [1],(mass =) 160 / 10 = 16 kg B1,"(8, 'b.ii')"
33,"Fig. 3.1 shows a horizontal rod of length 2.4m and weight 160N. The weight of the rod acts at its centre. The rod is suspended by two vertical ropes X and Y. The tension in each rope is 80N.  (DIAGRAM)    The rod is in equilibrium. Using data from Fig. 3.1, explain why. ........................................................................................................................................... ........................................................................................................................................... ........................................................................................................................................... ........................................................................................................................................... ........................................................................................................................................... ...................................................................................................................................... [4]",(Not moving up or down because) no resultant (vertical) force OR upward force = downward force C1 80 N + 80 N = 160 N A1 (Not rotating because) no resultant moment (about any point) OR (sum of) clockwise moments = (sum of) anticlockwise moments C1 clockwise moment (about centre) = 80 × 1.2 anticlockwise moment (about centre) = 80 × 1.2 A1,"(8, 'b.iii')"
34,A force is used to move an object from the Earth's surface to a greater height. Explain why the gravitational potential energy (g.p.e.) of the object increases. ................................................................................................................................................... .............................................................................................................................................. [1]  ,(Because g.p.e. is) the work done by the force OR the force × the distance that the object rises OR mgh and height is greater B1,"(9, 'a')"
35,"Fig. 2.1 shows a train moving up towards the top of a mountain.  (DIAGRAM)  The train transports 80 passengers, each of average mass 65kg, through a vertical height of 1600m. Calculate the increase in the total gravitational potential energy (g.p.e.) of the passengers.     increase in g.p.e. = ......................................................... [2]  ",mgh OR 80 × 65 × 10 × 1600 C1 8.3 × 107 J A1,"(9, 'b')"
36,The engine of the train has a power of 1500kW. The time taken to reach the top of the mountain is 30 minutes.  Calculate the efficiency of the engine in raising the 80 passengers 1600m to the top of the mountain.      efficiency = ......................................................... [4],Method 1   W = Pt OR E = Pt in any form C1 Work input =1500 × 103 × 30 × 60 OR 2.7 × 109 J C1 Efficiency = work output / work input (x 100)  C1 0.031 OR 3.1 % A1 Method 2   P = E/t in any form (C1) Power output = 8.3 × 107 / 30 × 60 (C1) Efficiency = power output / power input (× 100) (C1) 0.031 OR 3.1% (A1),"(9, 'c')"
37,"A test-tube containing solid wax is heated by placing it in a beaker of very hot water for several minutes. The solid wax becomes a liquid.   State, in terms of molecules, how a solid differs from a liquid. ........................................................................................................................................... ........................................................................................................................................... ........................................................................................................................................... ........................................................................................................................................... [2]  ",any two from: • molecules in regular positions/regular structure/fixed shape • molecules unable to move around/fixed positions/vibrate • (average) separation of molecules less/closely packed • more intermolecular bonds/stronger bonds/greater forces B2 2,"(0, 'a')"
38,"A test-tube containing solid wax is heated by placing it in a beaker of very hot water for several minutes. The solid wax becomes a liquid.   Explain,in terms of molecules,why thermal energy must be supplied for a solid to become a liquid. ........................................................................................................................................... ........................................................................................................................................... ........................................................................................................................................... [1]  ",work done against forces or work done separating molecules or energy to break bonds or potential energy of molecules increases B1 1,"(0, 'b')"
39,"A test-tube containing solid wax is heated by placing it in a beaker of very hot water for several minutes. The solid wax becomes a liquid.   The test-tube is removed from the hot water and held in a clamp stand. Fig. 3.1 shows the test-tube and liquid wax cooling in air.  (DIAGRAM)  As the wax cools,its temperature is recorded at regular time intervals. Fig. 3.2 is the temperature-time graph for the wax.  (DIAGRAM)    Using Fig. 3.2,determine the melting point of the wax.  melting point = ................................................................. [1]",57°C B1 1,"(0, 'c.i')"
40,"A test-tube containing solid wax is heated by placing it in a beaker of very hot water for several minutes. The solid wax becomes a liquid.   The test-tube is removed from the hot water and held in a clamp stand. Fig. 3.1 shows the test-tube and liquid wax cooling in air.  (DIAGRAM)  As the wax cools,its temperature is recorded at regular time intervals. Fig. 3.2 is the temperature-time graph for the wax.  (DIAGRAM)    The specific latent heat of fusion of the wax is 210 J/g. The test-tube contains 50g of wax. Using Fig. 3.2, determine the rate at which the wax is losing internal energy as the wax solidifies. Give your answer in J/min.        rate of loss of energy=....................................................... J/min [4]",7.0 (minutes) C1 1 (Q=)ml or 50×210 or 10500(J) C1 1 ml÷t or 50×210÷7500 or ml÷t or 50×210÷7 C1 1 1500 (J/min) A1 1,"(0, 'c.ii')"
41,"Fig. 2.1 shows two cars, A and B, before they collide.  (DIAGRAM)  Car B, of mass 1200 kg,is stationary. Car A, of mass 2000kg, is travelling towards car B at 18m/s.  Calculate the momentum of car A.     momentum=................................................................. [2]  ",(p=)mv or 2000×18 C1 1 36000kg m/s (or Ns) A1 1,"(1, 'a')"
42,"Fig. 2.1 shows two cars, A and B, before they collide.  (DIAGRAM)  Car B, of mass 1200 kg,is stationary. Car A, of mass 2000kg, is travelling towards car B at 18m/s.  The cars collide and car B experiences an impulse. Car A continues to move in the same direction, with a momentum of 21000 kg m/s.  Calculate the momentum of car B immediately after the collision.     momentum=........................................................ [1]",15000kg m/s (or Ns) B1 1,"(1, 'b.i')"
43,"Fig. 2.1 shows two cars, A and B, before they collide.  (DIAGRAM)  Car B, of mass 1200 kg,is stationary. Car A, of mass 2000kg, is travelling towards car B at 18m/s.  The cars collide and car B experiences an impulse. Car A continues to move in the same direction, with a momentum of 21000 kg m/s.  Determine the average impulse experienced by car B during the collision.     impulse=................................................................. [1]",15000kg m/s (or Ns) (e.c.f.(i)) B1 1,"(1, 'b.ii')"
44,"Fig. 2.1 shows two cars, A and B, before they collide.  (DIAGRAM)  Car B, of mass 1200 kg,is stationary. Car A, of mass 2000kg, is travelling towards car B at 18m/s.  The cars collide and car B experiences an impulse. Car A continues to move in the same direction, with a momentum of 21000 kg m/s.  The cars are in contact for 0.20 s. Calculate the average resultant force experienced by car B during the collision.      force=................................................................. [2]  ",(F=)p÷t or mv÷t or 15000÷0.20 (e.c.f.(i)/(ii)) C1 1 75000N A1 1,"(1, 'b.iii')"
45,"Fig. 2.1 shows two cars, A and B, before they collide.  (DIAGRAM)  Car B, of mass 1200 kg,is stationary. Car A, of mass 2000kg, is travelling towards car B at 18m/s.  A modern car is designed so that, during a collision,the front section of the car is crushed and the time of contact increases. Explain the benefit of increasing the time of contact for the people in the car. ........................................................................................................................................... ........................................................................................................................................... ........................................................................................................................................... ........................................................................................................................................... [2]",(increased time causes) decreased rate of: B1 1 change of momentum/acceleration/deceleration/impulse÷time smaller forces on people/less injury B1 1,"(1, 'c')"
46,State why force is a vector quantity. ........................................................................................................................................... [1]  ,force/vector has size/magnitude and direction B1 1,"(2, 'a')"
47,"A 20N force and a 15N force act at the same time on an object of mass 14kg. Calculate   the maximum possible force on the object due to these two forces,    force=................................................................. [1]",35N B1 1,"(2, 'b.i')"
48,A 20N force and a 15N force act at the same time on an object of mass 14kg. Calculate   the acceleration caused by a resultant force equal to this maximum force.    acceleration=.................................................... [2]  ,(a=)F÷m or 35÷14 (e.c.f.(i)) C1 1 2.5m/s2 (e.c.f.(i)) A1 1,"(2, 'b.ii')"
49,"Fig. 1.1 shows a river in which the velocity of the flowing water is 0.85 m/s parallel to the river banks.  (DIAGRAM)  A swimmer sets off from one bank. The velocity of the swimmer relative to the water is 1.2 m/s at 45° to the river banks,as shown in Fig.1.1. In the space below,draw a scale diagram to determine the resultant velocity of the swimmer relative to the river banks. This velocity is the resultant of the two velocities shown on Fig. 1.1. Label this resultant on your diagram.         resultant velocity=................................................................. [3]",both vectors to scale and correct angle (by eye) B1 1 resultant and parallelogram/two correct sides of triangle B1 1 value between 0.83–0.87m/s (and angle between 88° and 92°) B1 1,"(2, 'c')"
50,Radon-220 is a radioactive isotope.  The nuclide notation for radon-220 is  (DIAGRAM) . Describe the composition of a neutral atom of radon-220. ........................................................................................................................................... ........................................................................................................................................... ........................................................................................................................................... ........................................................................................................................................... [3]   ,86 protons (in nucleus) B1 1 134 neutrons (in nucleus) B1 1 86 electrons (surrounding nucleus / in orbit) B1 1,"(3, 'a')"
51,Radon-220 is a radioactive isotope.  A nucleus of radon-220 decays to an isotope of polonium (Po) by emitting an alpha particle. Complete the nuclide equation for the decay of radon-220.   (DIAGRAM)  [3]  , B1 1  B1 1  B1 1,"(3, 'b')"
52,Radon-220 is a radioactive isotope.  A detector of radiation is placed near a sample of radon-220 and gives a reading of 720 counts/s. The half-life of radon-220 is 55s.  Calculate the reading after 220 s. Ignore background radiation.      reading=................................................................. [2],220/55 or 4 (half-lives) or 720/16 C1 1 45 counts/s A1 1,"(3, 'c')"
53,"Fig. 10.1 shows part of the circuit of a hair-dryer with a 240V a.c. supply.  (DIAGRAM)  The switch can be in one of three positions:  position A: off (as shown), position B: low heater power, position C: high heater power.  All three heaters X, Y and Z each have a power of 1000W when used in this hair-dryer. Heaters Y and Z have equal resistances. Calculate  the resistance of heater X,     resistance = ................................................................. [2]  ",P=V2/R in any form or V2/P B1 1 (2402/1000=) 58Ω B1 1,"(4, 'a')"
54,"Fig. 10.1 shows part of the circuit of a hair-dryer with a 240V a.c. supply.  (DIAGRAM)  The switch can be in one of three positions:  position A: off (as shown), position B: low heater power, position C: high heater power.  All three heaters X, Y and Z each have a power of 1000W when used in this hair-dryer. Heaters Y and Z have equal resistances. Calculate  the resistance of heater Y,    resistance = ................................................................. [1]  ",(1202/1000=) 14Ω B1 1,"(4, 'b')"
55,"Fig. 10.1 shows part of the circuit of a hair-dryer with a 240V a.c. supply.  (DIAGRAM)  The switch can be in one of three positions:  position A: off (as shown), position B: low heater power, position C: high heater power.  All three heaters X, Y and Z each have a power of 1000W when used in this hair-dryer. Heaters Y and Z have equal resistances. Calculate  the current in heater Z when the switch is in position C.     current = ................................................................. [2]",P=VI in any form or P/V B1 1 (2000/240=) 8.3A B1 1,"(4, 'c')"
56,"Fig. 9.1 shows a conducting ball that oscillates between two charged plates.  (DIAGRAM)  The ball repeatedly strikes each plate in turn.  Explain,in terms of the charge on the ball,why the ball moves to the positive plate after striking the negative plate. ........................................................................................................................................... ........................................................................................................................................... ........................................................................................................................................... ........................................................................................................................................... [2]  ",ball gets –ve charge (from –ve plate) B1 1 –ve(ly charged ball) attracted to +ve  / repelled from –ve B1 1,"(5, 'a')"
57,Fig. 9.1 shows a conducting ball that oscillates between two charged plates.  (DIAGRAM)  The ball repeatedly strikes each plate in turn.  State which particles move through the sensitive ammeter and the direction in which they move. ........................................................................................................................................... ........................................................................................................................................... [2]  ,electrons B1 1 from L to R B1 1,"(5, 'b')"
58,"Fig. 9.1 shows a conducting ball that oscillates between two charged plates.  (DIAGRAM)  The ball repeatedly strikes each plate in turn.  For each complete oscillation of the ball moving between the plates, a charge of 8.5×10-10C is transferred from one plate to the other. The frequency of oscillation is 4.0Hz. Calculate the current shown on the sensitive ammeter.      current=................................................................. [3]",Q=It in any form or Q/t C1 1 correct use of f=4Hz or T=0.25s C1 1 (I=) 3.4×10–9A A1 1,"(5, 'c')"
59,"Fig. 8.1 shows a coil wound around a steel bar that is initially unmagnetised. Any appropriate power supply can be connected between the terminals A and B. No other apparatus is available.  (DIAGRAM)  Describe • how the steel bar can be magnetised, • how the steel bar can then be demagnetised. magnetised: ...................................................................................................................... ........................................................................................................................................... ........................................................................................................................................... demagnetised: .................................................................................................................. ........................................................................................................................................... ........................................................................................................................................... [4] ",connect d.c. supply (to terminals/circuit) B1 1 switch on B1 1 connect a.c. supply (to terminals/circuit) M1 1 withdraw rod from solenoid/reduce A1 1 current,"(6, 'a')"
60,"Fig. 8.2 shows a transformer.  (DIAGRAM)  A 240 V mains supply is connected to the primary coil P. The voltage across the secondary coil S is 12 V. A lamp,in series with a 3.0 A fuse, is connected to S. The number of turns in the coils of the transformer is not shown accurately in Fig. 8.2. Predict, with a suitable calculation, whether the fuse blows when there is a current of 0.20A in the primary coil. ........................................................................................................................................... ........................................................................................................................................... ........................................................................................................................................... ........................................................................................................................................... ........................................................................................................................................... [3]",IpVp= IsVs OR (Is=) IpVp/Vs C1 1 (0.2×240/12=) 4.0 (A) A1 1 fuse blows/does not blow B1 1,"(6, 'b')"
61,Describe the use of X-rays in a security application. Include a diagram.    ........................................................................................................................................... ........................................................................................................................................... ........................................................................................................................................... ........................................................................................................................................... ........................................................................................................................................... [3]   ,"appropriate use,accept from diagram M1 1 sensible diagram of: X-ray machine A1 1 and package,luggage etc. good extra detail A1 1","(7, 'a')"
62,Draw a straight line from each wave to the most appropriate speed.  (DIAGRAM)   [3],radio waves in air to Box 4 only B1 1 ultrasound in air to Box 1 only B1 1 X-rays in vacuum to Box 4 only B1 1,"(7, 'b')"
63,Fig. 6.1 shows a protractor superimposed on the path of a ray of light. The light is travelling in glass towards the boundary with air.  (DIAGRAM)    Use the protractor to measure the angle of incidence of the ray of light at the boundary with the air.  angle of incidence=.............................................................. [1]  ,35° B1 1,"(8, 'a.i')"
64,Fig. 6.1 shows a protractor superimposed on the path of a ray of light. The light is travelling in glass towards the boundary with air.  (DIAGRAM)    The refractive index of the glass is 1.56. Calculate the angle of refraction in the air.      angle of refraction=............................................................. [3]  ,sin i / sin r=n OR sin i / sin r=1/n C1 1 in any form sin r=1.56×sin35 OR (sin35)/1.56 C1 1 r=63° A1 1,"(8, 'a.ii')"
65,  State what is meant by critical angle. ................................................................................................................................ ................................................................................................................................ [1] ,angle of incidence when angle of refraction=90° B1 1,"(8, 'b.i')"
66,  Calculate the critical angle of light in glass of refractive index 1.56.     critical angle=................................................................. [2]  ,sin c=1/ n in any form C1 1 c=40° A1 1,"(8, 'b.ii')"
67,Fig. 6.2 shows a water wave crossing a boundary from shallow water to deep water.  (DIAGRAM)    Name the process that takes place at the boundary between the shallow water and the deep water. ................................................................................................................................ [1],refraction B1 1,"(8, 'c.i')"
68,Fig. 6.2 shows a water wave crossing a boundary from shallow water to deep water.  (DIAGRAM)    Tick one box corresponding to the property of the wave that is the same in the shallow water as in the deep water.  (DIAGRAM)    [1],frequency Box 2 only B1 1,"(8, 'c.ii')"
69,"Two pans containing water are placed on the hotplates of an electric cooker, as shown in Fig. 5.1.  (DIAGRAM)  The hotplates are switched on and the temperature of the water in the pans starts to increase. When the temperature of the water is below 100°C, some water is evaporating. At 100°C, the water starts to boil and its temperature remains constant.  State and explain which pan has the greater rate of evaporation of water when both pans of water are at the same temperature. ........................................................................................................................................... ........................................................................................................................................... ........................................................................................................................................... [1]  ",larger saucepan AND greater area B1 1,"(9, 'a')"
70,"Two pans containing water are placed on the hotplates of an electric cooker, as shown in Fig. 5.1.  (DIAGRAM)  The hotplates are switched on and the temperature of the water in the pans starts to increase. When the temperature of the water is below 100°C, some water is evaporating. At 100°C, the water starts to boil and its temperature remains constant.  Apart from the temperature at which it occurs,state how boiling differs from evaporation. ........................................................................................................................................... ........................................................................................................................................... ........................................................................................................................................... [1]  ",bubbles form } any boiling occurs throughout the liquid } one not influenced by surface area/ } humidity/draught } from boiling occurs at one temp } five boiling requires heat } B1 1,"(9, 'b')"
71,"Two pans containing water are placed on the hotplates of an electric cooker, as shown in Fig. 5.1.  (DIAGRAM)  The hotplates are switched on and the temperature of the water in the pans starts to increase. When the temperature of the water is below 100°C, some water is evaporating. At 100°C, the water starts to boil and its temperature remains constant.  When the water is boiling,thermal energy is being supplied to the water at a rate of 920W.  Explain the effect on the molecules of the thermal energy supplied. ................................................................................................................................ ................................................................................................................................ ................................................................................................................................ [2]",molecules move apart/separate/escape NOT move faster/more KE B1 1 (intermolecular) forces/bonds broken/overcome B1 1,"(9, 'c.i')"
72,"Two pans containing water are placed on the hotplates of an electric cooker, as shown in Fig. 5.1.  (DIAGRAM)  The hotplates are switched on and the temperature of the water in the pans starts to increase. When the temperature of the water is below 100°C, some water is evaporating. At 100°C, the water starts to boil and its temperature remains constant.  When the water is boiling,thermal energy is being supplied to the water at a rate of 920W.  The specific latent heat of vaporisation of water is 2.3×106 J/kg. Calculate the mass of water that boils away in 5.0 minutes.      mass = ................................................................. [3]",m = E/lv in any form or E/lv C1 1 920×300 / 2.3×106  C1 1 0.12kg OR 120g A1 1,"(9, 'c.ii')"
73,"An archaeologist is investigating a shipwreck and discovers a wooden box on the seabed.  (DIAGRAM)  The dimensions of the lid of the box are 1.2m by 0.80m and the pressure of the atmosphere is 1.0×105 Pa. The lid is 15m below the surface of the sea.  The density of sea-water is 1020 kg/m3. Calculate   the pressure on the lid of the box due to the sea-water,     pressure=................................................................. [2]",P=hρg in any form or hρg C1 1 (15×1020×10=) 150000Pa / 150kPa A1 1,"(0, 'a.i')"
74,"An archaeologist is investigating a shipwreck and discovers a wooden box on the seabed.  (DIAGRAM)  The dimensions of the lid of the box are 1.2m by 0.80m and the pressure of the atmosphere is 1.0×105 Pa. The lid is 15m below the surface of the sea.  The density of sea-water is 1020 kg/m3. Calculate   the total pressure on the lid,     pressure=................................................................. [1]",250000Pa / 250kPa B1 1,"(0, 'a.ii')"
75,An archaeologist is investigating a shipwreck and discovers a wooden box on the seabed.  (DIAGRAM)  The dimensions of the lid of the box are 1.2m by 0.80m and the pressure of the atmosphere is 1.0×105 Pa. The lid is 15m below the surface of the sea.  The density of sea-water is 1020 kg/m3. Calculate   the downward force that the total pressure produces on the lid.     force=................................................................. [2]  ,use of P=F/A in any form or PA C1 1 (253000×1.2×0.8=) 240000N A1 1,"(0, 'a.iii')"
