Prompt,Response
A battery connected to a lamp and a resistor in series. Adding a second resistor across the existing resistor creates two parallel branches.,"```latex
\begin{tikzpicture}[circuit ee IEC]
  \draw (0,0) 
    to [battery1] (0,2) 
    to [wire] (2,2)
    to [lamp] (4,2)
    to [wire] (6,2)
    to [resistor={info={$R_1$}}] (6,0)
    to [wire] (0,0);
  \draw (4,2) 
    to [resistor={info={$R_2$}}] (4,0)
    to [wire] (6,0);
\end{tikzpicture}
```"
Incident rays strike the mirror and reflect away; dashed lines extend behind the mirror to show the virtual image position,"```latex
\begin{tikzpicture}
  % Mirror
  \draw[thick] (0,0) -- (0,3);

  % Object
  \draw[->, thick] (-2,1) -- (-2,2) node[left] {object};

  % Virtual image (dashed arrow behind mirror)
  \draw[dashed, ->, thick] (2,1) -- (2,2) node[right] {virtual image};

  % Incident rays (solid to mirror)
  \draw[thick] (-2,2) -- (0,1.5);
  \draw[thick] (-2,2) -- (0,2.5);

  % Reflected rays (solid away from mirror)
  \draw[thick] (0,1.5) -- (3,2.25);
  \draw[thick] (0,2.5) -- (3,1.75);

  % Dashed extensions behind mirror (from virtual image to mirror)
  \draw[dashed] (2,2) -- (0,1.5);
  \draw[dashed] (2,2) -- (0,2.5);
\end{tikzpicture}
```"
"Object inside focal point; refracted rays diverge, with dashed lines extending back to form a magnified virtual image","```tikz
\begin{tikzpicture}[>=latex, scale=0.8]
  % Optical axis
  \draw[thin, ->] (-7,0) -- (4,0) node[right]{};
  
  % Converging lens
  \draw (0,-1.5) to [lens, lens type=converging, lens radius=1.5 and 1.5] (0,1.5);
  
  % Focal points
  \fill (3,0) circle (1pt) node[above right]{F};
  \fill (-3,0) circle (1pt) node[above left]{$F'$};
  
  % Object (inside focal point)
  \draw[thick, ->] (-2,0) -- (-2,0.75) node[left]{Object};
  
  % Ray 1: Parallel to axis
  \draw[red, ->] (-2,0.75) -- (0,0.75);
  \draw[red] (0,0.75) -- (2.5,-0.125); % Refracted segment
  \draw[red, densely dashed] (0,0.75) -- (-6,2.25); % Backward extension
  
  % Ray 2: Through center
  \draw[blue, ->] (-2,0.75) -- (0,0);
  \draw[blue] (0,0) -- (1.5,-0.5625); % Refracted segment
  \draw[blue, densely dashed] (0,0) -- (-6,2.25); % Backward extension
  
  % Virtual image (magnified)
  \draw[thick, densely dashed, ->] (-6,0) -- (-6,2.25) node[left]{Image};
\end{tikzpicture}
```"
"A hand touching metal and rubber bars at the same temperature. Arrows show large, rapid heat flow away from the skin into the metal, but small, slow heat flow into the rubber.","```latex
\begin{tikzpicture}
  % Hand
  \draw[fill=lightgray!20] (0,0) rectangle (1,4);
  \node at (0.5,2) {Hand};
  
  % Metal bar
  \draw[fill=gray!30] (1,2) rectangle (5,4);
  \node at (3,3) {Metal};
  
  % Rubber bar
  \draw[fill=gray!50] (1,0) rectangle (5,2);
  \node at (3,1) {Rubber};
  
  % Heat flow arrows
  % Metal: large, rapid (thick, long, multiple arrows)
  \draw[->, red, line width=1.5pt] (1.2,3.2) -- (3.5,3.2);
  \draw[->, red, line width=1.5pt] (1.2,2.8) -- (4.0,2.8);
  \node[red, above] at (2.5,3.5) {Large, rapid heat flow};
  
  % Rubber: small, slow (thin, short, single arrow)
  \draw[->, blue, line width=0.8pt] (1.2,1.0) -- (1.8,1.0);
  \node[blue, below] at (1.5,0.5) {Small, slow heat flow};
  
  % Temperature label
  \node at (3,-0.5) {Same temperature};
\end{tikzpicture}
```"
"Sketch two horizontal lines on a temperature-time graph: one at 0°C for melting ice, another at 100°C for boiling water. Label ""Phase Change"" where temperature is flat.","```latex
\begin{tikzpicture}
  % Axes setup
  \draw[->] (0, -1) -- (0, 6) node[left] {Temperature ($^\circ$C)};
  \draw[->] (0, 0) -- (8, 0) node[below] {Time};
  
  % Y-axis labels
  \draw (0,0) -- (-0.15,0) node[left] {0};
  \draw (0,5) -- (-0.15,5) node[left] {100};
  
  % Horizontal lines with labels
  \draw[thick] (1,0) -- (3.5,0) 
    node[midway, above] {Phase Change}
    node[midway, below=0.3cm] {Melting Ice (0$^\circ$C)};
  
  \draw[thick] (4.5,5) -- (7,5) 
    node[midway, above] {Phase Change}
    node[midway, below=0.3cm] {Boiling Water (100$^\circ$C)};
\end{tikzpicture}
```"
Circle with arrows showing tangential velocity vectors at different positions,"```latex
\begin{tikzpicture}
  \def\radius{2cm}
  \draw (0,0) circle (\radius);
  \foreach \angle in {0,45,...,315} {
    \draw[->, >=stealth, thick] (\angle:\radius) -- ++({\angle+90}:0.5);
  }
\end{tikzpicture}
```"
Acceleration-time graph with time on the x-axis and acceleration on the y-axis. A horizontal line at a = g ≈ 9.8 m/s² from t=0 onwards.,"```latex
\begin{tikzpicture}[x=1cm, y=1cm, >=stealth]
    % Axes
    \draw[->] (-1,0) -- (10,0) node[below] {time (s)};
    \draw[->] (0,-1) -- (0,12) node[left] {acceleration (m/s$^2$)};
    
    % Grid (optional, improves readability)
    \draw[gray!20, thin] (0,0) grid (9.5,11.5);
    
    % Acceleration line
    \draw[ultra thick, blue] (0,9.8) -- (9.5,9.8);
    
    % Labels
    \node[above right] at (0,9.8) {$a = g \approx 9.8$ m/s$^2$};
    \draw[dashed] (0,9.8) -- (9.5,9.8) node[midway, above] {}; % Label already placed
    
    % Y-axis marker
    \draw (0.2,9.8) -- (-0.2,9.8) node[left] {9.8};
    
    % Origin marker
    \node[below left] at (0,0) {0};
\end{tikzpicture}
```"
diagonal line sloping upwards,"```latex
\begin{tikzpicture}
    \draw[thick] (0,0) -- (4,4);
\end{tikzpicture}
```"
flat line,"```latex
\documentclass[tikz]{standalone}
\begin{document}
\begin{tikzpicture}
    \draw (-3,0) -- (3,0);
\end{tikzpicture}
\end{document}
```"
diagonal line sloping upwards again,"```latex
\documentclass[tikz,border=3mm]{standalone}
\begin{document}
\begin{tikzpicture}
    \draw[thick] (0,0) -- (3,3);
\end{tikzpicture}
\end{document}
```"
"Sketch a distance-time graph with labels: P-Q as ↗️ straight, Q-R as → flat, R-S as ↗️ straight.","```latex
\begin{tikzpicture}[scale=1.5]
    % Axes
    \draw[->, thick] (0,0) -- (7,0) node[right] {Time};
    \draw[->, thick] (0,0) -- (0,4) node[above] {Distance};
    
    % Grid (optional for clarity)
    \draw[gray!20, thin] (0,0) grid (6.5,3.5);
    
    % Points and segments
    \coordinate (P) at (1,1);
    \coordinate (Q) at (3,2);
    \coordinate (R) at (4,2);
    \coordinate (S) at (6,3);
    
    % Plot lines
    \draw[thick] (P) -- node[above left, pos=0.95] {P-Q} (Q);
    \draw[thick] (Q) -- node[above, pos=0.5] {Q-R} (R);
    \draw[thick] (R) -- node[above right, pos=0.95] {R-S} (S);
    
    % Point labels
    \fill (P) circle (2pt) node[below left] {P};
    \fill (Q) circle (2pt) node[above left] {Q};
    \fill (R) circle (2pt) node[below right] {R};
    \fill (S) circle (2pt) node[above] {S};
\end{tikzpicture}
```"
"β-particles passing through paper, reaching the detector","```latex
\begin{tikzpicture}
    % Source
    \draw[fill=white] (0,0) circle (0.5);
    \node at (0,0) {Source};

    % Paper barrier
    \draw[fill=lightgray!40] (3,-1) rectangle (4,1);
    \node at (3.5,0) {Paper};

    % Detector
    \draw[fill=white] (6,-1) rectangle (7,1);
    \node at (6.5,0) {Detector};

    % Beta particles (arrows)
    \draw[->, thick, shorten >=0.5cm] (0,0) -- (6,0);
    \draw[->, thick, shorten >=0.5cm] (0,0) -- (6,0.5);
    \draw[->, thick, shorten >=0.5cm] (0,0) -- (6,-0.5);
\end{tikzpicture}
```"
γ-rays penetrating paper unimpeded,"```latex
\begin{tikzpicture}
    % Paper sheet
    \fill[lightgray!50] (0,0) rectangle (4,3);
    \draw[thick] (0,0) rectangle (4,3);
    \node at (2,1.5) {Paper};
    
    % Gamma rays (arrows penetrating paper)
    \foreach \y in {0.5,1.5,2.5} {
        \draw[->, line width=1.5pt, red] (-1,\y) -- (5,\y);
    }
    
    % Gamma ray label
    \node[red, left] at (-1,2.5) {$\gamma$-rays};
\end{tikzpicture}
```"
α-particles colliding with paper atoms and stopping,"```latex
\documentclass[tikz,border=10pt]{standalone}
\usetikzlibrary{arrows.meta}
\begin{document}
\begin{tikzpicture}[>=Latex, scale=0.8]

% Alpha particles (arrows)
\foreach \y/\xend in {1.5/1.2, 0.5/0.7, -0.5/1.8, -1.5/2.5} {
  \draw[->, thick] (-1,\y) -- (\xend,\y);
}

% Atoms (nuclei)
\foreach \pos in {(0.8,1.5), (1.2,-0.5), (2.3,0), (1.7,-1.5), (0.4,-0.8)} {
  \node[circle, draw, fill=white, inner sep=2pt] at \pos {$+$};
}

% Stopped particles
\foreach \pos in {(1.2,1.5), (0.7,0.5), (1.8,-0.5), (2.5,-1.5)} {
  \fill \pos circle (1.5pt);
}

% Labels
\node[above] at (-1,1.5) {$\alpha$};
\node[above] at (3,2) {Paper};

\end{tikzpicture}
\end{document}
```"
Left side shows the circuit with an open switch: battery → resistor → lamp → open switch → back to battery. Right side shows the same circuit with the switch closed: battery → resistor → lamp → closed switch → back to battery. The closed switch creates a parallel path around the resistor. Arrows show increased current flow when the switch is closed.,"```tikz
\begin{circuitikz}
  % Left circuit (open switch)
  \draw (0,0) to [battery1, invert] (0,2);
  \draw (0,2) to [R, l=Resistor] (2,2);
  \draw (2,2) to [lamp] (4,2);
  \draw (4,2) to [opening switch] (4,0);
  \draw (4,0) to (0,0);
  
  % Right circuit (closed switch with parallel path)
  \draw (6,0) to [battery1, invert] (6,2) -- (7,2);
  \draw (7,2) -- (7,2.3) to [R, l=Resistor] (9,2.3) -- (9,2);
  \draw (7,2) -- (7,1.7) to [closing switch] (9,1.7) -- (9,2);
  \draw (9,2) to [lamp] (11,2);
  \draw (11,2) to (11,0) -- (6,0);
  
  % Current flow arrows (right circuit only)
  \draw[->, >=stealth, line width=2pt, red] (6,0.5) -- (6,1.5);  % Battery branch
  \draw[->, >=stealth, line width=2pt, red] (7.5,1.7) -- (8.5,1.7);  % Switch branch
  \draw[->, >=stealth, line width=2pt, red] (10,2) -- (10.5,2);  % Lamp branch
\end{circuitikz}
```"
"Magnet with north pole facing left toward end X of a horizontal iron bar; magnet is moved near X in one experiment and near Y in another, but always with its north pole oriented leftward","```latex
\begin{tikzpicture}
    % Iron bar
    \draw[thick] (0,0) rectangle (6,0.5);
    \node at (0,0.25) [left] {X};
    \node at (6,0.25) [right] {Y};
    
    % Magnet near X (experiment 1)
    \draw[thick] (0.5,1) rectangle (1.5,1.5);
    \draw[thick] (1,1) -- (1,1.5);
    \node at (0.75,1.25) {N};
    \node at (1.25,1.25) {S};
    
    % Magnet near Y (experiment 2)
    \draw[thick] (6,1) rectangle (7,1.5);
    \draw[thick] (6.5,1) -- (6.5,1.5);
    \node at (6.25,1.25) {N};
    \node at (6.75,1.25) {S};
\end{tikzpicture}
```"
"Four waves on identical displacement-time axes. Wave A has low frequency, long wavelength. Wave B has medium-low frequency. Wave C has medium-high frequency. Wave D has the highest frequency/shortest wavelength, with the most complete waves in the given time.","```latex
\begin{tikzpicture}[x=1.5cm, y=1cm]
    % Wave A: Low frequency, long wavelength
    \begin{scope}[shift={(0,0)}]
        \draw[->] (0,0) -- (4.2,0) node[right] {t (s)};
        \draw[->] (0,-1.2) -- (0,1.2) node[above] {displacement (m)};
        \draw[thick, domain=0:4, samples=100] plot (\x, {sin(90*\x)});
        \node[above] at (2,1.5) {Wave A};
    \end{scope}
    
    % Wave B: Medium-low frequency
    \begin{scope}[shift={(0,-4)}]
        \draw[->] (0,0) -- (4.2,0) node[right] {t (s)};
        \draw[->] (0,-1.2) -- (0,1.2) node[above] {displacement (m)};
        \draw[thick, domain=0:4, samples=200] plot (\x, {sin(180*\x)});
        \node[above] at (2,1.5) {Wave B};
    \end{scope}
    
    % Wave C: Medium-high frequency
    \begin{scope}[shift={(0,-8)}]
        \draw[->] (0,0) -- (4.2,0) node[right] {t (s)};
        \draw[->] (0,-1.2) -- (0,1.2) node[above] {displacement (m)};
        \draw[thick, domain=0:4, samples=400] plot (\x, {sin(360*\x)});
        \node[above] at (2,1.5) {Wave C};
    \end{scope}
    
    % Wave D: Highest frequency, shortest wavelength
    \begin{scope}[shift={(0,-12)}]
        \draw[->] (0,0) -- (4.2,0) node[right] {t (s)};
        \draw[->] (0,-1.2) -- (0,1.2) node[above] {displacement (m)};
        \draw[thick, domain=0:4, samples=800] plot (\x, {sin(720*\x)});
        \node[above] at (2,1.5) {Wave D};
    \end{scope}
\end{tikzpicture}
```"
A temperature-time graph for melting ice would show a flat horizontal line at 0°C during the melting process.,"```latex
\begin{tikzpicture}
  \begin{axis}[
      axis lines = left,
      xlabel = Time,
      ylabel = {Temperature (°C)},
      xmin = 0, xmax = 5,
      ymin = -15, ymax = 5,
      grid = both,
      minor tick num = 1,
      grid style = {dotted, gray!50},
      major grid style = {line width = 0.4pt, draw = gray!50},
      xtick = {0,1,2,3,4,5},
      ytick = {-10,0},
      yticklabels = {-10,0},
      width = 10cm,
      height = 6cm
  ]
  \addplot[blue, thick] coordinates {
    (0, -10)
    (1, 0)
    (4, 0)
    (5, 5)
  };
  \end{axis}
\end{tikzpicture}
```"
A temperature-time graph for boiling water would show a flat horizontal line at 100°C during the boiling process.,"```latex
\begin{tikzpicture}[x=1cm, y=0.03cm, >=stealth]
    % Axes
    \draw[->] (0,0) -- (7,0) node[below] {Time};
    \draw[->] (0,0) -- (0,120) node[left] {Temperature ($^\circ$C)};
    
    % Temperature labels
    \node[left] at (0,100) {100°C};
    \node[left] at (0,20) {20°C};
    
    % Graph line
    \draw[thick] (0,20) -- (2,100) -- (6,100);
    
    % Boiling phase label
    \node[above] at (4,100) {Boiling water};
\end{tikzpicture}
```"
"A simple table with two columns: ""Renewable"" and ""Non-renewable"". Renewable column lists: Geothermal, Solar, Waves, Hydroelectric, Wind. Non-renewable column lists: Natural gas, Oil, Coal.","```latex
\begin{tikzpicture}
    % Draw horizontal lines
    \foreach \i in {0,1,...,6} {
        \draw (0,{-\i*0.8}) -- (8,{-\i*0.8});
    }
    % Draw vertical lines
    \draw (0,0) -- (0,{-6*0.8});
    \draw (4,0) -- (4,{-6*0.8});
    \draw (8,0) -- (8,{-6*0.8});
    
    % Headers
    \node at (2,-0.4) {Renewable};
    \node at (6,-0.4) {Non-renewable};
    
    % Renewable items
    \node at (2,-1.2) {Geothermal};
    \node at (2,-2.0) {Solar};
    \node at (2,-2.8) {Waves};
    \node at (2,-3.6) {Hydroelectric};
    \node at (2,-4.4) {Wind};
    
    % Non-renewable items
    \node at (6,-1.2) {Natural gas};
    \node at (6,-2.0) {Oil};
    \node at (6,-2.8) {Coal};
\end{tikzpicture}
```"
"A rectangular box labeled ""empty: 60 g"" and the same box filled with liquid labeled ""total: 300 g"". The liquid is shaded uniformly with an arrow pointing to it labeled ""density = 1.2 g/cm³"".","```tikz
\begin{tikzpicture}
  % Empty box
  \draw (0,0) rectangle (3,2);
  \node[below] at (1.5,0) {empty: 60 g};
  
  % Filled box
  \fill[gray!30] (4,0) rectangle (7,2);
  \draw (4,0) rectangle (7,2);
  \node[below] at (5.5,0) {total: 300 g};
  
  % Density arrow and label
  \draw[-stealth, thick] (5.5,2.5) node[above] {density = 1.2 g/cm\textsuperscript{3}} -- (5.5,1.5);
\end{tikzpicture}
```"
Straight line rising diagonally from P to Q. Arrows show equal distance covered in equal time intervals.,"```latex
\begin{tikzpicture}[scale=1]
    % Draw the straight line from P to Q
    \draw (0,0) -- (4,2);
    
    % Draw arrows showing equal distance in equal time intervals
    \foreach \i in {0,1,2,3} {
        \draw[-{Latex[length=3mm]}, thick] (\i, 0.5*\i) -- (\i+1, 0.5*\i + 0.5);
    }
    
    % Label points P and Q
    \node[below left] at (0,0) {$P$};
    \node[above right] at (4,2) {$Q$};
\end{tikzpicture}
```"
A battery connected to a lamp and one resistor. Adding a second resistor in parallel creates a split path. Arrows show increased current flow from the battery.,"```tikz
\begin{tikzpicture}
    \draw (0,0) to [battery1, invert, l=$V$] (0,2);
    \draw (0,2) -- (1,2) to [lamp, l_=lamp] (2,2);
    \draw (2,2) to [resistor, l=$R_1$] (2,0);
    \draw (2,2) -- (3,2) to [resistor, l=$R_2$] (3,0) -- (2,0);
    \draw (2,0) -- (0,0);
    \draw[->, very thick] (0.2,2) -- (0.8,2);
    \node at (0.5,2.3) {increased current};
\end{tikzpicture}
```"
"Left side shows an electromagnet with full current attracting 5 pins at varying distances. Right side shows the same electromagnet with halved current attracting only 2 pins, all very close to the magnet.","```latex
\begin{tikzpicture}
    % Left diagram: Full current
    \begin{scope}[xshift=0cm]
        % Electromagnet (horizontal coil)
        \draw (0,0) to[L] (2,0);
        % Pins at varying distances (5 pins)
        \foreach \x/\y in {2.2/0, 2.5/0.1, 2.8/0, 3.1/-0.1, 3.4/0} {
            \draw[fill=black] (\x,\y) rectangle ++(0.2,0.1);
        }
    \end{scope}
    
    % Right diagram: Halved current
    \begin{scope}[xshift=5cm]
        % Electromagnet (horizontal coil)
        \draw (0,0) to[L] (2,0);
        % Very close pins (2 pins)
        \draw[fill=black] (2.1,0) rectangle ++(0.2,0.1);
        \draw[fill=black] (2.2,0.1) rectangle ++(0.2,0.1);
    \end{scope}
\end{tikzpicture}
```"
