,Question,Mark Scheme
52,"A teacher sets up the apparatus shown to demonstrate a double-slit interference pattern on a screen.

Which change to the apparatus will increase the fringe spacing?

decrease the distance p
decrease the distance q
decrease the distance r
decrease the wavelength of the light",B
53,"Which wave behaviour is shown in the diagram?


diffraction
Doppler shift
interference
superposition",A
54,"The diagram shows part of a stationary wave on a string.
X and Y are points on the string. The vibrations at X and Y are 180° out of phase.

What is the distance between X and Y?

one-quarter of a wavelength
half a wavelength
one wavelength
two wavelengths",B
55,"Microwaves in a vacuum travel at speed X and have wavelength of order of magnitude Y.
What are the speed and a possible order of magnitude of wavelength of X-rays in a vacuum?



 
speed
wavelength


A
X
10–8 Y


B
X
10–4 Y


C
104 X
Y


D
108 X
Y",A
56,"An ambulance has a siren that emits sound of a constant frequency. The ambulance is moving directly towards a stationary observer.
The ambulance decelerates as it is approaching the observer and then accelerates after it has passed the observer.
How does the frequency of the sound heard by the observer change as the ambulance is approaching and as it is moving away from the observer?



 
approachingobserver
moving awayfrom observer


A
decreases
decreases


B
decreases
increases


C
increases
decreases


D
increases
increases",A
57,"A stationary wave is formed from two identical sound waves.
A microphone is placed at a position of maximum loudness. It is then moved along the stationary wave from this first position of maximum loudness to the fourth position of maximum loudness. The microphone moves a distance of 12 cm.
The speed of sound is 330 m s–1.
What is the frequency of the sound waves?

4100 Hz
5500 Hz
8300 Hz
11000 Hz",A
58,"A longitudinal wave travelling from left to right has vibrations parallel to the direction of transfer of energy by the wave.
The wave can be represented on a graph showing the variation with distance of the displacement of the particles from their equilibrium positions at one instant.
Which point on the graph is the centre of a compression?",B
59,"Two identical waves are produced by sources at points P and Q. The waves travel along different paths to reach point R, as shown.

Both waves have a wavelength of 6.0 cm. The waves are in phase at point R.
What is the phase difference between the waves as they leave points P and Q?

0°
60°
90°
120°",D
60,"Forces are applied to the ends of a rod so that its length increases. The variation with force F of the extension e of the rod is shown.

The point P is the elastic limit.
Which shaded area represents the work done during the plastic deformation of the rod?",C
61,"The spring constants of four springs are determined by plotting the following graphs of force F against extension x.

Which order of the graphs shows decreasing spring constants?

2 → 1 → 3 → 4
3 → 4 → 2 → 1
4 → 2 → 1 → 3
4 → 3 → 2 → 1",B
62,"An object of weight 15.0 N is pulled along a horizontal surface at a constant velocity of 2.00 m s–1.
The force pulling the object is 12.0 N at 30.0° to the horizontal, as shown.

What is the power used to move the object?

12.0 W
20.8 W
24.0 W
30.0 W",B
63,"A trolley of mass 600 kg is initially at point P on a slope, at a height of 80 m above ground level, as shown. The trolley is released from rest and moves along the slope, first coming to rest at point Q, at height h above ground level.

The total distance PQ moved by the trolley along the slope is 1.5 km. A constant resistive force of 300 N opposes the motion of the trolley on the slope.
What is h ?

3.5 m
76 m
79 m
80 m",A
64,"A roll of tape of length 50 m requires a constant force of 20 N to unwrap it.

What is the work done in unwrapping the whole roll?

0.4 J
2.5 J
500 J
1000 J",D
65,"A rocket is fired upwards.
As it accelerates upwards after leaving the launch pad, which forms of energy are changing?

chemical energy, gravitational potential energy and kinetic energy
chemical energy and gravitational potential energy only
chemical energy and kinetic energy only
gravitational potential energy and kinetic energy only",A
66,"Water of depth 9.0 cm is covered by oil of depth 5.0 cm in a measuring cylinder.
The density of the water is 1000 kg m–3 and the density of the oil is 800 kg m–3.
What is the total pressure exerted on the base of the measuring cylinder due to the oil and water?

390 Pa
880 Pa
1200 Pa
1300 Pa",D
67,"A uniform rigid bar XZ with negligible mass is 1.20 m long. The bar is pivoted at point P. Three coplanar forces act on the bar as shown. Forces of 16 N and 20 N act perpendicularly to the bar at points X and Y respectively. Force F acts at point Z at an angle of 30° to the axis of the bar.
The distances along the bar of the pivot and of the forces are shown.

The bar experiences a resultant moment about P of 6.0 N m in a clockwise direction.
What is the magnitude of F?

9.2 N
11 N
16 N
24 N",C
68,Which pair of forces forms a couple with a torque of 30 N m?,D
69,"A charged oil drop is held stationary between two charged parallel plates.

Which forces act on the oil drop?

both electric and gravitational
electric only
gravitational only
neither electric nor gravitational",A
70,"Which quantities are conserved in an inelastic collision?



 
kinetic energy
total energy
linear momentum


A
conserved
not conserved
conserved


B
conserved
not conserved
not conserved


C
not conserved
conserved
conserved


D
not conserved
conserved
not conserved",C
71,"The graph shows how quantity P varies with quantity Q for a body falling vertically downwards in a uniform gravitational field with air resistance.

Which pair of quantities could be represented by P and Q?



 
P
Q


A
acceleration
force of air resistance


B
acceleration
time


C
velocity
force of air resistance


D
velocity
time",A
72,"A rocket is fired from the Earth into space.
Newton's third law of motion describes how forces act in pairs. One of the forces of a pair is the weight of the rocket.
What is the other force of this pair?

air resistance
force of the exhaust gases on the rocket
force of the rocket on the exhaust gases
gravitational force of the rocket on the Earth",D
73,"A train, initially at rest at a station, has a uniform acceleration of 0.20 m s–2 until it reaches a speed of 20 m s–1. It travels for a time at this constant speed and then has a uniform deceleration of 0.40 m s–2 until it comes to rest at the next station. The distance between the two stations is 3000 m.
What is the time taken by the train to travel between the two stations?

75 s
150 s
230 s
300 s",C
74,"A projectile is launched at an angle to the horizontal at time t = 0. It travels over horizontal ground, as shown.

Air resistance is negligible.
Which graph best shows the variation with t of the speed of the projectile from when it is launched to when it lands on the ground?",C
75,"A micrometer screw gauge is used to measure the diameter of a wire.
The reading on the micrometer with the jaws closed is (–0.05 ± 0.02) mm.
The reading with the wire in position between the two jaws is (+1.03 ± 0.02) mm.
What is the diameter of the wire?

(0.98 ± 0.02) mm
(1.08 ± 0.02) mm
(0.98 ± 0.04) mm
(1.08 ± 0.04) mm",D
76,"A signal of frequency 25 Hz is displayed on the screen of a cathode-ray oscilloscope.

What is the time-base setting?

10 ms cm–1
20 ms cm–1
25 ms cm–1
40 ms cm–1",B
77,"A force of 10 N and a force of 5 N act on an object.

The angle between the forces is 150°.
The resultant force on the object can be resolved into a pair of perpendicular components.
Which row shows numerical expressions for a possible pair of perpendicular components?



 
force component /N
force component /N


A
10 cos 30° – 5
10 cos 30°


B
10 sin 30° – 5
10 cos 30°


C
10 – 5 cos 30°
5 sin 30°


D
10 – 5 sin 30°
5 cos 30°",C
78,"Which combination of units could be used for expressing the power dissipated in a resistor?

newton per second (N s–1)
newton second (N s)
newton metre (N m)
newton metre per second (N m s–1)",D
79,"What is a reasonable estimate of the volume of an adult person?

0.10 m3
0.50 m3
1.0 m3
2.0 m3",A
80,"The nuclei of common isotopes of hydrogen, helium, lithium and beryllium are shown.
Which nucleus contains equal numbers of up and down quarks?",B
81,"The figure shows part of a chart of nuclides where neutron number is plotted against proton number.
An unstable nuclide X decays by emitting an α-particle.
Which nuclide is formed by the decay of nuclide X?",B
82,"A battery is connected to a potentiometer. The potentiometer consists of a uniform resistance wire and a sliding contact P.

The potential difference (p.d.) V between the sliding contact P and end Q of the wire is measured using a voltmeter. The sliding contact P is moved from end Q to end R of the wire. Sliding contact P is distance d from Q.
Which graph shows the variation with distance d of the p.d. V ?",A
83,"A cell of electromotive force (e.m.f.) E and negligible internal resistance is connected into a circuit, as shown.

The voltmeter has a very high resistance and reads a potential difference Vout .What is the ratio  ?",D
84,"A cell that has internal resistance is connected to a switch S and a variable resistor. A voltmeter is connected between the terminals of the cell, as shown.

When switch S is open, the voltmeter reads 1.5 V. The switch is then closed and the variable resistor is adjusted to have a resistance of 4.0 Ω. The voltmeter now reads 0.75 V.
What is the internal resistance of the cell?

1.0 Ω
2.0 Ω 
4.0 Ω
8.0 Ω",C
85,"An electrical cable consists of seven strands of copper wire, each of diameter 0.30 mm, connected in parallel.
The resistivity of copper is 1.72 × 10–8 Ω m. The current in the cable is 13 A.
What is the potential difference (p.d.) between two points on the cable a distance of 1.0 m apart?

0.0045 V 
0.11 V 
0.45 V 
3.2 V",C
86,"A fixed resistor and a diode are connected in series to a battery of electromotive force (e.m.f.) 6.0 V and negligible internal resistance. The graph shows the variation with potential difference (p.d.) V of the current I for the diode.

The current in the diode is 40 mA.
What is the resistance of the fixed resistor?

30Ω
120Ω
150Ω
180Ω",B
87,"A cell of negligible internal resistance is connected to resistors R1, R2 and R3, as shown. The cell provides power to the circuit and power is dissipated in the resistors.

Which word equation must be correct?

power dissipated in R1 = power dissipated in R2 + power dissipated in R3
power dissipated in R2 = power dissipated in R3
power output of cell = power dissipated in R1 + power dissipated in R2 + power dissipated in R3
power output of cell = power dissipated in R1",C
88,"The current I in a metal wire is given by the equation
I = Anvq.
What does the symbol n represent?

the number of charge carriers in the wire
the number of charge carriers per unit cross-sectional area of the wire
the number of charge carriers per unit length of the wire
the number of charge carriers per unit volume of the wire",D
89,"The diagram shows a thundercloud whose base is 500 m above the ground.

The potential difference between the base of the cloud and the ground is 200 MV. A raindrop with a charge of 4.0  × 10–12 C is in the region between the cloud and the ground.
What is the electrical force on the raindrop?

1.6  × 10–6 N 
8.0  × 10–4 N 
1.6  × 10–3 N 
0.40 N",A
90,Which diagram best represents the field lines in the electric field produced by a combination of one point positive charge and one point negative charge?,B
91,"A beam of red laser light of wavelength 633 nm is incident normally on a diffraction grating with 600 lines per mm.

The beam of red light is now replaced by a beam of blue laser light of wavelength 445 nm. A replacement diffraction grating is used so that the first-order maximum of the blue light appears at the same position on the screen as the first-order maximum of the red light from the original laser.
How many lines per mm are there in the replacement diffraction grating?

420 mm–1 
470 mm–1
600 mm–1
850 mm–1",D
92,"Two sources of microwaves P and Q produce coherent waves with a phase difference of 180°. The waves have the same wavelength  λ .

At the point S there is a minimum in the interference pattern produced by waves from the two sources. The distance (QS – PS) is called the path difference.
Which expression could represent the path difference?",C
93,"A water wave is diffracted as it passes through a gap between two barriers in a ripple tank. The wave is observed to ‘spread out’ as it moves through the gap.Which two factors both affect the amount of diffraction observed?

the amplitude and frequency of the incident wave
the amplitude of the incident wave and the width of the gap
the wavelength and amplitude of the incident wave
the wavelength of the incident wave and the width of the gap",D
94,"Two waves, P and Q, meet at a point X and superpose.
Initially, the two waves meet at X in phase (zero phase difference) so that the resultant wave has an amplitude of 14.0 cm at that point.
The phase difference between the two waves is then changed so that they meet at X with a phase difference of 180°. The resultant wave now has an amplitude of 4.0 cm at X.
What is the amplitude of one of the waves at point X?

2.0 cm
5.0 cm 
10 cm 
18 cm",B
95,"What is not a possible value for the wavelength of the named electromagnetic waves when it is travelling in a vacuum?



 
electromagnetic wave
wavelength / m


A
γ-rays  
3×10–13


B
X-rays 
3×10–10


C
infrared
3×10–6


D
microwaves
3×10–5",D
96,"A source of sound of frequency F at point Z is moving at a steady speed. The pattern of the emitted wavefronts is shown.

Which row describes the frequencies of the sound heard by stationary observers at X and Y?



 
frequencyheard at X
frequencyheard at Y


A
<F
<F


B
<F
>F


C
>F
<F


D
>F
>F",C
97,"A loudspeaker emitting a sound wave of a single frequency is placed a distance L from a reflecting surface, as shown.

A stationary wave is formed with an antinode at the loudspeaker. A microphone is moved from the loudspeaker to the reflector.
Before the microphone reaches the reflector, it detects four points where the sound intensity is a minimum.
What is the wavelength of the sound wave?",C
98,"Which statement is correct for longitudinal waves but  not correct for transverse waves?

They can form stationary waves.
They can only travel through a medium.
They can transfer energy in the direction of travel.
They consist of peaks and troughs.",B
99,"A progressive radio wave in a vacuum has a frequency of 75 MHz.
What is the phase difference between two points on the wave that are 50 cm apart from each other?

23°
45°
90°
180°",B
100,"A wire is stretched by applying increasing values of force F. For each value of force applied, the extension x is recorded. A force–extension graph is plotted from the data obtained.
Which statement about the area under the graph  must be correct?

It can be calculated as ½ Fx.
It is the elastic potential energy stored in the stretched sample.
It is the work done in stretching the sample.
It would be the same for any wire of the same material.",C
101,Which expression is equal to the stress on a wire?,B
102,"An aircraft travels at a constant velocity of 90 m s –1 in horizontal flight. The diagram shows the horizontal forces acting on the aircraft.

The mass of the aircraft is 2000 kg.
What is the power produced by the thrust force?

1.8  × 105 W 
2.2  × 105 W 
1.8  × 106 W 
2.0  × 106 W",B
103,"An egg of mass 25 g falls vertically downwards from the surface of a table which is 900 mm above the ground.
Air resistance is negligible.
What is the kinetic energy of the egg when it hits the ground?

0.023 J 
0.22 J 
23 J 
220 J",B
104,"A gas is contained in a cylinder by a movable piston.

The cylinder has a circular cross-section of diameter 20.0 cm.The pressure of the gas is 102 Pa and the piston is initially 30.0 cm from the base of the cylinder.The gas is heated causing the piston to move up so that it is 35.0 cm from the base. The pressure of the gas remains constant.
How much work does the gas do in moving the piston?

0.160 J 
0.641 J 
1.12 J 
4.49 J",A
105,"Two blocks, X and Y, are on a horizontal frictionless surface. The mass of block Y is greater than that of block X. Block Y has a spring attached to its end.
The blocks are pushed together so that the spring is compressed between them and the blocks are held stationary as shown.

When released, the blocks move in opposite directions.
Which statement is correct?

After release, the kinetic energy of block X must equal the kinetic energy of block Y.
After release, the sum of the kinetic energies of the blocks is equal to zero.
The total energy of the spring and blocks immediately before release is zero.
The total energy of the spring and blocks is equal to the energy needed to bring the blocks together.",D
106,"A balance is used to measure the mass m of a number of cylindrical metal rods of length l. All the metal rods have the same radius r.
The graph shows the variation with l of m.

The gradient of the graph is G.
Which expression gives the density of the metal?",C
107,"A mass of 30 kg is suspended from the end of a wire. A horizontal force F acts on the mass so that it is in equilibrium, with the wire at an angle of 30° to the vertical, as shown.

What is the magnitude of F ?

17 N
150 N
170 N 
510 N",C
108,"Two parallel forces, each of magnitude F, act on a rod of length 5d.Which diagram shows the positions of the two forces that will produce the largest torque on the rod?",D
109,"A particle with mass moves in a horizontal straight line through a uniform electric field in a vacuum. The electric field is vertical.

There is a significant gravitational effect on the motion of the particle.
What could be the direction of the electric field and the sign of the charge, if any, on the particle?



 
electric fielddirection
sign of charge


A
downwards
negative


B
downwards
positive


C
upwards
negative


D
upwards
no charge",A
110,"A stationary firework explodes into four fragments which travel in different directions in a horizontal plane.
The diagram shows the velocity and mass of each fragment.

What is the speed v of fragment X?

200 m s–1  
240 m s–1
300 m s–1  
60 m s–1",A
111,"A skydiver, who is falling vertically through the air, opens his parachute.
Which row describes the velocity of the skydiver immediately after he opens his parachute?



 
direction ofvelocity
magnitude ofvelocity


A
downwards
decreases


B
downwards
increases


C
upwards
decreases


D
upwards
increases",A
112,"A ball strikes a horizontal surface with momentum p at an angle θ to the surface, as shown.

The ball rebounds with the same magnitude of momentum at an angle θ to the surface.
The ball is in contact with the surface for time t.
What is the magnitude of the average resultant force acting on the ball during the collision?",D
113,"A cannon fires a cannonball with an initial speed v at an angle α to the horizontal.

Which equation is correct for the maximum height H reached?",C
114,"Four cars, A, B, C and D, move from rest in a straight line. The cars take the same time to accelerate to a velocity of 60 km h –1 . Their velocity–time graphs are shown.
Which car reaches a velocity of 60 km h –1 in the shortest distance?",D
115,"A student measures the current and the potential difference for a resistor in a circuit.
              current = (50.00 ± 0.01) mA              potential difference = (500.0 ± 0.1) mV
The measurements are used to calculate the resistance of the resistor.
What is the percentage uncertainty in the calculated resistance?

0.0002% 
0.0004% 
0.02% 
0.04%",D
116,"A micrometer screw gauge is used to measure the diameter of a copper wire.
The reading with the wire in position is shown in diagram 1. The wire is removed and the jaws of the micrometer are closed. The new reading is shown in diagram 2.
What is the diameter of the wire?

1.95 mm 
2.45 mm 
2.59 mm 
2.73 mm",B
117,"A velocity vector is shown.           What are the components of the velocity vector in the northerly and in the easterly directions?



 
component of vectorin northerly direction/ m s –1
component of vectorin easterly direction/ m s –1


A
38
38


B
38
65


C
65
38


D
65
65",C
118,"Which physical quantity could have units of Ns2m–1 ?

acceleration
force
mass
momentum",C
119,"What is a reasonable estimate for the density of sand?

2 × 102 g cm–3
2 × 103 g cm–3
2 × 101 kg m–3
2 × 103 kg m–3",D
120,"Which particle is a fundamental particle?

alpha-particle
electron
neutron
proton",B
121,"The table contains data for four different nuclei P, Q, R and S. 



nucleus
numberof neutrons
nucleonnumber


P
5
10


Q
6
10


R
6
14


S
8
16



Which two nuclei are isotopes of the same element? 

P and Q
P and S
Q and R
R and S",D
