,Prompt
75,"Metal lattice showing ""free electrons"" moving between atoms vs. non-metal lattice with only vibrating molecules connected by arrows indicating slower energy transfer"
76,"A rectangular block showing faces: P as the large base, Q as a medium side face, R as the small end face. Arrows show the constant weight force acting downwards on each, but the contact area shaded under P is largest, under Q is medium, and under R is smallest"
77,"A vertical spring with a mass attached. The lowest position is clearly marked, showing the mass closest to the ground/base"
78,"The same spring system, showing maximum spring extension/compression at the lowest point of the mass's motion"
79,"Aircraft following a curved path. Arrow labeled ""centripetal force"" points inward toward the airport. Velocity arrows tangent to the circle show constant speed but changing direction."
80,"A box labeled ""mass = 2 kg"". An arrow downward labeled ""weight = 20 N"". Text: ""g = 10 N/kg pulls the mass downward""."
81,"A simplified velocity-time graph showing a straight line sloping upward. The slope = rise/run = Δv/Δt, labeled ""acceleration."""
82,"Sketch a speed-time graph with a curve starting steep and flattening over time, showing decreasing gradient."
83,"Sketch a rectangular block. Label front view: width 12 cm, height 1 cm. Side view: length 14 cm, height 1 cm."
84,"Add a 3D rectangular block with arrows labeled: length = 14 cm, width = 12 cm, height = 1 cm. Volume = 14 × 12 × 1 = 168 cm³."
85,"A radioactive source emits α-particles toward a detector. A paper barrier blocks all particles, showing zero particles reaching the detector."
86,"** *A timeline divided into three 20-day intervals, showing the number of undecayed nuclei decreasing by half each time.*"
87,"Sketch of uranium nucleus absorbing a neutron, splitting into two smaller nuclei and releasing three neutrons, labeled with mass/atomic numbers."
88,A simple relay symbol showing a coil connected to the control circuit and switch contacts labeled 'NC' and 'NO' connected to the heater circuit
89,"A rectangle with a curved right side, two input lines on the left, and one output line on the right with a small circle attached to the end of the output line."
90,Two parallel branches. Branch 1: 12 Ω and 6 Ω in series. Branch 2: Two 6 Ω resistors in series. Input/output points at the start and end of the parallel network.
91,"Sketch a circuit where Lamp J is in series with a parallel branch containing Lamps K and L. Lamp M and Lamp N are in separate parallel branches, unaffected by the K/L branch."
92,"A simple series circuit with a battery, two resistors in a line, ammeter in series, voltmeter connected across both resistors."
93,"A coil connected to an AC supply, with a steel bar partially inserted. Arrows show the bar being slowly pulled out of the coil while the current flows."
94,"Sketch showing a bar magnet near a nail. Paper clips are attracted to the nail. An arrow shows the bar magnet being moved away. For nail C, most clips remain attached. For nails A, B, and D, fewer or no clips remain."
95,"Object O in front of a vertical mirror. Dashed lines show equal perpendicular distances: O to mirror = mirror to position 1. Reflected rays diverge, and dotted lines extend behind the mirror to position 1."
96,A transverse wave drawn on a grid. The wave oscillates above and below a central rest line. The highest peak is 3 cm above the rest line. The distance between two adjacent peaks is 8 cm.
97,"Two identical containers side-by-side, both filled with water. Container P has ""Higher Temperature"" labeled with larger infrared waves radiating outward. Container Q has ""Lower Temperature"" with smaller infrared waves."
98,"Arrows show hot air rising vertically above the radiator, spreading out at the ceiling, cooling, sinking away from the radiator, and flowing back along the floor toward the radiator."
99,"Imagine four steel blocks drawn to the same scale: Block A is a compact shape like a small cube or sphere. Block B is longer and thinner like a bar. Block C might have an irregular shape but similar dimensions to B. Block D is very thin and flat, like a sheet."
100,Compare a wide tube vs. a narrow tube—the same liquid volume fills a greater height in the narrow tube
101,"Two T-shirts side by side. Left: Spread out fully on a washing line, large surface area exposed to air. Right: Folded in half, only half the surface area exposed to air."
102,"A grid of circles closely packed together, representing molecules. Small double-headed arrows around each circle indicate vibration in all directions, but the overall position of each circle remains fixed within the grid."
103,A simple cross-section of the Earth showing heat waves rising from the hot core/mantle towards the surface where a power plant symbol sits.
104,A sun with rays shining down onto solar panels on Earth.
105,"Parallelogram with forces P and Q as adjacent sides. Diagonal R from origin to opposite corner labeled ""Resultant"""
106,"Sketch a timeline with labeled dots for each athlete's time. P at 22.50 s, T at 23.20 s, Q at 24.40 s, etc. Arrows show gaps, e.g., 0.70 s between P and T."
107,"A radioactive source on the left, a thin sheet of paper in the middle, and a radiation detector on the right. Arrows representing alpha particles are shown stopping completely at the paper sheet. No particles reach the detector."
108,"A step-by-step bar chart showing decay over time.  
- **Day 0:** Full bar labeled ""8.0 × 10¹⁰ atoms"".  
- **Day 20:** Bar at half height labeled ""4.0 × 10¹⁰ undecayed"".  
- **Day 40:** Bar at quarter height labeled ""2.0 × 10¹⁰ undecayed"".  
- **Day 60:** Bar at one-eighth height labeled ""1.0 × 10¹⁰ undecayed"".  
Red arrows show decayed portions summing to 7.0 × 10¹⁰."
109,"A simple table comparing uranium-235 and lead-207:  
| Isotope | Protons | Neutrons |  
|---------|---------|----------|  
| U-235  | 92      | 143      |  
| Pb-207 | 82      | 125      |  
| Loss    | 10      | 18       |"
110,A circuit with two input lines entering an AND gate. The output of the AND gate connects to a NOT gate. The final output comes from the NOT gate.
111,"OR gate symbol: A curved, semicircular shape. Two parallel input lines enter the left side. One output line exits the midpoint of the right curve."
112,"Imagine a circuit with a battery, a main path containing ammeter A1, and a parallel branch containing ammeter A2 and switch S. Initially, S is open. When S closes, it completes the parallel branch path."
113,"A simple circuit with a cell and two terminals P and Q. Components are connected across PQ. Below, a table shows:  
- Diode: Forward bias = high current → Reverse bias = near-zero current → **CHANGE**.  
- LDR: Light constant → resistance constant → current magnitude same both directions → NO CHANGE.  
- Resistor: Resistance fixed → current magnitude same both directions → NO CHANGE.  
- Thermistor: Temperature constant → resistance constant → current magnitude same both directions → NO CHANGE."
114,"Sketch showing the relationships between power, energy, voltage, and charge. Box 1: ""P = 1000 W, t = 3600 s → E = P × t = 3,600,000 J"". Arrow to Box 2: ""V = 240 V → Q = E / V = 15,000 C""."
115,"A series circuit with a battery, two resistors in a line, a voltmeter connected *across both resistors*, and an ammeter placed *in series* between the battery and the resistors."
116,"A coil with a steel bar inside, connected to an a.c. supply. Arrows inside the coil show the magnetic field rapidly changing direction. A second diagram shows the voltage dial decreasing, with the field arrows shrinking until they disappear."
117,"A nail with 3 paper clips attached, with no bar magnet nearby. Label: ""Nail C retains 3 clips – strongest permanent magnet."""
118,"Sketch of the electromagnetic spectrum, labeled with wave types in order: radio → microwave → infrared → visible light → ultraviolet → X-rays → gamma rays. Arrows show increasing frequency/decreasing wavelength. A red circle highlights the infrared region."
119,"A triangular prism with a narrow beam of white light entering from the left. Inside the prism, the beam fans out. Emerging from the right side of the prism, the top ray is labelled red, the middle ray yellow, and the bottom ray blue. The red ray has the smallest angle of deviation from the original direction, the blue ray has the largest."
120,"Four steel blocks sketched to the same scale. Block A is significantly smaller in volume than Blocks B, C, and D. For example, Block A might be a thin, short rod; Block B a thicker rod; Block C a small cube; Block D a larger cube or rectangular slab. The key visual is that Block A clearly occupies the least space."
121,"Two containers with equal water volume—one wide/shallow, one narrow/deep. Arrows show vapor rising more abundantly from the wider surface."
122,"Sketch of Earth showing core/mantle with heat rising. Sun's rays hitting the surface, but not penetrating deep into the ground."
123,"Simple sketch showing a hill with point X at the top and Y at the bottom. Arrows indicate the car moving downhill. Labels: ""Height decreases → GPE decreases"" and ""Speed increases → KE increases""."
124,"A car with velocity arrow pointing east labeled ""30 m/s"". After braking, a shorter velocity arrow east labeled ""20 m/s"". An acceleration arrow points west, labeled ""-3.3 m/s²"", showing it opposes the motion"
125,"Sketch a measuring cylinder with liquid. Show objects 1 and 2 floating on the surface, while objects 3 and 4 rest at the bottom. Label liquid density as 0.925 g/cm³ and object densities clearly."
126,"** A planet with a mass labeled ""6.0 kg"" on its surface. An arrow points downward from the mass with the label ""Weight = m × g = 6.0 kg × 20 N/kg = 120 N"". The planet is marked ""g = 20 N/kg"".**"
127,"Imagine a speed-time graph where the line is *curved upward*, not straight. Speed increases as time passes, but the slope of the graph changes."
128,"Two horizontal plates. Top plate labeled ""negative"", bottom plate ""positive"". α-particle path curves downward toward positive plate. β-particle path curves upward toward negative plate."
129,A gold atom with a small central nucleus. Most alpha particles pass through empty space far from the nucleus. One alpha particle is shown veering sharply after passing close to the nucleus.
130,"Iron core loop. Primary coil: 1000 turns, labeled ""240V AC"". Secondary coil: fewer turns, labeled ""12V AC"". Magnetic field lines shown as concentric circles passing through the core, linking both coils."
131,"A NAND gate symbol with two inputs connected by a wire, forcing them to have the same value. The single effective input is labeled ""X""."
132,Voltmeter connected across R alone. Ammeter in series with R and the battery.
133,"Sketch showing four wires: A: short and thin. B: long and thin. C: short and thick. D: long and thick. Arrows indicate resistance: small arrow for A, large arrow for B, very small arrows for C and D."
134,"A simple circuit with a cell. Arrows labeled ""conventional current"" point from [+] to [−], while arrows labeled ""electron flow"" point from [−] to [+] along the wire."
135,Sketch showing coils around rods. With current ON: all rods attract nails. With current OFF: only rod R still attracts nails.
136,"Diagram A shows a candle in front of a vertical mirror. Two rays emanate from the top of the candle flame: one strikes the mirror at a shallow angle, and the other at a steeper angle. Each ray reflects with the angle of incidence equal to the angle of reflection. The reflected rays diverge. Dotted lines extend the reflected rays backward behind the mirror, converging at a point to form the virtual image. This image is upright and positioned symmetrically behind the mirror."
137,"Sketch showing 1kg aluminium block at 60°C transferring heat to 5kg ethanol at 10°C. Arrows indicate large energy release from aluminium and smaller energy absorption needed by ethanol, leading to a higher final temperature."
138,"Left side showing thermometer bulb in melting ice with liquid column at ""0°C"". Right side showing bulb in steam above boiling water with liquid column at ""100°C"". Arrows indicate marking these points."
139,"A container of water with arrows showing water molecules escaping from the surface into the air. The container is labeled ""open"" and ""constant temperature."""
140,"Wind turbine converting wind energy into electricity. Arrows show wind → blade rotation → generator → electricity. A ""NO CO₂"" symbol emphasizes no emissions. A graph next to it shows irregular energy output peaks and troughs labeled ""variable supply""."
141,"Sketch of a car with two arrows: one long arrow pointing forwards labelled ""1800 N"", and a shorter arrow pointing backwards labelled ""600 N"". A third dashed arrow pointing backwards is added for explanation."
142,"Illustration showing the same set of particles before and after compression. The particles are closer together after compression, but the number of particles is identical."
143,"Arrow downward labeled ""Weight = mg"", arrow upward labeled ""Air resistance"", both acting on a ball."
144,"A rectangle with rulers aligned along its edges. The horizontal ruler shows markings from 0 cm to 28 cm, and the vertical ruler shows 0 cm to 25 cm."
145,A simple chart of the electromagnetic spectrum showing gamma rays at the high-frequency/short-wavelength end
146,OR gate with inputs A and B → Output connected to NOT gate → Final output Y
147,Circuit 1: Three lamps connected in series to a 12V supply. Circuit 2: Three lamps connected in parallel to a 12V supply.
148,A battery connected to the two outer terminals of the potentiometer. The lamp bridges one outer terminal and the sliding contact.
149,"Two vertical plastic strips close together, both labeled ""–"". Arrows show the strips bending away from each other, indicating repulsion."
150,"A coil with arrows showing current direction, soft iron core inside, and magnetic field lines concentrated through the core. Nails cling to the ends of the bar."
151,"Sketch showing Sun, Moon, and Earth aligned. Parallel rays of IR, visible light, and UV hitting the Moon’s surface simultaneously. All rays are blocked at the same instant where the Moon’s shadow falls."
152,"In Diagram C, parallel wavefronts approach a wide gap. After passing through, the wavefronts remain mostly parallel, showing minimal curvature or spreading."
153,"A kettle with wavy ""heat"" lines rising from it. Red arrows show warm air expanding and rising upward above the kettle. Blue arrows show cooler air sinking toward the kettle from the sides."
154,"Metal structure showing a regular lattice of atoms with ""free"" electrons moving between them. Plastic structure showing tangled polymer chains with no free electrons."
155,"A large block labeled ""high thermal capacity"" with a thermometer rising from 20°C to 40°C, showing energy flowing into the block."
156,"A liquid container with a stone at two depths. Arrows show pressure from the liquid column above the stone. At greater depth, the arrow is longer, indicating higher pressure."
157,"Box with two horizontal arrows: one forward labeled ""3.0 N applied force,"" one backward labeled ""1.0 N friction."" Distance arrow below the box shows ""2.0 m."""
158,"A ball moving east labeled ""p = 10 kg·m/s east"" and an identical ball moving west labeled ""p = 10 kg·m/s west"". This shows equal magnitude but opposite directions → vector nature."
159,"Sketch of the three objects with labeled dimensions and masses:  
- X: Cube, side 2 cm, mass 80 g  
- Y: Cuboid, 4 cm × 2 cm × 1 cm, mass 160 g  
- Z: Cube, side 3 cm, mass 270 g"
160,A simplified sketch of a micrometer screw gauge showing a sheet of paper clamped squarely between the fixed anvil and the movable spindle. Arrows indicate the paper's thickness being measured along the axis of the spindle.
161,"A simple sketch showing a radioactive source near a detector, with arrows labeled ""source radiation"" and ""background radiation"" from the environment. The detector output goes to a counter displaying ""1000 counts/min"" initially and ""510 counts/min"" after 10 minutes."
162,"A source fires α-particles at a thin foil. Most arrows go straight through, a few bend sharply away, and one or two reflect directly backward."
163,"Box 1 labeled ""NAND"" with inputs A and B. Its output connects to both inputs of Box 2 labeled ""NAND"". The final output is from Box 2."
164,"Imagine the thermistor in one branch and the heater in another, both connected between the same pair of nodes, like two paths bridging the same gap."
165,"Two vertical strips close together, each labeled ""–"". Arrows show them bending away from each other."
166,"A soft iron bar shown with arrows representing tiny magnetic domains pointing in random directions, illustrating an unmagnetized state."
167,"Earth, Moon, and Sun in a straight line. The Moon is between Earth and Sun, casting a shadow on Earth. Arrows labeled ""IR,"" ""UV,"" and ""visible light"" all strike the Moon's surface simultaneously and stop."
168,"Sketch showing air-glass interface. Normal line perpendicular to surface. Incident ray at 45° to normal. Refracted ray bends towards normal, labeled ≈30°. Distractors shown as dashed lines at 29°, 32°, and 82°."
169,"A ray inside glass strikes the glass-air boundary. At angles < critical angle, most light refracts out. At the critical angle, the refracted ray skims along the boundary. At angles > critical angle, no refracted ray exists – only a reflected ray remains."
170,"Parallel wavefronts approach a wide gap. After passing through, the wavefronts remain mostly straight and parallel, with only slight bending at the edges."
171,"A vacuum flask showing silvered inner walls reflecting red ""heat rays"" back inward, vacuum layer, and outer plastic casing."
172,"Sketch an insulated cup with initial 100g water at 25°C and added 50g ice at 0°C. After stirring, show the final state: water/ice mixture at 0°C with 18g unmelted ice. Arrows indicate heat flowing from warm water to ice, labeled ""10,500 J lost"" and ""32g ice melts, absorbing latent heat"". Energy balance equation: ""Heat lost = Heat gained"" shown centrally."
173,"A box being pushed horizontally to the right by force F. An arrow labeled ""d"" shows displacement to the right, parallel to F. Caption: ""Force and displacement in the same direction → work done = F × d""."
174,Imagine a simple Sankey diagram. A thick arrow labelled 'Input Energy' enters the machine. It splits into a thick arrow labelled 'Useful Output Energy' and a very thin arrow labelled 'Wasted Energy'. The thin wasted energy arrow shows high efficiency.
175,Object C shows a horizontal beam pivoted at its center. Identical downward forces act at equal distances left and right of the pivot. Upward forces at the pivot balance the total weight.
176,"A beam with unequal forces at different distances from the pivot. Forces cancel vertically, but one side has a larger moment."
177,A beam with equal moments but an additional horizontal force pulling it sideways.
178,"A wheel rolling at steady speed. Linear forces balance, but friction torque causes rotation."
179,"A large rock and a small pebble. An arrow labeled ""same force"" pushes both. The rock accelerates slowly, while the pebble accelerates quickly, illustrating higher inertia for larger mass."
180,"A concave-downward curve, starting steep and becoming shallower over time. Arrows show the slope decreasing from left to right."
181,"Simple sketch comparing all four graphs, highlighting curve C flattening."
182,"Split-ring commutator attached to a coil in a magnetic field. Brushes contact opposite halves of the ring after each half-turn, flipping current direction in the coil."
183,"Sketch of a graph showing only positive half-cycles of a sine wave, with the voltage dropping to zero during the negative half-cycles. Zero voltage is shown as a flat line along the time axis."
184,"A rectangle with a curved right edge. Two input wires enter the left side, and one output wire exits the right side. No circles are present on inputs or output."
185,A 6V battery connected to a variable resistor. The lamp is in series with the variable resistor. Arrows show adjustment of the resistor slider.
186,"A simple circuit with a cell and a resistor. Arrows show charge flow. Labels: ""Chemical energy → Electrical energy: 1.5 J per coulomb."""
187,"Two plastic strips side by side, both labeled ""– – –"" for negative charge. Arrows show them bending away from each other, indicating repulsion."
188,"Air molecules arranged sparsely, with sound waves compressing and rarefying them longitudinally."
189,"Simple sketch showing Moon blocking straight-line paths of light rays from Sun to Earth. Rays labelled ""UV"", ""Visible"", ""IR"" all hit the Moon at the same moment and are blocked"
190,"Object placed between the lens and F. Two rays drawn: one parallel to the axis refracting through F, and one through the lens center. Refracted rays diverge; backward extensions meet to form an upright, magnified virtual image"
191,Straight wavefronts entering a wide gap; exiting wavefronts remain parallel with slight curvature at the edges
192,"A kettle with wavy arrows rising from its surface, showing warm air moving upward. Cooler air arrows flow inward at the base to replace it, forming a convection loop."
193,"Simple sketch showing particles in solid, liquid, gas colliding [labeled ""CONDUCTION OCCURS""], vs. empty vacuum [labeled ""NO PARTICLES → NO CONDUCTION""]"
194,"Sketch showing initial state [100g water at 25°C + 50g ice at 0°C] and final state [mixture at 0°C with 18g unmelted ice]. Arrows indicate heat flow from water to ice, melting 32g of ice."
195,"- Sketch a ball moving downward at 10 m/s before collision.  
- During collision, draw an upward arrow from the floor labeled ""Average force = 18N"".  
- After collision, show the ball moving upward at 8 m/s.  
- Label time of collision: 0.50 s."
196,"** A sketch shows a mass hanging vertically from a rope passing over a fixed pulley. Two equal-length arrows act on the mass: an upward arrow labeled ""Tension, T"" and a downward arrow labeled ""Weight, 200 N"". The pulley is labeled ""frictionless"".**"
197,"A cube labeled ""C"" with sides marked ""5 cm"". An arrow points to it labeled ""Mass = 500 g"". Below, the calculation shows: Volume = 5 x 5 x 5 = 125 cm³; Density = 500 / 125 = 4.0 g/cm³."
198,"Two atomic nuclei side by side. Left: labeled ""Carbon-12"" with 6 red protons and 6 blue neutrons. Right: labeled ""Carbon-14"" with 6 red protons and 8 blue neutrons. Arrows emphasize the same proton count but different neutron count."
199,A rectangular coil in a uniform magnetic field. Arrows on the left side show current upward and force outward; arrows on the right show current downward and force inward. Curved arrows indicate clockwise rotation.
200,"A bar magnet showing field lines emerging from its North pole and entering its South pole. A small compass needle is placed at a point near the North pole; its North pole points *away* from the magnet's North pole, along the field line direction. An arrow labelled ""Force on N pole"" points in the same direction as the field line and the compass needle."
201,A → [NOT] → [AND] ← B; output from AND gate.
202,"Simple series circuit with a power supply, fixed resistor Y, and LDR labeled. Arrows show: light ↑ → LDR resistance ↓ → voltage across Y ↑."
203,Circuit C shows a cell connected to the primary coil of a transformer. The secondary coil is connected only to the lamp. A switch is closed in the primary circuit.
204,Simple circuit with cell and lamp only.
205,Primary coil has no connections/wires attached. Secondary coil connected to lamp.
206,"Secondary coil connected to lamp, but the other terminal of the lamp is connected back to the primary coil circuit."
207,"Battery of two cells in series → positive terminal splits into three wires, each connected to one lamp → all three lamp wires recombine before returning to the negative terminal."
208,"A simple circuit with a battery labeled ""emf = E/Q"", arrows showing charge flow around the full loop, and a resistor. Energy is shown entering the circuit at the battery."
209,A metal sphere on an insulating stand. A negatively charged rod approaches from the left. Arrows show electrons repelled to the far side. Earth wire connected to the far side.
210,"Two identical cans in space. Arrows labeled ""Infrared Radiation"" point away from both cans. Many large arrows come from the black can, indicating high emission rate. Few small arrows come from the shiny can, indicating low emission rate. Text labels: ""Vacuum - No conduction/convection"", ""Dull Black Surface: Good Emitter"", ""Shiny Surface: Poor Emitter""."
211,U-tube with mercury at the bottom. Left arm: liquid X above mercury. Right arm: liquid Y above mercury. Horizontal line drawn through mercury connecting the base of both columns.
212,"Sketch comparing sole shapes: B has broad, flat boots; others have smaller footprints"
213,Box with → 6.0 N and ← 1.0 N arrows
214,"A cube labeled ""Volume = 4.0 cm³"" with arrows pointing to its mass distribution, captioned ""Density = 1.6 g per cm³. Total mass = density × volume."""
