,Prompt,Response
150," AD/AS model showing AD1 to AD2, with real output rising from Y1 to Y2). Higher demand incentivises firms to increase production, requiring additional labour, thereby reducing demand-deficient (cyclical) unemployment. Similarly, a depreciation of the exchange rate could boost net exports by making exports cheaper and imports more expensive, further raising AD and employment in export-oriented industries. These mechanisms make expansionary monetary policy effective in addressing cyclical unemployment, which arises during economic downturns due to insufficient aggregate demand. However, the policy’s success hinges on the responsiveness of consumers and firms to lower interest rates. For instance, if confidence is low, households may save rather than spend, weakening the transmission mechanism","\begin{tikzpicture}
\begin{axis}[
    axis lines = left,
    xlabel = Real Output ($Y$),
    ylabel = Price Level ($P$),
    xmin = 0, xmax = 100,
    ymin = 0, ymax = 110,
    xtick = {50,70,80},
    xticklabels = {$Y_1$,$Y_2$,$Y_f$},
    ytick = \empty,
    clip = false,
    grid = none,
    every axis x label/.style={at={(ticklabel* cs:1.02)}, anchor=west},
    every axis y label/.style={at={(ticklabel* cs:1.02)}, anchor=south}
]

% Draw SRAS curve (upward sloping)
\addplot[blue, thick, domain=0:100] {20 + 0.5*x};
\node[blue, above right] at (axis cs: 60, 50) {SRAS};

% Draw LRAS curve (vertical)
\draw[red, thick] (axis cs: 80, 0) -- (axis cs: 80, 110);
\node[red, above] at (axis cs: 80, 105) {LRAS};

% Draw AD1 curve
\addplot[green, thick, domain=0:100] {80 - 0.7*x};
\node[green, above left] at (axis cs: 0, 80) {AD\textsubscript{1}};

% Draw AD2 curve
\addplot[green!60!black, thick, domain=0:100] {104 - 0.7*x};
\node[green!60!black, above left] at (axis cs: 0, 104) {AD\textsubscript{2}};

% Dashed lines for Y1 equilibrium
\draw[dashed, gray] (axis cs: 50, 0) -- (axis cs: 50, 45) -- (axis cs: 0, 45);

% Dashed lines for Y2 equilibrium
\draw[dashed, gray] (axis cs: 70, 0) -- (axis cs: 70, 55) -- (axis cs: 0, 55);

% Arrow for AD shift
\draw[->, very thick, black] (axis cs: 28.57, 60) -- (axis cs: 62.86, 60);

\end{axis}
\end{tikzpicture}"
152," A PES diagram for agricultural products would show a flatter supply curve after infrastructure improvements, reflecting greater elasticity as quantity supplied becomes more responsive to price changes. However, infrastructure projects are costly and time-consuming to implement, particularly in regions with underdeveloped existing systems. Additionally, the benefits may be unevenly distributed; perishable goods like fruits or dairy products gain more from refrigeration than non-perishables like grains, which are less affected by storage limitations. ","\begin{tikzpicture}
\begin{axis}[
    axis lines = left,
    xmin=0, xmax=180,
    ymin=0, ymax=15,
    xlabel=Quantity,
    ylabel=Price,
    xtick=\empty,
    ytick=\empty,
    clip=false,
    samples=100,
    grid=none
]

% Demand curve D0: P = -0.04x + 14
\addplot[blue, thick] coordinates {
    (0,14) (100,10) (150,8) (180,6.8)
};
\node[blue, above left] at (130,8.8) {$D_0$};

% Original supply curve S0: P = 0.04x + 6 (steeper)
\addplot[red, thick] coordinates {
    (0,6) (100,10) (180,13.2)
};
\node[red, above] at (140,11.6) {$S_0$};

% New supply curve S1: P = 0.02x + 5 (flatter)
\addplot[green!70!black, thick] coordinates {
    (0,5) (150,8) (180,8.6)
};
\node[green!70!black, below] at (140,7.8) {$S_1$};

% Equilibrium points
\node[circle, fill=black, inner sep=1.5pt, label=above left:$E_0$] at (100,10) {};
\node[circle, fill=black, inner sep=1.5pt, label=below right:$E_1$] at (150,8) {};

% Dashed lines for E0
\draw[dashed] (100,0) -- (100,10) -- (0,10);
\node[below] at (100,0) {$Q_0$};
\node[left] at (0,10) {$P_0$};

% Dashed lines for E1
\draw[dashed] (150,0) -- (150,8) -- (0,8);
\node[below] at (150,0) {$Q_1$};
\node[left] at (0,8) {$P_1$};

\end{axis}
\end{tikzpicture}"
153," A rightward shift in the supply curve due to subsidies illustrates increased output at each price level, while the curve’s gradient may also become flatter if responsiveness improves. However, subsidies risk creating market distortions, such as overproduction of subsidised crops, which could depress prices and reduce profitability. Furthermore, subsidies depend on sustained government funding, making them vulnerable to fiscal policy changes. If subsidies are withdrawn, farmers may lack the financial resilience to maintain elastic supply responses, particularly if they have become reliant on state support. ","\documentclass[tikz]{standalone}
\usepackage{pgfplots}
\pgfplotsset{compat=1.18}
\usetikzlibrary{arrows.meta, decorations.markings}

\begin{document}
\begin{tikzpicture}
\begin{axis}[
    axis lines = left,
    xlabel = {Quantity (Q)},
    ylabel = {Price (P)},
    xmin = 0, xmax = 120,
    ymin = 0, ymax = 12,
    xtick = \empty,
    ytick = \empty,
    clip = false,
    every axis y label/.style={at={(ticklabel* cs:1.02)}, anchor=west},
    every axis x label/.style={at={(ticklabel* cs:1.02)}, anchor=south},
]

% Demand curve
\addplot[thick, blue, domain=0:100] {10 - 0.08*x} 
    node[above, pos=0.9] {D};

% Original supply curve (S1)
\addplot[thick, red, domain=0:70] {2 + 0.1*x} 
    node[above, pos=0.95, sloped] {S\textsubscript{1}};

% New supply curve (S2) - flatter and shifted right
\addplot[thick, red!60!blue, domain=0:100] {0.5 + 0.05*x} 
    node[above, pos=0.95, sloped] {S\textsubscript{2}};

% Original equilibrium (E1)
\draw[dashed] (axis cs:50,6) -- (axis cs:50,0) node[below] {Q\textsubscript{1}};
\draw[dashed] (axis cs:50,6) -- (axis cs:0,6) node[left] {P\textsubscript{1}};
\node[circle, fill=black, inner sep=1.5pt, label=above left:E\textsubscript{1}] at (axis cs:50,6) {};

% New equilibrium (E2)
\draw[dashed] (axis cs:95,5.25) -- (axis cs:95,0) node[below] {Q\textsubscript{2}};
\draw[dashed] (axis cs:95,5.25) -- (axis cs:0,5.25) node[left] {P\textsubscript{2}};
\node[circle, fill=black, inner sep=1.5pt, label=above left:E\textsubscript{2}] at (axis cs:95,5.25) {};

% Shift arrow
\draw[-{Stealth[scale=1.2]}, thick, dotted] (axis cs:55,7) 
    to[out=0, in=180] (axis cs:85,7) 
    node[midway, above] {Subsidy shift};

% Elasticity indicator
\draw[gray] (axis cs:70,8) -- (axis cs:85,8) node[midway, below, font=\scriptsize] {Increased elasticity};

% Overproduction indicator
\draw[red, |-|] (axis cs:50,1) -- node[below, font=\scriptsize] {Overproduction} (axis cs:95,1);

% Price depression arrow
\draw[{Stealth[]}-{Stealth[]}, thick] (axis cs:0,6.1) -- node[left, midway] {Price depression} (axis cs:0,5.3);

\end{axis}
\end{tikzpicture}
\end{document}"
155," The shortage is illustrated by the horizontal distance between the quantity supplied and quantity demanded at the maximum price, with potential deadweight loss from inefficient allocation","\begin{tikzpicture}
\begin{axis}[
    axis lines = left,
    xlabel = Quantity,
    ylabel = Price,
    xmin = 0,
    ymin = 0,
    xtick = \empty,
    ytick = \empty,
    extra x ticks = {3,7},
    extra x tick labels = {$Q_s$, $Q_d$},
    extra y ticks = {3},
    extra y tick labels = {$P_{\max}$},
    clip = false
]

% Supply curve
\addplot [blue, thick, domain=0:10] {x + 2};
\node [blue, right] at (axis cs:8,9) {Supply};

% Demand curve
\addplot [red, thick, domain=0:10] {12 - x};
\node [red, right] at (axis cs:1,10.5) {Demand};

% Price ceiling
\addplot [dashed, black] coordinates {(0,3) (10,3)};
\node [left] at (axis cs:0,3) {$P_{\max}$};

% Shortage arrow
\draw [<->, thick, black] (axis cs:3,3) -- (axis cs:7,3) 
    node [midway, above] {Shortage};

% DWL area
\fill [gray!40, opacity=0.5] (axis cs:3,3) -- (axis cs:5,7) -- (axis cs:3,9) -- cycle;
\node at (axis cs:3.5,6) {DWL};

% Equilibrium point (implied)
\addplot [only marks, mark=*, mark size=2pt] coordinates {(5,7)};
\node [above] at (axis cs:5,7.3) {Equilibrium};

% Quantity markers
\draw [dashed] (axis cs:3,0) -- (axis cs:3,3);
\draw [dashed] (axis cs:7,0) -- (axis cs:7,3);
\draw [dashed] (axis cs:5,0) -- (axis cs:5,7);
\node [below] at (axis cs:5,0) {$Q_e$};

\end{axis}
\end{tikzpicture}"
156," AD/AS model showing AD1 to AD2 with corresponding price level increases from P1 to P2), the resulting upward pressure on the price level counteracts deflationary trends. Moreover, in theory, increasing the money supply through quantitative easing could raise inflation expectations, encouraging spending in the present to avoid future price rises, thereby stimulating demand","\documentclass[tikz]{standalone}
\usepackage{pgfplots}
\pgfplotsset{compat=1.18}
\begin{document}
\begin{tikzpicture}
\begin{axis}[
    axis lines = left,
    xlabel = {Real Output (Y)},
    ylabel = {Price Level (P)},
    ylabel style = {rotate=-90},
    xmin=0, xmax=100,
    ymin=0, ymax=100,
    xtick=\empty,
    ytick=\empty,
    clip=false,
    every axis y label/.style={at={(ticklabel* cs:1.05)},anchor=near ticklabel}
]

% Aggregate Supply (AS) curve
\addplot [blue, thick, domain=10:90, samples=100] {0.1*x + 20};
\node [blue, above] at (axis cs:85,28.5) {AS};

% Initial Aggregate Demand (AD1)
\addplot [red, thick, domain=10:90, samples=100] {70 - 0.4*x};
\node [red, below] at (axis cs:75,40) {AD\textsubscript{1}};

% New Aggregate Demand (AD2)
\addplot [red, thick, domain=10:90, samples=100] {90 - 0.4*x};
\node [red, below] at (axis cs:75,60) {AD\textsubscript{2}};

% Equilibrium points
\coordinate (E1) at (axis cs:50,50);
\coordinate (E2) at (axis cs:62.5,65);

% Dotted lines to axes
\draw[dashed] (axis cs:0,50) node[left]{P\textsubscript{1}} -| (axis cs:50,0) node[below]{Y\textsubscript{1}};
\draw[dashed] (axis cs:0,65) node[left]{P\textsubscript{2}} -| (axis cs:62.5,0) node[below]{Y\textsubscript{2}};

% AD shift arrow
\draw[->, very thick, black] (axis cs:55,48) to [out=40,in=180] (axis cs:60,58);
\node[above] at (axis cs:58,53) {AD\textsubscript{1} to AD\textsubscript{2}};

% Equilibrium labels
\node[above] at (E1) {E\textsubscript{1}};
\node[above] at (E2) {E\textsubscript{2}};

% Inflation pressure arrow
\draw[->, very thick, green!70!black] (axis cs:50,53) -- (axis cs:50,62);
\node[green!70!black, right] at (axis cs:50,57.5) {Upward price pressure};

\end{axis}
\end{tikzpicture}
\end{document}"
157," A demand curve with differing elasticities illustrates how total revenue changes with price. For elastic demand, a price decrease shifts the equilibrium along the curve to a point where the area under the price-quantity rectangle (total revenue) expands. For inelastic demand, the same price decrease reduces the area under the rectangle. This analysis enables businesses to optimise pricing to maximise revenue, particularly in competitive markets where price adjustments are frequent. However, PED’s usefulness is limited by its assumption of ceteris paribus, as factors like competitor reactions or changes in consumer preferences may alter elasticity over time. ","\begin{tikzpicture}
% Elastic demand diagram
\begin{axis}[
    name=elastic,
    width=5cm,
    height=5cm,
    axis lines=left,
    xlabel=Quantity,
    ylabel=Price,
    xmin=0, xmax=250,
    ymin=0, ymax=8,
    xtick={100,200},
    ytick={4,6},
    xticklabels={$Q_1$,$Q_2$},
    yticklabels={$P_2$,$P_1$},
    clip=false
]
% Rectangles
\fill[blue!30, opacity=0.5] (axis cs:0,0) rectangle (axis cs:100,6);
\fill[red!30, opacity=0.5] (axis cs:0,0) rectangle (axis cs:200,4);
% Demand curve
\addplot[domain=0:220, black, thick] {8 - 0.02*x};
\node[above] at (axis cs:220,{8-0.02*220}) {$D$};
% Points and arrow
\node[circle, fill=black, inner sep=1.5pt] at (axis cs:100,6) {};
\node[circle, fill=black, inner sep=1.5pt] at (axis cs:200,4) {};
\draw[->, thick] (axis cs:100,6) -- (axis cs:200,4);
% Revenue labels
\node at (axis cs:50,3) {TR\textsubscript{1}};
\node at (axis cs:150,2) {TR\textsubscript{2}};
\end{axis}

% Inelastic demand diagram
\begin{axis}[
    name=inelastic,
    at={(elastic.east)},
    anchor=west,
    width=5cm,
    height=5cm,
    axis lines=left,
    xlabel=Quantity,
    ylabel=Price,
    xmin=0, xmax=150,
    ymin=0, ymax=18,
    xtick={100,120},
    ytick={4,6},
    xticklabels={$Q_1$,$Q_2$},
    yticklabels={$P_2$,$P_1$},
    clip=false
]
% Rectangles
\fill[blue!30, opacity=0.5] (axis cs:0,0) rectangle (axis cs:100,6);
\fill[red!30, opacity=0.5] (axis cs:0,0) rectangle (axis cs:120,4);
% Demand curve
\addplot[domain=0:140, black, thick] {16 - 0.1*x};
\node[above] at (axis cs:140,{16-0.1*140}) {$D$};
% Points and arrow
\node[circle, fill=black, inner sep=1.5pt] at (axis cs:100,6) {};
\node[circle, fill=black, inner sep=1.5pt] at (axis cs:120,4) {};
\draw[->, thick] (axis cs:100,6) -- (axis cs:120,4);
% Revenue labels
\node at (axis cs:50,3) {TR\textsubscript{1}};
\node at (axis cs:60,2) {TR\textsubscript{2}};
\end{axis}
\end{tikzpicture}"
158," A rightward shift in the demand curve for luxury cars during economic growth reflects higher YED, while a leftward shift during recessions shows reduced demand. Knowledge of YED also aids long-term planning, such as aligning production capacity with projected income trends or diversifying product lines to balance income-sensitive and income-insensitive models. However, YED’s relevance depends on the economic cycle and regional income disparities, limiting its utility in stable or unpredictable economic environments. ","\begin{tikzpicture}
\begin{axis}[
    axis lines = left,
    xlabel = Quantity,
    ylabel = Price,
    xmin = 0, xmax = 20,
    ymin = 0, ymax = 20,
    xtick = {5,10,15},
    xticklabels = {$Q_2$,$Q_0$,$Q_1$},
    ytick = \empty,
    clip = false,
    grid = none,
    every axis y label/.style={at={(ticklabel* cs:1.02)}, anchor=west},
    every axis x label/.style={at={(ticklabel* cs:1.02)}, anchor=south}
]

% Supply curve
\addplot [domain=0:18, color=blue, thick] {0.5*x + 5};
\node [above] at (axis cs: 16,13) {Supply};

% Initial demand curve (D0)
\addplot [domain=0:15, color=red, thick] {15 - x};
\node [above] at (axis cs: 1,14) {$D_0$};

% Right-shifted demand curve (D1 - economic growth)
\addplot [domain=3:18, color=red, thick, dashed] {18 - x};
\node [above] at (axis cs: 3,15) {$D_1$};

% Left-shifted demand curve (D2 - recession)
\addplot [domain=0:12, color=red, thick, densely dotted] {12 - x};
\node [above] at (axis cs: 1,11) {$D_2$};

% Equilibrium points
\addplot [only marks, mark=*, mark size=2pt] coordinates {
    (10,10) % E0 (D0 ∩ Supply)
    (15,12.5) % E1 (D1 ∩ Supply)
    (5,7.5) % E2 (D2 ∩ Supply)
};

% Shift arrows
\draw [->, thick, black] (axis cs: 8,13) -- (axis cs: 12,13) 
    node[midway, above, font=\scriptsize] {Economic growth: higher YED};
\draw [->, thick, black] (axis cs: 8,8) -- (axis cs: 4,8) 
    node[midway, above, font=\scriptsize] {Recession: reduced demand};

% Quantity labels
\node [below] at (axis cs: 10,0) {$Q_0$};
\node [below] at (axis cs: 15,0) {$Q_1$};
\node [below] at (axis cs: 5,0) {$Q_2$};

% Equilibrium labels
\node [above right] at (axis cs: 10,10) {$E_0$};
\node [above right] at (axis cs: 15,12.5) {$E_1$};
\node [above right] at (axis cs: 5,7.5) {$E_2$};

% Shift annotations
\draw [<->, thick] (axis cs: 10,-1.5) -- (axis cs: 15,-1.5) 
    node[midway, below] {Quantity demanded shifted to $Q_1$};
\draw [<->, thick] (axis cs: 10,-1.5) -- (axis cs: 5,-1.5) 
    node[midway, below] {Quantity demanded shifted to $Q_2$};

\end{axis}
\end{tikzpicture}"
159," A leftward shift of the AD curve from AD1 to AD2 results in a lower price level (P1 to P2) and reduced real output (Y1 to Y2). A key advantage of monetary policy is its flexibility; central banks can adjust rates swiftly without legislative delays, making it a responsive tool. However, its effectiveness depends on transmission mechanisms. For instance, if households have fixed-rate mortgages, the impact of rate hikes on disposable income may be delayed. Additionally, if inflation stems from cost-push factors—such as rising commodity prices—monetary policy may be less effective, as it primarily targets demand-side pressures. Over-reliance on interest rate increases could also stifle long-term growth by reducing investment in productivity-enhancing projects, potentially limiting future aggregate supply (AS)","\documentclass[tikz]{standalone}
\usepackage{pgfplots}
\pgfplotsset{compat=1.18}
\usetikzlibrary{arrows.meta}

\begin{document}
\begin{tikzpicture}
\begin{axis}[
    axis lines = left,
    xlabel = {Real Output (Y)},
    ylabel = {Price Level (P)},
    xmin=0, xmax=100,
    ymin=0, ymax=100,
    xtick=\empty,
    ytick=\empty,
    clip=false,
    every axis y label/.style={at={(ticklabel* cs:1.02)}, anchor=west},
    every axis x label/.style={at={(ticklabel* cs:1.02)}, anchor=south},
    axis line style={-Latex},
]

% Aggregate Supply (AS)
\addplot[blue, thick, domain=0:90, samples=100] {0.1*x + 20};
\node[blue, above right] at (80,28) {AS};

% AD1 curve
\addplot[red, thick, domain=0:100, samples=100] {80 - 0.5*x};
\node[red, above] at (30,65) {AD\textsubscript{1}};

% AD2 curve (shifted left)
\addplot[red, thick, domain=0:100, samples=100] {70 - 0.5*x};
\node[red, above] at (20,60) {AD\textsubscript{2}};

% Original equilibrium (AD1-AS)
\coordinate (E1) at (60,26);
\draw[dashed] (E1) -- (0,26) node[left] {P\textsubscript{1}};
\draw[dashed] (E1) -- (60,0) node[below] {Y\textsubscript{1}};
\fill (E1) circle (2pt) node[above right] {E\textsubscript{1}};

% New equilibrium (AD2-AS)
\coordinate (E2) at (50,25);
\draw[dashed] (E2) -- (0,25) node[left] {P\textsubscript{2}};
\draw[dashed] (E2) -- (50,0) node[below] {Y\textsubscript{2}};
\fill (E2) circle (2pt) node[above right] {E\textsubscript{2}};

% Shift arrow
\draw[thick, -{Latex[width=4pt]}, shorten >=1pt] (35,40) to[bend right] node[midway, above] {Leftward shift} (25,40);

\end{axis}
\end{tikzpicture}
\end{document}"
160," A leftward AD shift mirrors the effect of monetary policy, reducing price levels and output. Fiscal policy can be more targeted—for example, increasing taxes on luxury goods disproportionately affects high-income groups, minimizing broader economic disruption. However, fiscal measures face significant limitations. Legislative processes delay implementation, reducing timeliness. Politically, tax increases or spending cuts may be unpopular, risking public opposition and implementation hurdles. Furthermore, reduced government spending on infrastructure or education could harm long-term AS growth by limiting human capital development or public goods provision. Unlike monetary policy, which operates through financial markets, fiscal adjustments directly influence income distribution and public welfare, potentially exacerbating inequality or social discontent if poorly designed. Additionally, if the economy is near full employment, fiscal contraction might not significantly lower inflation but could instead increase unemployment, creating a trade-off between macroeconomic objectives","\documentclass[tikz]{standalone}
\usepackage{pgfplots}
\pgfplotsset{compat=1.18}
\usepgfplotslibrary{fillbetween}

\begin{document}
\begin{tikzpicture}[
    declare function={demand(\x)= 5 - 0.5*\x;},
    declare function={supply(\x)= 0.5*\x + 1;},
    declare function={new_supply(\x)= 0.5*\x + 2;},
    declare function={sras(\x)= 0.3*\x + 2;},
    declare function={lras(\x)= 4;},
    declare function={ad(\x)= 8 - 0.4*\x;},
    declare function={new_ad(\x)= 6 - 0.4*\x;}
]

% AD-AS Diagram
\begin{axis}[
    name=plot1,
    width=0.45\textwidth,
    height=0.6\textwidth,
    axis lines=left,
    xlabel={Real Output (Y)},
    ylabel={Price Level (P)},
    xmin=0, xmax=20,
    ymin=0, ymax=10,
    xtick=\empty,
    ytick=\empty,
    clip=false,
    axis line style={-stealth},
    every axis y label/.style={rotate=0, black, at={(0.03,1.05)}},
    every axis x label/.style={black, at={(1.05,0.03)}}
]

% LRAS (vertical)
\draw[thick, blue] (axis cs:10,0) -- (axis cs:10,10) node[above, pos=0.95] {LRAS};

% SRAS
\addplot[domain=0:20, thick, red, name path=sras] {sras(x)} node[above right, pos=0.95] {SRAS};

% Initial AD
\addplot[domain=0:20, thick, green, name path=ad] {ad(x)} node[above left, pos=0.05] {AD\textsubscript{0}};

% New AD
\addplot[domain=0:20, thick, green!50!black, dashed, name path=new_ad] {new_ad(x)} node[above left, pos=0.05] {AD\textsubscript{1}};

% Initial equilibrium
\draw[dashed, gray] (axis cs:10,6) -- (axis cs:0,6) node[left] {P\textsubscript{0}};
\draw[dashed, gray] (axis cs:10,6) -- (axis cs:10,0) node[below] {Y\textsubscript{0}};
\node[circle, fill=black, inner sep=1.5pt, label=above left:E\textsubscript{0}] at (axis cs:10,6) {};

% New equilibrium
\draw[dashed, gray] (axis cs:8,4.8) -- (axis cs:0,4.8) node[left] {P\textsubscript{1}};
\draw[dashed, gray] (axis cs:8,4.8) -- (axis cs:8,0) node[below] {Y\textsubscript{1}};
\node[circle, fill=black, inner sep=1.5pt, label=below right:E\textsubscript{1}] at (axis cs:8,4.8) {};

% Shift arrow
\draw[->, very thick, green!50!black] (axis cs:12,6.8) to[out=180,in=0] (axis cs:9,5.8) 
    node[midway, above, sloped, font=\small] {\shortstack{Contractionary \\ Monetary Policy}};

% Full employment note
\node[blue] at (axis cs:10,1) {\shortstack{Full \\ Employment}};
\end{axis}

% Luxury Goods Market
\begin{axis}[
    name=plot2,
    at={(plot1.east)},
    anchor=west,
    xshift=1cm,
    width=0.45\textwidth,
    height=0.6\textwidth,
    axis lines=left,
    xlabel={Quantity of Luxury Goods},
    ylabel={Price},
    xmin=0, xmax=10,
    ymin=0, ymax=10,
    xtick=\empty,
    ytick=\empty,
    clip=false,
    axis line style={-stealth},
    every axis y label/.style={rotate=0, black, at={(0.03,1.05)}},
    every axis x label/.style={black, at={(1.05,0.03)}}
]

% Demand curve
\addplot[domain=0:8, thick, blue, name path=demand] {demand(x)} node[above right, pos=0.05] {D};

% Supply curves
\addplot[domain=0:8, thick, red, name path=supply] {supply(x)} node[below right, pos=0.95] {S\textsubscript{0}};
\addplot[domain=0:8, thick, red!60!black, dashed, name path=new_supply] {new_supply(x)} node[above right, pos=0.95] {S\textsubscript{1}};

% Initial equilibrium
\draw[dashed, gray] (axis cs:4,3) -- (axis cs:0,3) node[left] {P\textsubscript{0}};
\draw[dashed, gray] (axis cs:4,3) -- (axis cs:4,0) node[below] {Q\textsubscript{0}};
\node[circle, fill=black, inner sep=1.5pt] at (axis cs:4,3) {};

% New equilibrium
\draw[dashed, gray] (axis cs:3,4.5) -- (axis cs:0,4.5) node[left] {P\textsubscript{1}};
\draw[dashed, gray] (axis cs:3,4.5) -- (axis cs:3,0) node[below] {Q\textsubscript{1}};
\node[circle, fill=black, inner sep=1.5pt] at (axis cs:3,4.5) {};

% Tax wedge
\draw[<->, thick] (axis cs:3,3.5) -- (axis cs:3,4.5) 
    node[midway, right] {\shortstack{Tax \\ Burden}};

% Shift arrow
\draw[->, very thick, red!60!black] (axis cs:5,3.5) to[out=90,in=0] (axis cs:4.5,4.2) 
    node[midway, above, sloped, font=\small] {\shortstack{Tax on \\ Luxury Goods}};

% Distributional effect
\node[align=left, font=\small] at (axis cs:7,2) {Disproportionately\\ affects\\ high-income groups};
\end{axis}

\end{tikzpicture}
\end{document}"
161," A positive externality diagram showing marginal social benefit above marginal private benefit, with the optimal quantity achieved through government subsidy or provision). This corrects the market failure caused by information gaps and aligns consumption with socially optimal levels. ","\begin{tikzpicture}
\begin{axis}[
    axis lines = left,
    xlabel = Quantity,
    ylabel = Price,
    xmin = 0, xmax = 25,
    ymin = 0, ymax = 15,
    xtick = {10,12},
    xticklabels = {$Q_m$, $Q_{opt}$},
    ytick = \empty,
    clip = false,
    grid = none,
    every axis plot/.append style={thick}
]

% Marginal Cost (Supply) Curve
\addplot[domain=0:20, blue] {0.5*x};
\node[above] at (axis cs:15,7.5) {MC};

% Marginal Private Benefit Curve
\addplot[domain=0:20, red] {10 - 0.5*x};
\node[left] at (axis cs:0,10) {MPB};

% Marginal Social Benefit Curve
\addplot[domain=0:24, red, dashed] {12 - 0.5*x};
\node[left] at (axis cs:0,12) {MSB};

% Market Equilibrium (Q_m, P_m)
\coordinate (market) at (axis cs:10,5);
\fill (market) circle[radius=2pt] node[above right] {Market Equilibrium};
\draw[dashed] (market) -- (axis cs:10,0) node[below] {$Q_m$};
\draw[dashed] (market) -- (axis cs:0,5) node[left] {$P_m$};

% Social Optimum (Q_opt, P_opt)
\coordinate (optimum) at (axis cs:12,6);
\fill (optimum) circle[radius=2pt] node[above] {Social Optimum};
\draw[dashed] (optimum) -- (axis cs:12,0) node[below] {$Q_{opt}$};
\draw[dashed] (optimum) -- (axis cs:0,6) node[left] {$P_{opt}$};

% Deadweight Loss Area
\fill[gray!30, opacity=0.5] (axis cs:10,5) -- (axis cs:10,7) -- (axis cs:12,6) -- cycle;
\node at (axis cs:11,6) {DWL};

% Positive Externality Arrow
\draw[->, thick] (axis cs:10,5) -- (axis cs:10,7) node[midway, right] {Positive Externality};

\end{axis}
\end{tikzpicture}"
162," A supply and demand diagram for exports could illustrate how subsidies shift the supply curve to the right, lowering the equilibrium price and increasing the quantity of exports, though at the expense of higher government spending","\documentclass{standalone}
\usepackage{pgfplots}
\pgfplotsset{compat=1.18}
\usetikzlibrary{patterns}

\begin{document}
\begin{tikzpicture}
\begin{axis}[
    axis lines = left,
    xlabel = {Quantity of Exports (Q)},
    ylabel = {Price (P)},
    xmin = 0, xmax = 120,
    ymin = 0, ymax = 100,
    xtick = \empty,
    ytick = \empty,
    clip = false,
]

% Demand curve (downward sloping)
\addplot[blue, thick, domain=0:100] {80 - 0.8*x};
\node[blue, above right] at (axis cs: 90,10) {D};

% Initial supply curve (S1)
\addplot[red, thick, domain=0:80] {20 + 0.75*x};
\node[red, above left] at (axis cs: 70,70) {S\textsubscript{1}};

% New supply curve after subsidy (S2)
\addplot[red, thick, dashed, domain=0:100] {10 + 0.75*x};
\node[red, below right] at (axis cs: 85,70) {S\textsubscript{2}};

% Initial equilibrium (E1)
\addplot[only marks, mark=*, mark size=2pt] coordinates {(40,50)};
\node[above] at (axis cs: 40,50) {E\textsubscript{1}};
\draw[dashed, gray] (axis cs: 0,50) -- (axis cs: 40,50) node[left] {P\textsubscript{1}};
\draw[dashed, gray] (axis cs: 40,0) -- (axis cs: 40,50) node[below] {Q\textsubscript{1}};

% New equilibrium (E2)
\addplot[only marks, mark=*, mark size=2pt] coordinates {(60,40)};
\node[above] at (axis cs: 60,40) {E\textsubscript{2}};
\draw[dashed, gray] (axis cs: 0,40) -- (axis cs: 60,40) node[left] {P\textsubscript{2}};
\draw[dashed, gray] (axis cs: 60,0) -- (axis cs: 60,40) node[below] {Q\textsubscript{2}};

% Government spending area (subsidy cost)
\addplot[pattern=north east lines, pattern color=green!40, draw=none] 
    coordinates {
        (0,40) 
        (0,50) 
        (60,40+0.75*60) 
        (60,40) 
        (0,40)
    } -- cycle;
\node[green!70!black] at (axis cs: 25,65) {Government Spending};

% Arrows for curve shift
\draw[->, thick, red] (axis cs: 45,45) -- (axis cs: 55,40);

\end{axis}
\end{tikzpicture}
\end{document}"
163," A tariff diagram would show a vertical shift in the supply curve for imports, leading to a higher equilibrium price, reduced quantity demanded, and a government revenue rectangle.","\begin{tikzpicture}
\usetikzlibrary{patterns}
\begin{axis}[
    axis lines = left,
    xlabel = Quantity,
    ylabel = Price,
    xmin = 0, xmax = 40,
    ymin = 0, ymax = 9,
    clip = false,
    xtick = {10,15,25,30},
    xticklabels = {,,},
    ytick = {2,3},
    yticklabels = {,,},
    every axis plot/.append style={thick}
]

% Demand curve
\addplot[domain=0:40, blue] {8 - 0.2*x};
\node[blue, right] at (axis cs: 5,7) {D};

% Supply curve
\addplot[domain=0:40, red] {0.2*x};
\node[red, right] at (axis cs: 35,7) {S};

% World supply curves
\addplot[domain=0:40, black] {2};
\node[black, right] at (axis cs: 40,2) {$P_w$};
\addplot[domain=0:40, black] {3};
\node[black, right] at (axis cs: 40,3) {$P_w + t$};

% Quantity labels
\node[below] at (axis cs:30,0) {$Q_1$};
\node[below] at (axis cs:25,0) {$Q_2$};

% Vertical dashed lines
\draw[dashed, gray] (axis cs:30,0) -- (axis cs:30,2);
\draw[dashed, gray] (axis cs:25,0) -- (axis cs:25,3);
\draw[dashed, gray] (axis cs:10,0) -- (axis cs:10,2);
\draw[dashed, gray] (axis cs:15,0) -- (axis cs:15,3);

% Government revenue rectangle
\draw[pattern=north east lines, pattern color=green] (axis cs:15,2) rectangle (axis cs:25,3);
\node at (axis cs:20,2.5) {Government Revenue};

\end{axis}
\end{tikzpicture}"
