,Unnamed: 0,Question,Mark Scheme,Question Type
100,100,Monopoly firms will always aim to maximise profits and limit pricing is the only way to ensure that these profits are maintained in the long run.Discuss the extent to which you agree with this statement. [12],"a

Monopoly firms will always aim to maximise profits and limit pricing is the only way to ensure that these profits are maintained in the long run. Discuss the extent to which you agree with this statement.
Monopoly producers might control all the market supply or sometimes the State might provide a legal definition of a monopoly, for example, a firm which controls at least 25% of the market share. Profit maximisation is generally considered to be one of the key aims of a monopoly firm. This would be achieved by producing a level of output where marginal costs (MC) = marginal revenue (MR). Limit pricing is a policy introduced to lower Monopoly prices to deter the entrance of new competitors into the market. Monopolies can do this because they can keep their average total costs lower than their competitors due to dynamic efficiency and economies of scale. In the short run however this means monopolies will not operate where MC = MR and therefore will not be able to maximise profits. Limit pricing recognises this but the main aim is to maintain/increase market share in the long run by preventing the entry of new firms. Once this has been achieved maximum profits can be attained. So it is possible to partially support the statement in the question.
Limit pricing will not always support the view of monopoly profit maximisation. It will only do so in the long run. It should also be recognised that some monopolies will not necessarily wish to ensure maximum profits are maintained even in the long run. The Principal Agent theory suggests monopolies might prefer to aim for other long run goals such as, sales maximisation, revenue maximisation or growth of market share. In this case the statement in question would not always apply.
L4 (9–12 marks) For a clear, explanation of monopoly profit maximisation pricing and an analysis of why limit pricing could be used and the extent to which its use would support the statement in question. Evaluative comment should also be provided to question how far the statement in question can be supported. L3 (7–8 marks) For a clear analysis of how a profit maximising monopolist would choose its output and how limit pricing works and the extent to which its use supports the statement in question. No evaluative comment will be provided to question the extent to which the statement in question is correct. L2 (5–6 marks) For a more descriptive explanation that indicates knowledge of the profit maximising pricing strategy of a monopoly and also how limit pricing might work. However, the distinction between the short run and long run impact of limit pricing will not discussed and no analysis further analysis of the statement in question will be provided. L1 (1–4 marks) For an answer that has some basic correct facts but includes irrelevancies and errors of theory.

12

","A-Level, [12] marks"
120,120,Explain the relationship between the Keynesian demand for money and the rate of interest. [12],"a

Explain the relationship between the Keynesian demand for money and the rate of interest.
The description of the transaction, precautionary and speculative demands for money, their individual relationship with the rate of interest. The combined effect of the 3 demands and the rate of interest.
L4 (9–12 marks): For an answer which provides a detailed explanation and analysis of the three demands for money and relates them to the rate of interest.
L3 (7–8 marks): For an answer which explains and analyses two of the demands for money and relates them to the rate of interest.
L2 (5–6 marks): For an answer which explains two of the demands for money.
L1 (1–4 marks): For an answer which has some basic correct facts but includes irrelevancies. Errors of theory or omissions of analysis will be substantial.

12

","A-Level, [12] marks"
122,122,Distinguish between the characteristics of developed (high-income) and developing (low-income) countries. [12],"a

Distinguish between the characteristics of developed (high income) and developing (low income) countries.
GDP per capita, population age structure, education, health care, foreign debt levels, sectoral distribution of employment, level of employment, level of infrastructure or level of urbanization.
L4 (9–12 marks): For an answer which explains and analyses the relationship between three or more characteristics.
L3 (7–8 marks): For an answer which explains and analyses the relationship between two characteristics.
L2 (5–6 marks): For an answer which explains two characteristics.
L1 (1–4 marks): For an answer which has some basic correct facts but includes irrelevancies. Errors of theory or omissions of analysis will be substantial.

12

","A-Level, [12] marks"
124,124,"Explain how the problems of climate change, such as global warming, may be regarded as a consequence of resource misallocation. [12]","a

Explain how the problems of climate change, such as global warming, may be regarded as a consequence of resource misallocation.
The allocative efficiency implications of the effects of overuse of carbon emission producing fuels, on externalities in consumption and production. Externalities marginal private/benefits social efficient output.
L4 (9–12 marks): For an answer which explains and analyses climate change in terms of externalities and private and social costs/benefits and link to resource misallocation.
L3 (7–8 marks): For an answer which explains and analyses climate change in terms of externalities or private or social costs/benefits with link to resource misallocation.
L2 (5–6 marks): For an answer which explains externalities and private and social costs/benefits and comments on the outcome.
L1 (1–4 marks): For an answer which has some basic correct facts but includes irrelevancies. Errors of theory or omissions of analysis will be substantial.

12

","A-Level, [12] marks"
126,126,Explain the relationship between marginal revenue and average revenue and their role in determining the output and profit of a profit maximising firm in a perfectly competitive market. [12],"a

Explain the relationship between marginal revenue and average revenue and their role in determining the output and profit of a profit maximising firm in a perfectly competitive market.
Definition of average revenue (AR) and marginal revenue (MR). Understanding of their nature in a perfectly competitive market. Marginal costs (MC) equality to MR for profit maximising output. The difference between AC and AR to determine the level of profits. Short run and long run changes.
L4 (9–12 marks): For an answer which refers to average and marginal revenue and analyses the relationship between MR/MC and AR/AC in both the short run and long run and links the two, to determine profits in perfect competition.
L3 (7–8 marks): For an answer which refers to average and marginal revenue and analyses the relationship between MR/MC and AR/AC in the short run or long run to determine profits in perfect competition.
L2 (5–6 marks): For an answer which explains average and marginal revenue in the context of a perfectly competitive firm.
L1 (1–4 marks): For an answer which has some basic correct facts but includesirrelevancies. Errors of theory or omissions of analysis will be substantial.

12

","A-Level, [12] marks"
128,128,Explain what is meant by a transmissions mechanism of monetary policy and consider why it might not work in practice. [12],"a

Explain what is meant by a transmissions mechanism of monetary policy and consider why it might not work in practice.
Monetary transmissions mechanisms attempt to explain how changes in monetary policy might have an impact on key macroeconomic goals such as national income, output, employment and inflation.
Answers may explain either the Keynesian model or an alternative model based on a central bank changing the base rate of interest. Keynes suggested that an increase in the money supply might affect real variables such as output and employment because this would be transmitted by a fall in interest rates, leading to a rise in investment/aggregate monetary demand and ultimately an increase in GDP and employment. However, Keynes also identified a number of reasons why this approach might not work effectively in practice. Reasons might include: the existence of a liquidity trap; an interest inelastic investment; a relatively low multiplier effect; negative effect of a rise in income on interest rates.
A similar approach might be adopted in relation to the use of a central bank’s mechanism to change interest rates to control the rate of inflation. Again, the success of this approach will rely heavily upon the strength of the links between a change in monetary policy and each of the variables which will determine the final outcome.
L4 (9–12 marks): For either approach an explanation of the meaning of monetary transmissions mechanism is required and supporting analysis should be fully developed and critically evaluated. In either approach, at least two evaluative comments should be provided. A reasoned conclusion should be provided which considers the extent to which the chosen monetary transmissions mechanism might work in practice.
L3 (7–8 marks): For accurate but only partially developed analysis based on either approach which provides at least one evaluative comment. Some attempt to draw upon the analysis and form a conclusion should be demonstrated.
L2 (5–6 marks): For a mainly descriptive comment which provides limited analysis and does not include any discursive comment. A conclusion will not be provided.
L1 (1–4 marks): For an answer that has some basic correct facts but includes irrelevancies and errors of theory.

12

","A-Level, [12] marks"
130,130,Discuss the costs and benefits of a trade union intervening to influence the wages of workers in a specific occupation. [12],"a

Discuss the costs and benefits of a trade union intervening to influence the wages of workers in a specific occupation
The main benefits associated with Trade Union intervention in the labour market would include: high wages due to collective bargaining; maintenance/improvement of working conditions and the maintenance of job security. The extent to which these objectives will be determined to some extent by the nature of the labour market in which they operate. In a perfectly competitive labour market analysis will focus on a situation where wage rates are determined by the supply of and the demand for labour. In this case trade unions can raise wages without loss of jobs, by increasing training and ultimately MRP. However, if wage increases are obtained by collective bargaining, which establishes a higher minimum wage, this might be achieved at a cost of significant job losses.
Similarly, in a monopsony labour market unions might be able to achieve higher wages in a bilateral bargaining situation where unions negotiate with a monopsony buyer. The extent to which higher wages can be achieved in this situation without job losses will depend upon the relative strength of the union in relation to the employer. The loss of jobs and job security is likely to be the most significant cost in both cases. A conclusion should attempt to judge alternative situations where a net benefit/cost might arise.
L4 (9–12 marks): For a sound discussion that recognises at least one cost and one benefit referring to a perfect labour and any imperfect labour market. Evaluative comment should attempt to compare the relative costs/benefits in each case and this should form the basis of a relevant conclusion.
L3 (7–8 marks): For a competent comment with limited analysis that recognises costs and benefits but does not apply this analysis to both a perfect and an imperfect labour market. A brief conclusion might be provided but it will not be fully developed to allow a valid judgement.
L2 (5–6 marks): For an attempt describes different costs/benefits associated with trade union intervention in the labour market but which, lacks sufficient analytical content. No conclusion will be provided.
L1 (1–4 marks): For an answer that has some basic correct facts but includes irrelevancies and errors of theory.

12

","A-Level, [12] marks"
132,132,"Firms in perfect competition and firms in monopolistic competition will only achieve normal profits in the long run. This means that firms in both these types of market structure are equally efficient.Discuss, with the help of diagrams, the extent to which you agree with this statement. [12]","a

Firms in perfect competition and firms in monopolistic competition will only achieve normal profits in the long run. This means that firms in both these types of market structure are equally efficient.
Discuss, with the help of diagrams, the extent to which you agree with this statement.
The main types of efficiency will be explained including: allocative efficiency, productive efficiency and possibly dynamic efficiency. Reference to the long run position in perfect competition in combination with definitions of efficiency should allow that firms in perfect competition will achieve both allocative and productive efficiency in the long run. Similarly, reference to a long run position in monopolistic competition using the same definitions of efficiency should enable candidates to conclude that a firm in monopolistic competition will not be allocatively efficient i.e. will not produce where AR=MC and it will not produce at the minimum point of its long run average total cost curve. Therefore it will not operate at an optimum level of output.
Answers which point out that the firm in monopolistic competition will be operating at a productively efficient level of output in the long run are acceptable provided it is clear that the definition of productive efficiency is stated as 'the minimum unit cost attainable for a given level of output'. A conclusion would point out that a perfectly competitive firm is therefore likely to be more efficient than it monopolistically competitive counterpart. Good responses might refer to dynamic efficiency and given the small size of firms in both types of market structure, neither firm would be able to benefit from this type of efficiency.
L4 (9–12 marks): For a clear explanation of the concept of normal profit and an analysis of the long run positions of both types of firms, supported by clear, accurately labelled diagrams. A clear understanding allocative and productive efficiency. An attempt to evaluate the accuracy of the claim under consideration by comparing the two long run outcomes. A conclusion which points out that the statement is incorrect.
L3 (7–8 marks): For an accurate reference to the question and clear understanding two types of efficiency and an attempt to link these different types of efficiency to different long run positions of both types of firm but with a more limited evaluation of the differences in efficiency between the two firms in the long run. Analysis of how the long run positions are attained will be also less well developed. #
L2 (5–6 marks): For a briefer descriptive comment that examines two types of efficiency and applies these concepts to both types of firm in the long run. Diagrams might not be accurate and it is not clear how the long run position has been attained. Does not use these differences in long run outcomes to discuss the validity of the view under consideration.
L1 (1–4 marks): For an answer that has some basic correct facts but includes irrelevancies and errors of theory.

12

","A-Level, [12] marks"
134,134,Explain what economists mean by a public good and discuss why the provision of such a good is associated with market failure. [12],"a

Explain what economists mean by a public good and discuss why the provision of such a good is associated with market failure.
Answers should provide a clear explanation of the meaning of a public good. Key characteristics: non rival; non excludable should be identified. Some reference to non- divisible/non-rejectable might also be referred to. Examples provided might include: street lighting/national defence/lighthouse
The link between the characteristics of a public good and the difficulty associated with the provision of such a good by the free market should be established i.e. the ‘free rider problem’ Market failure should be discussed in the context of allocative inefficiency. Allocative efficiency is attained when resources are allocated to maximise consumer satisfaction. If public goods are not provided, consumer satisfaction is unlikely to be maximised, hence unless the State provides public goods, market failure will occur.
L4 (9–12 marks): For a reasoned and clear discussion which explains the key characteristics of a public good and analyses the links between allocative efficiency and the concept of market failure. An attempt should be made to evaluate the potential impact on total consumer satisfaction if certain public are not provided. A conclusion should be provided which might comment on the importance of public goods and how a government can help to address this type of potential market failure.
L3 (7–8 marks): For a competent comment which clearly defines the concept of a public good and market failure together with limited elaboration of the analysis or imprecise links in the argument. Evaluation will not be fully developed and no attempt will be made to provide a conclusion to summarize the preceding argument.
L2 (5–6 marks): For a limited explanation of the key terms but weak or illexplained links between these terms. The explanation will be undeveloped with some attempt at analysis but the emphasis will be on descriptive comment.
L1 (1–4 marks): For an answer that has some basic correct facts but includes irrelevancies and errors of theory.

12

","A-Level, [12] marks"
154,154,"Consider, with the help of a circular flow diagram, the potential impact of a fall in the rate of interest on the level of output and the level of employment. [12]","a

Consider, with the help of a circular flow diagram, the potential impact of a fall in the rate of interest on the level of output and the level of employment.
Candidates should produce an accurate, clearly labelled, three sector circular flow diagram. Injections and withdrawals should be clearly identified. The existing equilibrium level of income, output and employment should be identified and explained. Also the links between expenditure, output and employment should be explained. The full employment level of income, expenditure and output should be labelled on the diagram. Analysis should then examine the potential impact of a fall in the rate of interest on withdrawals. For example, savings and imports, or injections for example, investment and exports. The extent of the potential impact should be discussed in each case. For example, a fall in interest rates is likely to reduce the level of savings and increase the level of consumer spending. This will produce higher levels of expenditure, output and employment.
However, the overall impact will also be affected by any subsequent change in the multiplier effect. If the marginal propensity to save falls significantly, the multiplier will increase and the overall impact on output and employment will be substantial. The impact on investment (injection) will also depend upon factors such as the interest elasticity of investment and/or the current level of confidence of potential investors. Reference might be made to the importance of locating the current state of the economy before the fall in the rate of interest takes place. If there is a lot of existing spare capacity, the impact of a fall in interest rates on output and employment is likely to be significant.
L4 (9–12 marks) for an answer which uses circular flow theory to analyse the relationship between expenditure, income, output and employment. Analysis should be supported by an appropriate diagram. The impact of a fall in the rate of interest should be considered in relation to at least one withdrawal and one injection. Some evaluative comment should be provided in each case. A conclusion should be provided.
L3 (7–8 marks) for analysis which explains the circular flow model and identifies withdrawals and injections. Full employment equilibrium will also be identified. Analysis will focus upon either one withdrawal or one injection but it should be supported by a diagram and at least one evaluative comment.
L2 (5–6 marks) for a less well-developed comment which describes the circular flow of income and identifies withdrawals and injections and makes some reference to the full employment level of income. There will be no evidence of analysis which examines the impact of a fall in the rate of interest on either withdrawals or injections. Diagrams might not be accurately labelled.
L1 (1–4 marks) for an answer that shows some knowledge but does not indicate that the question has been fully grasped or where the answer is mostly irrelevant.

12

","A-Level, [12] marks"
