,Unnamed: 0,Question,Mark Scheme,Question Type
22,22,The price elasticity of supply (PES) for a new smartphone is estimated to be 0.8 in the short run and 1.8 in the long run.Explain what these estimates mean for producers and consumers of smartphones and consider why the estimates differ. [8],"a

The price elasticity of supply (PES) for a new smartphone is estimated to be 0.8 in the short run and 1.8 in the long run.
Explain what these estimates mean for producers and consumers of smartphones and consider why the estimates differ.
Follow the point-based marking guidance at the top of this mark scheme and award:

up to 3 marks for AO1 Knowledge and understanding up to 3 marks for AO2 Analysis
up to 2 marks for AO3 Evaluation.

AO1 Knowledge and Understanding (max 3 marks)
Meaning of price elasticity of supply (1) an accurate formula (1) an explanation of what is meant by elastic/inelastic based on the responsiveness of changes in supply to changes in price (1).
AO2 Analysis (max 3 marks)
Analysis of why the values may differ due to e.g., the time period, level of stock, changes in the production process etc. Up to 2 marks for each reason explained. Maximum of 3 marks overall
AO3 Evaluation (max 2 marks)
An assessment as to why the impact on consumers and producers may differ according to these different estimates e.g., on availability, pricing and investment decisions.

8


AO1 Knowledge and understanding
3


AO2 Analysis
3


AO3 Evaluation
2

","AS-Level, [8] marks"
24,24,"With the help of a diagram(s), explain one reason for an increase in aggregate demand and one reason for an increase in aggregate supply and consider whether an increase in aggregate demand will always lead to inflation. [8]","a

With the help of a diagram(s), explain one reason for an increase in aggregate demand and one reason for an increase in aggregate supply and consider whether an increase in aggregate demand will always lead to inflation.
Follow the point-based marking guidance at the top of this mark scheme and award:

up to 3 marks for AO1 Knowledge and understanding.
up to 3 marks for AO2 Analysis
up to 2 marks for AO3 Evaluation.

AO1 Knowledge and Understanding (max 3 marks)Aggregate demand is the total demand for an economy's goods and services at a given price level/it is the total of C + I + G +(X-M) (1)Aggregate supply is the total output that producers in an economy are willing and able to supply at a given price level (1)An accurate diagram showing AD and AS curves (1)
AO2 Analysis (max 3 marks)Analysis must explain a valid cause of an increase in AD (1) and a valid cause of an increase in AS (1)and show these increases by rightward shifts in both curves and the resultant impacts on the price level on an accurate diagram (1)
AO3 Evaluation (max 2 marks) Whether an increase in AD will always lead to an increase in the price level (inflation) will depend on the increase in AS and/or the shape of/position on the AS curve (1). This must be clearly explained, and reserve one mark for a valid judgement (1)

8


AO1 Knowledge and understanding
3


AO2 Analysis
3


AO3 Evaluation
2

","AS-Level, [8] marks"
26,26,Explain the difference between the terms of trade and the balance of trade in goods and consider whether an economy should be more concerned about its terms of trade than its balance of trade in goods. [8],"a

Explain the difference between the terms of trade and the balance of trade in goods and consider whether an economy should be more concerned about its terms of trade than its balance of trade in goods.
Follow the point-based marking guidance at the top of this mark scheme and award:up to 3 marks for AO1 Knowledge and understanding.up to 3 marks for AO2 Analysisup to 2 marks for AO3 Evaluation.
AO1 Knowledge and Understanding (max 3 marks)The term of trade is a numerical measure of the relationship/ratio between export and import prices (1)with an accurate formula showing the measure as an index (1)whereas the balance of trade in goods measures the revenue earned from exports of goods minus the expenditure on imports of goods (1)
AO2 Analysis (max 3 marks)Analysis must consider issues concerning both the terms of trade and the balance of trade in goods. These may include:

Up to 2 marks for an analysis of the effects of changes to the terms of trade e.g., relative change in competitiveness, increase in cost-push inflation, effects on balance of trade in goods and services.
Up to 2 marks for an analysis of the effects of changes to the balance of trade e.g., an increase in the demand for exports ceteris paribus may lead to an increase in the balance of trade, impact on employment levels, economic growth, inflation.
MAX 3 marks overall

AO3 Evaluation (max 2 marks)Evaluation should use relevant analysis to consider the importance of both measures and make a judgement as to which one may be of most concern to an economy (1). Reserve one mark for a justified conclusion (1).

8


AO1 Knowledge and understanding
3


AO2 Analysis
3


AO3 Evaluation
2

","AS-Level, [8] marks"
28,28,"With the help of examples, explain the difference between free goods and public goods and consider the view that public goods can never be provided in a market economy. [8]","a

With the help of examples, explain the difference between free goods and public goods and consider the view that public goods can never be provided in a market economy.
Follow the point-based marking guidance at the top of this mark scheme and award:

up to 3 marks for AO1 Knowledge and understanding.
up to 3 marks for AO2 Analysis
up to 2 marks for AO3 Evaluation.

AO1 Knowledge and Understanding (max 3 marks)Free goods are not scarce and have zero opportunity cost/no prices as no factors of production are required to produce them (1)Public goods have two main characteristics of non-excludability and nonrivalry with a brief explanation of both terms (1)Provide accurate examples of both e.g., fresh air and street lighting respectively (1)
AO2 Analysis (max 3 marks) Explanation of why each of the two characteristics of public goods lead to the free rider problem (1 + 1) and why this makes it impossible/unrealistic to charge a price for them so the market economy would not supply them and therefore they must be provided by the government (1)
AO3 Evaluation (max 2 marks)

Consideration of the view that pure public goods can never be provided in a market economy unless they are directly funded by the government (1)
Or could be considered to be quasi or semi-public goods in which case a price could be charged, and they could be provided by a market economy (1)
Reserve one mark for a justified conclusion (1)


88


AO1 Knowledge and understanding
3


AO2 Analysis
3


AO3 Evaluation
2

","AS-Level, [8] marks"
30,30,"With the help of a formula, explain what is meant by the term price elasticity of demand for a product and consider the extent to which it allows an entrepreneur to determine the effect of price changes on the total expenditure on their product. [8]","a

With the help of a formula, explain what is meant by the term price elasticity of demand for a product and consider the extent to which it allows an entrepreneur to determine the effect of price changes on the total expenditure on their product.
Follow the point-based marking guidance at the top of this mark scheme and award:

up to 3 marks for AO1 Knowledge and understanding
up to 3 marks for AO2 Analysis
up to 2 marks for AO3 Evaluation.

AO1 Knowledge and Understanding (max 3 marks) For a clear understanding of the meaning of price elasticity of demand (1) plus an accurate formula (1) plus a clear understanding of what is meant by price elastic and price inelastic that refers to relative proportionate or percentage changes rather than large or small changes (1)
AO2 Analysis (max 3 marks) Up to 2 marks for clear analysis of how total expenditure on a product is affected by price changes if the demand is price elastic. Up to 2 marks for clear analysis of how total expenditure on a product is affected by price changes if the demand is price inelastic. Note: as the question refers to price changes it is expected that answers should consider both price increases and price decreases. If either part of the analysis only considers a price rise or a fall, then a maximum of 1 mark for that part of the analysis. If both parts of the analysis consider a price rise or fall then a maximum mark of 2 i.e., 1 + 1.
AO3 Evaluation (max 2 marks)Up to 2 marks for considering the extent to which the concept can help the entrepreneur and making a judgement.

Consideration of the accuracy of the measure and the ease of calculation for an entrepreneur
Consideration of other factors which may affect total expenditure on a product when price changes.
Reserve 1 mark for a conclusion that focuses on the extent to which it allows the entrepreneur to determine the effect of price changes.


8


AO1 Knowledge and understanding
3


AO2 Analysis
3


AO3 Evaluation
2

","AS-Level, [8] marks"
32,32,Explain the difference between an import tariff and an import quota and consider why a government would choose an import tariff rather than an import quota as a tool of protection in international trade. [8],"a

Explain the difference between an import tariff and an import quota and consider why a government would choose an import tariff rather than an import quota as a tool of protection in international trade.
Follow the point-based marking guidance at the top of this mark scheme and award:up to 3 marks for AO1 Knowledge and understanding up to 3 marks for AO2Analysisup to 2 marks for AO3 Evaluation.
AO1 Knowledge and understanding (max 3 marks)
The meaning of an import tariff as a tool of protection. (Up to 2 marks)The meaning of an import quota as a tool of protection. (Up to 2 marks) (Max 3 marks)
AO2 Analysis (max 3 marks)An explanation of the various advantages and disadvantages of an import tariff as a tool of protection in international trade. (Up to 2 marks)An explanation of the various advantages and disadvantages of an import quota as a tool of protection in international trade. (Up to 2 marks)
Max 3 marks
AO3 Evaluation (max 2 marks)
Offers a valid judgement on why a government would choose an import tariff rather than an import quota as a tool of protection in international trade (1) to reach a conclusion. (1)

8


AO1 Knowledge and understanding
3


AO2 Analysis
3


AO3 Evaluation
2

","AS-Level, [8] marks"
34,34,Explain the reasons why governments impose taxes and consider whether an increase in income tax is fairer than an increase in sales taxes. [8],"a

Explain the reasons why governments impose taxes and consider whether an increase in income tax is fairer than an increase in sales taxes.
Follow the point-based marking guidance at the top of this mark scheme and award:up to 3 marks for AO1 Knowledge and understanding up to 3 marks for AO2Analysisup to 2 marks for AO3 Evaluation.
AO1 Knowledge and understanding (max 3 marks)
A clear understanding of the various possible reasons why governments impose taxes.
AO2 Analysis (max 3 marks)
Analysis of the distinction between a direct tax, such as income tax, and an indirect tax, such as a sales tax, with appropriate reference to fairness.
AO3 Evaluation (max 2 marks)
Offers a valid judgement on whether an increase in income tax is fairer than an increase in sales taxes (1) to reach a conclusion. (1)

8


AO1 Knowledge and understanding
3


AO2 Analysis
3


AO3 Evaluation
2

","AS-Level, [8] marks"
36,36,Explain why a government might decide to increase its direct provision of essential goods and services and consider whether such a policy is always likely to be successful. [8],"a

Explain why a government might decide to increase its direct provision of essential goods and services and consider whether such a policy is always likely to be successful.
Follow the point-based marking guidance at the top of this mark scheme and award:up to 3 marks for AO1 Knowledge and understanding up to 3 marks for AO2Analysisup to 2 marks for AO3 Evaluation.
AO1 Knowledge and understanding (max 3 marks)
An understanding of the role of the state in providing essential goods and services, such as merit goods (1); these could include education and health care (1) and they could be financed out of money received from taxation. (1)
Guidance: Allow expenditure by a government on items such as food and shelter.
AO2 Analysis (max 3 marks)
Up to 2 marks for explaining each essential good or service that a government might decide to increase the direct provision of.
Max: 3 marks
Guidance:2 marks for each well-explained essential good or service provided by the state and 1 mark for each essential good or service provided by the state with limited explanation.
AO3 Evaluation (max 2 marks)
Offers a valid judgement on whether an increase in a government's direct provision of essential goods and services will always be likely to be successful in achieving its objectives in an economy (1) to reach a conclusion. (1)

8


AO1 Knowledge and understanding
3


AO2 Analysis
3


AO3 Evaluation
2

","AS-Level, [8] marks"
38,38,"With the help of a diagram, explain what could cause an increase in demand for a product and consider whether the impact of an increase in demand on the price of the product will be the same in the short run and the long run. [8]","a

With the help of a diagram, explain what could cause an increase in demand for a product and consider whether the impact of an increase in demand on the price of the product will be the same in the short run and the long run.
Follow the point-based marking guidance at the top of this mark scheme and award:up to 3 marks for AO1 Knowledge and understanding up to 3 marks for AO2Analysisup to 2 marks for AO3 Evaluation.
AO1 Knowledge and understanding (max 3 marks)
An understanding of the demand for a product, shown through an accurate diagram, with correctly labelled axes (1), correctly labelled demand and supply curves and a correctly labelled shift of the demand curve to the right (1) and with equilibrium positions in terms of both price and quantity clearly shown or a movement from E1 to E2. (1)
AO2 Analysis (max 3 marks)
Uses the diagram to explain what could cause a shift of the demand curve to the right for a product and analyses the causes of an increase in demand for a product.
AO3 Evaluation (max 2 marks)
Offers a valid judgement on whether the impact of an increase in demand on the price of the product will be the same in the short run and long run (1) to reach a conclusion. (1)

8


AO1 Knowledge and understanding
3


AO2 Analysis
3


AO3 Evaluation
2

","AS-Level, [8] marks"
40,40,Explain how monetary policy may be able to reduce the rate of inflation in an economy and consider the likely success of this policy. [8],"a

Explain how monetary policy may be able to reduce the rate of inflation in an economy and consider the likely success of this policy.
Follow the point-based marking guidance at the top of this mark scheme and award:up to 3 marks for AO1 Knowledge and understanding up to 3 marks for AO2 Analysisup to 2 marks for AO3 Evaluation.
AO1 Knowledge and understanding (max 3 marks)
An understanding of monetary policy (1); tools of monetary policy :interest rates, supply of money and regulations (1); nature of a contractionary monetary policy (1)
AO2 Analysis (max 3 marks)
An explanation of how the tools of monetary policy can be applied to reduce inflation (1); analysis of these changes on aggregate demand and the price level (1); analysis of the effects on output and employment (1).
AO3 Evaluation (max 2 marks) The effectiveness of monetary policy will depend upon the response of consumers and firms, in particular to higher interest rates (1) May also depend on the rate of inflation and its causes (1) Reserve 1 mark for a justified conclusion.

8


AO1 Knowledge and understanding
3


AO2 Analysis
3


AO3 Evaluation
2

","AS-Level, [8] marks"
42,42,"With the help of a circular flow of income diagram, explain how equilibrium is determined in an open economy and consider whether a budget deficit or a trade deficit is more likely to cause lasting disequilibrium. [8]","a

With the help of a circular flow of income diagram, explain how equilibrium is determined in an open economy and consider whether a budget deficit or a trade deficit is more likely to cause lasting disequilibrium.
Follow the point-based marking guidance at the top of this mark scheme and award:up to 3 marks for AO1 Knowledge and understanding up to 3 marks for AO2 Analysisup to 2 marks for AO3 Evaluation.
AO1 Knowledge and understanding (max 3 marks) An understanding of the circular flow of income shown through an accurate diagram showing income flows between firms and households (1); correct inclusion of exports and imports (1); correct inclusion of government spending and taxation (1)
AO2 Analysis (max 3 marks) Explanation of injections into the circular flow of income;(1); explanation of leakages from the circular flow of income (1); determination of equilibrium in the circular flow of income (1)
AO3 Evaluation (max 2 marks) Consideration how a budget deficit or a trade deficit leads to disequilibrium in the circular flow of income (1); consideration which is likely to cause lasting disequilibrium (1) Reserve 1 mark for a justified conclusion

8


AO1 Knowledge and understanding
3


AO2 Analysis
3


AO3 Evaluation
2

","AS-Level, [8] marks"
44,44,Explain why government intervention may be required to provide merit goods and consider why such intervention may not always be successful. [8],"a

Explain why government intervention may be required to provide merit goods and consider why such intervention may not always be successful.
Follow the point-based marking guidance at the top of this mark scheme and award:up to 3 marks for AO1 Knowledge and understanding up to 3 marks for AO2 Analysisup to 2 marks for AO3 Evaluation.
AO1 Knowledge and understanding (max 3 marks)Government intervention takes place when markets fail (1); nature of information failure (1) examples of merit goods (1)
AO2 Analysis (max 3 marks) Application of reasons for government provision of merit goods to include essential nature of merit goods (1); private sector not willing to fully provide (1); problem of payment for merit goods (1) benefits in terms of society and the economy (1)
Guidance; Award 1 mark for each example that is explained
AO3 Evaluation (max 2 marks)

Governments may lack the resources to provide sufficient merit goods
Governments may not have enough information on which merit goods should be provided
Reserve 1 mark for a justified conclusion


8


AO1 Knowledge and understanding
3


AO2 Analysis
3


AO3 Evaluation
2

","AS-Level, [8] marks"
46,46,"Explain, with the help of examples, the significance of the size and sign of the coefficient of income elasticity of demand for the classification of a good and consider how confident you are of this classification. [8].","a

Explain, with the help of examples, the significance of the size and sign of the coefficient of income elasticity of demand for the classification of a good and consider how confident you are of this classification.
Follow the point-based marking guidance at the top of this mark scheme and award:up to 3 marks for AO1 Knowledge and understanding up to 3 marks for AO2 Analysisup to 2 marks for AO3 Evaluation.
AO1 Knowledge and Understanding (max 3 marks)Knowledge of what is meant by income elasticity of demand (1)Formula for calculation of income elasticity of demand (1)Meaning of elastic/inelastic income elasticity of demand (1)
AO2 Analysis (max 3 marks)Analysis of the significance of the size and sign of the coefficient for normal goods with relevant examples (1)Analysis of the significance of the size and sign of the coefficient for necessity goods with relevant examples (1)Analysis of the significance of the size and sign of the coefficient for inferior goods with relevant examples (1)Analysis of the significance of the size and sign of the coefficient for superior goods with relevant examples (1)
Award maximum of 1mark for two types of good but with no examples.Award maximum of 2 marks for three types of good but with no examples.
AO3 Evaluation (max 2 marks)For a brief comment such as

Classification is dependent on income level of individual/household in case of inferior goods or necessities or superior goods
A necessity for a low-income household could be a normal good for another household
YED is an estimate calculated over separate time periods
Reserve 1 mark for a justified conclusion


8


AO1 Knowledge and understanding
3


AO2 Analysis
3


AO3 Evaluation
2

","AS-Level, [8] marks"
48,48,Explain the difference between cost‑push and demand‑pull inflation and consider which is more likely to occur if there is a depreciation in the exchange rate of a country with few natural resources. [8],"a

Explain the difference between cost-push and demand-pull inflation and consider which is more likely to occur if there is a depreciation in the exchange rate of a country with few natural resources.
Follow the point-based marking guidance at the top of this mark scheme and award:up to 3 marks for AO1 Knowledge and understanding up to 3 marks for AO2 Analysis up to 2 marks for AO3 Evaluation.
AO1 Knowledge and Understanding (max 3 marks) Cost push inflation is inflation caused by increases in the costs of production (1). Demand pull inflation is caused by increases in AD not matched by equivalent increases in AS (1). A clear explanation of the differences between the two (1)
AO2 Analysis (max 3 marks) A depreciation in the exchange rate will lead to a fall in the price of exports for the trading partner and a rise in the price of imports for the country in question. This should be analysed with reference to the impact on the different types of inflation.
Maximum of 2 marks if only demand-pull inflation is considered and should focus on the impact of the fall in price of exports and the rise in the price of imports and the possible impact on the X -M component of AD and therefore the impact on AD overall. Reference may be made to the PED of exports and the PED of imports.
Maximum of 2 marks if only cost push inflation is considered. Reference must be made to the importance of imports (1) and the fact that this country has few natural resources which probably means they must be imported for the 2nd mark.
AO3 Evaluation (max 2 marks) For an answer that clearly considers the fact that this country has few natural resources (1) to come to a justified conclusion as to which type of inflation is most likely to be the outcome for a country with few natural resources (1)

8


AO1 Knowledge and understanding
3


AO2 Analysis
3


AO3 Evaluation
2

","AS-Level, [8] marks"
