,Question,Mark Scheme,Question Type
10,Explain what is meant by a depreciation of the exchange rate and consider whether a depreciation is likely to increase domestic real output. [8],"a

Explain what is meant by a depreciation of the exchange rate and consider whether a depreciation is likely to increase domestic real output.
Follow the point-based marking guidance at the top of this mark scheme and award:up to 3 marks for AO1 Knowledge and understanding up to 3 marks for AO2 Analysisup to 2 marks for AO3 Evaluation.
AO1 Knowledge and Understanding (max 3 marks)An accurate definition the exchange rate (1). Understanding that there is likely to be a depreciation of the exchange rate if the demand for a currency falls (1) or there is an increase in the supply of a currency (1).
AO2 Analysis (max 3 marks) A depreciation of the exchange rate will reduce (increase) the perceived price of exports (imports) (1) which will increase the value of both (X-M) and aggregate demand (1) and increase the rate of domestic real output (1).
AO3 Evaluation (max 2 marks) One mark for a valid explanation that this assumes that the economy is not operating at full capacity (1) or depends on the elasticity of demand for goods that are traded internationally (1). The second mark is for a justified conclusion.

8


AO1 Knowledge and understanding
3


AO2 Analysis
3


AO3 Evaluation
2

","AS-Level, [8] marks"
11,Assess whether contractionary fiscal policy is likely to be the best way to reduce a current account deficit on the balance of payments. [12],"b

Assess whether contractionary fiscal policy is likely to be the best way to reduce a current account deficit on the balance of payments.
Use Table A: AO1 Knowledge and understanding and AO2 Analysis andTable B: AO3 Evaluation to mark candidate responses to this question.
AO1 and AO2 out of 8 marks. AO3 out of 4 marks.
Indicative content
Responses may include:
AO1 Knowledge and understanding and AO2 Analysis

Understanding of the terms fiscal policy/current account deficit.
How contractionary fiscal policy might reduce a current account deficit – this may include increased taxation might reduce imports/reduce demand-pull inflationary pressure resulting in improved international price competitiveness.
An explanation of the limitations of fiscal policy – impact on domestic growth, unemployment.
An explanation of an alternative policy – monetary and/or supply side policies, minimum prices, regulation backed by fines.

AO3 Evaluation

Consideration that fully assesses the relative effectiveness of the policies analysed in reducing a current account deficit and arrives at a reasoned conclusion concerning whether fiscal policy is the ‘best’ approach.

Accept all valid responses.

12


AO1 Knowledge and understanding and AO2 Analysis
8


AO3 Evaluation
4


","AS-Level, [12] marks"
12,"With the help of a formula, explain the meaning of income elasticity of demand and consider the extent to which a rise in income will increase the consumption of all goods and services. [8]","a

With the help of a formula, explain the meaning of income elasticity of demand and consider the extent to which a rise in income will increase the consumption of all goods and services.
Follow the point-based marking guidance at the top of this mark scheme and award:up to 3 marks for AO1 Knowledge and understanding up to 3 marks for AO2 Analysisup to 2 marks for AO3 Evaluation.
AO1 Knowledge and Understanding (max 3 marks)An accurate definition of income elasticity of demand (1) and accurate formula (1). Understanding of the difference between normal and inferior goods (1).
AO2 Analysis (max 3 marks) Normal goods have a positive value (1). Uses a diagram (upwards sloping income demand curve) or the formula to show why an increase in income increases the consumption of such goods (1) – this should be justified with an appropriate example (1).
AO3 Evaluation (max 2 marks) One mark for a valid explanation that if the good is inferior good then the demand for the good will fall when incomes rise (1) as consumers adjust their spending habits and consumer more normal/luxury goods. The second mark is for a justified conclusion.

8


AO1 Knowledge and understanding
3


AO2 Analysis
3


AO3 Evaluation
2

","AS-Level, [8] marks"
13,Assess whether an estimate of the price elasticity of demand for a product is likely to be more useful to a firm than an estimate of its price elasticity of supply. [12],"b

Assess whether an estimate of the price elasticity of demand for a product is likely to be more useful to a firm than an estimate of its price elasticity of supply.
Use Table A: AO1 Knowledge and understanding and AO2 Analysis andTable B: AO3 Evaluation to mark candidate responses to this question.
AO1 and AO2 out of 8 marks. AO3 out of 4 marks.
Indicative content
Responses may include:
AO1 Knowledge and understanding and AO2 Analysis

The meaning of the terms PED/PES
How PED estimates would be useful to business owners –it would indicate the likely changes to revenue in response to changes in the price of a product.
An explanation of the limitations of PED estimates – does not consider the prices of complements/substitutes; income level of the consumer; trends; ignores the relevance of costs so changes to profits are uncertain.
An explanation of how PES estimates would be useful to business owners - the potential to invest in spare capacity which can be used if demand rises; increase overtime payments to increase production; whether or not to outsource to other firms who can meet supply.
An explanation of the limitations of PES estimates – e.g., practical ability to increase the PES; the associated costs in making supply more elastic/responsive.

AO3 Evaluation

Consideration that fully assesses the relative effectiveness of both PED/PES estimates and their implications for business decision-making and arrives at a reasoned conclusion concerning which concept (or otherwise) is most useful.

Accept all valid responses.

12


AO1 Knowledge and understanding and AO2 Analysis
8


AO3 Evaluation
4


","AS-Level, [12] marks"
14,"With the help of a demand and supply diagram, explain how the introduction of an indirect tax affects equilibrium in a market and consider the extent to which the incidence of the tax will fall on the consumer. [8]","a

With the help of a demand and supply diagram, explain how the introduction of an indirect tax affects equilibrium in a market and consider the extent to which the incidence of the tax will fall on the consumer.
Follow the point-based marking guidance at the top of this mark scheme and award:up to 3 marks for AO1 Knowledge and understanding up to 3 marks for AO2 Analysisup to 2 marks for AO3 Evaluation.
AO1 Knowledge and Understanding (max 3 marks) An accurate definition of an indirect tax (1) shown through an accurate diagram, correctly labelled axes and equilibrium price and quantity (1). Understanding that indirect taxes are used to discourage the consumption of demerit goods (1).
AO2 Analysis (max 3 marks)Uses the diagram to explain that an indirect tax shifts the supply curve to the left (1), which causes an increase in the price of the good to the consumer (1) and reduces the quantity demanded (1).
AO3 Evaluation (max 2 marks) One mark for a valid explanation that the incidence of tax borne by the consumer will depend on the PED of the product (1), (and that the more price inelastic demand is the greater the proportion of the tax is passed onto the consumer (1)), with a second mark for a justified conclusion.

8


AO1 Knowledge and understanding
3


AO2 Analysis
3


AO3 Evaluation
2

","AS-Level, [8] marks"
15,Assess whether the improved provision of information is likely to be the best method to reduce the consumption of demerit goods. [12],"b

Assess whether the improved provision of information is likely to be the best method to reduce the consumption of demerit goods
Use Table A: AO1 Knowledge and understanding and AO2 Analysis andTable B: AO3 Evaluation to mark candidate responses to this question.
AO1 and AO2 out of 8 marks. AO3 out of 4 marks.
Indicative content
Responses may include:
AO1 Knowledge and understanding and AO2 Analysis

The meaning of improved provision of information
How improved information would reduce the consumption of demerit goods; consumers are aware of the ‘true’ costs from consuming demerit goods and respond by reducing their demand – this may include a shift to the left of the demand curve, or a shift to left of the MPC curve
An explanation of the limitations of improved information – habitual consumption, peer pressure, irrational behaviour
An explanation of an alternative policy – taxation, minimum prices, regulation backed by fines.

AO3 Evaluation

Consideration that fully assesses the relative effectiveness of the policies analysed in reducing the consumption of demerit goods and arrives at a reasoned conclusion concerning whether improved provision of information is the ‘best’ approach.

Accept all valid responses.

12


AO1 Knowledge and understanding and AO2 Analysis
8


AO3 Evaluation
4


","AS-Level, [12] marks"
16,Explain how import tariffs might correct an imbalance in the current account of the balance of payments and consider whether these tariffs are the best way of correcting such an imbalance. [8],"a

Explain how import tariffs might correct an imbalance in the current account of the balance of payments and consider whether these tariffs are the best way of correcting such an imbalance.
Follow the point-based marking guidance at the top of this mark scheme and award:

up to 3 marks for AO1 Knowledge and understanding up to 3 marks for AO2 Analysis
up to 2 marks for AO3 Evaluation.

AO1 Knowledge and understanding (max 3 marks)

What is meant by an import tariff (1)
What is measured by the current account of the balance of payments (1)
What is meant by an imbalance in the current account of the balance of payments in terms of a surplus or deficit. (1)

AO2 Analysis (max 3 marks)
For an analysis of how import tariffs will affect the prices of imports (1) and how this may affect domestic consumption on imports (1) and how this may correct the imbalance (1)
Note: a diagram may be useful but cannot be expected.
AO3 Evaluation (max 2 marks)
Final effect is uncertain e.g., as a result of the PED for imports (1); other policies can be used (1); whether trading competitors retaliate (1). Reserve (1) for a justified conclusion.

8


AO1 Knowledge and understanding
3


AO2 Analysis
3


AO3 Evaluation
2

","AS-Level, [8] marks"
17,A country has a persistent deficit on the current account of its balance of payments.Assess the likely consequences for the domestic and external economy of this country. [12],"b

A country has a persistent deficit on the current account of its balance of payments.
Assess the likely consequences for the domestic and external economy of this country.
UseTable A: AO1 Knowledge and understanding and AO2 Analysis andTable B: AO3 Evaluation to mark candidate responses to this question.
AO1 and AO2 out of 8 marks. AO3 out of 4 marks.
Indicative content
Responses may include:
AO1 Knowledge and understanding and AO2 Analysis

Explanation of what is meant by a persistent deficit on the current account of the balance of payments.
Analysis of the consequences of a persistent deficit on the domestic economy e.g., in terms of employment levels, economic growth, inflation, living standards, government budget, business confidence, possible need to restructure the economy etc.
Analysis of the consequences of a persistent deficit on the external economy e.g., exchange rates, ability to trade, need for imports, debt interest, etc.Note: accept answers that refer to the impact on other economies when another economy has a persistent current account deficit.

Max L 2 if only the consequences on the domestic or the external economy are considered.
AO3 EvaluationThat clearly considers the likely consequences on both parts of the economy and comes to a conclusion as to the most likely consequences.
Accept all valid responses.
A one-sided response cannot gain any marks for evaluation.

12


AO1 Knowledge and understanding and AO2 Analysis
8


AO3 Evaluation
4


","AS-Level, [12] marks"
18,"With reference to a country that is known to you, explain the main causes of unemployment and consider which of these causes is most significant. [8]","a

With reference to a country that is known to you, explain the main causes of unemployment and consider which of these causes is most significant.
Follow the point-based marking guidance at the top of this mark scheme and award:

up to 3 marks for AO1 Knowledge and understanding up to 3 marks for AO2 Analysis
up to 2 marks for AO3 Evaluation.

AO1 Knowledge and understanding (max 3 marks)

For an understanding of what is meant by/a definition of unemployment (1)
For an understanding of what is meant by at least two types of unemployment (2 × 1)

AO2 Analysis (max 3 marks)
An analysis of the causes of these two types of unemployment and their significance applied to a named country known to the candidate. (up to 3 marks)
Note: If only 1 type of unemployment is analysed then 2 marks maximum.If there is no named country, then 1 mark maximum.
AO3 Evaluation (max 2 marks)
For an evaluation of which cause is the most significant in the named country leading to a justified conclusion (reserve 1 mark).

8


AO1 Knowledge and understanding
3


AO2 Analysis
3


AO3 Evaluation
2

","AS-Level, [8] marks"
19,Assess whether supply-side policy is the only way of reducing long-term unemployment in an economy. [12],"b

Assess whether supply-side policy is the only way of reducing longterm unemployment in an economy.
UseTable A: AO1 Knowledge and understanding and AO2 Analysis and Table B: AO3 Evaluation to mark candidate responses to this question.
AO1 and AO2 out of 8 marks. AO3 out of 4 marks.
Indicative content
Responses may include:
AO1 Knowledge and understanding and AO2 Analysis

Analysis of what is meant by supply side policy and how it can be applied to reduce long-term unemployment e.g., by retraining and updating skills, by providing information on job vacancies, by encouraging business start-ups etc.
Analysis of the advantages of using supply side policy e.g., may be noninflationary, may be more long-term etc.
Analysis of the disadvantages of supply side policy e.g., may take a long time to have an effect, opportunity cost, receptiveness e.g., of the workforce, policies may not work depending on the type of unemployment e.g., demand side policy may be more applicable for cyclical unemployment.
An analysis of the advantages and disadvantages of at least one alternative macroeconomic policy.

L3 lower-level max if only the advantages and disadvantages of supply side policy are analysed. L2 max if only advantages OR disadvantages of supply side policy are analysed.
AO3 Evaluation

For an evaluation of whether supply side policy is the only way of reducing long term unemployment leading to a reasoned conclusion.

Accept all valid responses.
A one-sided response cannot gain any marks for evaluation.

12


AO1 Knowledge and understanding and AO2 Analysis
8


AO3 Evaluation
4


","AS-Level, [12] marks"
20,Explain why the provision of bus and local rail (mass transit) services in cities is classified as a private good not a public good and consider why such services might only be provided by the private sector. [8],"a

Explain why the provision of bus and local rail (mass transit) services in cities is classified as a private good and not a public good and consider why such services might only be provided by the private sector.
Follow the point-based marking guidance at the top of this mark scheme and award:

up to 3 marks for AO1 Knowledge and understanding up to 3 marks for AO2 Analysis
up to 2 marks for AO3 Evaluation.

AO1 Knowledge and understanding (max 3 marks)

Explanation of what is meant by excludability/non excludability (1)
Explanation of what is meant by rivalry/non rivalry (1)
Correct application to private and public goods (1)

AO2 Analysis (max 3 marks

Why is a mass transit service a private good with reference to both characteristics and therefore only provided by the private sector? (up to 2 marks)
Why is a mass transit service not a public good with reference to both characteristics and therefore not provided by the public sector? (up to 2 marks)

AO3 Evaluation (max 2 marks)

Assessment of whether a mass transit service might only be provided by the private sector with 1 mark reserved for a justified conclusion.


8


AO1 Knowledge and understanding
3


AO2 Analysis
3


AO3 Evaluation
2

","AS-Level, [8] marks"
21,Assess whether bus and local rail systems in cities should receive substantial subsidies from governments. [12],"b

Assess whether bus and rail (mass transit) systems in cities should receive substantial subsidies from governments.
UseTable A: AO1 Knowledge and understanding and AO2 Analysis andTable B: AO3 Evaluation to mark candidate responses to this question.
AO1 and AO2 out of 8 marks. AO3 out of 4 marks.
Indicative content
Responses may include:
AO1 Knowledge and understanding and AO2 Analysis:

Explanation of what is meant by a subsidy (reward accurate diagrams if provided but these are not necessary) with reference to the impact on price and quantity.
Likely advantages of a subsidy for mass transit systems e.g., it can be considered a merit good that helps lower income families, improves labour mobility, reduces road congestion, and improves air quality/reduces the use of private cars which may be considered to be a demerit good.
Likely disadvantages of subsidies e.g., opportunity cost, poor decisions as a result of information failure, government inability to provide funding etc.
If only 1 sided answer i.e., only advantages or disadvantages are discussed, then L2 maximum.

AO3 Evaluation

For an evaluation of the relative importance of the advantages and disadvantages of subsidies that leads to a justified conclusion

Accept all valid responses.
A one-sided response cannot gain any marks for evaluation.

12


AO1 Knowledge and understanding and AO2 Analysis
8


AO3 Evaluation
4


","AS-Level, [12] marks"
22,The price elasticity of supply (PES) for a new smartphone is estimated to be 0.8 in the short run and 1.8 in the long run.Explain what these estimates mean for producers and consumers of smartphones and consider why the estimates differ. [8],"a

The price elasticity of supply (PES) for a new smartphone is estimated to be 0.8 in the short run and 1.8 in the long run.
Explain what these estimates mean for producers and consumers of smartphones and consider why the estimates differ.
Follow the point-based marking guidance at the top of this mark scheme and award:

up to 3 marks for AO1 Knowledge and understanding up to 3 marks for AO2 Analysis
up to 2 marks for AO3 Evaluation.

AO1 Knowledge and Understanding (max 3 marks)
Meaning of price elasticity of supply (1) an accurate formula (1) an explanation of what is meant by elastic/inelastic based on the responsiveness of changes in supply to changes in price (1).
AO2 Analysis (max 3 marks)
Analysis of why the values may differ due to e.g., the time period, level of stock, changes in the production process etc. Up to 2 marks for each reason explained. Maximum of 3 marks overall
AO3 Evaluation (max 2 marks)
An assessment as to why the impact on consumers and producers may differ according to these different estimates e.g., on availability, pricing and investment decisions.

8


AO1 Knowledge and understanding
3


AO2 Analysis
3


AO3 Evaluation
2

","AS-Level, [8] marks"
23,Assess whether knowledge and understanding of price elasticity of demand (PED) or cross elasticity of demand (XED) is likely to be more useful to a producer of smartphones. [12],"b

Assess whether knowledge and understanding of price elasticity of demand (PED) or cross elasticity of demand (XED) is likely to be more useful to a producer of smartphones.
UseTable A: AO1 Knowledge and understanding and AO2 Analysis andTable B: AO3 Evaluation to mark candidate responses to this question.
AO1 and AO2 out of 8 marks. AO3 out of 4 marks.
Indicative content
Responses may include:
AO1 Knowledge and understanding and AO2 Analysis

Analysis of the benefits of using PED for a smartphone producer e.g., for raising / decreasing the price to maximise revenue.
Analysis of the limitations of the use of using PED e.g., the figures are only estimates and may change over time.
Analysis of the benefits of using XED for a smartphone producer e.g., to determine whether it is a complement or a substitute for a product produced e.g., by a different business to enable it to react to competitor pricing decisions.
Analysis of the limitations of using XED e.g., other factors may have a greater influence e.g., brand loyalty to a competitor.

If limitations of only one measure are analysed then L3 mid-point maximum.If only one measure is analysed or no reference to smartphone producers then L2 maximum.
AO3 Evaluation

Assessment of whether PED or XED is more useful to the producer.
Need to use other sources of information in decision-making – e.g., YED.
Justified conclusion.

Accept all valid responses.
A one-sided response cannot gain any marks for evaluation.

12


AO1 Knowledge and understanding and AO2 Analysis
8


AO3 Evaluation
4


","AS-Level, [12] marks"
