,Unnamed: 0,Question,Mark Scheme,Question Type
21,21,Assess whether bus and local rail systems in cities should receive substantial subsidies from governments. [12],"b

Assess whether bus and rail (mass transit) systems in cities should receive substantial subsidies from governments.
UseTable A: AO1 Knowledge and understanding and AO2 Analysis andTable B: AO3 Evaluation to mark candidate responses to this question.
AO1 and AO2 out of 8 marks. AO3 out of 4 marks.
Indicative content
Responses may include:
AO1 Knowledge and understanding and AO2 Analysis:

Explanation of what is meant by a subsidy (reward accurate diagrams if provided but these are not necessary) with reference to the impact on price and quantity.
Likely advantages of a subsidy for mass transit systems e.g., it can be considered a merit good that helps lower income families, improves labour mobility, reduces road congestion, and improves air quality/reduces the use of private cars which may be considered to be a demerit good.
Likely disadvantages of subsidies e.g., opportunity cost, poor decisions as a result of information failure, government inability to provide funding etc.
If only 1 sided answer i.e., only advantages or disadvantages are discussed, then L2 maximum.

AO3 Evaluation

For an evaluation of the relative importance of the advantages and disadvantages of subsidies that leads to a justified conclusion

Accept all valid responses.
A one-sided response cannot gain any marks for evaluation.

12


AO1 Knowledge and understanding and AO2 Analysis
8


AO3 Evaluation
4


","AS-Level, [12] marks"
23,23,Assess whether knowledge and understanding of price elasticity of demand (PED) or cross elasticity of demand (XED) is likely to be more useful to a producer of smartphones. [12],"b

Assess whether knowledge and understanding of price elasticity of demand (PED) or cross elasticity of demand (XED) is likely to be more useful to a producer of smartphones.
UseTable A: AO1 Knowledge and understanding and AO2 Analysis andTable B: AO3 Evaluation to mark candidate responses to this question.
AO1 and AO2 out of 8 marks. AO3 out of 4 marks.
Indicative content
Responses may include:
AO1 Knowledge and understanding and AO2 Analysis

Analysis of the benefits of using PED for a smartphone producer e.g., for raising / decreasing the price to maximise revenue.
Analysis of the limitations of the use of using PED e.g., the figures are only estimates and may change over time.
Analysis of the benefits of using XED for a smartphone producer e.g., to determine whether it is a complement or a substitute for a product produced e.g., by a different business to enable it to react to competitor pricing decisions.
Analysis of the limitations of using XED e.g., other factors may have a greater influence e.g., brand loyalty to a competitor.

If limitations of only one measure are analysed then L3 mid-point maximum.If only one measure is analysed or no reference to smartphone producers then L2 maximum.
AO3 Evaluation

Assessment of whether PED or XED is more useful to the producer.
Need to use other sources of information in decision-making – e.g., YED.
Justified conclusion.

Accept all valid responses.
A one-sided response cannot gain any marks for evaluation.

12


AO1 Knowledge and understanding and AO2 Analysis
8


AO3 Evaluation
4


","AS-Level, [12] marks"
25,25,Assess whether the internal effects of inflation are more serious than the external effects of inflation for an economy. [12],"b

Assess whether the internal effects of inflation are more serious than the external effects of inflation for an economy.
UseTable A: AO1 Knowledge and understanding and AO2 Analysis andTable B: AO3 Evaluation to mark candidate responses to this question.
AO1 and AO2 out of 8 marks. AO3 out of 4 marks.
Indicative content    Responses may include:
AO1 Knowledge and understanding and AO2 AnalysisThe internal effects of inflation are those which affect the domestic economy directly and may include:

Income redistribution
Menu costs (or the costs to firms of having to change their prices frequently)
Shoe leather costs (or the inconvenience of having to hold smaller quantities of cash/searching for the best rate of interest)
Uncertainty in transactions
But also, may provide a stimulus for output and be a sign of economic growth.

The external effects of inflation are those which affect its international trade and may include.

Declining price competitiveness of exports and increased competitiveness for imports
This may increase the current account deficit.
May lead to a depreciation of the exchange rate.
Uncertainty in international transactions
But also, depending on price elasticity of demand, it may boost revenue from exports plus it will improve the terms of trade and may be a sign of increased demand for its goods and further stimulate output.
Both internal and external effects need to be considered to gain more than L2.
One positive effect (in addition to negative effects) only for internal or external can gain low L3.
Positive effects and negative effects analysed for both internal and external can gain top L3.

AO3 Evaluation

Consideration of both the internal and external effects of inflation for an economy
An assessment of which effects are likely to be the most serious.
A justified conclusion as to which effect is likely to be the most serious.

Accept all valid responses.
A one-sided response cannot gain any marks for evaluation.

12


AO1 Knowledge and understanding and AO2 Analysis
8


AO3 Evaluation
4


","AS-Level, [12] marks"
27,27,Assess whether a rise or a fall in the terms of trade will benefit the macroeconomic performance of an open economy that is heavily dependent on international trade. [12],"b

Assess whether a rise or a fall in the terms of trade will benefit the macroeconomic performance of an open economy that is heavily dependent on international trade.
UseTable A: AO1 Knowledge and understanding and AO2 Analysis andTable B: AO3 Evaluation to mark candidate responses to this question.AO1 and AO2 out of 8 marks. AO3 out of 4 marks.
Indicative content    Responses may include:AO1 Knowledge and understanding and AO2 AnalysisBetter answers will examine the impacts on the wider economy i.e., employment, price stability, economic growth as well the on the current account. Reference will also be made to the dependency on international trade.
For a rise in the terms of trade:

This may lower inflation if raw material import prices are lower.
Depending on price elasticity of demand, it may lead to economic growth if the income earned from exports increases and a boost to employment.
It may however lead to lower economic growth if it leads to a current account deficit.

For a fall in the terms of trade:

Exports may be boosted, and this may lead to higher economic growth.
It may reduce a current account deficit.
It may however be a sign of a weak economy with exports that are less in demand and therefore lead to lower economic growth.
If imports are price inelastic, this may lead to import cost-push inflation if the economy is highly dependent on imported goods.
Answers which do not refer to the heavy dependence on international trade cannot gain more than L2.
Answers which only refer to a rise or a fall in the terms of trade cannot gain more than L2.
At least one negative effect in addition to positive effects (either for a rise or a fall in the terms of trade) should be considered within the analysis to gain lower L3.

AO3 Evaluation

Evaluation should consider both price elasticity of demand for exports and imports and the dependency on international trade. N.B. reference to the Marshall-Lerner condition may be rewarded but must not be expected as that is an AL topic.
The benefits and drawbacks of both a rise in the terms of trade and a fall in the terms of trade should be carefully considered and compared to form a judgement about their impact on the wider economy.
This should lead to a considered conclusion about which is more likely to be of benefit.

Accept all valid responses.
A one-sided response cannot gain any marks for evaluation.

12


AO1 Knowledge and understanding and AO2 Analysis
8


AO3 Evaluation
4


","AS-Level, [12] marks"
29,29,The provision of merit and demerit goods differs from the provision of other private goods.Assess the view that the consequences of imperfect information are more serious in a market economy than in a mixed economy. [12],"b

The provision of merit and demerit goods differs from the provision of other private goods.
Assess the view that the consequences of imperfect information are more serious in a market economy than in a mixed economy.
UseTable A: AO1 Knowledge and understanding and AO2 Analysis andTable B: AO3 Evaluation to mark candidate responses to this question.AO1 and AO2 out of 8 marks. AO3 out of 4 marks.
Indicative content: responses may include:
AO1 Knowledge and understanding and AO2 Analysis

An analysis of how private goods (which include merit and demerit goods) are allocated within an economy through the demand and supply mechanism.
An explanation of the existence of imperfect information with respect to merit and demerit goods and the associated problems of under or overconsumption.
An explanation of how this is likely to lead different methods of allocation for both merit and demerit goods than for other private goods, (how other private goods are allocated and how this differs from the provision of merit and demerit goods and any other problems that may be associated with their allocation.)
Analysis should consider the consequences of imperfect information in both a market and a mixed economy for the provision of merit and demerit goods compared to other private goods.
Answers which do not compare the provision of merit/demerit goods in both a market economy and a mixed economy cannot gain more than L2.

AO3 EvaluationPoints to consider include

Merit goods and demerit goods need government intervention because of the issues of under and over consumption due to imperfect information, so the market economy fails to operate efficiently.
Other types of private good can be efficiently provided by the market economy without government intervention but the process of allocation may mean e.g., low-income groups do not have the same access to certain goods.
Leading to a justified conclusion answering the question of whether the consequences of imperfect information are more serious in a market economy than a in mixed economy.

Accept all valid responses.
A one-sided response cannot gain any marks for evaluation.

12


AO1 Knowledge and understanding and AO2 Analysis
8


AO3 Evaluation
4


","AS-Level, [12] marks"
31,31,Assess whether the concept of price elasticity of supply or cross elasticity of demand will be more useful to a business wanting to increase its total sales in a growing economy. [12],"b

Assess whether the concept of price elasticity of supply or cross elasticity of demand will be the more useful to a business wanting to increase its total sales in a growing economy.
UseTable A: AO1 Knowledge and understanding and AO2 Analysis andTable B: AO3 Evaluation to mark candidate responses to this question.
AO1 and AO2 out of 8 marks. AO3 out of 4 marks.
Indicative content    Responses may include:
AO1 Knowledge and understanding and AO2 Analysis
Analysis of the concept of price elasticity of supply may explain its use in increasing a business' total sales by examining the following.

Usefulness depends on the type of goods and whether decisions need to be made in the short run or long run.
It may help businesses with regards to stock holding and decisions about which products to focus on
It may help businesses make decisions about productive capacity and whether e.g., to invest in new technology BUT
It depends on the accuracy of the data used to produce the value.
This may change over time and the value may have little value in a growing economy.
Some products, such as agricultural/perishable products, will naturally have a more price inelastic supply and knowledge of the value may have little use.

Analysis of the concept of cross elasticity of demand may explain its use in increasing a business’s total revenue by examining the following.

It will mean the business understands the relationship between its product and others i.e., whether they are complements or substitutes.
It also measures the closeness of the relationship and informs decisions about how quickly and the extent to which it should react for example if a competitor changes its prices.
It should assist a business to develop a pricing strategy that maximises opportunities to generate more sales BUT
The usefulness depends on the accuracy of the data and in a growing economy, it may not be possible to keep the value up to date. It is therefore often dependent on estimates that may be inaccurate.
Businesses may not be able to act on the data by changing prices if their cost structure cannot be easily changed.
Other variables other than cross elasticity of demand may be more important for example non price determinants such as brand loyalty.

Better answers will refer directly/implicitly to their usefulness to a business operating in a growing economy. Answers which do not are unlikely to gain more than L3 lower band.
One sided response i.e., those that only consider one concept or do not analyse the problems of at least one concept will not gain beyond L2.
AO3 Evaluation

Consideration of the likely effectiveness of both measures in increasing total sales in a growing economy that assesses which is most likely to be effective. If there is no direct/implicit reference to a growing economy, then L1 upper maximum.
Candidates may consider an alternative concept e.g., YED to assess whether sales would actually grow in these circumstances,
A justified conclusion which is most likely to be effective.

Accept all valid responses.
A one-sided response cannot gain any marks for evaluation.

12


AO1 Knowledge and understanding and AO2 Analysis
8


AO3 Evaluation
4


","AS-Level, [12] marks"
33,33,Assess whether the theories of absolute and comparative advantage are substantially undermined by their various limitations. [12],"b

Assess whether the theories of absolute and comparative advantage are substantially undermined by their various limitations.
Use Table A: AO1 Knowledge and understanding and AO2 Analysis andTable B: AO3 Evaluation to mark candidate responses to this question.
AO1 and AO2 out of 8 marks. AO3 out of 4 marks.
Indicative content
Responses may include:
AO1 Knowledge and understanding and AO2 Analysis

The theory of absolute advantage.
The theory of comparative advantage.
How these theories could be used in the real world.
The assumptions underlying these theories, such as in relation to only two products being traded, the existence of perfect competition in both product and factor markets, no transport costs, production subject to constant returns to scale and no restrictions on trade.
The limitations of these theories, such as in relation to the fact that trade will involve more than two products, perfect competition will not apply to all markets, there will costs of transport, producers may experience economies of scale, reducing the costs of production, and there may well be trade restrictions in different parts of the world in the form of different methods of trade protection.

(Up to 8 marks)
AO3 Evaluation

Considers the various assumptions of the theories
In conclusion, are the theories substantially undermined by their various limitations?

Accept all valid responses.
(Up to 4 marks)

12


AO1 Knowledge and understanding and AO2 Analysis
8


AO3 Evaluation
4


","AS-Level, [12] marks"
35,35,Assess whether a government should always aim to balance its budget rather than have a budget surplus or a budget deficit. [12],"b

Assess whether a government should always aim to balance its budget rather than have a budget surplus or a budget deficit.
Use Table A: AO1 Knowledge and understanding and AO2 Analysis andTable B: AO3 Evaluation to mark candidate responses to this question.
AO1 and AO2 out of 8 marks. AO3 out of 4 marks.
Indicative content
Responses may include:
AO1 Knowledge and understanding and AO2 Analysis

The meaning of a balanced budget.
The significance of a balanced budget.
The meaning of a budget deficit.
Link to expansionary fiscal policy.
Explanation in relation to such aims as reducing the level of unemployment or increasing the rate of economic growth in an economy.
The meaning of a budget surplus.
Link to contractionary fiscal policy.
Explanation in relation to such aims as reducing the rate of inflation or the size of the trade balance through a reduction of imports.

(Up to 8 marks)
AO3 Evaluation

Consideration of which fiscal position is appropriate for particular macroeconomic problems.
In conclusion, which approach will be better for particular economic situations.

Accept all valid responses.
(Up to 4 marks)

12


AO1 Knowledge and understanding and AO2 Analysis
8


AO3 Evaluation
4


","AS-Level, [12] marks"
37,37,Governments sometimes fix maximum prices on goods for different reasons.Assess whether the use of a maximum price is always advantageous. [12],"b

Governments sometimes fix maximum prices on goods for different reasons.
Assess whether the use of a maximum price is always advantageous.
Use Table A: AO1 Knowledge and understanding and AO2 Analysis andTable B: AO3 Evaluation to mark candidate responses to this question.
AO1 and AO2 out of 8 marks. AO3 out of 4 marks.
Indicative content
Responses may include:
AO1 Knowledge and understanding and AO2 Analysis
The advantages of a maximum price might include:

The price of certain products, such as essential foods, can be limited by the establishment of a price ceiling.
The effect of this will be to make such items more affordable to people.
This will reduce the extent of poverty in a country.

The disadvantages of a maximum price might include:

The impact of the maximum price will be to create a situation of excess demand in the market (this needs to be clearly explained).
This could lead to queuing or rationing.
It could lead to the creation of a black or illegal market.

(Up to 8 marks)
AO3 Evaluation

Consideration of the relative balance of advantages and disadvantages of the policy.
Consideration of the impact of this policy on producers and consumers.
In conclusion, consideration of whether the policy will be effective and always advantageous.

Accept all valid responses.
(Up to 4 marks)

12


AO1 Knowledge and understanding and AO2 Analysis
8


AO3 Evaluation
4


","AS-Level, [12] marks"
39,39,Assess whether price elasticity of demand (PED) or income elasticity of demand (YED) is likely to be of greater importance to a firm producing cars. [12],"b

Assess whether price elasticity of demand (PED) or income elasticity of demand (YED) is likely to be of greater importance to a firm producing cars.
Use Table A: AO1 Knowledge and understanding and AO2 Analysis andTable B: AO3 Evaluation to mark candidate responses to this question.
AO1 and AO2 out of 8 marks. AO3 out of 4 marks.
Indicative content
Responses may include:
AO1 Knowledge and understanding and AO2 Analysis

An understanding of the meaning and formula of PED.
An understanding of the meaning and formula of YED.
An analysis of how each of these concepts can be applied to the specific context of a firm producing cars.

Guidance: A clear comparison of the strengths and weaknesses of these two concepts in the context of car production needed to get into Level 3.
(Up to 8 marks)
AO3 Evaluation

PED should be easier for a firm to calculate than YED.
PED will indicate whether price should be increased or decreased.
However, a firm will need to take into account the availability of substitutes, the amount spent on the product and the time period under consideration.
YED will be helpful in giving a firm an indication of the extent to which a change in income may affect spending on cars.
However, a firm will need to take into account whether a car is seen as a normal or an inferior good, the proportion of income that is spent on the car and whether an economy is experiencing an upturn or a downturn.
In conclusion, PED is likely to be of greater importance than YED, but YED will still be of some use.

Accept all valid responses.
(Up to 4 marks)

12


AO1 Knowledge and understanding and AO2 Analysis
8


AO3 Evaluation
4


","AS-Level, [12] marks"
41,41,Assess how governments use macroeconomic intervention to achieve their macroeconomic objectives. [12],"b

Assess how governments use macroeconomic intervention to achieve their macroeconomic objectives.
Use Table A: AO1 Knowledge and understanding and AO2 Analysis and Table B: AO3 Evaluation to mark candidate responses to this question.
AO1 and AO2 out of 8 marks. AO3 out of 4 marks.
Indicative content
Responses may include:
AO1 Knowledge and understanding and AO2 Analysis (max 8 marks)

Macroeconomic objective of price stability
Macroeconomic objective of low unemployment
Macroeconomic objective of economic growth
Government budget as a form of intervention
Scope and use of fiscal policy as a form of intervention
Scope and use of monetary policy as a form of intervention
Scope and use of supply-side policy as a form of intervention
Examples of links between macroeconomic objectives and forms of intervention
Other objectives such as distribution of income

A one-sided response can only gain a maximum mark of Level 2
AO3 Evaluation (max 4 marks)

Consideration of the extent to which macroeconomic intervention allows governments to achieve their macroeconomic policy objectives
Effectiveness of particular interventions in relation to specific macroeconomic objectives

Accept all valid responses.
A one-sided response cannot gain any marks for evaluation.

12


AO1 Knowledge and understanding and AO2 Analysis
8


AO3 Evaluation
4


","AS-Level, [12] marks"
