,Question,Answer
10,"A government pays a subsidy to a country's onion producers. With which price elasticity of demand (PED) will this action be most effective in reducing the price of onions?

A. PED equals 0.
B. PED is greater than 0 but less than 1.
C. PED equals 1.
D. PED is greater than 1 but less than infinity. ",A
11,"A product with infinite elasticity of supply has sales of 1000 units a week at a price of $1 per unit. Price elasticity of demand is 1.5 over the relevant range. The government imposes a tax of 10%. What will be the government's weekly tax revenue?

A. $15
B. $85
C. $100
D. $150",B
12,"The diagram shows the market supply and demand curves for wheat.   What should a government do to maintain a minimum price of OP2? 

A. buy quantity KL
B. buy quantity KR
C. sell quantity LR
D. sell quantity KR",B
13,"A specific tax is placed upon each bottle of perfume sold. In the diagram, SS is the supply curve before tax, StSt is the supply curve after tax.  Which area represents that part of the tax revenue paid by consumers?

A. ORWY
B. PQUT
C. PRWT
D. QRWU",D
14,"In the diagram shown, D1 and S1 are the initial demand and supply curves for the US car market.  What will cause the demand curve for cars to shift to D2 and the supply curve for cars to shiftto S2?

A. a fall in real income and an increase in a unit tax on cars
B. a fall in unemployment and the removal of subsidies from the car industry
C. a rise in the price of bus fares and a fall in the cost of production of the car industry
D. a rise in the price of petrol and a fall in the number of firms in the car market ",C
15,"The price elasticity of supply of an 'App' for a phone is perfectly elastic. The current selling price for the 'App' is $10 and 200 'Apps' are sold per day. The 'App' becomes more popular and, as a result, demand increases by 50% at every price. What will be the outcome of the change in demand?

A. The price increases by 50% and the firm's revenue increases by 50%.
B. The price increases by less than 50% and the firm's revenue increases by less than 50%.
C. The price stays the same and the firm's revenue increases by 50%.
D. The price stays the same and the firm's revenue increases by an infinite amount.",C
16,"Public transport has an income elasticity of demand of –0.36. What does this mean about public transport?

A. It has close substitutes.
B. It is a necessity.
C. It is a normal good.
D. It is an inferior good. ",D
17,"A manufacturer progressively reduces the price of his product in an attempt to increase total revenue. The table shows the outcome of this policy. What is the price elasticity of demand for the product?

A. perfectly inelastic
B. relatively inelastic
C. perfectly elastic
D. unitary",D
18,"There are two main types of coffee grown, arabica and robusta. The table gives details of the four largest coffee producers for 2013-2014. Production is measured in thousand 60 kilogram bags. What can be concluded from the table about production in the four countries?

A. Brazil has the highest level of specialisation.
B. Brazil produces more coffee than the other three named producers together.
C. Robusta coffee production is greater than arabica coffee production.
D. Vietnam has a comparative advantage in robusta and Colombia in arabica.  ",B
19,"In calculating the short-run supply schedule for a firm, what is assumed to remain unchanged?

A. the number of consumers
B. the price of the good
C. the quantities of all factors
D. the state of technology ",D
20,"A production possibility curve shows labour-intensive farming output and capital-intensive manufacturing output. What would not cause a shift in this curve?

A. a reduction in sales tax on manufactured products
B. better training of workers in the manufacturing sector of the economy
C. improvements in the productivity of agricultural machinery
D. the reclamation of land to be used for both agriculture and manufacturing ",A
21,"The diagram shows the production possibility curves of two economies, X and Y.   Which statement about the two economies is correct?

A. Both economies always have identical opportunity costs.
B. Both economies have the same future growth prospects.
C. The opportunity costs are constant in each economy.
D. The terms of trade for both countries will be one capital good for one consumer good.",C
22,"The transition of centrally planned economies to market economies was accompanied by a significant change in the composition of output. What was an immediate consequence of this transition?

A. a build-up of unsold stocks of goods
B. an increase in exports of goods
C. an increase in structural unemployment
D. decreasing prices of goods and services ",C
23,"A driver makes the following estimates in considering the purchase of a car which she intends to use only when she would otherwise have used public transport. What will be the opportunity cost in monetary terms to the driver over the year of travelling by car rather than by public transport?  

A. $1500
B. $3000
C. $3700
D. $7800",B
24,"The production possibility curve for an economy producing capital and consumer goods is represented by the line PQ.  What is the opportunity cost of producing OS of consumer goods?

A. OR of capital goods
B. PR of capital goods
C. SQ of consumer goods
D. SQ of consumer goods + PR of capital goods",B
25,"The diagram shows an economy’s Lorenz curve (VW).   How is the Gini coefficient for the economy calculated? 

A. 
B. 
C. 
D. ",A
26,"What is most likely to result from foreign direct investment in a developing economy?

A. an improvement in the developing economy’s trade balance
B. an increase in the developing economy’s net investment income
C. a reduction in the developing economy’s government tax revenue
D. a reduction in wage levels in the developing economy",A
27,"During a year, a country’s national income in money terms increased by 5%, prices increased by 4% and the total population increased by 2%. What was the approximate change in real income per head?

A. a decrease of 1%
B. a decrease of 2%
C. an increase of 1%
D. an increase of 2%",A
28,"A government wants to reduce the current account deficit on the balance of payments.   What is an example of an expenditure-reducing policy?

A. a devaluation of the currency
B. a subsidy on domestic production
C. a tariff on imports
D. an increase in income taxes",D
29,"The optimum level of population is deemed to be that level at which real output per head is maximised.  The diagram shows the relationship between population size and output per head in a country for two different time periods.   Which change could not satisfactorily explain the shift from year 1 to year 2?

A. Population has increased.
B. State of technology has improved.
C. Stock of capital has increased.
D. Volume of productive resources in use has increased.",A
30,"Monetary policy does not usually work immediately.  Which time lag is likely to be the least concern to a government whose priority is a rapid domestic impact?

A. the time it takes for policymakers to recognise the cause of a problem
B. the time it takes for the economy to respond to the introduction of the policy
C. the time it takes for the foreign exchange rate to respond to the effect of the policy
D. the time it takes to put the chosen policy measure into place",C
31,"An economy experiences falling incomes and rising unemployment. The central bank decides to reduce the rate of interest to stimulate economic activity. When would such a policy be most likely to succeed?

A. when spending by consumers on goods and services is income elastic
B. when spending by firms on capital goods is interest rate elastic
C. when the leakage on additional national income is high
D. when the overseas demand for exports is price inelastic",B
32,"What is the most likely result of a period of negative actual growth?

A. an increase in the surplus of the financial account of the balance of payments
B. an increase in the deficit of the current account of the balance of payments
C. an increase in the rate of inflation
D. an increase in the rate of unemployment  ",D
33,"The diagram shows a curve representing the relationship between a country’s unemployment rate and its inflation rate.  Why is it likely that this curve only applies in the short run?

A. Any attempt to reduce unemployment will increase inflation.
B. Increased inflation actually increases unemployment.
C. Increased inflation leads to expectations of further inflation.
D. Increased inflation reduces real wage rates, which increases the demand for labour. ",C
34,"How would decreasing interest rates be most likely to reduce unemployment? 

A. by decreasing the borrowing costs of business
B. by decreasing the government’s budget deficit
C. by increasing the foreign exchange rate of the currency
D. by increasing the opportunity cost of spending",A
35,"A government decides to cut the rate of interest in order to stimulate aggregate demand and increase employment. Why might this policy not work in a recession?

A. Business confidence is low.
B. It leads to deflation.
C. It leads to an appreciation in the exchange rate.
D. It leads to a decrease in the money supply.",A
36,"A website compares the prices of groceries.  Which function of money is illustrated by this?

A. medium of exchange
B. standard of deferred payment
C. store of value
D. unit of account ",D
37,"A firm buys new machinery which increases the marginal productivity of its workforce. What will be the resulting impact on the market for labour?

A. a shift to the left in the demand curve for labour
B. a shift to the right in the demand curve for labour
C. a shift to the left in the supply curve of labour
D. a shift to the right in the supply curve of labour",B
38,"The diagram shows the supply of and the demand for workers in the car manufacturing industry.  A trade union successfully negotiates a wage increase from W1 to W2.   What is the likely impact on the level of employment?

A. fall from L1 to L2
B. fall from L3 to L2
C. rise from L1 to L3
D. rise from L2 to L3",A
39,"What is meant by a four-firm concentration ratio of 25%?

A. The largest four firms’ market share totals 25%.
B. The largest four firms have a market share of 25% each.
C. There are only four firms in the industry.
D. The largest firm has a 25% market share. ",A
40,"A group of producers enter into an agreement to restrict supply or fix the price of a good. What does this describe? 

A. a cartel
B. a conglomerate merger
C. economies of scale
D. horizontal integration",A
41,"What is an external economy of scale? 

A. cheaper costs from purchasing large quantities of inputs
B. decreased interest rates on borrowed funds
C. increased labour productivity
D. relevant training facilities at a local college",D
42,"In a perfectly contestable market, entries and exits are cost-free. In reality, why is this not the case with some firms in contestable markets?  

A. Firms cannot recover all fixed costs if they cease operations.
B. Firms in the industry all operate at the equilibrium level of output.
C. Large firms do not have to increase capital to grow.
D. Multinational companies always benefit from economies of scale. ",A
43,"The table shows a firm’s revenue and costs at different levels of output. What is the firm’s total supernormal profit at the profit-maximising level of output?

A. –15
B. 10
C. 30
D. 120",C
44,"A firm increases its production.   When will this result in allocative efficiency?

A. when the cost of producing the last extra unit equals the value the consumers place on it
B. when the cost of producing the last extra unit is at a minimum
C. when the total cost of production equals the value that consumers place on the total product
D. when the total revenue reaches a maximum",A
45,"Which statement about indifference curves is not correct?

A. Indifference curves are usually convex to the origin of the diagram.
B. Indifference curves can intersect each other.
C. The consumer always prefers a higher indifference curve to a lower one.
D. The slope of the indifference curve represents the marginal rate of substitution.",B
46,"A rational consumer chooses what quantities of two products Y and Z to purchase with a given income.  MUY and MUZ are the additions to total utility that would result if the consumer were to purchase an additional unit of each product.  PY and PZ are the current prices of the two products.  Which outcome would represent consumer equilibrium?

A. when MUY = MUZ
B. when MUY × PY = MUZ × PZ
C. when MUY × PZ = MUZ × PY
D. it is not possible to tell from the information available ",C
47,"What is a likely result of globalisation?

A. Absolute advantage replaces comparative advantage as the basis for trade.
B. Firms’ supply chains are shortened.
C. Trade is less likely to suffer from international economic shocks.
D. There are higher standards of living. ",D
48,"The diagram shows two Lorenz curves.   If the Lorenz curve shifts from L1 to L2, what is least likely to have caused this?

A. Capital gains tax has been reduced.
B. Income tax has been made more progressive.
C. Inheritance tax has been reduced.
D. The tax-free allowance has been decreased for everyone.",B
49,"A US company receives a US$20 million dividend from shares that it owns in a Brazilian company.  How would this dividend be shown in the balance of payments of the United States?

A. a credit in the capital account
B. a credit in the current account
C. a debit in the capital account
D. a debit in the current account ",B
50,"In 2018, the United States (US) government introduced tariffs on a wide range of imports from China.  Which type of policy was the US government adopting?

A. expenditure-reducing
B. expenditure-switching
C. expansionary monetary
D. contractionary monetary",B
51,"What indicates that a more equal distribution of income has been achieved? 

A. a faster rate of economic growth
B. a higher Human Development Index
C. a lower Gini coefficient
D. a lower tax/GDP ratio",C
52,"The table shows the percentage of labour force unemployed and the rate of inflation in a country over a five-year period.  Which statement about the application of the Phillips curve theory to this country is most supported by the data?

A. The data are entirely consistent with the theory of the Phillips curve.
B. The data prove conclusively that the Phillips curve theory does not operate.
C. The data suggest that no conclusions can be reached about the validity of the Phillips curve theory.
D. The data suggest that the theory of the Phillips curve is correct, though with time lags. ",A
53,"Which argument for lowering income tax rates is always valid?

A. It boosts economic activity.
B. It promotes the incentive to work.
C. It reduces the budget deficit.
D. It reduces the incentive to evade taxes.",D
54,"A government is successful in raising the rate of economic growth. As a result, which other macro-economic aim would it most likely have achieved in the short run?

A. balance of payments surplus
B. higher employment
C. lower inflation
D. stronger exchange rate",B
55,"The diagram shows full employment, national income, and expenditure (AMD). The economy is in equilibrium at J.   What does the distance KL represent? 

A. a deflationary gap
B. a trade deficit
C. an inflationary gap
D. an employment gap",A
56,"A country has increasing productivity and falling unemployment.  What can be concluded from this information?

A. Economic efficiency has increased.
B. Interest rates have increased.
C. Taxation has increased.
D. The labour force has increased.",A
57,"When is the natural rate of unemployment most likely to fall?

A. when there is a decline in the education levels of workers
B. when there is an increase in income tax rates
C. when there is an increase in labour mobility
D. when there is a rise in the rate of state unemployment benefits",C
58,"When buying a car, Salma agrees to pay half of the cost now and the other half in six months time. Which function of money does this illustrate?  

A. divisibility
B. durability
C. standard of deferred payment
D. store of value",C
59,"Countries in South East Asia have some of the highest income inequality in the world.  Which policy could be adopted by governments in South East Asia to reduce income inequality in the short run?

A. Increase the general sales tax /VAT rate on luxury goods.
B. Introduce a minimum wage.
C. Invest heavily in schools and education programmes.
D. Stimulate economic growth through skills and productivity training.",B
60,"A firm operates in a perfectly competitive labour market. The table shows the marginal revenue product (MRP) and marginal cost of labour (MCL) for each additional worker employed by this profit-maximising firm. How many units of labour will this firm employ?

A. 1
B. 2
C. 3
D. 4",C
61,"The diagram shows a firm’s initial marginal revenue product of labour curve (MRP1).   What could cause the curve to shift to MRP2?

A. a fall in the wage rate
B. a fall in the price of the final product
C. a rise in the wage rate
D. a rise in the price of the final product",B
62,"In which situation is the introduction of a minimum wage most likely to raise employment opportunities as well as wages?

A. Firms face intense competition both at home and abroad.
B. Labour costs are a high proportion of the total cost of the firm.
C. The minimum wage is not high enough to lower the profits of the firms.
D. The minimum wage introduced in monopsony is less than the marginal revenue productivity (MRP) of the last worker employed. ",D
63,"What is not a valid comment economists may make regarding the need to subsidise a green energy market that uses solar and wind power? 

A. It is cheaper to use the plentiful supply of coal.
B. Markets will become more efficient.
C. The value of the positive externalities cannot be estimated.
D. The value of the negative externalities cannot be estimated.",B
64,"A smartphone manufacturing company takes over an electronic chip design company.  This is an example of which type of growth?

A. horizontal
B. lateral
C. vertical backwards
D. vertical forwards",C
65,"Firm X is considering whether to co-operate with its rival so that their joint profit is $4000 a month ($2000 each). It calculated that, if it did not co-operate, its own profit would be $2800 a month provided it kept all its customers itself. However, if its rival undercut X’s price and took some of X’s customers then X’s profit would be $1200. It has no knowledge of what the rival’s policy will be.  What describes the situation that the firm is facing?

A. monopoly profit maximisation
B. principal agent problem
C. prisoner’s dilemma
D. satisficing ",C
66,"The diagram shows the marginal private benefit (MPB), the marginal private cost (MPC) and the marginal social cost (MSC) for firms in an industry. The equilibrium price is point X.  What should happen to achieve allocative efficiency?

A. a decrease in consumption and an increase in price
B. a decrease in production and no change in price
C. an increase in consumption and a decrease in production
D. an increase in price and no change in production",A
67,"A bus company has a monopoly and specialises in long-distance travel. It initially sells its tickets to customers one month in advance of the journey. As the departure date approaches, the price of a ticket increases.  Which kind of pricing policy does the bus company operate?

A. minimum pricing
B. predatory pricing
C. price discrimination
D. price leadership",C
68,"The table shows the market shares of firms selling a very similar product in a country between 2018 and 2020.  What can be concluded from the data between the two years?

A. Market concentration increased.
B. Sales of the top four firms fell.
C. Scotsdale and Welshpool’s profits rose.
D. The concentration ratio of the four largest firms fell. ",D
69,"A government makes it compulsory for motorbike riders to wear helmets.  What would represent a positive externality of consumption associated with this decision?

A. decreased pressure on the provision of health care
B. expenses incurred on surveillance of motorbike riders to ensure compliance
C. increased life expectancy of motorbike riders
D. increased profits of helmet manufacturers",A
70,"Which feature of indifference curve theory is most likely to apply in reality?

A. The consumer can express preferences between all possible combinations of goods.
B. The consumer has a limited income to spend.
C. The consumer will always behave rationally.
D. The consumer will always get positive utility from having more of the goods.",B
71,"If consumers aim to maximise their utility, how will they arrange their spending?

A. to obtain the same total utility from each commodity
B. to obtain the same total utility per $ spent on each commodity
C. to obtain the same utility from the last unit of each commodity
D. to obtain the same utility from the last $ spent on each commodity",D
72,"What is most likely to cause the living standards of a country to rise?

A. an increase in the number of doctors
B. an increase in the gold reserves
C. an increase in the number of people per house
D. an increase in the money supply",A
73,"Some conditions for providing foreign aid to low-income countries can be restrictive.  Which kind of aid fits this description?

A. food aid in the event of natural catastrophes such as severe drought
B. grants that are tied to purchasing donor country goods
C. loans that are repaid over a long period at a low rate of interest
D. technical assistance using highly skilled worker transfers to provide support",B
74,"It is often argued that the UN Human Development Index (HDI) is a better indicator of economic development than income per capita because it adjusts for 

A. average hours worked by the population.
B. environmental pollution.
C. inequality in income distribution.
D. life expectancy at birth.",D
75,"Which policy to reduce a current account deficit on the balance of payments could be described as an expenditure-switching policy? 

A. a decrease in government spending
B. a decrease in the exchange rate of the country’s currency
C. an increase in domestic income taxes
D. an increase in domestic interest rates",B
76,"What is most likely to influence subsequent increases in national income as a result of a government policy of reduced interest rates?

A. marginal cost
B. marginal efficiency of capital
C. marginal product
D. marginal utility",B
77,"How could high interest rates increase a country’s rate of inflation?

A. by increasing the current borrowing costs of business
B. by increasing the current borrowing costs of government
C. by increasing the foreign exchange rate of the currency
D. by increasing the opportunity cost of spending",A
78,"The diagram shows an increase in aggregate demand (AD) from AD1 to AD2.   How can the subsequent impact on short-run and long-run macroeconomic equilibrium positions be shown using expectations-augmented Phillips curves? 

A. F to G to H
B. F to G to K
C. F to J to H
D. F to J to K ",D
79,"What is not an aim of macroeconomic policy?

A. economic development
B. exchange rate stability
C. Pareto optimality
D. satisfactory balance of payments ",C
80,"The table shows data about the population of a country.  What is the rate of unemployment? 

A. 25%
B. 33%
C. 60%
D. 75%",A
81,"A consumer has an income of $1000 per week. The consumer spends 80% of this on goods and services.  Following an increase in the consumer’s income to $1200 per week, consumption increases to $900 per week. Which statement is correct?

A. The average propensity to consume does not change.
B. The initial average propensity to consume is 5.
C. The marginal propensity to consume is 0.5.
D. The marginal propensity to consume is 2.",C
82,"An increase in which variable affecting labour markets is most likely to reduce the natural rate of unemployment?

A. the level of unemployment benefit
B. the militancy of trade unions
C. the national minimum wage
D. the participation on training courses",D
83,"In country X, unemployment is rising at the same time as the number of job vacancies is increasing.  What is the most likely reason for this?

A. Economic growth is falling.
B. Economic growth is rising.
C. Geographical mobility of labour is rising.
D. Occupational immobility of labour is rising. ",D
84,"Which statement about money is correct? 

A. It consists solely of deposits held by commercial banks.
B. It functions as a medium of exchange.
C. Its monetary value equals its production costs.
D. It operates only when there is a double coincidence of wants.",B
85,"In the diagram, D represents the long-run demand curve for labour in a firm operating in an imperfect market.  When there is a fall in the amount of capital invested per worker, the marginal revenue productivity of labour (MRP) curve shifts from MRP1 to MRP2.   How does this shift affect the amount of labour employed in the long run, when wages fall? 

A. It falls from L3 to L2.
B. It increases from L1 to L2.
C. It increases from L2 to L3.
D. It remains the same at L1. ",B
86,"The table shows the output of chairs at a factory when different numbers of workers are employed.  When will diminishing marginal returns to labour set in?

A. when the second worker is employed
B. when the third worker is employed
C. when the fourth worker is employed
D. when the fifth worker is employed",B
87,"The graph shows the percentage growth in average earnings for an economy.   What is the most likely cause of the pattern shown in the graph?

A. a decrease in the supply of labour
B. a decrease in the interest rate
C. an increase in productivity
D. an increase in the size of the labour force",D
88,"A government removes a subsidy on a rural school bus service. What is the effect of this on the market for this bus service?

A. Deadweight loss decreases.
B. Private marginal costs increase.
C. Private marginal benefit decreases.
D. Social marginal costs decrease. ",B
89,"Which government policy would not be classified as regulation?

A. a ban on cocaine consumption
B. compulsory wearing of seatbelts in cars
C. licences for the extraction of water from rivers
D. taxation of cigarettes",D
90,"What is likely to have its cause in the separation of ownership and control in a firm? 

A. contestable markets
B. diseconomies of scale
C. principal-agent problem
D. prisoner’s dilemma ",C
91,"What is a characteristic of monopolistic competition?

A. no barriers to entry
B. identical products
C. price takers
D. small number of buyers and sellers ",A
92,"The diagram shows the short-run average cost, SRAC, and long-run average cost, LRAC, curves for a firm producing computers. It usually produces 2000 computers per week. An increase in demand requires the firm to produce 3000 computers per week.   How much will the average costs change in the long run if the firm makes a permanent decision to produce 3000 computers per week?

A. $20
B. $40
C. $50
D. $60",B
93,"LMN Ltd operates as a relatively small, family-owned producer in an industry dominated by a few large firms. Its product is unique so the owners are confident they will be able to sell enough to provide them with sufficient revenue to allow a minimum acceptable level of performance for the firm.  Other than survival, what is the most likely objective of LMN Ltd? 

A. profit maximising
B. profit satisficing
C. revenue maximising
D. sales maximising",B
94,"The diagram shows a firm’s long-run average cost curve (LRAC).  What could explain the shape of the curve from X to Y? 

A. a decrease in total fixed cost
B. increasing returns to scale
C. internal diseconomies of scale
D. more than one factor of production is variable",B
95,"A Belgian traffic study concluded that there would be significant benefits if 10% of car drivers switched to using motorcycles during peak traffic times.  Which result would be considered a cost of this change? 

A. reduced travel times
B. reduced car emissions
C. reduced safety standards
D. reduced traffic queues",C
96,"What is a characteristic of an indifference curve? 

A. It will remain concave to the origin of the diagram.
B. It will remain convex to the origin of the diagram.
C. It can intersect other indifference curves at any point.
D. The lower the indifference curve, the greater the satisfaction attainable.",B
97,"What is likely to happen if there is a rise in the international value of a country’s currency?

A. a fall in the foreign currency price of its exports
B. a fall in the volume of its exports
C. a rise in the domestic currency price of its imports
D. a rise in the domestic price level ",B
98,"When is there an improvement in a country’s terms of trade?

A. when the price of exports falls more than the price of imports
B. when there is no change in the price of exports but a fall in the price of imports
C. when the value of exports increases relative to the total value of imports
D. when the volume of exports increases relative to the total volume of imports",B
99,"What is most likely to cause a current account deficit?  

A. a recession in the domestic economy
B. a relatively high rate of inflation
C. an undervalued exchange rate
D. high labour productivity",B
100,"A country currently producing at point X on its production possibility curve decides to specialise in the manufacture of cars and import trucks. It finds it can import one truck in exchange for four cars.   What is the result in the domestic market if it exports all the extra cars? 

A. 250 extra trucks
B. 1000 extra trucks
C. 1250 extra trucks
D. 2000 extra trucks",A
101,"What is not a valid explanation of why a government might allow a deficit on the balance of payments current account to continue?

A. The balance of payments account must always balance.
B. Foreign direct investment might help to finance the deficit.
C. The country may have a larger surplus on the other parts of its balance of payments account.
D. The standard of living is increased if the level of cheap food imports is significant. ",A
102,"A country subsidises domestic production of manufactured goods.  What is the most likely outcome?

A. a rise in economic growth
B. a rise in imports of manufactured goods
C. a rise in the rate of inflation
D. a rise in unemployment",A
103,"What does it mean when a government has a budget surplus? 

A. Government revenue exceeds expenditure.
B. Imports exceed exports.
C. The government has an expansionary fiscal policy.
D. The national debt is increasing.",A
104,"Changes in fiscal policy can affect the distribution of income and wealth. Which combination of fiscal policy would most likely be regressive?

A. a fall in the lowest level of income when income tax has to be paid and a fall in the rate of inheritance tax
B. a fall in the charge made for visits to a doctor and a rise in the level of unemployment benefit
C. a rise in the rate of income tax charged at higher levels of income and a rise in the standard rate of corporation tax
D. a rise in the standard rate of income tax and a fall in the standard rate of goods and services tax ",A
105,"Supply-side policy often has fiscal consequences. Which statement is not correct? 

A. Increased government spending supporting technical progress has beneficial long-term supply-side effects but may have short-term inflationary consequences.
B. Increased government expenditure on training increases a country’s long-run aggregate supply (LRAS) and also has an expansionary effect on aggregate demand (AD).
C. Reduced government infrastructure spending reduces an economy’s LRAS and has a short-term expansionary effect on AD.
D. Reduced rates of tax on higher incomes increases an economy’s LRAS and has an expansionary effect on AD. ",C
106,"If interest rates are reduced, what is most likely to decrease? 

A. borrowing by firms
B. consumer spending
C. import prices
D. export prices",D
107,"What leads to a rise in frictional unemployment?

A. an economy moving into a period of recession
B. replacement of workers with computers in the service sector
C. a change from an agriculturally based economy to an industrial economy
D. a rise in the number of workers leaving one job to look for another job ",D
108,"In the circular flow of income model of an economy, Y, C, I, G, X, S, T and M represent total income, consumption, investment, government expenditure, exports, saving, taxation and imports respectively.  Which statement is correct?

A. At equilibrium, the levels of Y and C are always the same.
B. Governments always adjust G so that the economy is in equilibrium.
C. If I is not equal to S, it is still possible for the national income to be in equilibrium.
D. If the national income is in equilibrium, X must be equal to M.",C
109,"A country experienced an annual deflation rate of 2% for four successive years.  Which statement is correct for the four-year period? 

A. The price level fell by 8%.
B. The price level fell by less than 8%.
C. The real value of money fell by 8%.
D. The real value of money fell by less than 8%.",B
110,"Very low interest rates in an economy encourage economic growth and cause a large increase in house prices. Which group of people is most likely to experience a fall in income and an increase in wealth as a result of these changes?  

A. retired people living in rented houses
B. retired people who own their houses
C. young people buying their own houses
D. young people living with their parents",B
111,"Which policy is most likely to solve the free rider problem caused by public goods?

A. an advertising campaign
B. a direct provision by the government
C. a minimum price
D. a tax on a substitute good",B
112,"A good has the following elasticity values.   Which statement is correct?

A. The good is a complement and inferior.
B. The good is a complement and normal.
C. The good is a substitute and inferior.
D. The good is a substitute and normal. ",C
113,"The supply, S, of a product is determined by the equation S = 10 + 10P, when P is the price of the product.  What is the price elasticity of supply when the price changes from $1 to $2?

A. 0
B. 0.5
C. 1.0
D. 2.0",B
114,"Shoe manufacturers often use leather to make their most expensive shoes. Due to a world shortage of leather, the price of leather has risen.  What will be the effect of this price change?

A. The demand curve for leather shoes will shift to the left.
B. The demand curve for a substitute for leather shoes will shift to the right.
C. The supply curve for leather shoes will shift to the right.
D. The supply curve for a substitute for leather to make expensive shoes will shift to the right.",B
115,"What is most likely to be an advantage of the division of labour?

A. an increase in labour force creativity
B. an increase in labour productivity
C. an increase in workforce flexibility
D. an increase in worker satisfaction",B
116,"The factors of production earn different rewards. What identifies the correct economic term for these rewards?

A. capital – surpluses
B. enterprise – dividends
C. labour – interest
D. land – rents",D
117,"Which type of good does not consume scarce resources?

A. economic good
B. free good
C. merit good
D. public good",B
118,"The diagram shows a country’s production possibility curve.  What can be concluded from the diagram?

A. Food and drink are normal goods.
B. The country is self-sufficient in the production of food and drink.
C. The opportunity cost of food falls as more drink is produced.
D. There is a constant opportunity cost between food and drink.",D
119,"Turkey imported $220 million worth of goods and services. Turkey exported $12 million worth of goods and services during the same period. Its net income was –$15 million. What is Turkey’s current account balance?

A. –$223 million
B. –$217 million
C. +$208 million
D. +$247 million ",A
120,"What is not an example of protectionism?

A. the European Union (EU) requiring goods imported into member states to meet safety standards
B. the Pakistan government increasing the rate of goods and services tax (GST) on some exported goods from 2% to 5%
C. the Nigeria government banning the import of packaged sugar
D. the US imposing a 35% tariff on tyres imported from China",B
121,"Which policy is most likely to reduce a balance of payments deficit without causing inflation?

A. decreased import quotas
B. depreciation of currency
C. higher interest rates
D. decreased import tariffs",C
122,"A country has a floating exchange rate. Its current account on the balance of payments moves from a surplus to a deficit.  Which rate is likely to increase in the short run as a consequence of this worsening of its current account?

A. economic growth rate
B. exchange rate
C. interest rate
D. unemployment rate  ",D
123,"Which circumstances would most help a firm to gain from a depreciation of the exchange rate?

A. It sells mainly abroad and relies on domestic suppliers for inputs.
B. It sells mainly abroad and relies on foreign suppliers for inputs.
C. It sells mainly in its home market and relies on domestic suppliers for inputs.
D. It sells mainly in its home market and relies on foreign suppliers for inputs.",A
124,"The number of people employed in a country and the level of unemployment both decrease. What could explain this?

A. net inward immigration
B. an increase in the level of unemployment benefits
C. an increase in the age at which state pensions are payable
D. an increase in the number of university students",D
125,"Which supply-side policy is likely to lower real output before raising it? 

A. increased spending on early years education
B. increased spending on infrastructure
C. reduced import barriers
D. subsidies to exporters",C
126,"What is an example of a macroeconomic policy?

A. encourage the consumption of merit goods
B. reduce pollution in the steel industry
C. maintain general price stability
D. reduce unemployment in the service sector",C
