,Instruction,Question,Answer
195,"You are an A-Level economics teacher with full knowledge of the A-Level economics syllabus. Your task is to write a sample essay that will obtain top marks according to the A-Level mark scheme on the given essay question.
",Discuss whether the use of cost-benefit analysis helps??to improve economic decision making.,"Cost benefit analysis (CBA) provides a framework of??appraising major investment proposals which generate??important but controversial side effects. It is normally??undertaken by government departments, since it involves??adding the external costs and benefits to the conventional??private costs and benefits.Economists recommend CBA as a means of identifying??the right choices particularly in situations where there??is a divergence between private and social benefits and??costs. As mentioned above, the CBA approach differs??from conventional private sector investment appraisal??in two ways. Firstly, CBA is an extended approach as??it includes all related costs and benefits to the proposed??project, not just private ones. Secondly, CBA involves??estimated monetary values where market prices are not??available. We can identify four distinct phases in the development??of a cost-benefit analysis. As a first step we need to??identify all the related costs and benefits of a proposed??project. This includes both private costs and benefits??and external costs and benefits. In the second phase, we??need to assign monetary value. Where these are not??available shadow prices of costs and benefits are used.??In the third phase we estimate future costs and benefits??and to do so we use statistical forecasting techniques.??In the final phase we arrange all information to reflect??the outcome of the whole procedure. The important??principle is that if the value of benefits exceeds the value??of the costs, then the particular project is desirable since??it involves an overall net benefit to the community.Economists argue that the decision taken on the basis??of a complete cost-benefit approach are more comprehensive??and therefore more accurate representation of??society's welfare. However, in practice, cost-benefit analysis has proved??to be more difficult to work out. At the first stage there??can be a potential disagreement among people as to which??costs and benefits should be included. There are particular??problems when it comes to determining external costs??and benefits. These are often controversial and not easy??to explain in clear manners and have the added difficulty??that it is not always possible to draw the line in terms??of a physical or geographical cut-off. For example,??construction of a particular motorway also used by??nationals of other countries as a transit facility would??have costs and benefits reaching across the borders. Secondly, a potential disagreement may arise when estimating??spillover costs and benefits which are not priced??in the market such as noise and human life. Errors in??such estimates could affect the viability of a project. There is also a problem of deciding the cut-off point for??externalities and the time horizon. There is always the??temptation for interested parties to extend the cut-off??point or the time horizon in order to justify particular??preferences. Also, CBA is of little importance where??political decisions dominate.Finally, in order to compare the competing projects, we??have to reduce them to present values by discounting??future costs and benefits. But, there are many different??rates of interest. The theoretical and practical difficulties outlined above??weaken CBA's effectiveness as a tool for decision making. Nevertheless, CBA provides a rational technique for appraising??projects where market information is either nonexistent??or deficient. But, it must not make false claims??for objectivity by dealing in precise sums. While it is??an aid to decision making, it is not a substitute for it.??Its role is to present systematically all the information??relevant to a decision, indicating the weight which can??be placed on the accuracy of the calculations submitted."
196,"You are an A-Level economics teacher with full knowledge of the A-Level economics syllabus. Your task is to write a sample essay that will obtain top marks according to the A-Level mark scheme on the given essay question.
",Explain the market failure which arises from the??characteristics of public goods.,"Market failure exists any and every time that a free??market left to its own devices and free from any form??of government intervention, fails to lead to the best, or??optimum use of scarce resources. One such example is public goods. These are goods or??services, which are indivisible, and to which the exclusion??principle does not apply and many individuals can??jointly consume them simultaneously at no additional??cost. A good must possess two distinguishing characteristics??if it is to be classified as public good: It must be non-excludible. There is no effective??way of excluding individuals from their benefits once??those goods come into existence. It must be non-rival. As more and more people??consume the product, the benefit to those already??consuming the product is not diminished. Let's consider the example of a proposed project of??installing road lights on a busy crossing. The installation??would be economically justified if its benefits exceed its??cost. But the benefits accruing to one user would not??be good enough to justify the purchase of such an indivisible??product. Moreover, once the lights are in??operation they would be benefiting all users. There would??be no practical way to exclude any user from using the??lights. These two features give rise to the free rider problem;??people receiving benefits from a good without contributing??to its cost. It entails a situation in which everyone??believes that others will take on the burden of paying??for public goods such as national defense and streetlights.??People may wish for the provision of such goods, but??the demand may never be registered in the market. Since the exclusion principle does not apply to these??goods, private enterprises have no economic incentive??to supply them. Because these goods cannot be priced??and sold, it would be unprofitable for a private enterprise??to allocate resources to them. So, we have these??goods which yield substantial benefits but to which the??market would fail to allocate resources. If society requires??such goods, they must be provided by the public??sector and financed by compulsory charges in the form??of taxes. In conclusion, it can be stated that provision of public??goods contributes to a nation's standard of living therefore,??there is a very strong case for having the government??finance them."
197,"You are an A-Level economics teacher with full knowledge of the A-Level economics syllabus. Your task is to write a sample essay that will obtain top marks according to the A-Level mark scheme on the given essay question.
",Discuss whether a country should welcome a period of??deflation.,"The average level of all prices is known as the general??price level. An increase in the price level is called inflation??and a decrease is called deflation. Deflation is??associated with the lean economic period, a time when??the level of economic activity is depressed or economy??is in a recession or in a slump. In recession, demand falls??off, and as a result, firms accumulate stocks. In order??to clear stocks firms start price-cutting and the general??price level begins to fall.Deflation redistributes real income in favour of fixedincome??receivers and creditors. For instance, the elderly??couple living on pension or annuity providing a fixed??amount of nominal income each month or landlords who??receive lease payments of fixed amounts will gain by??deflation as they receive Rs. of increasing value. Similarly,??deflation benefits savers as prices fall, the real??value, or the purchasing power of a nest egg of savings??improves. Deflation benefits creditors at the expense of??borrowers. Suppose you lend Rs. 10,000, to be repaid??in 2 years. If in that time the general level of prices falls??by 10% , the Rs. 10,000 which you receive will have??higher purchasing power. In other words, borrowers??would repay higher value in real terms. To a lesser extent??some white-collar workers, for example, some public??sector employees whose incomes are dictated by fixed??pay scales, and families living on fixed levels of welfare??will be the beneficiary of inflation.Deflation may also benefit a country in terms of improvement??in trade balance. Deflation would increase??international price competitiveness of exports and??reduce price competitiveness of imports in the country.??Nevertheless, the improvement of trade balance depends??on the price elasticity of demand for both exports and??imports.However, as mentioned above, deflation is an indicator??of a decline in the level of economic activity. In a recession,??as the term implies, aggregate demand decreases??driving the price level down as a result firms are forced??to revise investment and production plans. Decline in??output is accompanied by increasing unemployment. As??employment falls, so do households incomes; falling??income causes demand to fall further. Prices and hence??profits drop and many firms make losses. The situation??looks bleak and businesses and households lose??confidence, resulting in a decline in all types of spending??and driving the level of economic activity down.Also, a country's national debt repayments and interest??payment will rise in real terms. The national debt is??what a country owes to government, institutions, and??individuals who have bought government securities.Falling prices also hinder in remedies such as policy of??changing interest rate.Generally, creeping or mild inflation as opposed to??deflation is considered desirable as it stimulates business??people to invest because they may regard it as a??sign of expanding economy and rising demand. Government??may also benefit in terms of rising tax revenue and??declining value of debt repayment and interest payment??in real terms."
198,"You are an A-Level economics teacher with full knowledge of the A-Level economics syllabus. Your task is to write a sample essay that will obtain top marks according to the A-Level mark scheme on the given essay question.
",Explain the characteristics required by money if it is to??carry out its functions effectively,"Money is defined as anything which is generally acceptable??in purchasing goods or settling debts. Economists??have identified four important functions of money.First and foremost, money is a medium of exchange; it??is usable for buying and selling goods and services.??Money is also used as a unit of account; society uses??money as a scale to measure the relative worth of a wide??variety of commodities, making possible the operation??of a price system and automatically providing the basis??for keeping accounts, calculating profit and loss, etc.??Money also serves as a store of value i.e. it is a very??convenient way to store value. Finally, it is a standard??of deferred payments; the unit in which, given stability??in its value, loans are made and future contracts fixed.??Without money, there would be no common basis to??allow for dealing in debts.To perform these functions with a greater deal of effectiveness??money must possess certain features. For instance,??money must be available in different denomination??to enable small purchases to take place and everyone??must accept it as having some value. Moreover,??money must be portable or easily carried about and must??last a long time. In addition, money must be limited in??supply and the value of money should not fluctuate??wildly. Finally, it must be difficult, if not possible, to??counterfeit.Money performs its functions effectively as long as it??possesses all the above-mentioned characteristics. People??use money as a medium of exchange only when they are??confident that it will be exchangeable for real goods and??services, and resources when they spend it. Similarly,??people will use a particular unit of money as a store of??value only as long as there is no sizable deterioration in??the value due to inflation. An economy can effectively??employ money as a unit of account only when its??purchasing power is relatively stable. A measure of value,??which is subject to drastic shrinkage, does not permit??buyers and sellers to establish the terms of trade clearly.??For instance, when the value of a unit of money is??declining rapidly, sellers will not know what to charge,??and buyers will not know what to pay, for goods and??services.Money derives its value from its scarcity i.e. value of??money lies in its capacity to be exchanged for goods and??services, now or in future. Therefore, general acceptability??of money as a medium of exchange, store of value??and means of deferred payments lies in its being scarce??and stable in value. In addition, money serves as an??effective unit of account when it is durable, uniform,??recognizable, portable and divisible. In modem world??our confidence in money is partly a matter of law;??currency has been designated as legal tender by government."
199,"You are an A-Level economics teacher with full knowledge of the A-Level economics syllabus. Your task is to write a sample essay that will obtain top marks according to the A-Level mark scheme on the given essay question.
","Tyre problems for the mining industry In 2005, large-scale economic growth in China had increased the demand for minerals to record levels. As??a result, 2005 was a boom year for mining worldwide, and output expanded rapidly. The huge earth-moving trucks used in mining need massive off-the-road (OTR) tyres. These tyres cost $20000 each and take a day to manufacture. By 2006, a major tyre producer, Bridgestone, estimated that mining??companies required 50% more OTR tyres than in the previous year, but the tyre producers struggled to meet??this demand from the mining companies. Tyre producers' stocks of tyres were very low, while fixed production??capacity meant that output had remained steady since 1999. It was not technically possible to switch??from car tyre production to making OTR tyres. Total planned production for all of 2006 had already been sold and no new factories were due to start??producing before the end of 2007. Another tyre producer, Michelin, intended to spend $85m on its factory??in the US, and Bridgestone intended to raise its factory capacity in Japan in 2008. Rio Tinto, one of the world's largest mining companies, usually spent $100m on 5000 tyres each year, but??instead faced the prospect of having to stop trucks working while they had expensive tyre checks and tyre??repairs. The company predicted that this would limit future exploration for new sources of minerals and cause??a rise in mineral prices. Why can the demand for OTR tyres be described as a derived demand? Explain why the supply of OTR tyres was highly inelastic in 2006. Analyse, with a demand and supply diagram, the change in the market for OTR tyres during 2006. How might a shortage of OTR tyres affect the productivity of mining companies? Discuss whether the shortage of OTR tyres required government intervention.","Demand is derived when a product is wanted as input for the final product being??produced. Increasing need for mineral transportation requires larger fleet of trucks.??Thus, growing demand for earth moving trucks requires increasing number of OTR??tyres. Not only this but also these tyres are needed to keep the existing fleet of trucks??operational. Hence, OTR tyres are not demanded for their own sake, rather they are??needed to be used as an essential component in trucks required to transport mined??output. Price elasticity of supply refers to how supply responds to a price change. Supply??is highly inelastic when proportionate change in quantity supplied is significantly low??in response to a given change in price. In the year 2006, the PES of OTR tyres was??highly inelastic because tyre producing firms, as mentioned in the text, did not have??unused or surplus capacity. The firms were operating up to their full capacity and??could not increase supply even when price rose. Furthermore, the firms were not able??to meet considerable increase in demand from stocks as they were running low stocks??of OTR tyres. In addition, it was technically not possible to increase quantity supplied??by switching lines from car tyre production to OTR tyres. Michelin and Bridgestone,??two large producers, planned to increase their capacity by making expensive investment??but the expanded capacity would come into play after two years. A high rate of economic growth in China led to a significant increase in demand and??hence, considerable rise in price of OTR tyres as shown in the graph below:It can be seen from the graph that there is a major increase in demand whereas supply??is less responsive to price. Initially, the equilibrium is located at point e where??demand and supply curves intersect. A record increase in demand in the year 2006??is shown by a shift from D to D1. This increase in demand creates a shortage e -??b at the original price OP. The inability of firms to increase supply by much exerts??pressure on the price to rise significantly. As it does so there is a movement along??the supply curve from point e to e1, and along the new demand curve D1??from??point b to e1. Thus, new equilibrium is found at??e1??with higher price but no significant??change in quantity traded. Productivity refers to output per unit of input per time period. Productivity is??expected to decline due to the lack of and poor quality of complementary inputs.??Shortage of OTR tyres, being an important component of trucks used in transportation??of mined output, would limit the transportation of output produced by mining??companies. Firms, in order to continue momentum of production, would use obsolete??or repaired tyres in their trucks, which might result in expensive tyre checks and??frequent breakdowns leading to a decline in productivity of inputs used in mining. The frequent hold up in production, caused by tyre shortage, would reduce productivity??and therefore, is expected to slow down the growth rate and increase unemployment??particularly in countries more reliant on mining. Rising prices of tyres??would also increase import bill of the countries relying on imported tyres and hence,??worsen their trade balance. Thus, inflation caused by this may become a serious issue??as it brings instability in markets. Under these circumstances, government intervention??is required to maintain growth momentum and to avoid possible loss of jobs.??Moreover, governments may be required to intervene in order to reduce distortions??in other macro economic variables namely inflation and trade balance.On the contrary, free market economists are naturally distrustful of government intervention??in the economy. They believe that the price mechanism is a self correcting??system therefore, the signalling, incentive and rationing functions of the price mechanism??should be given more freedom to operate instead. They argue that government??intervention does not come free from unwelcome side effects. For instance, government??may not have the expertise to manage the market and thus, intervention may??result in government failure. It is most likely to occur when decisions are made in??the vested interest of special groups, at the expense of other groups resulting in a??loss of equity. Moreover, government intervention may lead to a severe deepening??of an existing market failure and a loss of both allocative and productive efficiency.??Thus, inefficiency caused by undue intervention results in a waste of scarce resources??leading to a reduction in consumer and producer welfare. It can also be argued,??particularly in the context of OTR tyres, that the problem of shortage would not??prolong as firms have already planned an expansion in their output. Also, the impact??would be different in different economies therefore, not all governments would be??equally concerned about the prevailing shortage.In conclusion, government intervention may be justified only in circumstances of??severe and prolonged instability in the markets caused by shortages."
200,"You are an A-Level economics teacher with full knowledge of the A-Level economics syllabus. Your task is to write a sample essay that will obtain top marks according to the A-Level mark scheme on the given essay question.
",Unemployment can be measured by the claimant count??or the labour force survey. Discuss the relative reliability??of these two measures.,"Officially, the unemployed are people who are registered??as able, available and willing to work at the going??wage rate in a suitable job but who cannot find work??despite an active search for work. There are two common measures of unemployment used??in official statistics. The Claimant Count, measure of unemployment, counts??only those people who are eligible to claim the Job??Seeker's Allowance. Claimants who satisfy the criteria??receive the JSA for six months before moving onto special??employment measures. The other main measure involves a labour force survey??using the International Labour Organisation definition of unemployment. This includes as unemployed all people of working age who, in a specified period, are without work but who are available for work in the next two??weeks and who are seeking paid employment. This measure picks up some of the groups not included in the first measure. Claimant statistics have the advantage of being very easy to collect. However, they exclude all those of working age who are available for work at current wage rates, but??who are not eligible for benefits. If the government??changes the eligibility conditions so that fewer people are now eligible, this will reduce the number of claimants??and hence the official number unemployed, even if??there has been no change in the numbers with or without work. One problem with the claimant count is that it misses??out many people who are interested in finding work and who might have searched for work in the recent period but they don't meet all of the criteria for claiming and??therefore are not included in the monthly unemployment count. For instance, the following categories of people are ineligible??for benefits and are thus not included in claimant unemployment in UK. ?€??? ??Parents who up to now have been at home raising??children.?€??? ??Those who cannot find jobs are found places on??government youth training schemes.?€??? ??Men between 60 and 65 who are seeking employment.?€??? ??The temporarily unemployed.?€??? ??People seeking part-time work.?€??? ??Some people may want to work full time.?€??? ??Discouraged workers.?€??? ??Disguised unemployment. Although, from an economist's perspective, the claimant:??figures underestimate the true extent of unemployment,??it is possible that they nevertheless include some??people whom economists would not regard as being??genuinely unemployed. For example, some people in receipt of unemployment-related benefits may have taken early retirement and be in receipt of an occupational??pension, or have given up employment in order to raise a family, or would rather live on unemployment benefit than take a job. Other people may turn down several offers of employment in the hope of getting a better??offer. Some other people may already have a job but pretend that they are unemployed so as to be able to claim benefits. Governments have tightened up their checks on claimants in recent years in order to prevent fraudulent claims.??It has also made the eligibility conditions for benefits tougher. Claimants have to be able to demonstrate that they are actively seeking work and are prepared to accept suitable work when it is offered. It is thus likely that there are very few people nowadays who receive the??job seeker's allowance, and who thus appear in the official unemployment statistics, who are not (by the??economist's definition) unemployed. The labour force survey has the advantage that as it is based on internationally agreed concepts and definitions,??it makes international comparisons easier. However, the data are more expensive and time-consuming to collect than the unemployment benefit measure. Also as they??are based on a sample survey they are subject to sampling error. Therefore selection of samples is very important??in terms of true representative of the population. In conclusion The Labour Force Survey covers those who have looked for work in the past month and are able to start work in the next two weeks. The claimant count only includes those who are unemployed and claiming benefit. As such it excludes a number of people who are classed as unemployed under the ILO definition for example women seeking work whose partners are on means tested benefit. Also many countries do not pay unemployment benefit therefore the claimant count system cannot be used as a means of international comparison. Therefore, Labour force survey, if carefully conducted, is a better measure of unemployment."
201,"You are an A-Level economics teacher with full knowledge of the A-Level economics syllabus. Your task is to write a sample essay that will obtain top marks according to the A-Level mark scheme on the given essay question.
","Explain, with examples, why labour productivity might??vary between countries.","Productivity refers to the quantity of goods and services??that a worker is able to produce in a particular??period of time. It can be measured by the following??formula:productivity = (Total output)/(No. of workers employed)Labour is not a uniform resource, hence, there are variations??in productivity of labour. For example, throughout??the developing world, levels of labour productivity are??extremely low compared with those in developed countries.??Several factors account for these variations.The difference between productivity among nations can??be explained by the lack of and quality of complementary??factor inputs such as natural resources, physical??capital and experienced management. Countries, rich in??better quality natural resources, have managed to increase??productivity of labour in comparison with countries??lacking better quality natural resources.History shows that many countries have been able to??raise productivity by increasing investment in physical??capital and human capital. For instance, a high-tech??boom in developed countries, such as Japan, has led to??a sharp acceleration of productivity growth due to greater??use of efficient and automated machines and highly skilled??labour force. Whereas countries like India have shown??low productivity because production processes are more??labour intensive and poorly trained workers are combined??with simple traditional tools to work with.Thus industrially developed nations such as Germany??and Japan combine labour with more and better capital??equipment, hence productivity of labour is manifold in??comparison to productivity in an underdeveloped country??such as Pakistan, where amount of capital per worker??is low and the quality of capital is poor.Similarly countries making continuous investment in developing??educational and training programmes to make??their labour force more appropriate to the needs of the??developing societies have shown more progress in enhancing??productivity. The four Asian Tigers South Korea,??Singapore, Hong Kong and Taiwan are often attributed??to the quality of their human resources and the organization??of production system to accelerate their productivity??growth.Difference in physical health of workers also reveals the??difference in productivity in developed and developing??countries. Poor dietary habits, inadequate food and low??level of personal hygiene can cause deterioration in a??workers' health and therefore adversely affect their attitude??towards the job and the people at work.Healthier and happier labour force is believed to be more??motivated to work, hence results in higher productivity.??Many developed nations, for example UK, the state??provides pension, health care, unemployment and social??security benefits which should ensure that the labour??force is healthy and happy and above all more productive.Finally, we conclude that variation in labour productivity??is attributed to the quantity and quality of natural??and physical resources, organizational skills of entrepreneurs,??health, education, motivation and most importantly??the skill level of labour force."
202,"You are an A-Level economics teacher with full knowledge of the A-Level economics syllabus. Your task is to write a sample essay that will obtain top marks according to the A-Level mark scheme on the given essay question.
","Discuss, with the aid of a demand and supply diagram, the effects on consumers and producers when the government introduces an indirect tax on a good. [12] .","A tax on expenditure on commodities is an indirect tax.??These taxes are not paid directly by the consumers, but??indirectly via the sellers of the commodities. The examples??of two major indirect taxes in the UK include??excise duties on cigarettes, alcohol and fuel and value??added tax on various other items.VAT is an example of an ad valorem tax. The tax levied??increases in proportion to the value of the tax base. In??the case of VAT, the tax base is the price of the good.??Excise duties on the other hand are an example of a??specific or unit tax. The amount of tax levied does??not change with the value of the goods but with the??amount or volume of the goods purchased.Taxes are levied by the government for a number of??reasons. It can range from raising revenue to discourage??production and consumption of certain products in order??to improve efficiency. A tax increases the costs of a??business causing a inward shift in the supply curve. The??vertical distance between the pre-tax and the post-tax??supply curve shows the tax per unit.With an indirect tax, the supplier may be able to pass??on some or all of this tax onto the consumer through a??higher price. This is known as incidence of tax i.e. shifting??the burden of the tax and the ability of businesses to??do this depends on the price elasticity of demand and??supply.Note that the effect of an ad valorem tax is to cause a??pivotal shift in the supply curve. This is because the??tax is a percentage of the unit cost of supplying the??product.The curve S in figures above is before tax and S+ t is??the supply after tax. As a result price rises from P to??P1 and quantity sold decreases from Q to Q1 . The rise in price from P to??P1??is the amount of tax passed on??to consumers and thus represents the consumer's share??of the tax. This increase in price from P to P1 is less??than the per unit tax measured on vertical axis P1t. The??remaining is the producers' share. This is the amount by??which the producers' net price P1 - tax is below the??original price. The government's tax revenue can be??measured by multiplying per unit tax and after tax quantity,??i.e. the sum of both producers' and consumers' share??of the tax.As mentioned earlier the incidence of tax depends on the??relative elasticities of demand and supply of the commodity??in question. These different situations have been??given in figures below:In each of the diagrams the size of the tax is the same??shifting the supply curve upward by the same amount.??Price rises to P2 in each case and quantity falls to Q2:??but as we see, the size of this increase in price and??decrease in quantity differs in each case, depending on??the price elasticities of demand and supply. The higher??the PED and lower the PES the greater the producers'??share than the consumers' share of the tax as shown in??figures. On the other hand the lower the PED and higher??the PES, lower is the producers' share and greater the??consumers' share as shown in figures.Similarly, in extreme cases when PED is infinite or PES??= 0. Complete burden of tax falls on producers and??hence, the consumers' share of the tax becomes zero.??The government's tax revenue is much smaller owing to??a proportionately greater fall in quantity sold but the??producers' revenue falls by even a larger amount as shown??in the figures below.On the contrary, when PED = 0 or PES is infinite,??consumers' share of the tax is equal to the tax levied.??Hence, producers' share become zero and the tax revenue??received by the government will be higher. In case??of zero elastic demend producers' revenue remain unchanged??but where supply is infinite elastic decrease in??producers' revenue depends on PED, as shown in figures??below:Finally, the tax burden, producers' revenue after tax and??the government's revenue from the tax all depend on the??relative elasticities of demand and supply."
203,"You are an A-Level economics teacher with full knowledge of the A-Level economics syllabus. Your task is to write a sample essay that will obtain top marks according to the A-Level mark scheme on the given essay question.
",Explain how resources are allocated in a market economy.,"The free market economy is usually associated with a??pure capitalist system, where resources, such as land,??raw material and capital, are privately owned. All economic??decisions are taken by individual households and??firms, which are assumed to act in their own self??interest. Firms seek to maximize profits, consumers are??motivated by the desire to maximize their utility and??workers seek to maximize their wages.The essence of pure free market system is price mechanism,??often quoted as 'invisible hand', operating on its??own with no intervention by government.The price mechanism is a term used to describe the??means by which the many millions of decisions taken??each day by consumers and businesses to determine the??allocation of scarce resources between competing uses.??This apparently chaotic system of millions of separate??transactions would not only allocate resources but it??would allocate resources efficiently. It is not necessary??that government or any other authority directs resources.??The hidden hand of the market would do the job, and??do it far better.One of the three important functions of price mechanism??is signaling through which resources are allocated.??Prices rise and fall to reflect shortages and surpluses.This??means that market prices will adjust to demonstrate where??resources are required, and where they are not.So, for example, assume that lobbying from environmentalists??against leather products, arguing that their??production inflicts environmental damages, changes consumers'??preferences. In the market fewer leather products??will be purchased. In the short run, companies in??the leather trade are likely to cut prices to boost demand??but this will depress profits. In the long run, some firms??will leave the industry, reducing supply. This in turn??will affect the factor markets. For instance, the demand??by firms in the leather industry for workers, equipment??and animals will fall. So wages of workers may fall. The??price of land for cattle farms may fall too. Some workers??will leave the industry attracted by higher wages??elsewhere whilst land will be put to other uses. Meanwhile,??consumers will have increased their spending on??other goods, for instance, on synthetic leather. In the??short term the price of synthetic leather will rise. Increased??profits will attract new firms into the industry,??thus boosting supply. This will increase the demand for??factors of production used in the making of synthetic??leather.If market prices are rising because of high and rising??demand from consumers, this is a signal to suppliers to??expand their production to meet the higher demand and??more resources will be directed to produce that commodity??and vice versa.Thus resources are allocated and reallocated through price??mechanism according to the preferences of consumers."
204,"You are an A-Level economics teacher with full knowledge of the A-Level economics syllabus. Your task is to write a sample essay that will obtain top marks according to the A-Level mark scheme on the given essay question.
","Discuss whether a firm's revenue would increase, in??response to price and income changes, if the price elasticity??and income elasticity of demand for its product??became highly elastic.","Price elasticity of demand is a numerical measure of??responsiveness of quantity demanded following a change??in the price of the same commodity. PED=(% change in QD)/(% change in price) When we measure PED we wish to know the extent??to which a change in price of a commodity will cause??the quantity demanded to change. Demand is highly??elastic where QD changes by a significantly larger proportion??than any given change in price. Ignoring the negative??sign, it will have a value greater than 1. Income elasticity of demand is responsiveness of demand??following a change in income alone. The formula used??is: ??YED=(% change in QD)/(% change in income) Demand is said to be highly income elastic where QD??changes by a significantly larger % than any given %??change in Y. YED, irrespective of the degree of elasticity,??has a positive value for normal goods because there??is a direct relationship between income and demand and??a negative value for inferior goods owing to the inverse??relationship between consumers' income and demand. Businesses are always interested to know when it is??best to raise prices or not to raise prices. The answer??depends on the effects of pricing decision on TR, or??total receipts, that is determined by PED. Total revenue is the total amount received by firms from??the sale of a product, before the deduction of taxes or??any other costs. TR can be measured by multilying per??unit price and the quantity sold i.e. TR = P x Q Where demand is highly elastic, QD changes proportionately??more than price. Thus the change in quantity??has a bigger effect on TR than does the change in price??as illustrated by the following graph.  When the price falls from P1 to P2, the total revenue??increases as the loss in revenue ( - ) is outweighed by the??gain (+). This arises because demand is highly elastic.??Note that the shaded area is common both before and??after the price fall. Similarly, when demand is inelastic??QD changes proportionately less than price. Therefore,??the change in quantity has a smaller effect on TR than??does the change in price as shown in the graph below.  A fall in price from P2??to P1 leads to a reduction in total??revenue with the loss (-) being greater than the gain (+).PED is determined by several factors, for instance, the??closer the substitutes for a particular commodity, the??higher will be its price elasticity of demand. Also price??elasticity of demand is greater in the long run than in??the short run because people may find it hard to adjust??their spending patterns. Furthermore, higher the proportion??of income spent on a good, the more consumers??are forced to cut consumption when its price rises, the??bigger will be the income effect and the more elastic will??be the demand. Lastly, the more people consider the??product as a luxury item or the product lacks addictive??properties and strong brand image, the higher the PED. The direction of change in TR also depends on the??direction of change in income and the type of commodity??i.e normal or inferior good. When YED is positive,??irrespective of income elastic or inelastic demand, an??increase in Y always results in an increase in TR and??a decrease in Y results in a decrease in TR due to positive??income effect. In case when YED is a negative value, an??increase in consumers' incomes results in a decrease in??TR and a fall in income leads to an increase in TR owing??to the negative income effect. The extent to which TR changes depends on the degree??of YED. When YED is positive (normal good)and highly??elastic i.e. > 1, a proportionately larger increase in??quantity demanded in response to increase in incomes??will have a bigger positive effect on TR. On the contrary,??when YED is negative (inferior good) and highly??elastic, an increase in consumers' incomes results in proportionately??greater fall in QD and hence, will have a??larger negative effect on TR. Unlike this, in times of??economic recession, when incomes are generally low??businesses selling inferior goods will have an increase in??their TR and businesses selling normal goods will receive??a cut in their TR. This can be further explained by the determinants of??YED. For instance, as people's incomes rise demand for??luxury goods expands more rapidly, hence, YED for these??goods is expected to be positive and > 1. But this rise??in incomes results in proportionately smaller rise in QD??for basic goods such as bread and even a reduction in??demand for inferior goods. The extent of responsiveness??of demand to a given change in Y also depends on the??level of incomes of consumer, for example, for a given??rise in income, poor people may buy a lot more cheese,??whereas rich people may buy only a little more.In the end we conclude that highly elastic PED and??YED may result in both rise and fall in TR. In case of??PED it depends on the direction of change in price and??in case of income elasticity the change in TR is not??only dependent on the direction of change in income??but also the type of product in consideration."
205,"You are an A-Level economics teacher with full knowledge of the A-Level economics syllabus. Your task is to write a sample essay that will obtain top marks according to the A-Level mark scheme on the given essay question.
",Explain how an equilibrium price for a product is established??in the market and how it may change.,"Equilibrium means a state of equality or a state of balance??between the two market forces i.e. demand and supply.??In other words, an equilibrium price is when QD = QS??and without a shift in demand and/or supply there will??be no change in market price.Prices where demand and supply are out of balance are??termed points of disequilibrium.  Let us begin our analysis with the basic supply-demand??diagram. The vertical axis, in the figure above, shows??the price of a good, measured in dollars per unit. The??horizontal axis shows the total quantity demanded and??supplied, Q, measured in number of units per period. The supply curve S tells us how much producers are??willing to sell for each price that they receive in the??market. The curve slopes upward because the higher the??price, the more firms are usually able and willing to??produce and sell. The demand curve D tells us how much consumers are??willing to buy for each price per unit that they must??pay. It slopes downward because consumers are usually??ready to buy more if the price is lower. The two curves intersect at the equilibrium, or market??clearing, price and quantity. At this price (P), the quantity??supplied and the quantity demanded are just equal. To understand why markets tend to clear, suppose the??price were initially above the market clearing level, say,??P1, Then producers would try to produce and sell more??than consumers were willing to buy. A surplus would??accumulate, and to sell this surplus or at least prevent??it from growing producers would begin to lower their??prices. Eventually price would fall, quantity demanded??would increase, and quantity supplied would decrease??until the equilibrium price P was reached. The opposite would happen if the price were initially??below P, say, at P2. A shortage would develop because??consumers would be unable to purchase all they would??like at this price. This would put upward pressure on??price as consumers tried to outbid one another for existing??supplies and producers reacted by increasing price and??expanding output. Again, the price would eventually reach??P. The strength of the system lies in the tendency for the??price to change until the market clears i.e. QD = QS. At??this point there is neither shortage nor excess supply??so there is also no pressure for the price to change??further. This equilibrium price will remain unchanged only so??long as the demand and supply curves remain unchanged.??If either of the two curves shifts, a new equilibrium will??be formed as shown in the figure below.  A rise in consumers' money incomes, for instance, led??to the demand curve shifting to D2, there would be a??shortage of e - g at the original price P. This would??cause price to rise to the new equilibrium P1. As it did??so, there would be a movement along the supply curve??from point g to point i, and along the new demand curve??(D2) from point g to point i. Equilibrium quantity would??rise from Q to Q1.Likewise, if one of the determinants of supply changes??the supply curve will shift causing a movement along??the demand curve to the new intersection point.  For example, in figure above if costs of production rose,??the supply curve would shift to the left to S1 There??would be a shortage of e - j at the old price of P. Price??would rise from P to P1. Quantity would fall from Q??to Q1. Sometimes a number of determinants might change simultaneously??leading to a shift in both curves. When??this happens equilibrium simply moves from the point??where the old curves intersected to the point where the??new ones intersect as shown in the figure below.  In this case the??extent of change in equilibrium price and??direction of quantity depends on the proportion of??change in demand and supply."
